index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Verrucomicrobiota
Distal_Colon,1622.0,0.0,18637.0,48.0,1.0,2.0,665.0
Proximal_Colon,1889.0,0.0,18485.0,35.0,1.0,2.0,485.0
Cecum,1436.0,0.0,21386.0,149.0,4.0,2.0,364.0
Ileum,2691.0,19.0,4308.0,103.0,72.0,2.0,5621.0
Jejunum,4156.0,1455.0,1347.0,3486.0,135.0,4.0,7506.0
Duodenum,3832.0,11115.0,5560.0,2930.0,85.0,2.0,1920.0
