index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Verrucomicrobiota
Distal_Colon,3392.0,6.0,31724.0,153.0,8.0,2.0,1323.0
Proximal_Colon,3253.0,2.0,36060.0,247.0,9.0,1.0,1043.0
Cecum,3294.0,0.0,33186.0,372.0,6.0,1.0,482.0
Ileum,3253.0,54.0,7539.0,29226.0,19.0,7.0,1040.0
Jejunum,2091.0,278.0,1797.0,19839.0,18.0,1.0,1679.0
Duodenum,2325.0,4240.0,981.0,18727.0,26.0,1.0,1128.0
