index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Verrucomicrobiota
Distal_Colon,3643.0,5.0,31406.0,49.0,7.0,0.0,6591.0
Proximal_Colon,2228.0,1.0,24613.0,54.0,5.0,0.0,5013.0
Cecum,3957.0,5.0,19342.0,15.0,4.0,0.0,5580.0
Ileum,6395.0,1199.0,7744.0,3721.0,58.0,2.0,9037.0
Jejunum,5885.0,7510.0,511.0,3294.0,134.0,0.0,6277.0
Duodenum,9476.0,5397.0,9295.0,891.0,138.0,5.0,5829.0
