	shannon_entropy
TL1a_FP_162	3.477535708973458
TL1a_FP_88	4.380618699861465
TL1a_FP_230	4.3945634529568975
TL1a_FP_89	3.397042105479302
TL1a_FP_234	3.580110128025479
TL1a_FP_128	4.721007910257915
TL1a_DTT_268_Repeat	4.68895547608619
TL1a_FP_129	4.783294929788318
TL1a_FP_287	4.899640006444075
TL1a_FP_86	4.221734110706412
TL1a_FP_198	1.9657855868366674
TL1a_FP_161	3.5173368827601217
TL1a_FP_266	4.391887488313011
TL1a_FP_197	4.293744381244435
TL1a_FP_159	2.5879855760169774
TL1a_FP_132	3.3289767849201524
TL1a_FP_130	3.5426540439941565
TL1a_DTT_269_Repeat	3.878822544642547
TL1a_FP_90	3.512433802798213
TL1a_FP_195	4.254632604041935
TL1a_FP_158	2.959391301128995
TL1a_DTT_127_Repeat	5.1096986614111595
TL1a_DTT_157_Repeat	5.07254136223274
TL1a_FP_231	4.614828917677023
TL1a_FP_284	4.061083212903678
TL1a_FP_267	4.632160091234847
TL1a_DTT_130_Repeat	3.5485473741703357
TL1a_FP_269	3.9930795087743274
TL1a_FP_288	4.824961502231699
TL1a_DTT_196_Repeat	3.514179730016395
TL1a_DTT_90_Repeat	3.9871492383727607
TL1a_FP_87	3.216526766449866
TL1a_FP_196	4.281724540700282
TL1a_FP_131	2.8491323388925265
TL1a_DTT_198_Repeat	4.65035627619644
TL1a_DTT_88_Repeat	4.054748743152183
TL1a_FP_270	2.67155250889902
TL1a_FP_160	4.0111961314058275
TL1a_FP_194	3.7119599066939704
TL1a_FP_286	3.8019164205094373
TL1a_DTT_89_Re_extracted	5.122091177497602
TL1a_DTT_197_Repeat	4.246745979868244
TL1a_FP_232	1.7068596530631415
TL1a_DTT_270_Repeat	4.752879653266719
TL1a_FP_233	3.8089894502096002
TL1a_FP_268	4.425688613730577
TL1a_FP_285	5.246458010298404
TL1a_DTT_284	3.6616356527833567
TL1a_DTT_231	2.2601313447795452
TL1a_FP_85	4.6969331613848455
TL1a_DTT_267	3.5334332055424253
TL1a_FP_127	4.3438089826614865
TL1a_DTT_160	4.500603002140263
TL1a_DTT_234	4.394291123948969
TL1a_DTT_158	4.780269856039733
TL1a_FP_193	3.6804638580451585
TL1a_FP_265	3.810370924818361
TL1a_DTT_129	5.354383080255295
TL1a_DTT_265	5.137664447326717
TL1a_DTT_285	5.167575086393794
TL1a_DTT_159	4.381350015731417
TL1a_FP_157	3.10366741016635
TL1a_DTT_287	4.633099083461356
TL1a_DTT_233	4.492558932477344
TL1a_DTT_195	2.6385494133681062
TL1a_DTT_85	4.657363505624184
TL1a_DTT_86	3.3373151738020446
TL1a_DTT_193	4.588209977934275
TL1a_DTT_286	4.489331413855401
TL1a_DTT_230	4.915314468649308
TL1a_DTT_128	5.324242640241327
TL1a_DTT_283	5.334244417262553
TL1a_DTT_194	4.965283355027034
TL1a_DTT_229	3.8072951278128997
TL1a_FP_283	5.505938270980223
TL1a_FP_229	4.1496182365350895
TL1a_DTT_87	4.2872171029702715
TL1a_DTT_266	5.143801024229492
TL1a_DTT_232	1.843225250596471
TL1A_DTT_673	5.001112670825748
TL1A_FP_626	5.086845757182322
TL1A_DTT_675	4.454506805360837
TL1A_DTT_626	4.404660773943263
TL1A_DTT_629	3.738837008034909
TL1A_FP_677	3.612248985866464
TL1A_FP_674	4.6596767976902305
TL1A_FP_678	3.8733200925148537
TL1A_DTT_674	4.858777371244392
TL1A_DTT_627	3.824422868801358
TL1A_FP_625	4.877646839606527
TL1A_FP_630	4.963547896584654
TL1A_FP_673	4.872913007217409
TL1A_FP_675	5.120387507517947
TL1A_DTT_630	4.658021458115499
TL1A_DTT_628	5.556969505557552
TL1A_FP_627	3.629309639975122
