	TL1a_DTT_173_Repeat	TL1a_DTT_76_Repeat	TL1a_DTT_172_Re_extracted	TL1a_DTT_245_Repeat	TL1a_DTT_244_Repeat	TL1a_DTT_142_Repeat	TL1a_DTT_78	TL1a_DTT_209	TL1a_DTT_210	TL1a_DTT_64	TL1a_DTT_65	TL1a_DTT_246	TL1a_DTT_66	TL1a_DTT_77	TL1a_DTT_208	TL1A_DTT_642	TL1A_DTT_640	TL1A_DTT_641	TL1A_DTT_689
TL1a_DTT_173_Repeat	0.0	0.4760120906384797	1.556354852538516	1.1835926136271409	1.6540085783237208	1.5525054182345983	0.7579111677120607	1.6378747458944565	2.070657903255704	2.119417832587211	1.3627225945037276	1.1820274607077816	1.1455786527230944	1.2399225561394922	1.6492555947011251	1.90681561432125	1.836120676404533	1.7032517824701836	1.1569911730932545
TL1a_DTT_76_Repeat	0.4760120906384797	0.0	1.9262718198038833	1.466618664094163	1.8546213355528673	1.9468248123281853	0.48957511136563836	1.4459699412140556	1.9997686039822216	1.6978082127738399	1.0173292126861782	1.5418026608310968	0.7499149965776313	0.9955194800830015	1.8941479662094138	2.2543499090348953	2.1516549443157214	2.01266619362092	1.4132912580393493
TL1a_DTT_172_Re_extracted	1.556354852538516	1.9262718198038833	0.0	1.1351757153243047	1.4921881811606617	1.4714137911669203	2.204854893996643	2.553410957027617	2.644865389190324	3.6131004066910077	2.7709076668113406	0.445504414094839	2.609992220889416	2.5833658514723083	1.1663070806635878	1.5115396336745697	1.5398436554619053	1.568715885762513	1.5456801869658696
TL1a_DTT_245_Repeat	1.1835926136271409	1.466618664094163	1.1351757153243047	0.0	0.5348342239263851	0.9125295037382045	1.902800520675057	1.5465752919222069	1.5562773166277664	3.0721656057395266	2.4798598480175507	0.7439676442744265	2.211995348011112	2.402679991551609	0.5143253220472541	2.330594746118376	2.331893787606756	2.2770023845450402	1.9606630935633351
TL1a_DTT_244_Repeat	1.6540085783237208	1.8546213355528673	1.4921881811606617	0.5348342239263851	0.0	1.1671149268505252	2.324344668031604	1.4893648317976647	1.2787624560658928	3.347481465081438	2.868146431043792	1.1726311958734605	2.576838756519654	2.8332297444200565	0.3773361766458556	2.825986887424338	2.8304789021136276	2.787406752975069	2.4806354887325996
TL1a_DTT_142_Repeat	1.5525054182345983	1.9468248123281853	1.4714137911669203	0.9125295037382045	1.1671149268505252	0.0	2.2778060648073075	2.1244763117265135	2.0566588138168105	3.4648144878150577	2.869272445634946	1.2359120504055068	2.62501489858667	2.7444589588205743	1.1988005430997901	2.360773439707397	2.4299752519453253	2.3702709819297065	2.166934002891599
TL1a_DTT_78	0.7579111677120607	0.48957511136563836	2.204854893996643	1.902800520675057	2.324344668031604	2.2778060648073075	0.0	1.8626757921985422	2.452436540946729	1.474245464283116	0.6069660361744197	1.8707018167750582	0.45225974772324434	0.5161075607390149	2.3432010377012142	2.2016528546870027	2.0790030340716528	1.9190706840039626	1.2977165365463454
TL1a_DTT_209	1.6378747458944565	1.4459699412140556	2.553410957027617	1.5465752919222069	1.4893648317976647	2.1244763117265135	1.8626757921985422	0.0	0.6878752750135876	2.2132435276542552	2.168515599473355	2.1196297516437617	1.8392826488371776	2.30774224293915	1.763040059311901	3.468720856459879	3.4021250889446986	3.293737078182009	2.7596774495756087
TL1a_DTT_210	2.070657903255704	1.9997686039822216	2.644865389190324	1.5562773166277664	1.2787624560658928	2.0566588138168105	2.452436540946729	0.6878752750135876	0.0	2.886420756278706	2.820870703309889	2.2430919259070605	2.4890690924753818	2.929125732771786	1.6220522899601324	3.770545913955303	3.7334764990482774	3.6452227956025314	3.1754779509034137
TL1a_DTT_64	2.119417832587211	1.6978082127738399	3.6131004066910077	3.0721656057395266	3.347481465081438	3.4648144878150577	1.474245464283116	2.2132435276542552	2.886420756278706	0.0	1.0235911412948608	3.2378819033038098	1.0312189061683785	1.3407526384995867	3.477999143012727	3.6261116320430045	3.4877224203555928	3.3222078462515796	2.714139037883128
TL1a_DTT_65	1.3627225945037276	1.0173292126861782	2.7709076668113406	2.4798598480175507	2.868146431043792	2.869272445634946	0.6069660361744197	2.168515599473355	2.820870703309889	1.0235911412948608	0.0	2.4515636964137415	0.33369258508312766	0.33368274338055015	2.9031115385993522	2.6194724142316805	2.4732124964085966	2.309631508224337	1.7088461499388867
TL1a_DTT_246	1.1820274607077816	1.5418026608310968	0.445504414094839	0.7439676442744265	1.1726311958734605	1.2359120504055068	1.8707018167750582	2.1196297516437617	2.2430919259070605	3.2378819033038098	2.4515636964137415	0.0	2.2579434577033983	2.2952072765369262	0.9072072906764205	1.68091630134344	1.6814070519029045	1.6612723898399668	1.468541186385259
