,Vil1.01B.FP11,Lyz2.02B.FP222.S70,Itg.22.FP518.S21,Vil1.03B.FP35,Vil1.13B.FP153,Vil1.07B.FP82,Lyz2.07B.FP283.S81,Itg.20.FP508.S11,Vil1.10B.FP115,Vil1.10B.FP116,Vil1.04B.FP46,Vil1.14B.FP163,Lyz2.06B.FP271.S69,Vil1.02B.FP22,Lyz2.01B.FP210.S58,Vil1.05B.FP58,Lyz2.07B.FP282.S80,Itg.16.FP484.S87,Vil1.05B.FP60,Lyz2.01B.FP212.S60,Vil1.09B.FP105,Vil1.05B.FP59,Vil1.08B.FP92,Itg.20.FP507.S10,Vil1.04B.FP48,Lyz2.03B.FP234.S82,Vil1.04B.FP47,Itg.24.FP530.S33,Vil1.03B.FP36,Itg.02.FP412.S12,Lyz2.02B.FP224.S72,Lyz2.05B.FP259.S56,Itg.04.FP422.S22,Itg.20.FP506.S9,Vil1.09B.FP104,Itg.26.FP544.S48,Vil1.13B.FP152,Itg.10.FP460.S62,Vil1.14B.FP164,Itg.06.FP434.S35,Itg.18.FP496.S99,Itg.24.FP531.S34,Itg.02.FP410.S10,Itg.06.FP436.S37,Vil1.03B.FP34,Vil1.07B.FP83,Vil1.01B.FP12,Itg.26.FP543.S47,Vil1.10B.FP117,Itg.26.FP542.S46,Itg.16.FP482.S85,Itg.12.FP471.S73,Lyz2.08B.FP294.S92,Vil1.06B.FP72,Vil1.02B.FP24,Lyz2.05B.FP260.S57,Itg.04.FP423.S23,Itg.12.FP472.S74,Lyz2.04B.FP246.S43,Vil1.14B.FP165,Lyz2.06B.FP270.S68,Vil1.07B.FP84,Lyz2.04B.FP247.S44,Lyz2.01B.FP211.S59,Itg.08.FP448.S49,Vil1.13B.FP151,Vil1.01B.FP10,Itg.04.FP424.S24,Itg.08.FP446.S47,Vil1.06B.FP71,Lyz2.08B.FP295.S93,Lyz2.03B.FP235.S83,Lyz2.07B.FP284.S82,Itg.10.FP459.S61,Itg.12.FP470.S72,Itg.10.FP458.S60,Lyz2.08B.FP296.S95,Itg.16.FP483.S86,Lyz2.03B.FP236.S84,Lyz2.02B.FP223.S71,Itg.02.FP411.S11,Lyz2.05B.FP258.S55,Itg.06.FP435.S36,Vil1.02B.FP23,Itg.22.FP519.S22,Itg.22.FP520.S23,Vil1.08B.FP91,Vil1.06B.FP70,Vil1.08B.FP93,Itg.08.FP447.S48,Itg.18.FP494.S97,Vil1.09B.FP103,Lyz2.06B.FP272.S70,Itg.18.FP495.S98,SLCFP072,LYZFP308,LYZFP307,LYZFP331,SLCFP131,SLCFP078,SLCFP070,SLCFP023,SLCFP022,LYZFP355,LYZFP319,SLCFP005,SLCFP024,SLCFP053,LYZFP320,SLCFP095,SLCFP077,LYZFP356,LYZFP354,SLCFP112,LYZFP332,LYZFP306,SLCFP113,SLCFP071,SLCFP004,SLCFP094,SLCFP052,SLCFP076,LYZFP330,SLCFP054,SLCFP114,SLCFP006,LYZFP343,SLCFP132,LYZFP344,LYZFP342,SLCFP096,LYZFP318,SLCFP148,SLCFP166,SLCFP150,SLCFP167,SLCFP149
2f65298490e0fe48b880145471ec54eb,37053,148326,52896,67168,23606,7844,12033,30473,14170,7982,19005,13668,16745,27437,148961,54573,9283,13530,13040,25721,2933,92750,8306,39513,15827,116883,30017,76830,31564,45778,34760,4570,96293,16896,3976,26340,37535,49628,17724,67707,52431,104403,52894,29184,48271,17153,35027,39781,5011,66601,5478,44591,16947,7756,29531,7339,182154,25135,33528,13191,12826,7201,29139,122028,49744,28022,32941,49646,20557,12870,19399,117007,6423,96366,44662,74780,9060,13296,57532,112266,101621,3991,39977,35064,99543,44300,9032,12917,4514,42492,42539,3635,22329,69160,11247,46745,41651,7833,19484,24897,25395,4814,8908,22456,130442,64562,5461,21942,47724,94563,31027,13158,142579,7446,6571,84527,3131,34037,30305,27632,30456,71554,14578,6098,2926,41869,80548,9685,28369,31274,45568,25149,1746,50200,33890,32414,20333
c42634f8d1aad4956aa9638465e86565,9751,16363,3530,3888,67,39857,11167,408,26045,18292,47941,13864,2751,19763,11350,968,10233,31706,5409,3576,8565,8212,3899,1273,16630,1059,47282,1572,12320,97,3235,10133,2179,387,19952,7027,182,7135,14221,32325,13561,1599,33,6226,18618,27741,8413,11912,12980,10693,47825,39470,2992,13920,10262,9598,6373,38296,155,11413,3422,13535,67,10879,16494,53,10814,1365,24022,21272,3672,535,7240,14867,48769,15024,829,48431,601,14486,66,11905,10810,14943,6181,3779,4099,13315,2092,24151,35937,19606,5974,38145,710,1647,1688,57563,788,828,1415,16792,21314,86166,3829,1463,17544,1016,1696,3258,330,80203,44192,312,19436,2915,241,1889,919,714,1036,568,114243,895,1204,1768,108968,525,112992,76933,352,8578,79,18249,75266,26294,32806
5ae5ad642b9c2cc68c4fc59e4902ff63,8011,495,685,377,21,4020,6970,25477,59,1850,3775,733,1622,3012,76,102,5371,8381,338,35,3195,393,9253,27098,1415,2730,3869,33,985,1198,1676,188,4,12688,1918,459,29,230,223,6761,86,79,2013,1627,632,3792,5100,687,2939,707,9033,521,1622,2660,2558,122,7,1279,610,272,254,2254,444,99,72,1,5573,203,49,8885,943,1674,1939,103,231,91,1000,10861,1018,830,1797,279,6729,4191,1743,1540,3927,1551,7369,160,66,179,847,24,2861,124,3407,45,6975,44,4651,165,77,1,1203,684,173,8420,169,36,32,20,103,1062,16,4227,462,3425,535,516,3750,48,1214,3399,313,972,155,5961,460,31,3,748,6808,2431,1139,554,11060
f5fb42e8863737981eb6e04a3de22e29,4542,392,777,405,29,5424,766,4093,109,780,1916,1128,2573,1951,318,313,319,3277,914,187,717,1587,848,5553,2609,1312,3986,238,1554,1822,804,947,59,981,562,1878,81,1106,738,3240,422,436,1789,2003,524,3577,3537,963,1024,2317,3468,1404,1005,1289,1276,970,195,1242,223,990,567,1540,268,345,1063,17,3365,228,526,4312,1328,1808,415,721,812,462,1349,5299,921,474,3037,783,2142,2346,2045,1026,537,675,1180,995,1072,72,3355,1107,565,194,6288,1114,1941,1025,665,704,269,321,3307,387,609,1132,580,42,437,695,358,789,55,10969,300,709,119,58,765,618,5680,832,487,332,1330,548,1025,785,7,510,595,2416,725,4458,7916
04af8257d41718f9636b8bbc789b0fcf,727,130,64,70,5,1118,290,469,118,382,312,1224,574,443,40,55,68,591,183,31,525,104,778,598,214,256,603,33,106,367,172,3,10,178,360,136,15,245,262,379,11,19,72,51,116,569,346,245,234,283,501,358,417,149,3567,6,18,338,31,401,136,397,21,136,95,1,512,85,48,504,325,163,94,76,91,24,230,751,138,319,396,10,281,1288,54,131,766,170,551,161,9,351,595,20,7,172,1240,0,135,25,9,117,43,4,864,28,47,72,160,59,0,258,77,316,0,1421,139,13,26,157,27,10,122,76,146,73,60,90,47,13,0,293,222,77,327,118,57
a589fa026973c67d0f1c7b741d85b90c,2656,383,65,64,5685,7802,1164,7547,61,170,2138,3108,669,734,61,290,810,2244,734,28,2104,505,1118,9720,922,601,2256,67,201,316,701,216,2,2790,892,122,4602,656,1505,4862,94,53,487,514,89,1968,502,555,121,179,3050,753,2315,915,865,183,21,1138,109,2136,106,1441,83,30,193,1764,1233,290,184,4055,1598,152,227,213,297,79,938,3214,105,457,502,324,4034,1381,30,173,509,605,782,354,194,57,294,71,337,1339,5936,36,1070,87,443,130,66,4,2412,114,128,1232,347,135,32,343,124,1449,9,6841,683,496,72,322,827,148,356,602,458,101,45,847,231,49,0,965,3237,575,1523,43,5804
3bffd5a2b1cf48b46d1e51628c3551fc,277,38,69,16,0,236,129,272,32,62,270,40,118,236,15,16,29,176,62,8,63,72,27,311,216,37,423,3,83,100,80,106,3,56,40,64,0,82,21,298,14,14,135,127,33,257,115,32,105,66,117,83,72,63,207,43,21,63,10,37,46,114,12,17,71,0,206,11,42,167,75,56,42,70,76,50,81,112,50,45,161,66,180,283,166,47,47,27,53,57,17,12,134,16,13,95,363,0,138,54,8,32,22,209,507,10,26,158,147,0,20,307,94,51,0,724,9,18,0,0,79,49,0,86,27,0,262,48,186,169,0,85,20,159,27,231,85
6d5171bbc6ef97262119e6d152d82164,365,98,1304,284,0,0,0,49,0,0,917,0,0,899,2677,2237,0,59,39,32,0,231,0,371,26,135,203,721,31,31,0,0,104,12083,0,22,0,37,0,131,28,275,44,22,185,0,142,64,0,1458,661,48,0,83,21,0,84,28,1929,0,64,41,157,250,65,0,2416,23,1329,746,0,53,0,97,154,804,0,245,0,66,54,0,0,111,164,70,0,907,0,174,492,0,13,65,3,48,30,30,102,1,23,1,2,43,34,16,14,23,453,3,3,29,15120,6,22,57,1,34,7,1,19,4,493,4,1,2,136,7,34,97,1,28,1,1,1452,5,26
235c319ab46f87d377a28a34ba10bfa1,210,164,364,171,1718,17,4,266,849,733,1398,761,8,1013,45,47,46,399,411,175,458,410,184,90,1094,183,105,27,554,646,163,193,55,128,512,290,1327,181,503,10,97,13,6,296,334,176,1367,258,567,68,171,64,103,402,1170,271,15,223,12,519,30,709,17,87,285,1024,40,79,160,410,7,68,71,79,118,33,148,399,361,42,63,195,101,44,17,255,234,230,253,5,119,443,130,62,175,352,368,103,1228,74,34,305,37,182,288,528,465,199,144,38,0,213,49,146,19,437,73,318,6,95,110,12,729,422,285,449,110,515,439,38,16,149,521,40,88,812,4
89c209abd89a5232343a4c87c93cb4ea,222,39,49,1666,8,31,35,187,53,58,17,12,62,5,11,964,11,118,1450,6,31,814,11,219,13,40,35,241,382,90,37,12,142,41,27,481,0,219,0,606,31,1047,50,277,269,130,766,112,33,407,47,122,35,1774,93,47,2271,164,19,7,66,41,53,28,357,8,31,2476,94,134,68,39,37,461,114,116,63,64,58,52,124,14,550,29,602,241,17,253,0,181,5,20,37,44,19,87,734,2042,39,8,7,95,115,81,1551,97,55,0,289,11,4,102,986,15,697,521,10,10,26,0,16,37,261,0,0,106,4364,10,1140,122,0,60,7,457,23,162,101
