	IL17DTT28	IL17DTT52	IL17DTT132	IL17DTT90	IL17DTT143	IL17DTT142	IL17DTT144	IL17DTT29	IL17DTT202	IL17DTT203	IL17DTT130	IL17DTT53	IL17DTT89	IL17DTT220	IL17DTT222	IL17DTT221	IL17DTT131	IL17DTT88	IL17DTT120	IL17DTT119	IL17DTT30	IL17DTT118	IL17DTT106	TKODTT130	TKODTT142	TKODTT112	TKODTT155	TKODTT46	TKODTT126	TKODTT124	TKODTT107	TKODTT36	TKODTT16	TKODTT76	TKODTT34	TKODTT113	TKODTT24	TKODTT17	TKODTT77	TKODTT88	TKODTT47	TKODTT18	TKODTT156	TKODTT125	TKODTT35	TKODTT131	TKODTT70	TKODTT58	TKODTT60	TKODTT108	TKODTT90	TKODTT78	TKODTT143	TKODTT59	TKODTT23	TKODTT72	TKODTT154	TKODTT22	TKODTT94	TKODTT5	TKODTT89	TKODTT48	TKODTT106	TKODTT144	TKODTT6	TKODTT132	TKODTT71	TKODTT95	TKODTT4
IL17DTT28	0.0	2.0086125236598003	3.024012902084581	3.5922231425223385	0.947481366769883	0.5667055539333785	1.5229863515898074	0.6630705817220015	1.071154376476688	0.572152399310575	3.4702572346528497	1.4338879414544086	2.6477158585411558	2.477278572921524	2.798357903623642	2.7645505691577545	3.0285847317441874	2.005145819898763	3.309573538625652	3.299430525763446	1.5360799800359008	3.04023455555375	1.9002124061281	2.1454042877398996	3.3937851218764887	1.057846180610582	2.010719221297372	0.8470406606013066	1.8097582256574372	0.33553638379175593	0.5044271516757884	1.5480161757145054	2.9206194271552652	1.234868945354005	2.743969969723063	1.698508384504977	3.4830947712038065	3.3626491754979755	1.364770714488913	1.8814154301025359	0.9705077284497066	3.509736988606649	2.489995150777242	1.689330246287179	2.0186610641925746	1.5939097537498332	0.9129775538550307	2.98322882993213	3.339583953475708	2.874629431451076	1.230315298604079	1.8100990641344743	3.5454944508621278	3.1975895612783476	3.313948974100089	1.0508251052766782	1.7583707267242932	2.7538112445137815	2.0468065402195705	1.840718324147408	0.8882547880386702	2.6487507950775204	1.281849920191828	3.155301120795463	2.844431948111941	2.576248312814374	1.3361824896777816	2.046903926998654	2.7263197283432405
IL17DTT52	2.0086125236598003	0.0	1.4691408749136912	3.092754582190189	1.704286336581771	1.500884510204371	1.7540726081575655	1.756538154845327	1.926083018080864	1.7323804881005316	3.1456963030719884	1.318352546939129	1.6953513737436265	0.4823523391940009	1.4131961597397118	0.9877685160561497	1.2495396220430965	0.21761738141079584	1.758006555590207	1.4810928300611654	0.9731784783541131	1.0816687183473734	0.2630461153886034	1.939371558448312	1.46670897878191	1.1197776824881744	0.5857872725383051	1.6459284765364606	0.9408760169753415	1.7673411777523833	1.7191845673809307	1.1683211795482116	0.9315742095800982	1.0353832082448167	3.1577721105682794	1.9642163969634983	1.5198003332811378	2.2400723082580907	0.9263410426132666	2.5742859666545623	1.776712201311382	2.3137581612568243	1.574258490851778	1.0704677223227257	2.3050796025038234	1.1085663311555372	1.6359647167121565	1.1073372894168918	1.4436704483040559	2.9153308587582094	1.1232100497482054	0.402043233002209	1.670459598881273	1.2007040855122102	1.31800229314278	1.4827468679054443	0.7638958670409645	0.9789157596999694	1.365088067086644	0.6322990606841538	1.3086863074146515	2.7251081025073263	2.1806759211362636	2.271550683639224	1.8864746183244117	1.7586945045031301	1.9366511407074938	0.8798882533142688	0.7549362364092854
IL17DTT132	3.024012902084581	1.4691408749136912	0.0	2.0568534916786505	2.2966407453172155	2.6116628368643924	1.9329908970828302	2.499640540803129	2.4287727339499003	2.538289050580883	2.2198161883209107	1.6958327922729122	0.8294610652775496	1.318616203933607	0.4979679062447237	0.5461034875049947	0.43410914451106436	1.3096088923899238	0.3537400000474487	0.6849716392864765	1.6144406276420107	1.0178705783981832	1.5306669848860248	1.7110071738615913	0.9179537796668871	2.0752785876901148	1.9944177097894855	2.395506491801014	1.2752987093675243	2.898230209446446	2.571424814721317	1.542661812719905	1.134466216187471	2.4217642740201204	2.854486187564804	3.35328327354633	1.0587305638525955	1.1004231239185573	1.719577162825468	2.674359130836971	2.3990297624253403	1.0142822201397146	0.8698984758592035	1.435116405093709	2.2260516007826556	1.494294925526689	2.9535801049267163	0.8019716172859922	0.7600837782403418	2.3994259678671086	1.8217243164174899	1.3678184424348516	0.8125910041199326	1.211224608841088	1.5126043118160812	2.084701525789998	1.2908927309827771	1.9786623778802055	2.78300813129845	2.0736535841370967	2.23769963653515	2.2460817350133113	2.5860378918115834	1.1586039326468638	0.8906209062625302	1.0140306860155464	3.310667288268055	2.080719992518217	1.5416908238843592
IL17DTT90	3.5922231425223385	3.092754582190189	2.0568534916786505	0.0	2.707735953153264	3.4714220066119474	2.143539021546408	2.9354992996603646	2.573841795128987	3.036149690131744	0.29909793950708446	2.317917902336815	1.4313794608673178	3.188151167536567	1.8767357909658202	2.4933193990477966	2.4880142520944486	2.8803852431232158	2.069322328134303	2.7009655074815417	2.6920371020279488	3.0622806944860277	3.1103146486420363	1.5493233834623812	2.955828059800432	2.932782247759458	3.6546307432897023	2.8499587803425173	2.2741475389264565	3.650130637079738	3.105457750260418	2.341304372494395	3.097277996001619	3.6849702233044144	1.6370103656687698	4.6757544449678905	3.0743313939596875	1.2901198645670697	2.6605960870786176	2.137446153012294	2.700735546661453	1.2879116688581644	1.538153725377466	2.2629704351170132	1.7408950397596892	2.274000115098543	4.020725152667346	2.721637407758196	2.7817898713155476	1.115544624998103	2.599198848704784	2.808668733632549	2.774619439604785	3.2580588902921828	3.5600632610545206	2.581723569187508	2.505044373454419	3.8987907444805194	4.376759212934392	3.653729154845889	2.9791316048710303	1.1229932277962311	2.510614870046205	0.9021148424218619	1.2431308196914852	1.3344316628089905	4.489906168488093	3.7204237825385738	3.472961632005081
IL17DTT143	0.947481366769883	1.704286336581771	2.2966407453172155	2.707735953153264	0.0	0.8757158363000006	0.5827778868862106	0.3221427855600853	0.5687801978376996	0.38785339561895615	2.591996355250069	0.602819598361029	1.7955261649254446	2.1250864359135475	2.0914359004437646	2.171783817962075	2.3973805274387106	1.617181779931141	2.5489682409030023	2.6703414889529364	0.9200636389701993	2.5530682693173494	1.5779615628359147	1.3874513355170255	2.8375912515565713	0.8700995321578536	1.9386860139152386	0.6459155288623353	1.1866008990850676	1.0502534455375414	0.4648857116056275	0.7624201627436453	2.507239609557509	1.4447045699726009	2.109740926680111	2.2082997298696134	2.96334526182978	2.5868382327693578	0.9292337409887919	1.3618812588108187	0.62522027945012	2.69957561041552	1.646561321366455	1.063940115344604	1.32759227631269	0.9181900077009464	1.4728615155711846	2.466977503958289	2.7615705334546643	2.127525332905718	0.690932842301412	1.3618311265667433	2.9361945521401744	2.7587874770603102	2.943114209389476	0.3767359724103244	1.1330615594990414	2.6065832225208183	2.292877037717922	1.8139951111415322	0.7732097002253403	1.8389676372664656	0.8630631704837987	2.285673490817925	1.9984396834845675	1.7337936007121488	1.9396686152754754	1.9237837029049654	2.4492822604764775
IL17DTT142	0.5667055539333785	1.500884510204371	2.6116628368643924	3.4714220066119474	0.8757158363000006	0.0	1.3992007124832182	0.7105026288461997	1.1824583427759845	0.6031529429629382	3.390306563017455	1.1732992715481998	2.3535405538121177	1.9533693198307702	2.4431936708438586	2.309269829694578	2.566171252770216	1.5239880315621273	2.8905140476486793	2.812244670623536	1.0908042228365085	2.5241970765914625	1.3676545262788145	2.05241356249889	2.894725206367906	0.7761585090327919	1.4704108406945213	0.8772740685097756	1.4768744411496513	0.38582662856589844	0.538576445623913	1.2192569619008236	2.4280786527892366	0.7432024057537169	2.8816973652654627	1.3724964416604173	2.9865829910990382	3.100093552713816	1.03115632086096	2.0602869671936035	1.0487379222428936	3.220063587855571	2.194323829326585	1.4032955149001565	2.0663346644691276	1.3085417380982076	0.5979794746008456	2.528345679690195	2.8600119475324766	2.903008958871261	0.9462170550633007	1.3201494780418237	3.0681367183523145	2.678906167945355	2.7823207858405135	0.9194319276042817	1.3257600719900335	2.2131581688996915	1.5679468512886403	1.3031280029621721	0.6950398263574873	2.6556795374997257	1.46814088336999	2.9166556076036176	2.572350569029091	2.325285152950126	1.0794064190027945	1.4821200047530034	2.2017102405631452
IL17DTT144	1.5229863515898074	1.7540726081575655	1.9329908970828302	2.143539021546408	0.5827778868862106	1.3992007124832182	0.0	0.8676558186736898	0.7630606734144598	0.9535990726059616	2.034705082599911	0.43881594119518746	1.3075779769236218	2.1012415327411826	1.7308112034778682	1.937471826186949	2.123131030681524	1.6110712699423568	2.154536763931562	2.3978552078745805	0.93556965655907	2.399498964513865	1.64962976966844	0.9787434017563885	2.611064023350598	1.1485179890424533	2.124741196510978	0.9958052930466658	1.0213244970933413	1.6043163071959645	1.0286034647517943	0.5970084097724684	2.3940610655881356	1.8246714955033472	1.7693781824763457	2.6765438998794937	2.7535108107326662	2.120737236398872	1.0213219290067836	1.208306420899633	0.8947108916048827	2.2118851111941655	1.1757392678526606	0.9168349050843377	1.002528130493517	0.7722197073817508	1.98340222714318	2.266688663578509	2.512690807783867	1.6807870564495653	0.8087360617092301	1.367161513161843	2.657027563715226	2.6266595948669407	2.854771349367545	0.6108307739121126	1.032216354647304	2.692666113328349	2.628476851367977	2.0392097573636456	1.1241683528285595	1.3548368490389466	0.9507800694269208	1.7497012900461186	1.4979921489250487	1.2408830030718967	2.4468539530985622	2.108863009386469	2.4493315688869304
IL17DTT29	0.6630705817220015	1.756538154845327	2.499640540803129	2.9354992996603646	0.3221427855600853	0.7105026288461997	0.8676558186736898	0.0	0.5149747441670033	0.1143834074713712	2.816156425517383	0.8308594183369139	2.0313410879401697	2.2097973651279315	2.2621195038091835	2.3251136455415042	2.5731409831788348	1.6887681585416483	2.77392493624215	2.85919511297208	1.1064069300611261	2.691160726326765	1.650262304271409	1.5286570960668617	2.9968741482736436	0.7737710571042453	1.938846025746753	0.4494932398382615	1.3054408482144961	0.7843469976631143	0.188595994326035	0.9855923185916099	2.601791324367129	1.3353097965034604	2.2010514498026614	2.0798102322544976	3.104884604145257	2.7685849788930295	0.9532887651472566	1.382389653496544	0.4861137912836411	2.9060757875392387	1.877906313190299	1.168035085360094	1.4278297105942985	1.0479007309353359	1.2944648135932795	2.586398875026031	2.9201067490673496	2.269848017591269	0.7420962111243429	1.4626241419026844	3.10840573822514	2.878485095332511	3.0453426118450495	0.4420331927287594	1.2973058370816888	2.6403628259004757	2.218795547989472	1.7969076029925068	0.6192895335567912	2.018920399798362	0.804099123214391	2.516789635107328	2.222839629585014	1.9513115216614827	1.775305945673149	1.9712307294303901	2.5103466304876627
IL17DTT202	1.071154376476688	1.926083018080864	2.4287727339499003	2.573841795128987	0.5687801978376996	1.1824583427759845	0.7630606734144598	0.5149747441670033	0.0	0.6227480410709966	2.439178907148171	0.8483480836923873	1.8525993666399736	2.3637807880207813	2.117952017014553	2.3259233257116363	2.571666774962169	1.8083324561263017	2.709075609855516	2.891250897562371	1.328140121669354	2.7852541693186548	1.8705560099950442	1.140126064234205	3.039892383663598	0.9165444809929142	2.223939536203118	0.44020355049824594	1.243156943696542	1.1974952484943786	0.6772419662901659	1.047036634257677	2.6684723675654713	1.698973309771909	1.7095955199153856	2.5509318163212296	3.1403151531656524	2.491148682523326	1.0120029541239572	0.8791159242007617	0.244921010480881	2.6594609928845134	1.7109733030985814	1.0689823548408766	0.9480001184023682	0.977926301005533	1.7477488935224863	2.5770859531604993	2.929385095573663	1.8038064877515843	0.805593067271085	1.621249247733176	3.1058888890808833	2.974462257065317	3.1742957061709256	0.47528768187762754	1.401472883744941	2.8755257189794547	2.6051611236569254	2.101002986089264	0.7848960682397926	1.59370329396674	0.31370199773925944	2.248103794697119	1.997403753119999	1.7167398600708752	2.24365474713702	2.3198051419906975	2.6700296369484864
IL17DTT203	0.572152399310575	1.7323804881005316	2.538289050580883	3.036149690131744	0.38785339561895615	0.6031529429629382	0.9535990726059616	0.1143834074713712	0.6227480410709966	0.0	2.920798340235842	0.8851229980931831	2.0994333381800088	2.1890307421424735	2.3117533746178895	2.3435647963481387	2.593713118231712	1.6783942520002149	2.813405425221587	2.8737217498196768	1.1017101229193327	2.686836158597929	1.6194786941488695	1.6264563388771371	3.0042178707846534	0.7627294432023096	1.881834946147857	0.49472186378586125	1.3444419047764185	0.6825870400987673	0.08242004255312717	1.0236765028703902	2.5972801427522967	1.2528171176297396	2.3146861436409574	1.969595009813541	3.110693579391713	2.8431873949676967	0.9670621353520767	1.4922749020876425	0.5686263527729327	2.977883381730815	1.9443306463957262	1.2155005221842976	1.5390794419414475	1.0969316571663255	1.1848352331459828	2.6004034337286477	2.9342799544151736	2.3817444090640074	0.769848356041744	1.4514760266173627	3.126106541522747	2.8702600427139537	3.0274713818365755	0.5116190037050774	1.3095218765457004	2.5938559660650125	2.1299895435332217	1.7347605977093228	0.6067132273553442	2.130259684096225	0.9078315952869627	2.598914819725176	2.296759483353027	2.027879622657571	1.6629062777411803	1.9074866397092316	2.4832741343975036
