index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobia
Duodenum,1.0,10997.0,24273.0,8729.0,23540.0
Jejunum,0.0,5400.0,7306.0,4584.0,20022.0
Ileum,9.0,11609.0,12489.0,4921.0,14147.0
Distal_Colon,31.0,60840.0,9548.0,1645.0,12299.0
Cecum,0.0,42719.0,7608.0,1163.0,10008.0
Proximal_Colon,0.0,42245.0,7980.0,825.0,9054.0
