	TL1a_DTT_76_Repeat	TL1a_FP_64	TL1a_DTT_172_Re_extracted	TL1a_FP_76	TL1a_FP_142	TL1a_FP_172	TL1a_FP_100	TL1a_FP_208	TL1a_DTT_244_Repeat	TL1a_FP_244	TL1a_DTT_142_Repeat	TL1a_DTT_64	TL1a_DTT_208	TL1A_FP_640	TL1A_DTT_640	TL1A_FP_688
TL1a_DTT_76_Repeat	0.0	1.2806172728230738	2.191405686844769	0.7447178023155402	2.157687013980821	2.973564110339255	2.1344786933908018	2.5071780875151237	1.487897364899526	1.1806518230420324	1.8145375163046455	1.784319277737782	1.7090506558915475	0.4302491593248158	1.7742330411719727	0.9237205963021675
TL1a_FP_64	1.2806172728230738	0.0	1.2824567683422645	1.1519321308816028	0.940982771088884	2.2638601046191313	1.2200443292107317	2.873666848453009	1.6272353269459585	1.877168253531105	1.363537014730229	3.062615933487073	1.4649756503288498	1.0968748997686226	1.0461790714903128	0.504284628727902
TL1a_DTT_172_Re_extracted	2.191405686844769	1.2824567683422645	0.0	2.1236776472164514	0.7379451842012413	1.3758905564797008	2.190075119100951	2.458825815908862	1.4575948737468558	2.0921666049761924	1.3758150182708464	3.843989649249065	0.9818264907038777	2.2087630648910843	2.137381891444872	1.7352656223044356
TL1a_FP_76	0.7447178023155402	1.1519321308816028	2.1236776472164514	0.0	1.9924647904018784	3.1906866010465524	1.737635986145003	2.9322550678542156	1.8346534831746186	1.4353321053932633	2.1814943650341383	2.1813722686702963	1.8815205836567932	0.7096277052023298	1.3124686100770562	0.7560554032651402
TL1a_FP_142	2.157687013980821	0.940982771088884	0.7379451842012413	1.9924647904018784	0.0	1.7592339419880416	1.5365192782644954	3.053924082089541	1.9124972508587064	2.427394467065273	1.4730806677697252	3.925371271157312	1.5297708630444522	2.030371059902088	1.5859749123025375	1.4367824294939335
TL1a_FP_172	2.973564110339255	2.2638601046191313	1.3758905564797008	3.1906866010465524	1.7592339419880416	0.0	3.1820691838359942	2.4135491274983942	1.8895835863064827	2.833776431451695	1.321474647520051	4.469341174541079	1.610721799599522	3.0182467251157563	3.2113072455598126	2.695292416530148
TL1a_FP_100	2.1344786933908018	1.2200443292107317	2.190075119100951	1.737635986145003	1.5365192782644954	3.1820691838359942	0.0	4.089665932411717	2.8428714625332594	2.9464725547165647	2.408960952125262	3.7510203327891922	2.6479255634414396	1.7785035034719405	0.4481207628652659	1.2443454911599887
TL1a_FP_208	2.5071780875151237	2.873666848453009	2.458825815908862	2.9322550678542156	3.053924082089541	2.4135491274983942	4.089665932411717	0.0	1.246877752430283	1.6190927916163778	2.2076765919626076	3.071559306794545	1.5454559939315418	2.8617343374396214	3.842161258886763	2.9743175192269558
TL1a_DTT_244_Repeat	1.487897364899526	1.6272353269459585	1.4575948737468558	1.8346534831746186	1.9124972508587064	1.8895835863064827	2.8428714625332594	1.246877752430283	0.0	0.969016634568742	1.2605261615990926	2.7033162905304904	0.5070364397358833	1.7632294290891952	2.6045196797238797	1.7540708734593295
TL1a_FP_244	1.1806518230420324	1.877168253531105	2.0921666049761924	1.4353321053932633	2.427394467065273	2.833776431451695	2.9464725547165647	1.6190927916163778	0.969016634568742	0.0	2.0598446550301457	1.9833479445218047	1.2675994228555376	1.5774625317542275	2.591348354492879	1.7675755618749442
TL1a_DTT_142_Repeat	1.8145375163046455	1.363537014730229	1.3758150182708464	2.1814943650341383	1.4730806677697252	1.321474647520051	2.408960952125262	2.2076765919626076	1.2605261615990926	2.0598446550301457	0.0	3.3349652686287197	1.2274984882467617	1.8214994726870744	2.348062445905791	1.6478821032105195
TL1a_DTT_64	1.784319277737782	3.062615933487073	3.843989649249065	2.1813722686702963	3.925371271157312	4.469341174541079	3.7510203327891922	3.071559306794545	2.7033162905304904	1.9833479445218047	3.3349652686287197	0.0	3.106801684640753	2.0507682668695275	3.3505878553904727	2.6622315224177076
TL1a_DTT_208	1.7090506558915475	1.4649756503288498	0.9818264907038777	1.8815205836567932	1.5297708630444522	1.610721799599522	2.6479255634414396	1.5454559939315418	0.5070364397358833	1.2675994228555376	1.2274984882467617	3.106801684640753	0.0	1.9063924312958211	2.452908982775624	1.7155250132431077
TL1A_FP_640	0.4302491593248158	1.0968748997686226	2.2087630648910843	0.7096277052023298	2.030371059902088	3.0182467251157563	1.7785035034719405	2.8617343374396214	1.7632294290891952	1.5774625317542275	1.8214994726870744	2.0507682668695275	1.9063924312958211	0.0	1.4339422288391603	0.6549095593037223
TL1A_DTT_640	1.7742330411719727	1.0461790714903128	2.137381891444872	1.3124686100770562	1.5859749123025375	3.2113072455598126	0.4481207628652659	3.842161258886763	2.6045196797238797	2.591348354492879	2.348062445905791	3.3505878553904727	2.452908982775624	1.4339422288391603	0.0	0.9329975926893133
TL1A_FP_688	0.9237205963021675	0.504284628727902	1.7352656223044356	0.7560554032651402	1.4367824294939335	2.695292416530148	1.2443454911599887	2.9743175192269558	1.7540708734593295	1.7675755618749442	1.6478821032105195	2.6622315224177076	1.7155250132431077	0.6549095593037223	0.9329975926893133	0.0
