feature	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Firmicutes	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota
Mouse5A.FP28	21438	11334	1686	5	1178	65	21	0
Mouse3A.FP16	18541	9963	291	3	3525	81	33	8
Mouse5A.FP26	26447	8946	484	5	2386	303	0	133
Mouse7A.FP40	18547	15907	779	5	1175	367	69	130
Mouse1A.FP05	21035	19204	117	6	728	93	7	0
Mouse6A.FP32	33098	10721	40	10	619	318	33	126
Mouse3A.FP17	7164	17306	16	9	5144	58	2921	43
Mouse7A.FP38	21076	10912	208	8	1052	271	19	226
Mouse1A.FP02	16895	21889	64	5	244	371	2	1583
Mouse2A.FP11	34882	7357	956	6	2863	1992	68	16
Mouse3A.FP18	4884	16191	34	25	7142	85	5208	58
Mouse6A.FP31	24830	7633	23	3	587	399	17	687
Mouse4A.FP22	3649	35278	60	4	294	35	9	7
Mouse1A.FP03	25647	8095	627	1054	1519	489	0	358
Mouse4A.FP23	4510	36842	62	3	171	40	33	0
Mouse1A.FP01	12341	16570	15	9	80	405	1	6792
Mouse6A.FP35	26991	6739	401	14	4414	640	765	45
Mouse2A.FP07	35541	7926	136	6	993	119	243	127
Mouse3A.FP13	27381	10017	138	1	468	189	19	57
Mouse1A.FP06	15420	17213	118	6	1407	88	0	0
Mouse1A.FP04	20385	21261	207	5	925	58	164	0
Mouse2A.FP12	32481	3149	307	42	2536	973	104	53
Mouse2A.FP10	27911	4110	607	10	3271	1272	17	24
Mouse7A.FP42	20507	5658	467	9	3699	1724	204	20
Mouse7A.FP41	20093	10436	530	8	845	843	67	34
Mouse3A.FP15	36539	11470	459	23	627	381	11	112
Mouse4A.FP20	18672	15816	132	5	452	218	11	1029
Mouse5A.FP29	24632	25534	1111	6	3104	348	3	518
Mouse6A.FP34	21810	4384	48	9	2733	296	34	15
Mouse6A.FP36	31656	5068	451	6	2104	393	108	6
Mouse2A.FP09	20221	14519	1072	8	1675	1220	21	449
Mouse5A.FP25	30835	2160	770	5	906	17	0	95
Mouse5A.FP30	35417	6558	773	6	3376	197	110	17
Mouse7A.FP39	19052	16289	175	7	1581	692	0	666
Mouse4A.FP24	8799	26138	193	1	533	306	12	0
Mouse3A.FP14	31265	8559	289	3	431	197	11	56
Mouse4A.FP21	20336	16388	173	2	510	395	14	911
Mouse2A.FP08	27054	10993	715	12	1625	429	125	138
Mouse7A.FP37	26627	5638	664	10	1198	64	9	67
Mouse6A.FP33	27795	10139	106	5	1242	1409	10	358
Mouse4A.FP19	20193	17170	256	2	679	381	5	3798
Mouse5A.FP27	13804	15795	490	8	1490	45	9	18
Mouse10A.FP110	26035	8342	0	0	300	41	62	23
Mouse10A.FP109	55326	6779	13	3	706	28	107	1928
Mouse10A.FP111	36946	15949	38	0	348	213	29	149
Mouse9A.FP97	51009	15422	255	8	491	572	66	951
Mouse9A.FP98	40785	10796	250	3	527	225	51	163
Mouse8A.FP87	27968	20264	442	981	808	971	10	642
Mouse8A.FP85	14766	17991	108	1296	516	448	8	2943
Mouse10A.FP113	62599	43894	1282	4	1711	4167	714	1
Mouse9A.FP102	63969	5942	1956	1905	5961	10242	4668	8
Mouse9A.FP101	90261	4161	3137	2135	4198	5369	101	12
Mouse10A.FP112	40027	36074	263	0	2532	1032	30	572
Mouse8A.FP90	71577	15663	12281	54	18174	70	9	2
Mouse10A.FP114	38800	25572	138	25	5536	650	2346	159
Mouse8A.FP86	32166	20829	83	191	990	342	9	958
Mouse9A.FP99	31347	38068	316	558	330	599	57	1022
Mouse8A.FP89	56452	11078	2374	9	17655	309	2	135
Mouse9A.FP100	94771	1589	1234	9	5416	6759	47	6
Mouse8A.FP88	39261	7333	2895	21	11179	203	65	7
