feature	k__Bacteria.p__Firmicutes	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Verrucomicrobiota
IL17.DTT.115	8492	16708	3	47	0	4	311
IL17.DTT.116	27271	19548	177	322	0	4	151
IL17.DTT.117	37248	24786	254	424	0	3	464
IL17.DTT.118	23047	33872	1500	0	21	18	252
IL17.DTT.119	7954	73728	128	0	0	10	618
IL17.DTT.120	6831	48371	462	0	0	45	530
IL17.DTT.127	6684	7605	33	231	0	58	1441
IL17.DTT.128	36116	14319	266	212	0	6	13
IL17.DTT.129	37882	50807	463	0	0	5	7
IL17.DTT.130	39623	27899	469	300	2	12	43
IL17.DTT.131	7367	55192	74	0	0	0	2
IL17.DTT.132	13711	57112	344	0	13	7	0
IL17.DTT.143	24687	160	0	0	432	0	2
IL17.DTT.144	37320	6130	0	0	0	0	0
IL17.DTT.139	6773	56254	91	232	0	0	3
IL17.DTT.140	10178	66628	137	557	0	0	6
IL17.DTT.141	33477	40481	368	917	0	11	0
IL17.DTT.142	111953	295	9	2	0	0	6
IL17.DTT.188	22170	19352	576	142	0	2	0
IL17.DTT.189	29036	24764	549	168	0	3	17
IL17.DTT.201	32094	18629	195	348	0	6	10
IL17.DTT.202	106309	421	3	0	4	0	4
IL17.DTT.203	51578	1799	39	0	92	0	3
IL17.DTT.199	18482	13334	149	180	0	7	8
IL17.DTT.200	27160	19507	203	194	0	6	8
IL17.DTT.217	1219	15812	0	10	1602	0	13022
IL17.DTT.218	23155	48046	140	152	44	2	271
IL17.DTT.219	20012	26181	85	172	0	0	29
IL17.DTT.220	45535	29973	302	0	256	0	730
IL17.DTT.221	4975	29176	83	0	689	0	4721
IL17.DTT.222	7775	24389	237	0	194	19	741
IL17.DTT.25	3874	34308	0	100	27	0	186
IL17.DTT.26	23502	27792	265	497	0	11	290
IL17.DTT.27	30643	27973	168	663	0	11	148
IL17.DTT.28	140271	65	0	0	0	0	5
IL17.DTT.29	79434	222	0	0	34	0	2
IL17.DTT.30	8163	651	48	0	119	0	0
IL17.DTT.105	17264	29634	591	241	0	2	299
IL17.DTT.106	14687	11182	175	0	0	0	19
