NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K03111	219	33.86332702636719	-0.006935639	Yes	
row_1	K03471	299	32.47177505493164	0.030516801	Yes	
row_2	K02314	334	31.908954620361328	0.08223684	Yes	
row_3	K02316	374	31.349523544311523	0.13237159	Yes	
row_4	K02343	388	31.16419219970703	0.19074984	Yes	
row_5	K02337	414	31.114099502563477	0.24532339	Yes	
row_6	K02338	415	31.114099502563477	0.3078234	Yes	
row_7	K02340	416	31.114099502563477	0.3703234	Yes	
row_8	K02335	512	31.087982177734375	0.40270293	Yes	
row_9	K03470	515	31.083667755126953	0.4645688	Yes	
row_10	K02341	543	30.993751525878906	0.51850826	Yes	
row_11	K01972	633	29.82925796508789	0.5527901	Yes	
row_12	K02342	725	28.402339935302734	0.5864379	Yes	
row_13	K03763	813	26.875001907348633	0.6213538	Yes	
row_14	K03469	987	24.41254997253418	0.62900287	Yes	
row_15	K02339	2619	5.623528957366943	0.17438172	No	
