#OTU ID,Lyz202BFP222S70,Itg22FP518S21,Vil106BDTT70,Vil107BFP82,Vil110BFP115,Itg24DTT530S25,Vil104BFP46,Vil114BFP163,Lyz204BDTT246S87,Vil102BFP22,Lyz201BFP210S58,Lyz206BDTT270S112,Itg16DTT482S77,Vil105BFP58,Vil104BDTT46,Lyz207BFP282S80,Lyz203BFP234S82,Vil109BDTT106,Itg24FP530S33,Itg06DTT434S27,Itg04FP422S22,Itg22DTT518S13,Itg20FP506S9,Vil103BDTT34,Itg06FP434S35,Lyz201BDTT210S50,Vil105BDTT58,Itg02FP410S10,Itg12DTT470S64,Itg02DTT410S2,Vil103BFP34,Itg08DTT446S39,Itg26FP542S46,Vil101BDTT10,Itg26DTT542S38,Itg16FP482S85,Vil1010BDTT118,Lyz205BDTT258S99,Lyz208BFP294S92,Itg04DTT422S14,Lyz204BFP246S43,Lyz206BFP270S68,Lyz207BDTT282S124,Vil113BFP151,Vil101BFP10,Itg08FP446S47,Lyz202BDTT222S62,Vil102BDTT22,Itg10DTT458S52,Itg12FP470S72,Itg10FP458S60,Vil108BDTT94,Lyz205BFP258S55,Itg20DTT506S1,Lyz203BDTT234S74,Vil107BDTT82,Vil108BFP91,Vil1013BDTT154,Vil106BFP70,Itg18DTT494S89,Itg18FP494S97,Lyz208BDTT294S136,Vil109BFP103,LYZdtt342,SLCFP070,SLCdtt022,LYZdtt366,SLCdtt070,LYZdtt354,SLCFP022,LYZdtt330,LYZFP354,SLCFP112,LYZFP306,LYZdtt306,SLCFP004,SLCdtt004,SLCdtt112,SLCFP094,SLCdtt076,SLCFP052,SLCFP076,LYZFP330,LYZdtt318,SLCdtt052,LYZFP342,SLCdtt130,LYZFP318,SLCFP148,SLCFP166,SLCdtt148,SLCdtt166
1CMET2-PWY,23868.9113,16520.3493,2310.1065,43927.8541,38365.8743,12644.0413,38426.9973,65701.1939,8687.7836,37530.5802,15590.1386,13432.5696,10957.4282,16500.2921,11121.9659,13143.4847,26273.9452,9201.9664,6861.582,22525.6324,3990.6361,12623.4584,37628.2955,23849.1196,51328.3327,15983.5435,5477.6974,15839.55,31239.0801,28553.5147,24327.3223,8258.673,30730.748,6654.7838,14596.6705,38412.4912,9713.7786,17829.7768,18482.6858,22088.679,7160.5641,7449.5753,28381.2292,46713.5225,30939.0119,20513.8614,23240.455,7111.8918,10309.8382,36443.3488,17302.9045,5565.0374,9165.5729,10971.0296,16584.8394,3094.5072,39881.0203,15685.3278,26839.1389,24280.8348,28648.9857,5448.9383,26723.7411,16790.3382,16916.6555,30854.7806,26320.1905,4174.5166,7156.2194,12027.6689,18392.4831,43921.2499,10497.4974,81725.0512,8263.4342,3670.7707,3532.7787,1050.296,10347.4481,21991.5893,16758.0519,7013.9294,79595.0141,32707.2646,19708.08,36705.9601,4076.7165,52070.5629,31057.1571,30994.0855,56202.202,35045.761
ALL-CHORISMATE-PWY,19.0691,0,2317.1637,35.6106,51.3247,1204.3671,81.1305,42.4761,63.4436,75.2211,24.9033,791.4361,92.596,774.5279,786.3413,0,14.2245,6210.0279,13.242,666.7894,13.3167,270.9352,52.8684,446.7695,21.1148,176.5363,4934.7445,0,53.8012,237.7984,298.89,63.8407,18.0034,312.323,376.8491,38.1305,6362.0179,59.5647,26.2945,152.7276,33.3129,28.6256,397.2847,296.7913,27.1631,0,122.3563,342.3306,94.2702,0,0,5673.9154,0,653.5829,271.226,3121.1673,19.3977,3634.8644,60.5569,332.5305,13.5923,215.1051,0,611.9542,0,269.0044,287.521,0,169.535,0,299.4757,501.6633,0,602.9105,280.1575,88.1514,109.8989,0,0,139.6977,80.3288,0,805.432,643.6588,24.4078,170.9702,42.9635,465.0244,2492.9536,25.0813,4.3201,3.8779
ANAEROFRUCAT-PWY,28695.0748,52993.421,2825.9563,54128.5591,53201.5815,20067.4718,42714.6886,77872.7542,12014.7516,51636.0309,14446.2298,43559.2784,14488.441,33335.9134,13923.5236,15404.6377,74987.5742,13593.6724,90175.3546,32069.8798,20279.6259,18365.0519,47456.9147,24624.9013,71140.2182,22362.6218,6869.308,62546.1216,35522.6748,81076.3552,57896.5872,12097.7956,76423.2183,10034.4171,36343.5554,44729.4022,14843.8334,25271.7358,25466.0166,35092.377,27998.0029,22749.0159,36329.7052,57524.3822,47466.4448,24231.9985,38659.722,12363.7438,28146.904,40411.1071,53049.8168,6763.4794,12549.5521,15774.6926,25820.8017,3748.3345,43537.0171,23287.1559,31484.065,30370.4771,40813.607,7388.0381,33521.283,26316.1481,25215.2192,42717.7608,31376.6635,6717.8502,13364.3247,12659.1012,25024.0335,32459.5235,16020.1628,148578.5493,19246.6641,12320.8215,8218.2749,1954.9412,14401.2325,30774.22,30733.6393,22307.9559,108038.4486,62432.7375,28467.5715,22275.6005,5597.5551,65726.4518,29110.0374,78520.8829,56178.599,137411.5573
ANAGLYCOLYSIS-PWY,168507.4126,79086.3259,2869.9871,59430.5719,57159.4936,24849.4418,54794.2235,88375.0373,17810.5389,62230.2719,164870.4815,46202.4946,16058.769,68647.6832,17148.1104,20195.1136,141710.9471,13685.817,122561.6984,53337.1582,108466.1594,23830.354,53644.5412,32806.6113,106549.6476,40278.6136,7326.333,79633.3931,64266.554,96970.0699,73382.3068,17556.1201,105936.3295,17770.8027,46429.0963,50765.1608,14931.7145,25069.915,31756.2876,89475.4261,42423.6484,25764.4084,41883.6712,70897.0099,56572.9781,37758.7174,100763.7974,15272.0732,66637.4791,76553.8469,96982.7718,6822.9199,13085.8811,28439.6129,50356.2143,3794.9321,51187.0157,28596.5525,39012.1574,34468.4413,64774.2254,8431.9581,36873.6773,45753.4437,39563.8375,48491.2443,36156.3494,10444.1147,46769.9107,20894.4889,36839.2531,175715.3082,17920.4005,148332.7545,40771.5932,37261.7244,18656.6572,3467.4117,36426.5896,68139.0196,43414.9861,81098.4296,118476.973,144371.3246,38802.7497,58950.0493,6785.748,74849.231,40712.5057,93086.6173,73827.3448,320652.1879
ARG+POLYAMINE-SYN,379.5528,1021.4844,2290.3854,2091.4643,5616.7359,3341.2893,1865.6049,7046.7168,2768.5497,2322.3356,1142.02,1535.2193,4033.684,1879.7806,2935.873,314.5486,743.858,6490.4558,655.6289,1299.8702,86.3452,4038.6851,8463.612,2270.8158,1782.3235,4093.7247,5048.4274,800.2401,1280.7478,764.4199,1170.0161,2219.4796,1620.9802,1787.4499,3943.2789,1745.7995,6758.0811,825.0065,1705.4353,2000.2118,909.0378,255.2702,1956.9912,1424.2199,2212.7234,950.7813,602.7236,2234.6165,2270.3234,435.7695,612.4623,5579.0546,277.1973,3546.7164,898.4177,3077.3602,5352.3478,3791.9238,3100.3429,3385.3675,668.0939,683.4863,3791.2832,4400.6205,342.8739,3119.6152,7429.2713,886.1564,876.6975,289.9176,6203.5117,3418.2164,651.2146,5669.2224,2561.2992,98.7792,492.5315,291.2177,928.046,1414.4151,574.7398,229.911,1192.0099,2910.6358,766.6034,732.7996,925.6269,5503.3353,6801.6373,663.4688,8770.1338,425.4313
ARGDEG-PWY,5.2392,0,2309.9153,5.2398,6.9956,623.7555,8.7432,4.6652,24.8741,6.9965,6.3929,408.3712,34.5687,194.3566,359.4409,0,4.6641,5070.3728,3.4934,317.938,3.4834,119.8934,11.6554,128.5405,4.6637,64.6456,4829.7439,0,12.8132,103.6016,54.3763,23.7264,4.6648,154.3021,136.0896,3.4982,5190.9543,27.7059,4.077,42.3616,10.4349,9.8754,172.9566,94.5849,4.6631,0,49.9143,172.8099,31.7472,0,0,5672.4647,0,331.4086,115.4762,3104.7383,2.9147,2141.5179,7.5638,145.5848,3.4976,106.8975,0,266.4262,0,64.4235,118.5854,0,82.4441,0,128.1782,178.578,0,227.206,134.8612,35.4007,49.1295,0,0,45.7739,23.8069,0,291.9388,282.6224,8.1543,80.3276,20.6665,169.5327,947.7669,2.9157,0.5832,0.5833
ARGORNPROST-PWY,898.3294,1665.9604,0,2081.0633,6013.0177,2289.6528,4413.5141,6942.0707,1506.0281,6056.4268,395.3728,1159.3108,680.4094,3789.0573,1344.8892,293.3141,6904.4689,557.6365,514.6627,1663.2775,76.8892,1891.0558,8268.756,1627.3442,8157.7354,644.8082,26.9866,5396.8686,1627.4912,1957.1325,4905.3475,479.772,2853.6457,287.5155,1446.5429,2173.598,881.5184,2154.807,930.9781,2212.0991,1708.6372,1012.0193,1749.2133,221.0226,1276.745,989.1942,347.6722,980.3458,589.5694,2449.5329,840.229,14.3379,1648.4687,1667.8694,2351.7532,5.2765,3886.654,467.4932,2626.2941,4203.1853,854.2582,713.9234,1752.3025,988.4462,4767.1951,5018.4139,585.6256,708.754,125.7607,751.3707,580.7835,945.4103,2307.1432,24456.1873,641.1732,1258.7009,865.321,174.6397,2237.3567,1352.123,5584.8817,695.9337,1819.7049,2569.2477,2327.0001,214.6068,722.6951,2884.4669,3865.8268,7562.2032,6483.8042,2977.1442
ARGSYN-PWY,15131.4402,15084.8427,2104.6617,45692.3879,29968.7064,9269.131,33277.2944,55926.2178,6071.8795,29371.8605,8972.9099,11504.8523,8278.961,13866.2661,9148.7427,11093.514,21220.7066,7961.905,8036.9835,15278.2547,4476.2458,8411.5179,31485.9336,28127.4321,43067.5764,9331.9496,4856.1855,14982.6769,20169.4007,22811.6132,26620.0233,5631.5938,24661.9185,3931.3763,11973.926,36564.5156,8415.9419,17204.1742,14792.2649,14773.5252,6696.0996,6801.1234,20461.4028,19966.0506,23932.4806,14707.7469,7476.933,5937.4551,7459.4301,26254.3577,15776.4134,5114.7201,9017.3899,6708.5305,10541.2734,2838.5402,35077.7509,8888.9433,25391.2348,20399.6323,18953.45,4412.3525,20283.2773,12592.8544,12913.2272,26619.2113,16689.5047,3260.2693,3237.0374,9885.6535,11825.0328,28837.2441,7439.3552,75493.6554,5844.1578,3208.1592,3153.1778,576.311,6810.4081,12188.5064,12697.5468,4790.0437,66126.876,25846.4415,12121.4794,31397.9441,3083.2266,42521.6634,30444.1574,30583.5568,51282.4862,30591.2133
ARGSYNBSUB-PWY,13590.5497,11648.8073,2160.6756,47812.1661,26565.4678,8760.8843,33797.7279,55823.8604,5678.5225,28344.4174,8148.6566,9135.1558,8436.6215,12032.7127,9239.7146,11001.9757,17783.994,7858.0684,6044.9605,14274.2748,3136.6746,7914.0834,31651.6538,30220.6866,42227.3343,8828.3395,4920.8631,13351.6169,18828.1149,17821.508,23049.8259,5220.1848,21641.7491,3802.8377,10347.0096,37894.9214,8312.2949,16732.6479,14753.6486,12694.8261,5603.3462,6175.2223,19342.7348,12800.6831,24223.9835,13854.915,5791.5627,5561.275,5573.5266,25458.7756,13282.5487,5260.5459,8846.3369,6391.7624,8869.7551,2915.7833,34875.106,7142.1996,25417.7778,21532.1514,18941.1431,4224.9203,18399.0301,11480.4812,12542.3255,26529.0978,13462.8148,3032.5934,2522.2185,9876.0977,11523.3495,26140.9536,7679.7164,73610.6299,4861.4771,2897.1392,2948.8952,559.1723,6359.3185,11029.3169,11895.4936,4529.4119,64888.1568,20933.1305,8095.6966,31012.6496,3019.5202,40412.691,31110.9597,27981.9058,51328.5035,22503.3042
ARO-PWY,8858.1966,17321.8401,2397.6618,46295.5707,36324.5053,11282.1868,28186.9897,67557.4127,7690.5656,27068.4086,5262.5991,25048.2913,10954.1954,9455.4048,8731.4101,8964.7403,10132.1074,8232.7582,34025.3895,11035.2498,3764.6621,12262.4311,32494.7461,28827.4726,28401.0511,10894.614,5018.7182,18185.2072,16292.6762,31125.3804,16660.6393,6617.9199,26991.8387,4126.0681,10938.9316,38435.1909,8416.2965,14752.0322,11722.343,9701.4215,3435.2394,11205.8477,20444.0518,19311.9974,17983.1643,10899.2325,7721.1642,6629.762,8406.9977,18958.914,8125.513,5881.2209,7238.7153,16115.6082,7213.6218,3260.2758,37636.5821,8282.5876,23057.383,19451.8125,11392.6762,4493.6896,28416.8752,12895.3453,9594.4067,24681.7006,22491.9803,3025.2024,25033.8163,8400.5479,30913.0397,18131.1007,8430.6178,46323.579,21209.5302,1815.5308,2044.6726,1385.8598,4289.1658,9196.6395,7771.2092,2651.3441,92981.9733,12449.2652,8106.454,12011.3704,3010.038,43793.3782,35375.096,36239.1087,61553.8087,12507.3031
