#OTU ID,Vil103BDTT33,Vil105BDTT57,Lyz207BDTT281S123,Vil1010BDTT117,Vil105BFP57,Lyz202BDTT221S61,Itg02FP409S9,Lyz204BFP245S42,Lyz206BDTT269S111,Vil109BDTT105,Itg20DTT505S100,Itg24DTT529S24,Vil109BFP108,Itg26DTT541S37,Itg02DTT409S1,Itg06DTT433S26,Vil110BFP120,Vil108BFP96,Vil101BFP09,Vil102BDTT21,Itg22DTT517S12,Vil106BFP69,Itg16FP481S84,Vil103BFP33,Itg08FP445S46,Itg24FP529S32,Lyz206BFP269S67,Vil104BDTT45,Lyz203BDTT233S73,Lyz207BFP281S79,Vil107BDTT81,Vil104BFP45,Itg12FP469S71,Itg06FP433S34,Lyz205BFP257S54,Itg18DTT493S88,Vil1013BDTT153,Vil102BFP21,Itg04DTT421S13,Vil1014BDTT165,Vil106BDTT69,Itg10DTT457S51,Vil113BFP156,Lyz205BDTT257S98,Vil108BDTT93,Itg20FP505S8,Itg22FP517S20,Lyz203BFP233S81,Lyz202BFP221S69,Vil107BFP81,Itg16DTT481S76,Itg12DTT469S63,Vil114BFP168,Lyz204BDTT245S86,Itg18FP493S96,Lyz208BDTT293S135,Itg10FP457S59,Lyz201BFP209S57,Lyz201BDTT209S49,Vil101BDTT09,Itg04FP421S21,Itg26FP541S45,Itg08DTT445S38,Lyz208BFP293S91,SLCFP021,SLCFP069,SLCFP111,SLCdtt075,SLCFP051,LYZFP317,SLCFP093,SLCdtt021,SLCdtt111,LYZdtt317,LYZdtt305,LYZdtt329,SLCFP075,LYZdtt341,SLCdtt051,LYZFP305,SLCFP129,LYZdtt365,SLCFP003,SLCdtt069,SLCdtt129,LYZdtt353,SLCdtt093,LYZFP353,SLCdtt003,LYZFP329,LYZFP341,SLCFP165,SLCdtt165,SLCFP147,SLCdtt147
1CMET2-PWY,10425.5518,4306.6405,11866.2944,15416.4863,42490.6601,14673.9082,19030.439,15315.0245,11219.2938,10429.7595,20880.8778,25225.0324,52443.1742,26980.1194,23025.7873,26171.0473,33994.5873,73712.0858,35048.2227,12690.0337,16703.7879,38720.2088,36053.7815,43048.8281,27377.6467,28729.1393,17521.2544,24933.1447,10184.9432,14558.7644,5357.9216,30524.6529,37177.7835,26149.8909,15503.8101,29233.8611,13010.8534,36528.9532,37392.0749,18268.6403,9162.2268,11345.4597,6919.1264,26334.8125,8481.656,38268.0369,34991.1311,39776.0879,34747.0111,31892.9951,29468.1921,19917.8156,10908.0829,7107.9131,28869.3908,30515.7353,32767.2336,28209.5807,21696.2926,8839.329,19382.1445,27145.5866,15069.7713,20789.6412,13419.52,7991.8725,13656.7149,13009.0673,17547.7734,51358.5411,18982.9352,8000.9657,19519.6195,260079.1409,44033.1455,89673.3491,9988.1617,799163.096,16410.3448,45171.7064,8692.4359,113017.6463,19580.3151,22529.402,13104.2184,87245.486,31881.3182,26419.0682,25401.1539,65177.7879,39962.1423,20340.6705,55244.2546,20218.2114,42338.5759
ALL-CHORISMATE-PWY,516.2262,4252.8785,152.0199,2689.5517,53.2197,46.7414,0,10.5682,191.5526,5679.9264,43.5542,0,54.1704,52.086,362.5483,89.0212,41.0863,310.8878,27.8997,346.7117,41.5705,36.5781,0,70.7689,20.193,0,15.4238,696.3883,43.3496,11.0739,4887.4143,42.2625,45.0097,20.7184,0,78.4887,3297.7507,49.5083,0,1394.6405,8400.5821,0,101.9369,78.2723,6096.7705,0,0,10.0033,8.9382,54.606,207.3701,55.4492,311.8756,0,0,421.8309,31.1782,9.6606,44.2391,164.8049,0,19.4022,65.9185,33.8392,67.1685,0,100.1594,37.3834,163.0058,767.302,217.6524,0,0,709.1725,711.38,856.8963,0,751.7046,0,550.798,0,771.7005,0,57.2737,0,453.3646,0,203.7758,1038.7247,798.1178,284.377,30.255,3.5822,1756.648,4.2967
ANAEROFRUCAT-PWY,15312.7061,5178.8615,12761.9103,18216.1486,41901.8931,17685.8897,25046.6976,19849.9312,13392.8456,12656.2615,26754.9446,29699.4737,72513.9415,30444.5118,32604.3961,35073.0046,43685.6734,92665.6992,42264.9312,17056.8668,18910.4917,38946.6108,41361.9017,52660.6418,32526.1746,36485.8079,18032.3984,23115.1003,13030.1921,15966.5907,6399.4151,34662.9777,43713.7886,32874.6279,16226.8012,33775.0186,16580.2658,46433.0756,52537.7376,23168.6866,11034.4993,15078.0299,15793.2857,30049.5025,9386.9292,47827.3435,41835.5587,54173.2447,44653.7197,36919.342,35737.4691,24623.6788,35920.89,9188.6322,33705.4424,35646.8634,40192.9555,31686.6911,20255.2758,11235.7095,24706.0388,35172.3598,18502.5167,24018.1436,16840.2731,10250.5313,15044.2625,15309.1054,16375.6313,175327.0672,25404.2067,9190.8364,19870.7596,280133.4377,54469.4508,89385.2834,11600.9775,284119.4758,14119.0913,184983.8857,10288.7475,107033.9292,23687.7958,28084.0284,16984.0367,114565.4335,39556.8112,26199.9648,39022.8725,61759.8172,44533.5081,28456.3396,71767.6646,25041.0328,52255.0032
ANAGLYCOLYSIS-PWY,16700.104,5246.0018,15332.2268,21536.675,56165.7607,20210.2081,27984.9711,22711.2534,15215.9363,14018.1672,29375.3064,34504.4002,88635.8646,35485.5338,35338.4284,58566.518,53683.0108,103530.863,46722.2695,18997.0843,21955.1246,52059.975,47605.6361,59786.8354,37515.5873,40637.1331,23691.721,29966.4363,14428.1375,18983.7802,6622.7905,39275.5651,50677.5727,40869.4429,21003.6853,38707.6624,18136.2332,50472.9282,70732.6814,25497.3959,11405.2755,21232.1552,44844.7676,35698.4786,10510.8248,52776.4317,46721.7012,79533.7077,55674.5008,42004.3431,40547.5677,27928.5818,50874.7623,10308.8887,38197.9738,39647.6404,48875.8532,37954.7207,27810.117,13158.5379,27987.8421,39177.5938,21102.703,28016.4018,18590.056,11364.1716,18630.3222,17837.3492,22953.3493,189044.1512,30972.5206,11074.3744,26449.9851,320416.2356,101673.654,117504.2633,13590.399,887764.4497,21323.8837,342442.347,11408.8966,924645.4491,26520.1952,30105.4083,21906.7696,129416.2751,43656.6323,34673.3321,42967.469,85429.9691,52724.69,29719.7769,77943.8948,27349.0492,58322.055
ARG+POLYAMINE-SYN,1834.1769,4227.0356,1943.9736,4835.0542,7638.8649,2294.8374,2790.0682,1500.4218,1823.3122,6482.6398,2899.847,4348.4495,427.2887,4170.877,3432.5742,2321.5531,1848.3253,4537.2661,3861.885,1419.6177,2713.0886,8186.3086,4192.8993,9012.3856,4548.9515,4142.1016,2191.2456,3010.5045,1019.3415,1675.6296,4980.176,5145.3512,4711.8248,3102.5253,1564.3967,3739.4326,3851.6939,4036.065,5006.9137,3247.4691,8576.7373,1543.5843,221.8288,3052.5293,6722.2711,4915.2808,4178.9582,2189.6336,3922.0232,4096.7218,4539.7022,3041.1213,496.0387,731.2092,3227.0959,2487.5861,4620.6044,5297.9033,3804.686,892.8153,3552.8206,3217.4628,2786.5548,3286.0988,2639.4725,941.5449,2474.3363,1786.1073,3140.8756,2270.7392,3918.0239,1516.5085,2510.7867,7489.5468,4751.55,9466.0478,709.9802,14055.7713,2607.4784,3863.8223,1168.5176,8152.7977,3865.8555,3645.0141,1291.8047,7780.6516,4507.6564,5176.4119,4498.123,8643.7454,5030.3656,2232.0452,6742.3777,3608.8152,4813.4717
ARGDEG-PWY,142.7891,4203.4012,52.1427,1275.2252,14.4635,14.9876,0,3.4974,82.5562,4187.9206,11.0595,0,8.1561,13.9681,143.0683,23.1259,5.8295,43.6493,5.2435,167.9434,11.6292,4.6338,0,9.8985,2.9157,0,2.3313,241.9043,14.5065,2.3091,4622.5742,5.8285,4.0818,3.4949,0,16.8795,1832.7212,8.7429,0,700.1245,7985.1045,0,26.1108,26.0972,5297.0195,0,0,4.0823,2.9142,6.9788,62.8398,9.3196,88.0777,0,0,187.5604,2.916,3.4973,17.4022,68.9546,0,3.4987,15.7042,5.2381,11.0373,0,17.3509,15.0385,30.4412,185.4198,44.0434,0,0,269.5189,325.2961,352.0163,0,331.2866,0,227.0398,0,312.6886,0,9.3061,0,192.8717,0,67.9623,222.5123,294.0775,121.7429,6.9924,0.5833,790.9526,0.5833
ARGORNPROST-PWY,2585.0542,20.0569,1276.0328,2682.6693,5973.7334,1303.4194,2440.0106,3073.513,1436.4626,616.0317,3505.8295,4134.0616,895.3304,3318.3229,2554.2314,1665.0089,2578.5797,11070.9902,3711.8424,1748.6164,2534.2647,7056.4673,3259.046,8231.332,5014.8476,5123.9824,2038.2895,1361.5782,1291.644,1278.3199,93.8722,3808.388,5637.595,2588.6588,1848.2051,3618.261,12.9357,5875.5102,3484.2602,1812.0775,129.6362,1461.8485,258.4395,2865.2852,342.7027,8809.4142,5856.9506,5519.5407,2668.7563,3175.585,2340.8163,2902.5604,818.8365,1126.9524,3650.0409,1801.5489,5106.9834,2740.5061,2357.7786,576.0167,2610.3362,3740.5748,2190.6876,2550.5973,1555.4502,1334.9079,1751.3146,544.5327,2709.6031,13084.9845,5895.1421,737.2036,2239.5488,7122.7597,3390.8056,5775.5967,632.8654,3354.5237,3060.4075,7801.9852,940.4052,8308.1688,2996.9693,6128.3286,1218.5346,3231.9074,6535.2138,2758.3107,4153.693,7975.6623,3109.1711,3907.81,5550.5159,1890.0485,3676.5035
ARGSYN-PWY,9878.1727,3936.9154,11161.6821,14027.7034,43366.5214,14205.4714,14729.9576,12983.6798,10006.2979,9180.1087,19338.6784,22813.4885,47359.3527,24197.1847,18719.7277,17621.5131,29072.7863,64209.8334,30939.9459,11406.5509,15328.0789,41455.4966,32382.6151,42599.966,22432.7863,23986.177,15547.295,25411.3652,8573.0034,13789.4983,4914.7527,28177.5867,28695.829,21628.7806,13933.9884,26469.4493,9274.9278,31564.1958,28445.5002,15644.237,8424.1782,8624.4723,5983.5698,24130.8934,7723.0004,33826.2103,29337.1799,25836.7163,26067.7891,30513.0071,27700.8176,16930.3056,9482.8796,6157.7726,24783.0476,27883.5996,25134.5959,26828.9027,21369.077,7137.07,17847.3948,20565.1702,13174.6634,17596.6444,12606.5525,6729.0868,11677.0879,11096.8085,16990.8025,56235.2716,13900.3323,8386.7175,19109.6772,259683.2557,27823.0339,84881.9136,7653.7481,816285.7819,16275.7886,43432.21,7318.0539,942962.8002,16414.727,24765.3265,9164.5132,90827.7339,31895.5353,25857.07,25720.4302,61662.6174,36270.8379,16880.5018,46175.0583,16643.8318,36341.5674
ARGSYNBSUB-PWY,9366.2286,4048.117,11269.737,14117.947,44229.9788,14585.1639,14677.4993,12842.0722,10093.1682,9272.099,19851.5298,22965.0688,45307.2997,24572.1366,18063.2531,16237.0247,26981.8556,64609.2603,30884.9754,11445.184,15550.8457,42504.6824,32481.742,42704.9041,22597.3871,23845.9547,15661.9977,26172.5023,8515.4313,13863.9205,5036.1501,28549.2154,29095.515,20830.1713,14176.0098,27034.8961,7726.988,31381.5257,26514.2149,15491.4481,8647.3862,8227.2889,6478.2751,24562.2239,7932.5221,33774.0251,29702.9934,23804.6893,25085.4333,30895.8841,27924.3981,17065.1858,7988.8578,6126.398,25283.0817,28042.3278,24699.8359,27731.0989,22255.5582,7091.7463,17462.1244,20222.9342,13298.5225,17412.5504,12840.3489,6797.6121,11911.4021,11214.8521,17445.5588,44249.1134,13645.2177,8691.4431,19903.2177,265981.0901,24528.9663,85885.0906,7686.8184,843320.8992,16627.8946,36225.3418,7307.4302,1062105.559,16688.9571,26005.8519,8697.3543,98925.4836,33421.6591,26112.519,27260.3148,61863.5715,36697.7286,16310.1092,43675.9892,17066.5913,35427.3994
ARO-PWY,9286.9255,4537.4642,12113.0048,17237.226,48058.356,14500.9501,19992.6467,12064.4994,10689.8197,11182.2085,17819.7858,25837.4835,51784.6803,27074.411,20397.9535,13203.3998,28676.8603,58580.8364,29663.9606,10677.3397,16790.5641,44827.7097,35485.3319,47064.4002,23085.5023,28793.2863,19366.037,26253.1093,8110.0701,14810.3514,5513.9293,29500.9921,30831.3112,18741.4207,17742.7016,27229.7755,8967.693,35243.7822,23375.6568,16795.2561,9425.2715,7140.1937,4555.2096,27830.6506,8699.6699,32256.9345,32280.1965,19921.6731,23507.0403,32969.3472,28489.8128,17429.5244,7467.3157,5718.8128,25801.2051,27379.8778,24768.6942,28898.4714,23304.6182,6116.8105,17058.3234,23926.9195,12725.8794,17015.4333,14121.8892,6912.6878,14648.512,10375.4307,19546.1647,21129.2964,11982.657,9157.5464,21774.351,248046.7576,19435.825,102143.7464,7431.5565,911698.418,18511.4509,15972.162,7277.3461,979387.641,17466.4958,26085.6472,7807.1008,76748.3442,31485.0347,28942.177,25553.2731,75632.6686,36108.0735,19987.8406,50535.5613,18799.7512,41049.759
