#OTU ID,Itg18DTT496S91,Lyz205BDTT260S101,Vil113BFP153,Itg20FP508S11,Vil106BDTT72,Lyz206BDTT272S114,Itg20DTT508S3,Lyz203BDTT236S76,Itg16FP484S87,Vil105BFP60,Lyz201BFP212S60,Lyz202BDTT224S64,Vil109BFP105,Vil102BDTT24,Vil104BFP48,Lyz207BDTT284S126,Vil103BFP36,Itg02FP412S12,Lyz202BFP224S72,Itg02DTT412S4,Itg26FP544S48,Itg10FP460S62,Itg04DTT424S16,Itg18FP496S99,Vil108BDTT96,Vil1010BDTT120,Itg06FP436S37,Vil101BFP12,Vil110BFP117,Vil105BDTT60,Lyz204BDTT248S89,Vil101BDTT12,Vil1013BDTT156,Vil107BDTT84,Vil106BFP72,Vil102BFP24,Itg26DTT544S40,Lyz205BFP260S57,Itg12FP472S74,Vil114BFP165,Itg16DTT484S79,Vil107BFP84,Vil104BDTT48,Itg08FP448S49,Itg04FP424S24,Itg06DTT436S29,Lyz208BDTT296S139,Itg22DTT520S15,Lyz201BDTT212S52,Lyz207BFP284S82,Lyz208BFP296S95,Lyz203BFP236S84,Vil1014BDTT168,Vil109BDTT108,Itg22FP520S23,Vil108BFP93,Lyz206BFP272S70,SLCFP072,LYZFP308,LYZdtt308,SLCFP078,SLCFP024,SLCdtt114,LYZFP320,LYZdtt356,LYZdtt368,LYZFP356,SLCdtt024,LYZFP332,LYZdtt344,SLCdtt096,LYZdtt332,LYZdtt320,SLCdtt078,SLCFP054,SLCFP114,SLCFP006,SLCdtt054,SLCdtt006,SLCdtt132,SLCFP132,LYZFP344,SLCFP096,SLCdtt150,SLCdtt168,SLCFP150
ASPASN-PWY,19260.9375,12737.3321,48334.9801,51950.92,4149.5813,5400.3019,26968.8625,9744.6359,42031.3501,23344.8415,8959.7925,14460.6207,38243.6592,7234.0313,26497.0995,31121.0811,23807.4282,52436.916,17750.8344,22592.8718,27693.0408,22832.5331,10712.1589,11034.9345,6275.7907,4105.7224,24659.764,41177.7873,39049.0292,3536.2003,12510.2511,6157.7008,19994.1666,3206.5513,27318.5644,40111.5306,18634.5784,13545.9971,41062.1454,50403.558,29855.1889,32240.8319,7436.5995,29025.8011,10688.6126,4442.9266,25697.4094,17930.0094,9718.1395,8118.756,14322.9115,19242.4348,20132.3615,4483.3687,23023.1323,45708.9035,22550.9469,11607.4643,77768.6432,40150.9615,17302.262,12154.1575,14338.0042,8159.6824,24030.1957,46591.5131,44030.6308,7539.5339,167792.0994,28557.2171,1956.7479,41446.8573,38090.9968,14026.8323,12221.1622,5743.51,9180.8862,8434.8719,8634.549,22808.2485,16049.9858,53104.2917,342.7115,53163.1158,51557.9857,61540.8283
AST-PWY,73,95.5,319.5,0,3538.5,456.75,83.25,24.25,2,10.5,5.5,50.25,0,207,1.25,60,32.75,0,8,58.5,1.75,1.75,51.5,4,5359.5,2655.25,3,22.5,3.5,3023.25,1419.5,156.25,1573.75,2680,3.75,6,73.75,4.25,2.5,5.25,63.25,14.75,235.5,3,3.75,17.5,58,67.75,61.75,1.5,1.75,0,1190,2616.75,2.5,0,1.25,0,96.25,193.25,0,0,186.75,21.75,56.5,450,54.25,0,140.25,159,0,60,48.5,10.25,0,0,37,0,75.5,0,0,91.25,0,0.25,0.25,17.25
BIOTIN-BIOSYNTHESIS-PWY,527.5191,602.5067,25185.5025,0,4284.6258,1802.7887,606.2671,170.3652,48.9772,709.7403,38.2187,440.7286,588.1288,1147.6142,42.0831,492.5199,391.7146,7.9769,81.7965,421.6773,33.164,53.9795,368.8274,34.4752,6440.2984,4022.7569,27.9473,173.2266,484.8221,3646.6696,4534.6196,833.2192,5864.7035,3298.4481,869.3652,54.8322,550.9089,45.9107,25.4498,356.1679,454.2077,293.0623,1224.169,20.9708,797.6414,153.7631,445.3648,521.1857,404.1076,17.3988,94.2271,4.0586,4319.4624,4094.198,40.2959,372.9381,206.9473,8.3886,4610.2231,2839.6301,0,37.6531,1258.4246,272.4724,581.9355,3454.3275,615.6444,8.3806,1318.5062,1240.7942,17.9772,614.2318,715.1361,93.1376,11.1839,0,239.8239,39.788,495.0065,130.496,11.1864,4380.2651,0,79.4795,473.431,2733.3364
BRANCHED-CHAIN-AA-SYN-PWY,15531.7493,9083.2411,33738.8265,54796.2473,4376.595,4185.1403,23198.315,6664.8197,43959.4827,23112.9095,6239.5263,11518.6727,35064.3049,5445.4479,22408.8509,23589.8428,19503.1285,20034.6597,14113.5384,12726.7652,15067.8532,13473.5889,9738.9592,8425.4222,6599.426,4018.8234,19179.2359,36104.4912,34890.1319,3722.333,10122.8964,6030.2023,9764.3342,3373.0793,32046.5729,30431.389,11649.6519,8185.3049,31972.1985,40588.7399,25452.2754,36148.4763,6685.1833,18046.1424,11336.0198,3804.0439,18661.3966,13363.6803,6675.7811,8005.4209,13161.7635,12705.9882,17166.2675,4544.2038,13682.219,59089.0409,16093.5249,8751.2231,63871.4571,41885.7562,11222.6753,10268.5283,9586.8795,7035.0376,16570.9323,43386.516,41824.3095,6326.569,38717.9923,25778.7734,1678.6763,15833.9225,13243.2559,9568.6524,10379.0158,4566.747,5662.7162,5291.6615,9899.3483,20047.1645,14140.2982,54675.7429,248.6372,49514.7067,41398.0023,61019.4088
CALVIN-PWY,25452.65,16528.4818,44783.5676,77220.678,5244.5506,7619.0127,34848.4442,13398.8627,53922.983,29092.6157,9699.5,16544.3813,48409.5299,9104.6058,30571.2138,41254.9724,29679.3519,62035.6003,22572.2321,25946.563,35946.2669,32067.3797,18270.7779,11380.5136,7867.4806,6804.2323,29249.9006,47720.1213,45176.3462,4472.3885,23126.6441,9517.5436,18687.3073,4061.9735,34339.0397,54286.9099,25713.0113,18678.1959,43021.1198,61196.9434,32323.4045,39837.5747,9269.8887,34730.4912,20959.1555,5753.8246,28392.8195,26130.1375,12029.3636,9340.9256,17072.6825,27608.186,30321.31,6647.6332,32187.008,66337.2453,32751.9427,14735.8091,75873.1501,73192.9805,18870.7371,12466.5591,19912.5322,14719.4507,24204.286,48565.9292,36285.3477,7333.6081,179677.5622,33211.798,3653.3212,46880.4241,33883.8106,16208.972,14820.5287,7590.7312,13816.7265,8474.2639,19398.5797,25838.3898,19640.3367,42290.0292,392.2454,77632.4853,66357.6289,59607.181
CENTFERM-PWY,1326.7922,538.7062,1155.663,769.338,4.3318,616.1262,586.3607,197.1786,367.1584,489.8215,51.9092,359.9346,277.9609,589.1339,159.5366,427.438,930.9686,84.1175,90.2034,254.6743,112.9339,341.0235,343.6858,744.3787,14.7439,14.9182,103.9709,580.7084,180.1284,0,1324.2752,499.0139,873.23,0,569.2569,181.2301,398.0647,27.2896,356.3799,57.5041,488.9537,224.1647,262.7106,61.8039,406.7788,134.8045,318.251,468.9812,336.4137,31.722,85.9101,25.251,3237.8535,187.3794,77.2762,49.7844,90.4107,31.8237,1045.1409,1235.4218,60.249,53.4529,237.1723,162.094,308.1989,2156.4981,374.6816,32.7425,1436.6099,1003.0193,5.0929,399.0852,321.1465,503.4871,3.48,29.8721,111.0131,0,1790.0279,53.9385,0,1498.3945,0,2077.9417,133.9637,137.1776
COA-PWY,38187.0925,15266.1976,55500.2446,59481.8496,3782.6605,7392.2397,36619.2625,46261.8469,46435.7869,28879.8401,29097.0588,26470.4673,37918.3651,9856.2777,33492.6826,38867.8241,45064.9,81762.5443,41723.6774,65538.9919,43411.2057,62883.9135,53835.638,63668.9034,5635.8018,5580.7839,40373.8475,55659.0594,38039.9847,3226,32814.8649,23533.1535,32049.7049,2945.4108,29448.627,56032.1874,38777.941,17039.7859,51371.757,54748.3694,37032.4341,32887.2896,9064.9151,66108.1635,61173.6856,8936.3986,58116.0145,32441.6153,49682.3566,11001.5222,17168.6447,63939.0029,28499.848,5513.5323,58162.8302,46160.3636,34632.2059,17437.7282,89958.8607,66231.5955,31936.0597,14246.1705,26349.819,51351.9541,101596.9453,45762.1932,46178.6752,9310.7655,176858.1068,57018.8395,75945.8676,48805.4007,49777.8482,39493.5678,13512.0542,7066.8336,48559.4037,11913.3836,37611.872,25017.4948,18482.0064,68360.3526,51396.2056,111284.9184,116497.5068,75664.2579
COBALSYN-PWY,10653.616,5338.7688,20736.0121,24011.8908,3660.7685,3004.2706,9988.9099,7205.4046,18986.1616,9264.4996,591.843,2547.2576,16352.5014,2467.9425,7219.4502,10408.8866,5917.0578,14699.6911,3355.7577,8298.4592,10541.6204,17313.9758,6483.1506,11989.3631,5546.9636,3237.3538,7047.6324,8090.5659,11552.8181,3109.6286,13061.9122,1015.9461,4459.8086,2788.8582,11188.4143,17760.6441,10847.1345,6872.9874,8551.3283,19442.5022,6361.3503,14777.0834,2441.571,13208.5858,10912.0113,1286.8846,3426.1391,10160.0836,1418.7639,1430.6574,4864.6583,18092.5282,13404.2286,2941.0685,15516.0212,29317.8444,15347.631,3789.2895,26344.0808,25993.797,2998.353,2475.5723,4912.5006,29188.7587,968.8029,9741.1944,3172.675,1154.3039,11623.2673,5243.6821,18824.6134,3820.9935,24829.7555,2012.1707,3866.0675,2302.879,6235.9035,2013.3899,6621.2746,4385.2767,4136.522,6206.6119,7810.1821,10866.1186,26966.3693,15951.193
CODH-PWY,548.6486,442.3629,3330.2917,539.6455,0,68.644,398.7812,123.8344,817.115,2021.705,348.884,282.4823,1279.9892,435.6495,2112.431,356.3103,1102.642,1282.0254,333.6577,666.4207,576.8438,365.8537,230.4873,193.6738,0.9981,35.7762,587.5344,2667.9182,1200.2857,0,296.5935,440.8327,2108.4215,0,867.8067,2300.0548,482.821,533.0422,456.8655,1243.1303,695.0815,1623.7793,644.441,572.3453,172.7464,149.7116,479.0047,315.3807,235.4386,144.0637,294.2843,717.9187,739.4104,72.0995,528.4107,4168.0158,263.8483,346.4166,860.6138,420.7609,147.6425,899.076,1232.7554,288.184,198.8047,691.5983,424.9962,251.4523,43.9945,581.0457,109.9136,287.156,691.4732,59.9542,817.49,545.5629,889.1374,500.3196,387.9053,940.6633,1002.7536,902.9741,31.9888,2383.859,2433.1585,1343.6278
COLANSYN-PWY,6628.6991,4132.3203,36297.3124,17596.1465,3864.8356,3007.9262,12949.926,4186.3184,14459.8937,11142.0036,4080.0239,6750.4241,13213.1091,3264.2462,13355.467,10510.2087,9849.3866,16856.2505,7051.0739,10102.9598,11230.0416,9062.1888,3005.3919,2307.4792,5813.3795,3771.3893,12256.2354,20577.7994,19200.4111,3293.2639,6454.2049,2829.9865,9293.8371,2984.3692,11384.2133,12704.0269,8883.0512,3625.2754,17760.9202,18312.8179,14621.8355,14971.8421,3520.1782,12414.4316,2796.7409,1961.3555,12589.6313,7056.8392,4418.0697,2504.5271,7079.233,9220.5351,8660.6945,3880.7478,8796.6213,18039.0627,10567.859,5127.014,43325.8334,15159.0552,9576.5366,4622.1332,6577.8668,3121.0741,9527.5147,27294.0487,16698.9421,3014.3427,20108.6914,11223.6354,307.2208,6385.123,10621.4028,6700.2445,6533.7715,2305.6457,2367.3828,4983.4697,2812.5831,11289.0617,6967.8452,13393.7301,38.4828,25415.9048,22149.7495,19161.6369
