#OTU ID,Itg18DTT496S91,Lyz205BDTT260S101,Vil113BFP153,Itg20FP508S11,Vil106BDTT72,Lyz206BDTT272S114,Itg20DTT508S3,Lyz203BDTT236S76,Itg16FP484S87,Vil105BFP60,Lyz201BFP212S60,Lyz202BDTT224S64,Vil109BFP105,Vil102BDTT24,Vil104BFP48,Lyz207BDTT284S126,Vil103BFP36,Itg02FP412S12,Lyz202BFP224S72,Itg02DTT412S4,Itg26FP544S48,Itg10FP460S62,Itg04DTT424S16,Itg18FP496S99,Vil108BDTT96,Vil1010BDTT120,Itg06FP436S37,Vil101BFP12,Vil110BFP117,Vil105BDTT60,Lyz204BDTT248S89,Vil101BDTT12,Vil1013BDTT156,Vil107BDTT84,Vil106BFP72,Vil102BFP24,Itg26DTT544S40,Lyz205BFP260S57,Itg12FP472S74,Vil114BFP165,Itg16DTT484S79,Vil107BFP84,Vil104BDTT48,Itg08FP448S49,Itg04FP424S24,Itg06DTT436S29,Lyz208BDTT296S139,Itg22DTT520S15,Lyz201BDTT212S52,Lyz207BFP284S82,Lyz208BFP296S95,Lyz203BFP236S84,Vil1014BDTT168,Vil109BDTT108,Itg22FP520S23,Vil108BFP93,Lyz206BFP272S70,SLCFP072,LYZFP308,LYZdtt308,SLCFP078,SLCFP024,SLCdtt114,LYZFP320,LYZdtt356,LYZdtt368,LYZFP356,SLCdtt024,LYZFP332,LYZdtt344,SLCdtt096,LYZdtt332,LYZdtt320,SLCdtt078,SLCFP054,SLCFP114,SLCFP006,SLCdtt054,SLCdtt006,SLCdtt132,SLCFP132,LYZFP344,SLCFP096,SLCdtt150,SLCdtt168,SLCFP150
P23-PWY,6684.6857,2311.7301,14098.35,14950.6957,0,2836.3857,7175.6361,1068.5437,12683.0538,7469.7126,747.7925,1388.6507,3677.4112,2805.2756,10892.1538,7560.4192,8128.037,7821.0623,1853.7752,3608.5614,5888.4722,5112.1245,2581.4613,3284.8745,782.7244,1041.0879,5532.235,11587.4906,7032.8103,0,7144.0833,2146.9356,7878.3719,584.5928,11126.1487,10732.3656,4361.6036,1622.7823,6556.7651,9357.0123,6821.6719,6381.5511,3149.446,4434.7427,2476.1645,1201.7545,2541.1386,3781.9189,1508.1877,1091.2983,2121.2918,4332.9284,9212.2541,2430.6748,4642.5259,1658.3606,9096.6123,3626.2307,9178.2969,7297.6498,3260.5649,3064.2001,4738.7677,1759.826,1507.9684,7257.6822,3298.9838,1405.1284,3381.1343,4615.5964,437.3805,2891.9601,2926.1877,2083.1236,5449.3748,2535.5634,3494.2095,1849.7027,7268.9231,5629.8351,4941.3977,7343.8951,40.471,23114.6722,15783.0178,1047.1695
P341-PWY,1085.9522,806.9708,117.372,15995.3406,0,152.2417,3765.629,275.3534,5233.6264,1639.1149,157.0025,1008.4321,5459.2721,301.4364,2345.1834,3083.1128,546.2974,730.0008,1863.9631,367.5537,272.8155,1806.5589,505.9662,240.7215,0,0,1281.6093,1911.9509,223.118,0,323.464,353.1842,139.6457,0,1983.5612,2461.8061,195.7198,598.6425,2966.3348,5277.4074,1184.3954,3287.1734,1862.6855,531.3703,612.6598,340.2944,2722.2962,456.7465,349.8041,538.9598,2271.1877,642.8886,1988.7503,14.981,413.3917,2814.9188,1188.607,886.976,3572.4073,5800.2952,499.2501,305.416,2280.0279,864.195,287.0211,3043.4689,862.8225,185.5584,8.7497,601.4652,228.3558,440.2594,562.2051,673.3206,1351.3601,1106.9584,252.9674,329.6877,143.4493,2001.1613,2293.5951,713.6919,0,565.8473,888.901,2843.6314
P4-PWY,9463.8,3647.8618,5501.898,10160.4021,4119.5084,3646.6492,5408.5233,1975.8182,8600.8049,12972.5058,822.0101,2394.4491,8914.7507,2650.3642,3843.1224,14225.2878,8977.3248,4907.7871,3609.8341,2981.7056,6880.2921,7895.9795,8579.4166,6693.3348,6171.6339,4557.948,6168.7652,11919.7595,6760.9871,3509.3681,10278.7716,4242.5001,7917.2172,3180.4061,18593.6536,8492.128,7666.4976,1817.7565,9162.4603,17119.2384,5811.5081,13027.9271,2732.6379,6673.393,10706.0396,1622.112,4285.3355,11638.6588,1811.5815,2166.3294,2300.1217,2929.4588,14188.0846,4644.5952,6797.858,16386.1865,5892.914,1584.466,21669.3869,14622.0539,1995.7816,2773.7178,3477.0165,4849.2062,3217.9187,13875.2838,8650.3407,1114.8078,11954.197,14740.1057,749.1847,11561.9474,7430.0978,3524.6037,2977.8712,1507.3013,3930.6334,781.5416,8936.7857,2522.8503,2404.0424,21471.1083,15.6271,35385.2661,12710.0828,14977.7023
P42-PWY,9004.8892,6034.8663,49442.8378,24156.7118,700.4683,3879.6031,20692.2034,7569.0627,19334.9991,15976.8358,6191.6522,11140.3919,16446.6537,5111.2474,18819.2479,15100.1792,15166.3688,27071.4314,11422.4956,17767.2275,15458.7726,13486.5088,5133.6136,4627.5129,890.0378,3354.7292,18423.926,33273.5893,28149.9446,619.4672,8771.9438,4538.4761,12470.0697,756.1234,15155.0042,21696.8898,12540.6632,4578.1089,27341.0364,26265.6748,22947.0174,21430.373,5854.487,19091.9213,4349.6499,3096.073,18730.3259,9614.4871,6619.1474,4384.9788,10753.9501,15471.4204,9874.1377,3549.5635,13401.6219,20293.854,10787.4658,8513.6516,71425.0276,25998.8285,13064.466,6458.581,9509.7033,3470.6856,15031.9161,46247.9741,28397.2095,4962.3338,14452.462,17781.3195,513.0824,10493.236,14321.4006,10204.6907,8841.9538,2728.6788,4215.9193,7118.9281,8785.2513,20421.9833,12334.9152,20472.1082,108.1348,35435.9625,37603.9454,35703.2188
P441-PWY,30478.211,13806.276,23782.1663,69032.8943,5281.0354,7337.2721,38575.9821,28144.5867,45597.8387,26981.1066,12738.0112,16506.4709,25207.6499,8845.8932,30488.1454,38017.4442,40978.7167,64073.9042,32014.962,49098.3363,34835.1951,41125.8625,35440.1009,22858.7724,7854.4338,7138.5772,39878.1804,59687.8601,29927.3733,4513.1712,28677.2174,15823.1258,19858.2366,4119.4073,28154.0639,47768.8776,28859.8753,12050.4344,41475.645,38263.7381,33098.7864,30575.254,8115.2497,45508.9263,38981.4013,7389.1409,34641.8205,28907.4682,14887.4666,10735.4749,18852.704,45712.5318,26795.2501,6971.9279,42005.3686,32425.1089,29486.146,15977.4136,44184.9157,67926.793,28549.4565,11369.5339,18836.8042,28573.4379,15676.0626,34841.5377,27425.3384,7881.2426,8211.6483,34180.5622,11099.4054,26076.5194,43706.6851,14158.5874,12505.7758,6219.0383,22051.0442,8939.3803,26239.7748,24660.3936,17102.447,46297.3537,1163.3694,102997.2761,101661.6606,43119.8463
P461-PWY,18972.7231,5417.6148,9778.6279,38149.9392,5889.4891,4267.9397,25545.274,11710.0715,21198.6708,15104.6278,4970.3578,7261.7811,5635.5903,4870.5843,21624.7693,15633.9227,25733.2578,42951.3411,15953.2165,27807.5903,19399.6504,23424.081,17593.8662,8385.4104,8812.8563,6358.8681,26080.2278,42084.0787,6486.1739,5023.5618,15914.3743,7408.7845,10480.2081,4523.0089,13372.1922,24952.407,17359.8127,3881.3683,22454.3797,17944.8377,19477.5248,13669.1565,4866.5955,25439.6547,20562.9556,3960.9544,15193.6945,18745.7492,5254.4713,6119.7877,13108.6919,21987.2619,16107.3541,6238.105,26298.5353,9608.9966,16490.5054,10421.7963,17591.3181,37229.6808,17959.5359,3604.1292,9855.1775,11856.2395,5047.5005,17493.5792,12214.6083,4267.6217,2460.623,14848.0759,3038.5279,10718.9568,23936.0332,5203.8665,7700.765,2374.1641,10431.1102,7015.2566,14913.4118,14616.626,10355.678,21714.8783,289.9784,70179.0343,56606.1062,18159.7009
P562-PWY,318.9574,256.9199,315.3449,12601.2821,3.5455,221.3357,3163.9776,339.2332,614.5266,355.0636,41.6966,701.1162,1528.1503,412.9298,674.6056,2011.4599,573.1204,628.3868,834.3194,526.8192,174.5928,101.2912,164.392,73.051,11.9395,3.3993,831.6796,2835.7461,1876.8429,0,629.316,175.8733,146.9402,0,368.5596,1322.6987,137.423,95.0449,640.8614,908.1721,196.3711,1607.6322,370.9199,44.3674,144.7604,106.6051,384.3215,1674.793,134.4818,939.8831,465.2753,621.9527,981.2843,36.4892,857.3797,4431.2751,433.9871,1422.9949,646.3614,1133.8636,114.7423,125.3264,23.7638,112.1528,22.0634,738.5984,20.2104,49.0441,65.9465,403.2469,54.5938,276.8092,134.1966,259.3186,1676.702,12.8333,271.2507,179.4459,667.7084,3993.9954,3138.3796,608.5218,1.875,1892.4202,806.6412,950.2941
PANTO-PWY,6821.1685,4126.3379,30067.8192,16867.8471,3615.6245,3064.693,11822.9397,4111.3623,14644.0305,10205.4131,2916.75,4918.7724,12663.3743,3114.6097,12558.7391,11461.5436,9437.8824,16445.0375,5136.0202,9701.5307,11090.3295,9350.2905,3331.126,3028.3612,5463.6556,3463.3297,11035.5305,17039.4941,16864.4606,3073.7632,6806.9839,2498.7343,7478.4911,2766.4849,10635.9195,14825.3623,8947.2428,3982.8118,16346.9045,19909.5421,11957.0467,14284.0005,3550.6784,12238.5396,3078.0072,1712.836,9189.803,8007.082,2929.0319,2425.2762,5633.806,9733.5121,8478.7649,3448.9651,8846.1282,16825.4932,10813.973,4976.2172,37435.9905,13763.4255,6893.1611,4920.6592,6368.5849,2894.2267,6656.6046,26416.6614,16479.7692,2851.1473,17159.1817,8956.4389,476.8781,5226.4352,8928.05,4641.0646,6304.0506,2366.2659,2986.9801,4566.0305,6043.8148,9979.8372,6757.4588,12690.9643,68.4358,21990.1846,25764.5503,23748.1791
PANTOSYN-PWY,9414.7297,5387.2048,35887.8561,22172.2886,3681.2277,3713.6332,15537.6702,5957.8117,19175.1131,13206.2458,4236.0561,6854.7939,16106.2438,4018.3972,16356.6323,15291.1536,13238.7094,22782.9457,7952.9196,13834.4533,14871.8607,13064.8086,4802.8852,4442.7794,5528.8325,4017.5682,15044.5597,22623.3112,21058.8635,3133.6699,9064.6627,3834.2478,10594.6264,2834.894,13678.6223,19763.3253,12027.0689,5311.285,21585.4948,25942.9582,16344.4027,17905.4024,4575.8231,16917.71,4369.4419,2453.8216,13141.2016,10708.9565,4432.2776,3371.2722,7566.9607,13601.8827,11007.3887,4031.4462,12346.462,21304.4342,13900.888,6640.3502,48793.9635,18537.3807,9104.2477,6347.9437,8822.2789,4169.1528,10421.008,30966.8404,21459.8793,3793.045,25573.0638,13059.1532,680.7945,7824.5891,12075.2635,6923.3002,7765.7157,3099.0466,4357.4956,5943.9347,8429.9433,12941.5748,8754.9396,17421.3859,102.5947,31762.0162,35307.2016,31544.3085
PENTOSE-P-PWY,14311.8937,5813.5126,36311.9245,44855.2156,4934.6874,4867.7491,19056.9902,4057.2295,27746.3038,15457.7859,2148.8219,8280.8598,16191.6596,5145.0116,16540.9729,21849.7429,13592.7814,14359.6967,11289.9437,7248.8294,10163.5821,10707.0931,8017.7092,5253.4234,7397.5064,5780.0922,12851.5439,26299.2382,20206.7498,4219.0159,13856.4448,4386.5637,14036.0072,3807.6323,19792.6944,29410.4013,8225.8743,5206.6883,16063.826,27089.0867,15692.7917,20528.0651,5561.5679,7931.3054,7052.2,3137.9992,11295.095,16394.9068,3954.4377,5566.3654,10477.9707,9191.7975,17275.2841,5840.3987,11710.5251,17674.385,16919.0646,7663.9518,49677.7126,39691.5863,5744.5319,5100.657,10462.0458,6297.0651,4128.7376,24043.7486,10439.0118,2548.3309,16616.5069,13048.908,1834.2214,8764.8966,7745.6269,5046.0092,8497.2598,4118.1687,7492.8605,3104.9197,12410.0462,14750.5706,12168.4671,18209.1493,120.2374,36709.2966,40142.1879,35187.3211
PEPTIDOGLYCANSYN-PWY,38981.1618,16813.0588,50317.4836,70431.9607,4018.1309,7888.0531,41070.5337,51328.5831,48904.3322,31854.3022,32253.3248,29570.9621,41750.9308,10734.3359,34270.7452,43177.656,48344.1309,82967.4488,46793.7601,68925.7319,44879.761,64347.9665,56298.2522,62742.3232,5968.1931,6135.9464,44605.3609,62153.4654,41475.7719,3431.7516,36269.1968,26147.8731,30755.5859,3139.1276,33310.5757,59404.0821,40445.1267,18600.4819,54081.471,58090.2964,39588.4102,36909.1503,9527.4067,67920.3452,61703.4884,9839.3752,64182.4914,34215.6357,55185.3924,12639.4327,18811.2601,70686.0132,30297.5234,6024.4309,59587.7114,54497.1238,36413.9212,18699.3242,98736.8386,74009.4364,34462.7157,15088.4446,27107.0393,57025.6594,112722.6298,49365.7975,49904.2846,10107.4426,187093.1808,63337.0316,76457.8325,53318.7184,117953.0504,43550.2028,14483.011,7236.2609,48502.2088,12020.8447,39303.6374,28786.5309,20665.7465,75189.1153,49010.2989,116352.3435,127204.0386,84676.0356
PHOSLIPSYN-PWY,39372.1476,16358.8826,52939.8013,76114.8118,5118.2122,7938.0621,41357.4995,51170.0173,49929.1861,31774.5127,31433.7718,29079.7205,43672.2954,10814.8205,33631.86,43308.3843,47379.2358,83508.0131,46538.3257,68443.1392,44368.0945,64586.7237,56883.505,66130.1919,7634.767,6756.9368,43241.5298,60389.3111,39905.0873,4363.2809,36762.2418,25994.6344,34244.8724,3972.4128,33967.1016,60406.3303,40172.4115,17948.8944,49912.4465,59084.2003,37185.7297,37420.7663,9405.7536,66428.3336,62945.2627,9760.0609,62828.7735,34931.072,54856.8317,12300.5729,18743.5361,70301.3412,31230.202,6633.8755,60102.561,60222.5355,36780.4081,18937.2983,94321.8491,75320.7868,33499.3689,13443.9218,28093.0629,57206.0286,110240.1628,42038.559,39925.0216,9009.927,194951.1154,61450.3575,77779.2396,53962.0495,123848.6218,42957.7664,15359.2631,7498.5283,52313.6243,12317.7019,40304.4437,28034.4522,21104.1583,64305.2877,55308.4531,116964.5351,126126.2815,77939.8151
POLYAMINSYN3-PWY,957.2111,405.4577,2660.4521,669.6443,54.6325,783.7966,620.2531,189.0035,768.3245,1357.7288,63.6538,359.9099,1383.6857,507.6773,354.0978,761.6968,437.0016,389.8018,324.4495,277.5094,228.0235,260.1283,635.037,47.6451,60.3614,64.5691,281.611,422.9734,1470.6751,0,1037.7722,524.3507,1668.653,48.5084,1241.2184,761.9229,408.6804,101.7943,496.7984,1970.0111,563.269,2476.4674,172.9461,190.4171,466.9157,234.3674,281.6897,1106.841,277.2065,130.5264,252.4716,166.601,2239.5798,385.6548,379.5817,3063.2254,580.6495,90.3976,3383.2931,4010.6065,199.2348,100.5428,235.6525,378.5919,183.5815,2077.2334,633.4759,51.3822,288.8604,1168.1344,77.5639,764.5512,2229.1674,243.5304,217.2949,133.7399,110.671,33.4541,433.9318,329.619,185.051,830.5139,0.3862,2406.6954,1395.7475,2099.3261
POLYAMSYN-PWY,1040.7947,426.5178,2584.9948,1077.4474,4481.8421,1080.4709,911.7985,197.1879,842.5129,1395.7262,65.9489,431.2256,4300.3078,655.9174,383.7261,764.6258,453.5974,488.9073,341.8781,349.2407,232.8972,266.5266,651.8646,50.1203,6780.6567,3430.2363,295.6446,430.1139,4377.9672,3825.1006,2901.4091,545.9303,3294.2299,3404.4899,1265.7874,934.2153,414.0708,106.0963,510.1717,2180.6676,642.3697,2696.7581,615.1675,193.8362,465.9848,254.927,287.2946,1094.0845,353.3497,133.6823,268.0492,172.4667,3360.9096,3400.0609,386.9422,3111.0014,633.3938,91.7715,3591.8031,9278.5218,213.9349,102.2405,505.0329,398.4331,212.4769,2135.2763,837.3122,55.5701,378.3718,1186.5988,102.6657,784.2476,3001.8386,248.3452,226.716,154.3451,117.5513,36.8509,468.8498,345.0003,193.6253,830.6764,0.3913,2431.5912,1485.144,2274.2843
POLYISOPRENSYN-PWY,32999.5109,11900.9788,38826.2376,54100.5955,3775.7248,6516.0342,33998.6426,45615.8155,32508.847,24125.1079,28266.8715,25117.8204,15418.3805,8523.2126,27130.8587,33564.559,41078.0997,66936.4121,40530.4236,60663.5683,37506.9006,57141.8566,50174.3447,56743.678,5626.6714,5478.7529,37947.2917,51558.1193,23686.1833,3225.5623,31848.8315,23126.3191,27489.4783,2937.4173,21405.7671,46227.2128,35385.5995,13558.4064,41174.7327,32121.5015,30797.7576,20389.9508,7271.407,59373.0378,55605.5055,8389.5211,55762.8768,29147.5942,48993.6674,9911.541,14983.255,62831.1817,23808.4102,5313.4072,52377.8856,19387.1241,31324.1645,15625.2687,74250.0507,61328.6887,29982.9738,10709.1297,23539.1284,50717.9342,99266.1748,36253.9013,29332.2804,7543.5895,34901.6094,53320.7528,69791.0718,32454.5948,61216.0528,38128.9425,11104.0792,5486.936,44550.2155,10093.277,35354.0083,22432.0572,16013.7324,52787.9396,45685.3749,102620.6099,110043.6122,59486.1194
PPGPPMET-PWY,324.0573,242.2311,825.9573,27.4952,4180.865,1099.3102,262.4262,70.5853,44.9786,113.5703,13.7474,187.5874,162.0599,530.1689,23.1187,266.5461,116.7539,19.9982,19.9961,248.4113,4.3748,9.3745,225.9045,9.9995,6213.9104,4529.9826,7.4995,56.2265,131.0022,3558.5004,3451.2444,388.005,3804.1655,3236.945,76.7872,29.9938,251.2756,10.6225,43.7343,95.5524,249.9128,131.6433,626.7593,7.4997,14.3738,78.4708,174.7864,258.6623,176.6243,16.2389,9.3728,0,3042.3423,4435.3489,18.748,234.5658,13.1233,0,457.1801,658.352,0,0,463.0347,64.3511,153.6552,1199.2117,210.0741,17.484,366.9786,438.5643,0,214.3185,146.1532,40.6083,0,0,92.4333,12.4954,225.728,22.4924,0,227.6883,0,50.615,98.094,295.0582
PRPP-PWY,5486.6531,4291.9548,28212.8834,8031.5673,4193.769,4158.8988,5550.9277,1525.487,6974.786,10827.6173,3231.8457,4771.5632,12138.4792,4704.3296,12786.5798,5677.6247,10768.8027,10797.8887,4178.2687,6507.1756,5161.7387,4267.5475,5225.9218,1880.378,6244.612,5851.4802,6494.9365,18906.952,14938.3518,3580.166,15993.5802,5574.6786,14555.5918,3267.7393,9612.3499,15745.2196,5111.3569,4244.6311,4807.1976,14658.2731,7118.522,15199.9658,4664.9694,5464.9383,4558.4205,2432.0652,5987.241,5475.8261,3255.1492,1780.8614,3753.498,6367.7134,13947.8982,5700.2607,4860.9089,14316.0358,4476.0684,4646.8691,52449.283,20404.6617,2052.322,5029.7954,7471.2121,4322.0993,5305.4959,16565.6951,8253.4854,1942.2717,57669.0041,12389.4353,811.4577,9234.3638,7500.6198,669.0583,5589.4871,2497.1893,6172.0328,3135.3894,4116.7665,6905.9508,6123.6608,17485.6414,268.6595,18769.8661,48246.1754,25164.2802
PWY-1269,3375.2492,2457.0606,24333.3942,9313.3843,5003.0863,1910.0848,7465.075,2035.3855,9411.9533,6216.3708,2393.8725,3778.2901,6524.4182,2062.9053,9628.6391,6219.0281,6087.4993,9538.7499,3902.4327,5568.3378,6855.498,5192.9833,1573.6982,1400.152,7609.9686,3823.713,7626.4332,13807.6867,12424.7429,4268.2145,3947.3277,1727.3143,6240.588,3815.9908,6250.1086,8283.0586,5076.0492,2475.1066,11760.7664,9468.0353,9753.9588,8758.4891,2653.5978,7580.6035,1332.9095,1077.2265,7177.1281,2999.6734,2198.0526,1666.9482,4543.1255,5116.7078,4754.0283,3931.3942,4610.6702,7311.0536,6378.1451,3101.0874,28863.5401,7236.0603,5403.8648,3545.7924,4315.7771,1430.193,5569.8412,22735.6756,12589.1439,2141.0066,11234.484,6241.2874,156.3476,3224.3553,4681.862,3256.8968,4444.0215,1610.3732,1626.8482,3323.5431,1433.7669,7433.5859,4549.7985,7968.8102,40.6203,14488.9647,14905.2749,12819.8494
PWY-1861,10606.2392,5323.6849,5437.1059,44876.272,7.9939,1181.3132,12493.6395,1790.9114,36603.1127,8169.1633,2370.9486,4289.0601,18884.5616,2361.5709,13560.9381,15784.4333,9895.8598,3855.9748,7106.1947,2438.6352,6020.0713,7719.1862,2651.9232,8837.7339,11.9909,270.2355,7677.741,16376.0357,15370.4067,6.9945,3301.411,2284.768,2134.3524,23.9285,17641.9004,15589.7372,3522.6931,5656.101,22823.1295,17596.0392,13224.1055,18526.4226,4322.466,10169.0718,2794.1425,1393.3607,5432.042,5174.9407,1862.5394,5316.5507,5348.4205,3828.0564,7709.0435,775.9125,5823.7328,19551.7256,8591.6995,5056.7455,10885.6376,26596.5825,2192.2494,8863.9397,5507.8417,2806.5345,8262.331,13171.1843,37192.6043,4939.421,15105.5338,10995.2392,890.2409,6734.4424,3142.5509,2358.1506,6305.627,3069.4751,3747.7909,1230.8468,8111.9561,11805.45,10100.0899,53040.9407,216.6789,15466.9927,13844.916,42046.5342
PWY-2941,33964.1615,12690.9524,42029.1844,53558.3103,774.8283,5880.3208,33345.4732,43101.2918,38049.5949,24008.9209,28731.905,25883.7193,16190.3333,7574.3349,29205.2102,28765.4429,41557.792,66851.2277,41618.5736,61144.2312,31199.6537,49210.8838,50104.9503,56588.5964,849.4695,4559.9213,38466.4548,52137.843,20478.5201,698.1587,26243.774,23148.1721,28144.2754,756.1623,22670.4029,40299.135,28168.453,14515.7646,42196.2353,35451.3096,33063.5842,23474.1975,7872.1993,51171.3097,55302.0995,8368.5236,56818.6263,28640.0806,49263.8558,10937.7,15128.8689,53990.2633,23932.5671,4423.1612,50494.2714,17316.6948,28345.5461,15033.5084,77404.6199,65914.3682,27696.2187,11023.846,14004.2472,50926.3801,100687.2303,32128.1806,43082.2244,7858.535,37804.1334,54926.5383,69811.4045,33018.5839,61882.6322,38074.8055,11345.1101,4287.9429,33255.3867,10343.2992,26727.4472,23195.3021,16750.6019,65598.0194,45673.35,88831.2747,108584.0712,72013.4244
PWY-2942,36960.9272,15987.0443,55944.4385,72439.7031,4667.0828,7424.4901,39804.1996,44478.1827,50818.4188,31346.9163,29520.7304,28070.5069,43640.5014,9723.4343,34178.4686,37847.222,44889.8365,79060.9618,43839.776,63973.9978,37614.3483,53011.8264,51756.519,57320.8504,6964.4222,6301.8252,42111.9038,60151.3402,42564.0365,3979.3324,29295.6013,24115.538,30790.6831,3630.7645,34269.2853,52517.8181,32029.2658,17506.4657,49222.8377,58646.976,38809.6416,38591.6001,9868.7132,55299.2563,57056.0875,9162.6982,60168.6438,32121.4722,50286.1439,12104.5151,19001.318,57169.3264,30067.787,6372.9333,53947.54,56947.2503,32826.5896,17606.8328,97699.5133,77535.035,30353.7635,12967.1509,18614.8683,51968.9444,102461.9437,50817.0256,47908.7491,8890.0254,179974.7428,58865.536,70046.4555,50133.535,118584.15,39870.602,15097.7454,6724.7176,35264.8724,11834.222,29096.8472,29019.9106,21258.3183,69583.3364,45694.7598,100893.9158,116288.3617,80915.9942
PWY-3001,19534.7059,11894.6057,36398.0114,55555.0482,4600.9241,5392.5207,28742.3929,11766.4755,43589.0846,25730.2773,9958.4945,16458.8976,37418.8763,7188.8495,23689.0833,30939.499,26099.6697,32487.9994,21263.4278,21315.1711,22333.5726,21750.5169,15387.787,12875.0836,6910.2719,4844.5437,26089.4735,43555.4025,36621.0458,3920.0778,15631.7562,9046.0624,11984.2304,3552.7974,31293.3508,37997.7385,17891.6516,11504.5246,37587.5806,44527.2457,29480.5852,35767.4968,7155.5048,27219.0882,15575.3176,5344.4999,28877.6982,18216.9745,11539.8364,9389.4063,14623.108,21264.1181,20967.4326,5219.9346,21368.0468,55601.4952,20682.2985,11266.7209,75653.8119,52065.4769,16371.1909,11693.7633,14423.6034,11754.1469,27570.3625,45970.4394,43625.9298,7492.8891,91429.9803,34862.9636,3153.8516,27219.5083,24096.9646,15569.9349,10921.4718,5103.896,9425.0732,6303.9062,13927.2948,21473.0996,14980.5323,59958.8902,437.7251,63781.8514,59203.4954,67077.8797
PWY-3781,3264.5723,1723.0454,141.8443,16000.9259,0,800.0601,7134.1601,468.6712,10771.3923,5390.8843,807.0467,1292.4156,3697.2438,944.9159,9557.2249,7354.4287,5955.6156,7479.3241,3363.6399,2395.0151,6849.5689,4557.52,1110.378,1531.2091,60.8966,79.6466,7879.8872,12794.0127,5248.0685,0,916.6175,1137.6712,377.5944,51.8513,6027.6457,6133.0348,3719.2626,3052.5262,5311.5911,4191.6626,4926.0623,6815.093,1253.7451,4499.5596,1819.7515,792.1286,2710.9659,2235.082,703.6819,1737.6667,5092.1593,3674.2088,2959.5615,118.2491,4006.7883,7752.8036,10078.0057,2249.4521,2696.7471,4551.3543,4063.3752,2370.1641,1780.637,2313.4667,965.5558,6362.9975,5384.3418,1132.3016,32159.8521,2671.4721,66.4936,2106.6629,2418.5339,751.9459,3677.6993,1763.8466,1241.9256,1244.496,706.5889,3863.0218,2483.4425,6950.2027,22.0953,17473.9712,15805.3566,4254.2254
PWY-4361,0,0,0,28.8965,0,0,0,0,0,8.5507,8.5841,0,0,0,0,14.0578,0,29.7602,8.573,0,29.5935,8.6505,0,0,0,0,45.0271,0,0,0,0,0,0,0,11.2711,0,0,0,16.4501,0,0,17.0645,0,11.131,7.3513,9.4262,0,8.089,0,0,0,8.437,9.8715,0,16.0524,0,0,9.7008,0,0,0,0,0,0,0,43.9785,20.0669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6967,0,39.175,2.9822,2.8949
PWY-4984,16568.2421,423.461,13502.8429,13878.6428,0,1597.8629,7349.147,361.5536,10764.3485,951.4866,258.8853,602.0478,3002.9904,2069.6274,13414.8767,1029.2045,10620.6656,30052.1746,279.1496,17096.2255,12770.7514,22124.1951,14343.2091,20643.3777,0,304.3335,2554.7359,6034.8273,5881.494,0,1464.9145,1431.1985,7840.7842,0,720.1394,14689.5311,10792.3891,443.5244,14896.4413,15128.029,6253.0287,1960.1653,3027.0355,21556.8549,20439.3216,639.3294,366.8627,11995.0455,778.431,295.1934,588.8209,469.726,7928.2398,480.5644,23059.4438,633.1287,11298.2783,6020.8429,5998.288,2726.3684,4049.0934,2393.4529,5971.1143,347.2575,414.6803,1169.6027,830.6599,776.3276,354.8319,557.6551,26560.0714,800.8553,32724.4387,1646.0753,6035.2362,2160.5055,10853.6252,3858.6497,11914.9903,5002.6438,7550.3689,815.7575,10217.2234,32380.8636,10374.036,857.9897
PWY-5005,0,0,0,0,0,11.9688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1942,0,3.1911,0,0.792,0,0,0,0,0,0,1.6079,0,0,0,0,0,2.3992,0,0,0,0,10.3814,0,0,0,0,0,0,4.007,0,0,0,0,0,20.8007,0,0,0,58.9496,0,4.0054,0,0,0,0,0,0,0,0,0,3.1913,0,0,0,0
PWY-5022,2919.391,908.3312,2672.0713,7591.1923,0,751.217,3547.3457,323.6577,4834.4177,3184.441,390.0064,728.742,3057.9162,650.5459,3810.0052,3526.1823,4031.7073,3378.3732,1594.4452,1083.0501,3241.6766,2604.6223,900.4,2279.7139,30.9561,125.6232,3806.1107,6987.8956,3606.5385,0,1428.3731,1234.938,1091.2657,25.9395,2859.1064,2487.811,1915.2329,1703.7859,2584.4011,3765.6445,2611.3703,4122.8731,716.8813,2042.6134,1200.85,374.4176,1354.6071,1165.742,406.1993,784.6415,2360.8251,1822.8973,3249.8089,295.6412,1999.9446,4627.963,5243.4583,1040.0983,3479.7731,13161.853,2012.839,955.1038,756.155,1150.9203,343.8587,2208.5674,1343.8911,482.1923,7788.7433,1819.4339,214.5013,1125.8536,1132.1402,1100.3386,1168.8568,490.475,698.8351,546.2334,6447.3639,1605.2343,980.963,2660.0655,13.9895,12674.9932,8980.2012,5909.4894
