#OTU ID,Vil101BFP11,Vil103BDTT35,Vil103BFP35,Vil101BDTT11,Lyz207BFP283S81,Itg24DTT531S26,Vil110BFP116,Itg04DTT423S15,Lyz206BFP271S69,Vil105BFP59,Vil108BFP92,Vil102BDTT23,Itg20FP507S10,Lyz206BDTT271S113,Vil104BFP47,Lyz202BDTT223S63,Lyz205BFP259S56,Itg22DTT519S14,Lyz204BDTT247S88,Vil109BFP104,Vil113BFP152,Itg26DTT543S39,Vil114BFP164,Itg24FP531S34,Vil1010BDTT119,Vil105BDTT59,Vil107BFP83,Itg26FP543S47,Vil108BDTT95,Itg18DTT495S90,Itg12FP471S73,Itg20DTT507S2,Itg12DTT471S65,Lyz203BDTT235S75,Itg10DTT459S53,Itg08DTT447S40,Vil109BDTT107,Vil1014BDTT167,Lyz208BDTT295S137,Itg06DTT435S28,Vil106BDTT71,Itg04FP423S23,Lyz204BFP247S44,Lyz201BFP211S59,Vil106BFP71,Vil107BDTT83,Lyz201BDTT211S51,Lyz208BFP295S93,Lyz203BFP235S83,Lyz207BDTT283S125,Itg10FP459S61,Itg02DTT411S3,Itg16FP483S86,Lyz202BFP223S71,Itg02FP411S11,Itg06FP435S36,Vil102BFP23,Itg22FP519S22,Lyz205BDTT259S100,Vil104BDTT47,Itg08FP447S48,Vil1013BDTT155,Itg18FP495S98,LYZFP307,LYZFP331,SLCFP131,SLCFP023,SLCdtt005,LYZFP355,LYZFP319,SLCFP005,SLCFP053,SLCFP095,SLCdtt095,SLCFP077,LYZdtt367,LYZdtt319,SLCFP113,SLCFP071,SLCdtt113,LYZdtt355,LYZdtt343,LYZFP343,SLCdtt077,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt167,SLCdtt149,SLCFP167,SLCFP149,taxonomy
ASPASN-PWY,38082.599,3560.7673,17007.9374,9373.5209,15666.8924,5728.3009,42149.1371,21733.2755,16894.8983,31731.8538,55478.0061,13673.4009,57772.8307,13036.5085,40423.4053,17396.815,9489.6751,8112.2999,15711.5742,43442.4135,72648.8816,21675.9254,45647.6165,7678.4339,10118.0151,2718.2244,33810.8587,35414.3285,5442.3208,18698.0211,32734.6444,12817.7956,9946.9596,13600.5006,7660.0126,22649.6644,8232.5613,5729.6569,4458.5208,22398.5507,3651.6302,10648.0322,3247.5261,16875.517,50321.0194,2238.6346,13697.1262,13707.6592,24238.2123,4700.5195,25263.5488,10423.5144,51853.8482,24342.5104,84828.9411,35211.2562,39216.2788,19188.983,14127.4105,5941.8456,18754.6132,22041.6064,23581.602,51605.087,139677.9016,23756.7197,10239.6223,4591.98,38577.2832,37725.3945,11048.35,19795.5658,2919.7758,3330.8017,6298.3447,40876.4244,5568.0332,5171.47,17347.4928,7562.5997,19670.7179,17847.5153,55467.1592,11199.5126,37259.2332,33155.9662,22974.4986,50476.4235,74717.7541,38519.4469,43310.2718,
AST-PWY,3.5,211.75,75.25,121.75,1.25,152,4.25,69,4.5,11.75,0,165.5,2.5,63.25,1.75,23.75,0.75,34.25,69.25,1.25,61.5,352,2,3,5852.5,2175,0,3.5,4408,106.25,0,64.75,13.25,38.75,21.5,101.5,4863.25,184.75,26,62.75,3140,2.25,1.5,3,15,1810,2603.25,7,1.75,409.25,1.5,12,2.25,0,0,0,4,0,32,402.25,0,483,0,85.5,88,0,0,40.25,27.75,42.25,52,0,0,0,0,44.75,87.25,0,0,9,62,54.25,93.5,13,195.25,106.5,3.75,0.25,0.25,1,5.25,
BIOTIN-BIOSYNTHESIS-PWY,31.4081,821.9683,1440.0417,743.4883,15.6355,661.3913,605.1391,558.9747,43.7995,6620.8222,303.9074,1033.3655,21.5202,463.208,19.2024,168.0217,5.2433,258.3705,640.9664,876.519,31804.4177,1846.8869,184.1628,27.4143,9457.6135,2853.0887,37.7696,127.2492,5629.576,725.762,0,432.3024,109.8441,270.8987,174.755,737.0903,7565.3119,791.7845,175.991,555.1507,3756.4448,22.5829,16.1796,27.8817,970.1842,2317.8175,7451.8396,58.1657,12.2381,1680.5312,17.4655,86.3947,15.7371,6.9943,4.0592,6.9965,34.9318,14.9416,223.7617,1571.8929,0,2184.9718,11.0207,668.3528,2647.2056,6.9957,6.9835,247.0451,1375.629,650.0243,313.6853,44.5077,6.664,8.0172,6.985,601.3594,549.5459,0,0,61.9612,711.7268,539.1172,3980.0172,95.1691,1739.9969,860.1187,261.4211,724.6209,136.8389,6292.1254,66.279,
BRANCHED-CHAIN-AA-SYN-PWY,37828.5585,3539.5824,25143.96,7372.9761,17337.3821,3405.7952,34763.696,24775.969,13465.9106,32799.5633,65875.0347,10054.9965,61483.7891,8823.0157,37491.2288,10951.5417,8151.5036,4904.7145,13376.5515,35373.0646,47247.5521,26622.3651,33238.127,6369.1098,9536.5876,2867.7718,36957.965,24277.4075,5720.4592,15822.255,23625.5269,11264.6116,6164.7664,8482.3549,4982.8696,16437.0384,8034.225,4366.3395,3501.9959,17276.0211,3837.6241,11938.0587,2624.2438,12277.0352,61491.289,2351.1355,12486.5548,13154.9011,15876.9799,4441.4686,16366.906,4505.6991,57301.5032,18473.7193,23267.5126,34017.6509,29632.6792,13861.9346,12518.1462,4632.0759,14468.8777,5959.352,17071.6667,47317.2255,35191.5594,21186.5711,8971.2491,4741.9241,37427.6926,31219.9562,5111.3667,16854.9443,2768.6671,1232.5925,4135.2716,38500.6423,4676.7671,4114.4944,13481.5348,5144.0777,13696.3175,10156.2874,63203.4423,7444.3703,33560.0859,23956.5115,15467.6737,37493.8378,64230.9073,32553.9034,49085.7563,
CALVIN-PWY,51808.436,5731.2108,44828.7949,11594.9076,20559.3431,11794.2518,47720.0976,40253.5715,26332.8434,47154.513,74989.5713,17505.9641,90293.5854,17179.0045,48319.295,16640.8408,11979.8415,11919.5356,23778.3858,49985.2645,61364.3861,50425.8189,54771.5494,20487.4725,17870.7302,3731.559,40963.2469,46536.2672,7109.9343,25839.9761,35504.4946,17250.2197,12507.9655,15984.9839,11093.6671,26349.2139,12155.906,10524.1895,5277.154,27987.2091,4576.502,20993.3282,7132.4282,19063.5186,71636.7437,2929.3263,20829.9362,20245.8875,36375.0297,5671.131,36712.4674,12991.2617,67512.658,28989.7355,107561.6375,48441.9593,51068.7057,31955.4171,16894.7643,6853.149,20087.4494,10537.7101,17396.0709,76549.1791,148164.7241,30301.446,10581.8885,10411.0679,23713.9267,65565.9194,13947.6953,28527.1858,3536.8705,2389.7495,9059.6521,43612.7599,9018.7196,7250.8761,23251.9309,12209.462,20073.0879,12967.3904,48939.1514,13391.6899,58984.4231,36499.2779,24039.3811,64231.4564,107642.8423,48584.5104,57668.0201,
CENTFERM-PWY,303.932,656.318,3661.7791,294.8279,23.9725,475.8395,188.5591,662.8316,81.7841,2000.9041,53.2897,670.0338,932.8228,326.7176,284.1689,158.3403,5.1751,189.3442,492.5183,424.4317,352.1193,1737.2561,27.9191,59.5632,150.2938,2.5866,198.0488,138.1439,23.2916,950.3637,462.1283,438.4267,129.5144,188.5062,262.4402,636.0737,259.5107,627.2357,116.9576,444.5051,0,108.8896,16.6496,65.0778,755.3528,0,710.2513,121.475,37.7904,746.1618,1197.2297,55.1584,183.5188,52.3158,172.1144,155.4761,90.5449,109.632,197.9431,184.6751,48.6965,112.0313,339.9718,600.0532,502.8068,77.5304,73.8788,854.8546,133.362,480.751,95.7576,6.0978,3.3877,0,158.0362,342.046,278.2854,35.9798,77.3533,45.3927,290.4362,290.2185,1224.9037,366.1046,1155.8396,596.2583,48.655,13.9761,239.535,202.9173,180.2973,
COA-PWY,56044.9593,6951.3402,83854.019,25866.9445,20987.5349,48125.6349,41820.7879,113632.4874,26415.4589,109715.5772,53687.7626,21084.8162,71986.5189,20612.0633,58809.9833,42654.4873,11009.6301,37228.3575,37600.9533,43084.8538,82934.4038,35112.3775,53697.1853,115903.1471,15153.8072,2779.1963,39185.269,60456.7541,5264.4452,30622.0461,66288.5601,21330.256,23997.1586,47333.4144,49559.5559,38722.5133,10012.182,19651.0837,7973.394,62840.3475,3279,199940.657,30222.3746,128763.3754,55922.482,2182.5,29036.9201,26622.3657,124105.4872,5286.2357,115015.0498,42061.5607,56158.1066,121884.5255,162410.492,57836.1172,57610.8596,115913.0308,14975.5416,7664.1459,55081.3216,30111.3419,89453.6414,68749.5302,144010.6563,32567.5139,12540.5659,25094.5756,49812.9731,146730.3832,73535.1581,32743.6631,105687.4097,34466.598,33335.8501,40969.4993,27759.6254,6753.6464,44008.8197,23911.1171,52508.3533,22199.18,118685.0119,48199.9028,100508.6943,33606.1195,33485.5256,145284.0079,164961.8769,56176.9291,49469.717,
COBALSYN-PWY,13395.3365,1670.2966,20450.3054,1088.0931,4718.8211,19731.9738,12289.7457,11803.3001,11347.128,15912.7461,30998.0988,3988.7161,29841.6553,5963.4385,13566.8778,789.3503,4531.0736,6520.2577,10260.3301,12144.7273,21453.8306,21858.6298,15164.2093,37379.9525,8256.4713,2273.2151,11693.4576,15702.7716,4602.9129,11523.996,11144.588,5374.3293,3664.529,3909.4372,5208.0969,8327.255,5612.1198,9500.0555,979.8029,5102.3248,3242.6625,13143.5316,8824.9126,2056.1123,30361.0297,1880.0332,5637.0359,5657.1386,14435.8496,1877.6153,19465.6989,7681.5684,23983.5271,3475.4145,31712.3354,12487.9717,15077.6804,21732.0325,4833.8686,1469.9501,10581.4429,1486.3944,12165.5784,32785.5572,2850.8959,6414.939,2143.8896,4421.6029,1071.7149,92368.5803,6890.6321,8493.4131,14358.8581,5049.8688,1410.4517,9739.6714,10623.6161,2410.3279,6462.8043,3412.5227,998.0777,1474.0268,4839.0413,2091.8255,30469.3671,4765.5334,5238.291,22380.8526,16720.9346,18810.7134,19103.7992,
CODH-PWY,418.3854,155.2131,342.3062,543.2012,7.9986,78.932,1626.0787,556.6212,15.9946,835.7379,979.5826,877.7985,199.7274,99.7445,214.5603,609.6059,378.7586,290.7669,457.1802,1221.2373,2615.1958,274.8712,1866.2607,30.9956,114.2711,0,356.3377,751.1473,0.9994,1560.3639,128.865,658.2619,227.8562,238.3984,208.5381,412.6494,140.9883,170.2195,78.604,440.4334,0.9964,30.9975,47.9618,174.8807,2467.9513,0,210.1434,13.9962,136.9237,135.0827,165.8724,335.5437,792.6936,88.9675,132.9405,202.6457,93.9196,46.9896,760.8788,570.0822,10.9988,3086.1033,129.8948,732.845,211.845,2367.3214,594.5699,288.253,363.6564,584.82,1051.7228,400.4772,75.9699,342.1842,0,481.9991,112.7694,144.311,631.164,700.9549,179.6891,416.8114,227.7861,41.9816,507.7206,983.5196,1750.5413,948.8727,3920.6869,1599.0031,9.9989,
COLANSYN-PWY,13437.1886,1471.2489,3888.7338,4412.1783,2588.6471,1605.7862,18552.4707,7138.7702,6123.1872,17145.0671,17421.6794,5615.8,17389.8663,5382.6031,12580.361,9176.7824,4003.2302,3588.6129,4687.0322,15960.75,52509.5534,7148.222,15533.2747,1815.3975,9125.2497,2585.5726,11787.3413,12747.8477,5098.7665,7915.0103,8555.9678,5044.0574,4774.1064,6688.8013,3052.6824,9846.1645,7158.1189,1930.1018,2077.6579,8808.2506,3387.3076,2503.9871,1140.5528,5429.9113,19403.4659,2107.5189,9561.791,3600.9025,10960.5158,2671.5802,7577.1316,3764.4827,19019.1501,7125.4427,18672.0108,11747.1978,15110.3559,7366.883,7240.9096,3020.5597,4134.2613,4206.0035,3874.9596,21947.5119,6500.6566,10400.5366,3195.6276,1429.5558,9428.7313,14785.911,2295.6656,6910.6953,251.6739,259.2111,3044.9186,25209.9,2097.5861,1789.3572,6976.6138,2996.2503,7418.8776,4062.2913,9999.7873,5006.4108,10797.1973,14636.6693,13582.2006,22180.1942,34093.5785,20237.3285,16485.6569,
