#OTU ID,Vil101BFP11,Vil103BDTT35,Vil103BFP35,Vil101BDTT11,Lyz207BFP283S81,Itg24DTT531S26,Vil110BFP116,Itg04DTT423S15,Lyz206BFP271S69,Vil105BFP59,Vil108BFP92,Vil102BDTT23,Itg20FP507S10,Lyz206BDTT271S113,Vil104BFP47,Lyz202BDTT223S63,Lyz205BFP259S56,Itg22DTT519S14,Lyz204BDTT247S88,Vil109BFP104,Vil113BFP152,Itg26DTT543S39,Vil114BFP164,Itg24FP531S34,Vil1010BDTT119,Vil105BDTT59,Vil107BFP83,Itg26FP543S47,Vil108BDTT95,Itg18DTT495S90,Itg12FP471S73,Itg20DTT507S2,Itg12DTT471S65,Lyz203BDTT235S75,Itg10DTT459S53,Itg08DTT447S40,Vil109BDTT107,Vil1014BDTT167,Lyz208BDTT295S137,Itg06DTT435S28,Vil106BDTT71,Itg04FP423S23,Lyz204BFP247S44,Lyz201BFP211S59,Vil106BFP71,Vil107BDTT83,Lyz201BDTT211S51,Lyz208BFP295S93,Lyz203BFP235S83,Lyz207BDTT283S125,Itg10FP459S61,Itg02DTT411S3,Itg16FP483S86,Lyz202BFP223S71,Itg02FP411S11,Itg06FP435S36,Vil102BFP23,Itg22FP519S22,Lyz205BDTT259S100,Vil104BDTT47,Itg08FP447S48,Vil1013BDTT155,Itg18FP495S98,LYZFP307,LYZFP331,SLCFP131,SLCFP023,SLCdtt005,LYZFP355,LYZFP319,SLCFP005,SLCFP053,SLCFP095,SLCdtt095,SLCFP077,LYZdtt367,LYZdtt319,SLCFP113,SLCFP071,SLCdtt113,LYZdtt355,LYZdtt343,LYZFP343,SLCdtt077,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt167,SLCdtt149,SLCFP167,SLCFP149,taxonomy
P23-PWY,6580.034,1694.6328,14986.9251,2223.2091,1737.806,1786.0534,8906.3336,5570.5446,4627.897,16031.6014,1998.5037,4195.689,16889.7256,3072.8649,12919.4737,1039.0809,1092.4129,2006.2781,3619.7559,4269.2835,12443.295,5345.1476,10226.9642,1571.9266,5566.275,611.0185,8764.1299,6277.5068,973.9226,8178.4595,6443.3737,4054.0046,1848.0615,1426.5853,1728.9584,5214.2257,5062.4901,2229.0174,873.1235,4192.8523,17.4584,1528.1505,985.6933,1647.7099,15726.131,598.0357,7501.2102,2524.9457,5462.4131,2142.2759,5657.7605,1784.6902,16341.9183,2596.9294,9303.989,6949.6258,8600.6429,6273.97,1608.8442,2266.7023,3501.2663,3738.8351,4008.4936,8781.8256,5095.9429,11808.7854,3060.2668,3561.6004,1752.3419,7781.2913,3481.4026,7583.7871,308.9535,451.3258,1492.6554,5980.0574,1374.1113,1495.0333,7223.7585,2348.5263,1599.5165,1436.2741,8909.8676,1394.1805,5540.0889,4834.499,7481.7601,5241.507,30288.237,17400.1255,10793.5391,
P341-PWY,6435.6201,39.8844,129.8958,709.9945,2810.0932,88.6649,206.9984,993.6768,1892.527,1107.3858,3472.2278,581.4858,20073.8753,690.4273,5530.1965,283.8828,718.2179,61.1918,1011.3076,2410.3453,177.2905,207.0069,3654.5851,121.1806,23.7331,0,5097.0612,1184.252,42.3443,990.0666,2004.171,1290.9054,475.857,230.6138,215.7009,958.5926,8.7464,437.5783,690.6169,1522.6423,0,56.2404,216.6931,275.901,8737.2282,2.4987,576.315,3705.2537,869.0979,190.39,522.388,77.417,7193.9326,1734.3431,995.2226,8843.18,3031.3307,44.9898,706.43,380.529,791.2572,0,138.6241,15511.1182,39.9936,2952.6667,309.8309,61.1669,3.7498,6160.9442,285.5687,2528.4418,331.8659,13.7468,171.9772,2371.7306,794.7282,1543.2837,1389.5396,1319.4881,58.7126,323.073,189.8313,344.808,11429.4866,220.4745,614.7087,614.8197,3664.6618,111.1369,13017.6581,
P4-PWY,7394.0253,3045.5754,21185.7207,4452.8337,3431.1406,4247.0355,8442.7691,21257.6185,5969.4349,12464.6992,18210.3964,3030.4386,12059.6593,4274.8332,7593.7218,2079.5963,2064.5048,3119.158,4506.2294,7862.8884,1976.9043,20303.4973,15316.8786,7384.2442,11268.8969,2818.9445,18066.7291,11927.988,5486.6046,7516.2898,9501.8862,3557.0693,2271.0817,3017.6365,3168.5606,6612.2957,8428.1011,4985.1961,1137.4514,6157.3765,3605.6527,11130.9226,1058.5001,3557.7435,20238.4235,2262.6357,11804.9661,3140.3287,3471.1405,2871.6544,12378.1501,1035.0584,7515.8367,6099.8787,7236.9776,9994.0408,5799.8593,9223.7032,1964.7361,3082.9203,4852.3547,3755.9051,6450.5474,19599.3127,22940.0133,6533.2604,3142.4379,4805.4416,4916.7934,21393.1738,4227.056,6474.0381,391.3643,178.6523,1195.9558,7972.1102,3727.8182,1342.7795,3698.96,1200.3717,10164.4214,3791.3741,38131.406,3076.2229,13331.6454,10940.3823,4790.1861,13454.2504,24109.0655,13761.3786,3633.3367,
P42-PWY,15453.0075,2883.8553,19015.002,7044.7845,3307.3385,2076.504,27706.964,10662.7422,7048.0344,21657.6504,20724.0542,9646.9038,19354.1728,7751.3442,14917.8848,12280.4189,5257.9089,5519.2279,7067.5523,22509.761,69608.9205,10320.1537,22111.8029,1875.4863,8266.7728,1434.4778,18887.3369,17121.9647,2232.3442,9564.989,12755.3354,7419.9737,7515.2276,10911.7764,5324.2904,14480.552,6243.4544,2414.3295,3285.4646,15411.479,417.5829,4989.2476,1165.9922,9260.5903,25941.6455,983.2701,11176.1872,4461.1213,16644.3696,3949.042,14052.0933,6608.5268,23756.9747,12481.2902,28641.4495,19402.0482,23091.7914,8003.7988,10137.5032,4278.0404,4988.6209,8608.8158,5784.3109,28048.4302,8647.7894,16827.0348,4173.0077,4245.1845,18073.4141,18741.1822,4528.1864,9659.7543,379.0807,883.7816,4205.9129,41706.6287,3013.5102,2238.2068,11954.9495,5138.7663,11077.3766,5925.4717,14176.1521,7899.6645,18986.5558,20133.6202,19556.7915,36334.2179,48378.874,24240.7613,24862.8237,
P441-PWY,64742.6056,6431.7576,71191.9586,14990.8963,20915.1703,19253.7795,32402.0676,74799.6511,25067.8819,84039.0757,33409.0701,18270.6369,84357.4417,19180.5672,53765.0623,13382.9577,9280.8214,21853.6535,32857.5498,25558.0939,21867.3317,29608.0445,36433.8578,38651.567,18566.0799,3892.6514,44136.9593,49482.122,7371.9847,26930.0744,46707.6312,20151.0018,16897.514,29738.105,21941.2866,31940.176,12697.9814,13399.6483,6381.3446,41198.9245,4576.7067,58912.552,13708.1453,33664.753,56717.2371,3062.3818,26524.5408,27808.7359,76715.0529,4821.8368,60832.3972,27315.998,54992.6785,38534.4223,124295.9801,59226.3834,53037.0474,59584.557,12691.7876,7529.7948,32235.2232,15265.7455,34384.6662,75973.7282,44965.0578,32904.1384,9871.7402,14835.3639,20102.5914,98505.3033,23661.1671,30804.4703,9987.1752,6981.4723,19542.8308,38190.8237,18265.9188,5908.7852,34006.5468,14942.1082,16720.7081,19052.3839,67327.7076,13800.5424,89065.7137,28467.5689,28481.0443,107987.9324,153974.9718,47563.8147,54748.9624,
P461-PWY,43436.8133,3747.5833,41618.0038,6455.1626,11539.1807,8142.5263,10025.5878,36582.4891,14189.7779,43880.3711,12953.8852,10175.9812,47981.8657,11903.0386,34156.2141,4787.4573,3229.679,10708.9477,17867.4737,7412.6975,7870.103,10912.4103,17781.5006,14956.9838,15416.1926,4041.748,27357.6114,28093.1428,7836.9425,17113.0832,24556.0267,11671.3272,9653.6229,13667.7923,8413.1153,18493.0151,11418.8936,7663.5772,3288.6035,19061.0588,5158.6145,18894.0313,4952.4615,11609.6006,22849.8035,3222.4945,14645.7181,17441.6168,31756.4299,2577.0261,27660.6681,14561.9636,22226.1189,13740.93,88287.4283,35890.3464,29606.0227,26956.2643,3999.2917,4828.2074,14166.0216,7613.3749,12525.2717,45153.5403,14105.0205,23871.9536,3640.3755,7618.0938,7735.7749,48978.6499,10373.9616,21189.2086,2597.7051,1972.1858,8373.6947,21951.1815,7847.3499,2534.6936,20178.4461,8511.9947,5944.9772,9121.0579,28944.8479,4836.9428,48019.4839,8375.6798,22772.9632,55053.0643,97413.8187,31935.4153,27943.8298,
P562-PWY,4101.8532,178.5344,317.5152,327.5494,3107.37,73.9081,1283.7413,334.3381,758.9189,256.3058,5462.6931,1017.769,13372.8858,262.6764,1675.4591,139.3187,132.5406,136.8736,1351.4997,1174.8077,107.6464,791.7114,593.415,141.6132,22.9414,0,1725.3255,936.8415,10.8477,365.7168,269.0255,1471.5309,91.2957,430.58,56.0818,130.2296,29.2393,197.7739,101.971,657.1501,0,19.8107,255.1091,152.8463,361.3047,0,370.2033,435.0775,986.8239,384.0536,75.8867,86.9438,616.4792,467.7056,938.5434,3319.6171,2033.0962,874.6869,134.3881,74.2566,83.7914,48.0204,26.2559,2285.7098,42.6283,3675.6148,96.0079,359.1128,5.6689,743.3836,169.1465,4179.4398,31.487,25.2305,57.552,649.1814,88.1327,22.2034,1723.5464,11.0154,43.6711,70.1243,98.7686,131.1058,1688.6731,182.5314,410.6604,843.0019,4174.1847,34.8994,5540.3765,
PANTO-PWY,11950.3107,1946.2126,15827.6928,3218.3913,3068.3937,1565.535,17204.7581,6775.9926,6839.5049,15744.2049,15568.9698,5381.2191,16290.6304,5014.1949,12565.3873,6869.4037,4323.1841,3419.0389,4823.159,14149.1473,43265.0125,25277.6156,16265.8324,3145.2396,8608.8245,2327.7386,10832.3742,11086.6763,4633.9883,7682.4062,8555.9947,4318.0129,4486.1454,6236.9664,3023.8303,8974.2478,6324.8404,1951.3277,1599.5208,7668.6751,3182.8186,2467.481,1160.4387,4431.7103,19017.0094,1908.4259,7357.6936,3561.4229,10681.8373,2445.8895,8553.4595,3899.275,18804.8822,6019.719,17927.3711,10942.7249,14547.6243,7181.856,7294.5377,2639.9265,3940.2105,4479.3041,4071.2555,22651.4841,6384.0059,10029.7008,3409.9197,2848.7739,9209.403,15017.0955,2980.7754,6548.0813,351.2376,570.794,2160.1338,23686.5541,1996.6433,1754.1099,7066.2085,3201.0125,4940.5852,3047.5457,9381.6409,3823.5818,10623.4664,11162.4665,11348.91,22814.9113,27442.1022,20731.6405,15623.6957,
PANTOSYN-PWY,16829.2174,2559.3249,21724.515,4795.3082,4286.2153,2210.7299,21494.7655,9945.4687,9071.3927,22363.6569,20381.0049,7328.2751,21943.8749,6787.3274,17211.5801,10023.0449,5365.7296,4914.9836,6779.5019,18352.2386,52722.9988,27766.3428,21704.977,4649.1809,10125.6822,2487.9465,14520.8752,15380.3832,4869.0827,10197.6459,12117.1134,5951.8384,6282.254,9114.5546,4387.7517,12174.9767,7363.5897,2745.4346,2187.2756,11398.7425,3221.2562,3691.9341,1701.557,6933.5846,24477.4952,2005.946,10469.7806,5147.2222,15605.8943,2979.4763,12420.9919,5620.8061,24372.7315,9330.0177,25643.1683,15305.9279,19617.4777,10472.3553,8797.3293,3489.5298,5718.2423,6782.0461,5984.2299,29096.4546,9490.7197,13511.8146,4525.5845,4067.6549,12823.8176,21205.0619,4418.972,8959.7679,474.0601,825.0382,3422.5271,26996.9428,2861.8573,2367.8286,10031.3622,4604.7853,7654.1557,4420.554,13591.9641,5933.6724,14923.9429,14480.1165,15354.8496,32097.3819,40472.8711,26208.0271,20566.1765,
PENTOSE-P-PWY,34002.2032,3372.2555,23174.402,4866.1022,13632.0332,4282.3801,22310.3504,15879.6871,15300.5344,24847.1868,24733.9333,9258.5902,53234.9609,8278.4777,28161.3279,3835.1592,4906.6765,3953.8168,14314.1967,18626.0842,49716.436,42985.4148,24355.9568,8277.449,14389.3534,3473.1289,26448.5566,17675.0913,6645.6457,14525.3628,14030.9432,10558.531,4100.5836,4620.9827,3372.0962,11204.409,10482.2718,4853.0406,2806.9162,12595.3434,4311.9531,2346.6545,3062.653,4648.4661,31137.5534,2744.1151,15724.5257,13230.5677,12989.4464,4050.4719,9039.1884,3040.3467,31332.2196,10773.6067,19413.1273,28878.4513,26410.9745,12597.2242,6578.5147,4214.2824,7979.377,7389.4671,6788.2364,42462.7145,7872.0243,19956.5317,4659.3364,6633.9991,4594.1278,29092.3418,7451.7817,18145.3016,1884.9982,1250.0933,2682.5857,22232.9408,4200.8784,4107.364,12018.9928,6056.392,3688.0246,5020.4453,15682.4175,3824.1921,32422.9282,10663.1682,11036.2686,27860.1013,55975.1958,24705.9501,31806.1479,
PEPTIDOGLYCANSYN-PWY,64155.7303,7689.4793,92226.3778,29056.6926,24851.7988,50482.5192,45407.167,120745.4143,28140.3561,119455.0689,63524.6456,23204.5222,84101.1395,22156.2113,60903.6478,47153.1325,12003.7644,37931.3238,42243.8592,46756.6328,75910.61,37348.158,56333.5969,118136.5967,16543.7988,3023.4673,45418.0105,64553.8722,5670.2716,31949.3903,67984.5488,24151.9323,24996.5692,52414.8847,51887.9489,41149.1555,10898.7114,20447.8074,8793.5945,69456.7515,3475.9547,207542.8376,33315.621,142745.2737,60620.8457,2353.642,32170.5842,29502.9435,137615.3215,5793.3499,117175.1779,42793.5967,58732.3732,135602.7593,163146.7963,65281.1886,61599.0326,116242.6282,16153.2953,8738.4855,56877.4086,28990.1397,87971.1086,76736.2702,153572.3113,35549.8372,13292.2638,25943.1825,54799.6199,162671.1812,72108.0002,35314.8422,104202.3122,35661.0528,36541.7631,44561.7722,30904.835,6885.0855,45489.5687,24340.7165,59944.7706,33795.6001,131956.7782,53241.4301,112148.0202,36669.1915,34429.2,159791.1521,175580.49,58852.1109,55257.6482,
PHOSLIPSYN-PWY,66146.2336,7717.7907,92693.693,28840.558,25716.6487,51554.4747,43754.1408,121779.895,29533.1938,119428.7299,69671.2875,23304.3656,91936.2159,22248.7384,60360.6904,45599.3057,11080.5375,38488.8693,43415.3345,46246.0386,80684.28,38092.9171,56799.3181,120603.1736,17550.0425,3682.2905,45853.2095,65399.4937,7030.3496,32266.5151,66157.1977,24971.1941,24877.2659,51676.7681,52580.7638,40174.0514,12138.125,20759.666,8661.6798,68806.5859,4451.117,208976.1014,33863.7823,141455.6311,65254.0259,2904.0412,32272.2064,30354.2358,137626.9312,5819.7667,118159.4999,43126.4329,59564.7796,134187.1667,166861.9478,66111.3471,61905.8476,120594.8269,14350.207,8634.8356,56060.6873,32085.2333,91059.433,78959.9315,155028.5973,36859.5075,12025.1384,26723.9902,44841.1383,163489.0023,79932.2458,37671.9408,110146.3477,35976.8158,36544.2614,38887.4776,30983.0165,7384.6346,46565.8144,25585.6799,59173.0321,34586.2641,122055.7383,52854.0274,113986.2366,34745.8222,34769.8975,158100.3541,176715.2548,56411.0813,58811.6222,
POLYAMINSYN3-PWY,667.2915,400.8387,404.0072,845.9949,267.8604,644.8946,1624.8549,1288.0539,449.4316,624.5284,2798.4101,335.1741,757.4775,477.427,752.4692,138.2313,171.6432,497.5752,956.9104,1599.4482,1951.1832,989.7815,1293.3406,126.299,302.6331,0,797.465,1181.2087,67.5457,947.0651,315.8046,607.0298,200.6729,131.6422,463.9614,1094.6689,164.8137,484.5794,114.6817,678.2174,29.1804,86.5383,100.8996,244.3896,2194.5671,0,2833.3524,323.2117,182.5972,770.5186,219.9866,88.768,674.2099,251.1054,485.318,485.1628,366.8872,467.0558,234.8787,296.9938,279.8166,692.0048,57.0293,1542.7565,233.9569,379.1594,111.3013,206.1287,365.5126,959.2824,105.2358,445.007,39.8055,22.7326,90.5243,1440.2357,372.0745,126.4692,148.9902,36.358,2694.5967,846.6783,696.3205,258.0078,2237.9126,1431.6094,256.741,326.9133,3580.3016,440.6321,380.8546,
POLYAMSYN-PWY,711.3113,540.6879,413.9658,1037.4593,289.2711,786.9267,4327.7912,1299.1809,483.7374,625.7836,2846.375,895.2647,1432.5708,501.7468,816.9286,140.8583,193.8223,552.5631,1643.3735,3969.3449,1872.1085,1045.5812,1556.1537,126.7173,7659.3802,2793.2531,924.9037,1244.4126,5610.4943,1078.1588,330.3067,1677.9596,211.838,152.3474,636.5957,1474.115,6405.3592,557.9366,116.3786,727.0546,3975.0962,85.0151,107.2298,246.8455,3132.984,2299.7673,4637.0999,354.8675,188.4906,1007.5481,224.1734,118.3022,759.2314,250.4609,617.6718,506.049,609.9287,489.8123,263.8413,1465.9007,297.2083,1075.9872,61.2775,1604.3292,283.7013,408.5651,116.6374,219.425,380.4365,982.9353,146.6211,475.369,84.094,32.647,101.8979,1648.8625,387.0841,134.1716,149.3503,37.4485,1297.9857,2258.2406,695.8395,267.3594,2781.6035,1565.8953,937.9824,325.4384,5456.8022,447.6486,387.9374,
POLYISOPRENSYN-PWY,53551.646,6497.9385,81631.8465,25376.4237,19110.4884,45720.5529,23777.7514,107532.0085,24045.8707,104782.3369,26193.7363,19073.1483,66628.067,18534.8939,48576.723,41098.9073,8861.0479,34198.8731,36377.2617,20083.2653,59562.3677,33364.0278,36126.4107,108190.8985,14732.4274,2780.5332,33588.8825,53745.3033,5251.1378,26383.34,57716.5468,20066.7137,22105.5043,46421.002,46961.4402,34627.8647,9611.3209,18021.084,7511.5394,60565.68,3275.7403,187728.7904,30180.1585,127042.1453,36577.8004,2179.3615,28047.6199,25078.6837,123274.6448,4371.0881,105492.4811,38216.2206,37523.9955,119772.5377,136436.156,54307.7074,50577.367,105951.4506,11193.7691,6788.4374,49797.3482,26265.5532,78345.6383,63753.0914,36056.2491,29418.1373,9539.358,23562.7636,38455.3443,144032.4189,67033.9088,29893.563,95631.6332,32284.1224,32717.5019,32724.4968,27427.4437,5355.7366,40094.7165,21933.1,51743.1454,22272.9655,108485.4289,47134.6186,97158.7775,19954.2981,29165.66,139617.0628,154844.0184,48664.0301,43410.6599,
PPGPPMET-PWY,18.7473,533.2494,205.4511,302.9334,18.1177,408.8602,264.7285,416.9249,11.2483,51.8657,169.7915,432.4607,18.7482,172.5656,66.8442,69.3297,1.8749,113.0053,245.0232,125.3776,168.6088,917.6827,62.4704,7.4998,10729.5453,2933.7322,27.4914,151.1084,5660.0947,356.6974,12.4991,248.2941,85.5037,101.7893,83.6939,312.7533,8202.3095,505.3073,74.7096,181.6649,3643.3364,5.6249,3.7498,12.4995,204.6495,2331.3109,5983.5695,22.4919,4.3749,1001.391,3.75,64.9654,40.6093,12.4995,34.9973,4.9998,19.9972,7.4998,79.8147,962.631,0,1197.4617,0,248.4313,238.9141,9.9989,14.9904,147.7843,69.3212,135.5882,129.9131,7.4994,0,0,0,193.9922,217.5781,9.9932,12.4987,22.4907,172.2651,135.2317,233.5322,87.4369,562.0467,304.0718,24.3686,30.6225,95.6025,4.9998,53.092,
PRPP-PWY,7270.2495,3336.9128,10590.859,5893.1424,1491.7257,3812.7734,16311.924,9802.8997,2082.3571,50572.4834,14206.9774,7805.8738,6219.9334,2774.7056,10372.0503,5344.7303,3598.8619,3252.3487,7481.9758,13974.8094,39832.2824,7880.6818,12146.9361,523.9833,15111.8061,3092.5489,6774.7266,7206.5362,5852.7235,6113.9303,2353.335,3439.994,2267.8357,2868.5425,2419.5926,6898.9113,10319.7873,4104.9121,1331.6636,10146.0728,3634.2711,648.1577,493.634,1831.4622,16501.9025,2426.546,20481.7478,1583.459,2123.7296,3680.9408,2499.152,3123.0778,6468.0462,1614.4057,4061.7801,4825.9273,5609.3254,3271.9197,5465.2264,4653.8014,1110.0818,13119.8739,1325.4661,10243.7756,11891.9685,13115.9795,3760.3346,2661.5884,8140.265,10974.842,7269.8601,7182.4104,662.7568,2672.7162,470.2311,8267.4237,2876.1747,1133.8243,12829.4164,4279.2146,4218.5613,4940.8128,28297.5075,627.7855,10496.0747,8415.7521,11150.1705,11493.2194,31648.1432,23554.2829,17830.2119,
PWY-1269,7952.3559,917.0347,2146.4163,2482.7012,1618.1793,735.806,12090.6494,3242.8861,3401.765,9216.3523,6181.2721,3542.5554,8590.7252,2960.3763,8105.9967,5305.1869,2841.5342,1778.3527,1991.8412,9110.2439,35529.4274,3284.3001,8008.4088,838.6657,8738.8828,3070.6298,7193.2697,5703.6537,6268.4833,4376.1701,5281.7361,2453.0352,2705.5489,3594.5765,1549.2998,5735.8888,7321.1919,996.3375,1214.5351,5011.5713,4433.6125,1375.6933,489.4524,2953.9107,10714.4436,2581.235,6222.5656,1991.2988,5679.1462,1837.3669,4310.0286,2069.4476,13116.2608,3937.6547,9474.5559,6938.69,9169.2702,3864.6341,5525.1205,2133.6506,2431.478,3666.1553,2406.7843,12879.2623,4092.2123,6930.8816,2417.3867,776.8292,6559.5144,7480.8165,1635.3648,3664.3583,153.0282,281.2728,1442.0514,20047.5783,1068.9165,1075.4807,4179.0052,1867.6918,3783.4319,2107.8006,6176.7928,2324.4021,5034.2987,9794.7512,8828.9763,11254.5923,19797.6224,13676.8838,11224.2319,
PWY-1861,24252.8074,1912.5703,17086.6261,2445.3928,14677.5977,1061.5779,17415.7641,5439.107,8345.8256,9196.2966,24743.6767,5075.2772,52004.5553,3371.2187,28354.9408,1646.7136,5665.4384,904.5872,6390.241,20042.6406,4945.4156,2670.0415,15723.9336,1794.4444,737.9439,71.2469,25788.3507,12224.1623,146.399,10040.8062,23238.8868,5798.7234,2142.5488,1833.9646,1941.1537,8693.0152,1020.5835,1961.7582,1373.8528,6892.6688,5.9961,4071.8705,1267.4706,7113.5643,42208.1873,30.8272,2019.4331,8389.4738,5453.4009,1931.1795,11014.9729,526.1282,47900.3159,10308.348,5274.4435,22526.5811,18116.1205,6926.7401,7737.1882,2627.535,14081.5436,688.6587,21454.3387,29231.449,33710.4305,13475.3552,8358.8773,3879.1618,38523.198,13182.5438,3134.4578,13502.3972,2121.5168,664.5735,950.8758,9977.6842,1832.8922,3299.4799,7456.1499,3265.975,4632.3467,7144.1048,55411.1445,1492.5682,20011.2559,10500.2917,2932.2966,12296.7718,31751.7638,17260.2025,40478.2423,
PWY-2941,55187.683,6349.2031,77800.6763,25621.4826,21390.8087,36436.2398,26700.1533,106342.6604,21128.8266,106387.9676,27298.3252,16369.7608,65233.9169,16353.6504,54404.3128,41689.8019,10027.4501,31962.7102,31912.6692,23520.2823,63529.6777,31940.9081,39741.6429,90355.8513,12621.6931,1540.113,37660.2764,46188.9541,2270.4771,27038.1546,52228.4648,19714.7837,16971.8025,43940.8585,36679.3055,30625.7715,7836.8687,17896.7404,7563.7078,60742.5165,466.081,186172.9499,21359.4865,127088.356,39997.2015,1003.7962,28296.5647,25823.5227,111431.2077,4286.7041,86388.6032,38200.2204,46337.0268,121029.472,136262.0375,56955.0307,43374.9521,99656.9516,12824.5646,7188.0996,43672.0809,26563.0858,79014.4525,64755.651,60603.171,30073.0374,9896.9905,16242.3439,48673.6563,145218.3304,49777.7566,31239.7342,95837.3496,32330.1633,30478.8272,29381.0617,27560.3742,3956.2645,38153.2055,13802.0492,52187.6205,24845.2353,115895.5286,46689.893,100339.6682,19626.7123,29455.5966,134198.7176,148422.9066,50083.6682,43120.0021,
PWY-2942,62750.6724,7168.7243,82210.902,27047.0121,24426.9717,38227.5745,45797.5911,109979.382,25340.5793,111001.1449,65865.3942,19884.094,85543.4879,19416.984,59707.4461,43624.0487,11629.7913,33243.5941,35486.8149,47423.2642,81846.3245,35145.5629,55781.6198,92982.7571,16477.2769,3388.8462,45504.9723,53872.7541,6440.6847,30591.0031,56184.5153,22803.5734,18892.2735,45657.4867,38545.442,34630.6415,11561.5804,18952.2481,8330.9535,63717.5485,4056.397,187801.2018,22521.123,128317.8622,64571.6492,2664.7892,31121.9152,28273.1605,115106.3287,5924.8428,90871.8072,39505.237,62170.7381,123013.1792,153710.8057,63289.8707,52694.3666,102223.6774,15886.6515,8715.6472,45753.1692,27767.175,80023.811,77441.9468,144749.5358,35745.7898,11429.5875,17666.3582,50502.698,150148.9654,52184.7609,35223.8912,96019.7405,32463.0346,31358.4773,45902.7219,28321.0258,6312.535,41055.4272,15885.4479,55224.8363,33013.7213,119702.5784,48026.8676,106590.4923,36008.3176,33727.7804,140847.8882,162214.5908,56082.3087,56122.0032,
PWY-3001,45294.9034,4635.7652,34057.7103,11792.6263,18879.2672,6770.1159,38782.5005,34323.3817,16648.9061,47180.8238,63162.3257,13977.9915,62487.0347,12438.7102,38972.3139,17572.1738,9372.6438,8392.9384,20132.2984,40715.4863,51150.1397,30783.3813,39109.4115,11453.7287,11874.4286,3115.1219,38166.1031,33658.7783,6115.6518,19168.9592,32311.4284,14867.1376,9725.7905,14636.3287,8931.5564,22346.0382,9325.0885,6967.3032,4965.1559,27220.397,4025.794,18450.0217,4748.0959,21019.2436,58800.1535,2519.5681,17004.6669,17450.6906,27921.9004,4935.7723,27933.6207,8165.7548,55485.4987,30908.594,42992.3087,43260.5086,38280.2565,22806.5181,13603.5735,5475.9665,21078.5212,7620.3254,23873.2691,57011.9162,66153.9115,22348.0292,10114.3508,7090.0785,42059.0147,51167.8208,8760.6216,18399.6476,4665.979,1950.0527,7053.4987,40556.0822,7965.1163,4682.5251,19340.1415,8639.8377,22665.8208,14835.5583,75991.3215,12825.9777,51132.1565,29091.0004,18548.298,59050.8673,90926.6898,38328.2163,47170.3601,
PWY-3781,14443.2942,378.82,3920.4904,1018.4676,3138.9366,486.4929,4149.1733,2588.1794,6520.4121,21529.8699,3954.6616,1717.5661,19926.436,2873.3422,12857.3104,669.1219,3537.615,1425.8159,1308.8922,2943.2016,336.4641,2314.2793,3725.0111,1320.6798,541.8069,0,12633.9724,4089.721,92.7087,5125.4098,5304.3585,2447.9384,1226.9695,559.5302,719.7342,3759.9939,335.7256,740.653,646.1645,2658.0982,1,897.387,867.3589,1440.5358,16542.5479,67.622,1513.1863,3680.2112,6359.2404,382.342,3193.5382,1665.2352,16241.1571,2168.2226,11637.6738,8874.4349,9992.0248,6802.541,5308.9194,865.8649,3287.9249,70.538,3298.3937,19889.8972,6672.0279,7778.9044,2513.2793,460.3181,4280.339,11976.0525,1424.5585,5194.7927,129.3672,93.4137,1712.4415,10895.4521,1054.4907,1156.3984,2980.9154,813.8254,1366.8792,1754.7853,11167.4658,340.5577,2980.7134,8618.7337,6860.5133,2613.6988,24562.6318,21503.7978,21368.0611,
PWY-4361,0,0,0,0,0,0,0,0,0,0,0,0,20.5198,0,0,0,0,7.2512,0,0,0,0,0,0,0,0,25.9862,15.364,0,0,0,7.6413,0,0,0,8.225,0,0,0,14.7567,0,0,0,0,30.93,0,0,0,0,0,0,0,0,0,62.986,68.7574,0,55.7432,0,0,13.6292,0,0,39.1038,0,0,0,0,8.1737,50.5295,0,0,0,0,15.8869,37.5757,0,0,20.2074,0,12.8431,0,36.9463,0,0,0,0,0,30.0204,2.9835,54.0533,
PWY-4984,2676.2332,1149.8256,16693.3977,2079.0457,625.0834,15161.7996,6568.5964,27702.5613,8443.3053,13749.2523,707.5928,4253.8464,19861.4213,4022.9704,24550.1541,222.4369,182.9079,11022.0245,2114.374,4232.8966,17488.9068,5853.323,18042.0256,41136.6905,1794.9677,15.9404,144.6147,19366.8082,0,11959.0324,23586.4006,5562.2919,6014.8951,294.028,9887.9068,10799.1316,1163.358,7637.2645,123.2322,3917.6626,0,34957.1013,201.7556,3513.1794,5519.8321,0,2280.8635,834.9457,887.8812,836.2687,33913.2491,13949.7517,12610.0562,1658.9561,58047.5786,3316.1266,14575.5571,35136.1337,419.6607,3358.3549,18587.9565,5309.761,28406.2538,1049.7827,264.6536,14045.872,2728.6689,7196.2066,227.5099,590.9378,12028.5395,15314.1154,25130.7544,9077.7309,2470.3183,1270.2163,558.1434,2055.2899,13481.3436,5374.1827,6045.7655,8449.1807,360.7848,1446.2094,3162.2753,2065.0202,10907.793,4325.5016,39989.5651,19195.1073,9419.7313,
