#OTU ID,Lyz204BFP244S41,Itg10DTT456S50,Lyz203BDTT232S72,Itg20DTT504S99,Vil101BFP08,Vil114BFP167,Itg18DTT492S87,Vil1014BDTT164,Lyz201BFP208S56,Itg22DTT516S11,Itg24FP528S31,Vil108BFP95,Vil103BFP32,Itg26FP540S44,Vil106BFP68,Vil109BDTT104,Vil103BDTT32,Vil102BDTT20,Lyz204BDTT244S85,Vil104BDTT44,Itg24DTT528S23,Itg08DTT444S37,Lyz208BFP292S90,Vil110BFP119,Vil104BFP44,Itg16DTT480S75,Itg20FP504S7,Itg12DTT468S62,Lyz207BDTT280S122,Vil109BFP107,Lyz201BDTT208S48,Itg02DTT408S100,Lyz205BFP256S53,Lyz202BFP220S68,Vil1013BDTT152,Vil101BDTT08,Lyz205BDTT256S97,Itg02FP408S8,Lyz208BDTT292S134,Itg22FP516S19,Vil108BDTT92,Itg04FP420S20,Itg10FP456S58,Itg18FP492S95,Itg12FP468S70,Lyz206BFP268S65,Vil113BFP155,Itg08FP444S45,Vil1010BDTT116,Lyz203BFP232S80,Itg04DTT420S12,Lyz202BDTT220S60,Itg06FP432S33,Vil107BDTT80,Lyz207BFP280S78,Vil105BDTT56,Itg16FP480S83,Vil107BFP80,Vil105BFP56,Lyz206BDTT268S109,Vil106BDTT68,Vil102BFP20,Itg06DTT432S25,Itg26DTT540S36,LYZdtt364,SLCdtt050,SLCdtt110,LYZFP304,SLCdtt002,LYZFP328,LYZdtt328,SLCdtt074,LYZdtt304,SLCFP128,SLCFP092,SLCFP002,SLCdtt092,LYZFP316,SLCdtt020,SLCdtt128,SLCFP050,LYZFP352,LYZdtt340,LYZFP340,SLCFP074,SLCFP068,LYZdtt352,LYZdtt316,SLCFP110,SLCdtt068,SLCFP020,SLCdtt164,SLCFP164,SLCdtt146,SLCFP146,taxonomy
ILEUSYN-PWY,17278.2292,20790.2084,30671.1075,28061.3762,24517.6025,5264.1698,36904.8387,19970.739,52015.4066,16837.9493,23833.3401,48592.5947,35794.6891,27722.7154,41772.5547,12695.1863,24887.5429,7001.3562,19280.9154,17468.4442,24587.849,36471.1753,15086.5919,41575.5933,28016.8666,55923.126,41201.8514,31029.4125,11204.2711,47891.0729,42146.6891,15607.2258,8781.0412,42036.4244,10302.9787,6701.2999,34362.4734,12254.3443,15231.9137,36608.8338,9269.1068,11168.1104,19037.2128,39461.4279,29240.8777,21543.5519,6403.835,20493.9648,18893.2619,22543.4925,14576.5158,32871.8649,23504.019,4570.9543,11437.804,9176.2826,44814.9529,32422.9639,44846.0637,19782.579,7962.3141,28628.0066,34786.8084,21851.2061,110960.27,27564.9231,25248.0145,69490.4668,36886.4911,46287.4438,108915.9702,66204.118,171891.0103,16968.5088,21546.7475,14832.5488,30411.5319,72003.9895,15400.5284,30093.0938,14290.1092,38409.7971,77762.7924,41293.0937,14846.5399,9355.2807,62200.0555,74831.6354,9425.6139,13437.62,18062.6425,83752.3693,19790.9689,14580.7475,33589.5407,
KDO-NAGLIPASYN-PWY,0,0,180.5253,73.7826,85.2188,315.1428,129.9063,2379.2374,9.9895,0,0,59.3054,23.9373,11.9809,15.9716,3390.57,235.5706,215.2518,29.3637,266.1176,79.0386,102.7358,7.977,23.8704,0,432.766,13.9779,0,298.4893,11.9684,0,535.8045,5.9833,9.9901,3053.3627,55.0784,45.3605,0,328.0317,0,4213.2225,0,0,0,0,9.9701,138.6368,0,4559.438,15.9634,0,45.0525,0,3234.2585,0,5712.5882,13.9857,11.989,37.8473,23.5935,5202.7044,11.985,41.6945,50.8561,1465.1977,0,50.32,757.7674,441.59,629.5739,1320.1596,232.166,9055.2673,0,124.2788,98.3867,0,885.4127,0,0,103.735,217.3242,702.6102,309.8552,0,0,657.4826,1257.3282,0,0,0,1.9992,19.9552,1.9976,121.7063,
KETOGLUCONMET-PWY,0,0,45.1499,18.1869,21.1935,87.0216,32.4041,1084.6426,2.4957,0,0,14.9418,5.9839,2.9785,3.9854,3356.8701,59.9795,56.5568,7.3879,67.8806,19.5405,25.3635,1.9887,5.8565,0,105.8414,3.4723,0,78.375,2.9937,0,145.2215,1.4952,2.4948,1355.7168,13.8304,11.3072,0,89.0679,0,5748.9687,0,0,0,0,2.4746,35.2039,0,3372.294,3.9856,0,11.3255,0,4518.4998,0,8039.2466,3.4912,2.9928,9.4337,5.8767,7371.4977,2.9943,10.3534,12.6593,380.9858,0,12.6404,181.3711,121.069,143.8953,316.5351,60.5232,2144.9043,0,31.402,24.6642,0,211.1864,0,0,25.4027,50.1892,177.3231,74.0075,0,0,154.8254,315.236,0,0,0,0.4998,4.9873,0.4995,30.3336,
LACTOSECAT-PWY,14943.0895,11736.9786,19002.4564,6133.3293,11100.3926,4201.3392,4740.874,3946.6289,13160.3201,2029.8415,12442.5246,128446.6247,8755.0472,9807.9236,5916.6804,2657.2129,3992.936,3811.8312,5516.8822,4910.3702,4312.5528,10535.5682,13144.0559,36267.0787,8572.671,11953.6048,18671.0684,9567.3597,3466.378,34818.69,3445.1891,4812.5636,1254.1136,35309.5578,1577.3506,2847.2058,2998.0528,2588.3181,7003.8745,10576.524,1004.0588,14009.4283,18271.7721,7699.9494,9977.069,4571.6268,7950.3828,8767.0168,4108.5416,61997.4895,8751.123,8408.3907,28018.9718,457.7216,6518.3787,839.9627,11084.1017,5839.9453,3922.9076,1846.9985,722.8624,13306.0139,21000.1495,4055.3271,1980.6877,2224.7062,3853.1132,43712.9747,9744.6915,5600.2931,12846.2781,17021.7013,25647.173,8072.168,12931.7625,6628.7354,10597.7581,45639.9717,1302.6076,3736.1282,1415.3052,8462.8495,11317.7565,16415.0359,13430.6738,4801.8819,100131.8807,116347.857,977.7515,1558.8684,3502.1718,9615.9418,5047.2058,3551.4155,21067.1709,
LEU-DEG2-PWY,0,0,4.6093,10.7064,11.6911,1.4285,38.6295,12.0442,14.9217,6.4783,31.8043,256.4265,273.3438,41.6105,43.9388,42.8645,116.3288,0,0,160.2559,9.1203,109.6215,4.6669,324.9971,156.2236,70.0857,27.2058,52.6213,4.1335,91.781,0,23.4452,7.0439,23.4201,0,0,9.0264,16.6169,16.0903,11.9774,0,12.8501,13.4327,73.8785,40.5628,6.8636,0,59.2602,103.7382,4.4077,39.4865,10.7275,30.5535,0,4.6678,0,55.7949,36.4194,14.1863,5.9954,7.7759,27.1965,45.7468,25.4528,0,21.607,35.4115,38.7538,39.1983,0,0,14.0409,0,71.1036,22.0024,0,0,107.5837,51.5717,40.9848,0,95.4213,0,0,0,10.1593,88.59,89.2954,42.7138,0,40.6252,28.0198,37.1199,11.3288,4.711,
MET-SAM-PWY,2256.1519,6459.6218,4141.9952,3651.9796,1799.825,4548.5971,6942.793,7725.405,7337.3902,3561.4592,4155.5147,13821.0001,5521.6221,5949.162,3585.3068,7231.4108,6310.9325,692.6506,3964.5483,3192.4381,4705.5247,7855.8563,4220.911,5850.4813,3132.2896,3844.1342,3616.0781,4681.5772,1988.4192,12238.0846,14767.1465,3596.394,935.9916,5123.1164,5564.6017,619.9121,5781.4819,2076.2495,3343.4034,8419.4601,7286.9111,1370.0885,3511.7211,7169.083,8008.3997,4503.8131,1431.6958,3969.1089,8433.9402,1657.7917,1289.7945,5271.236,2566.1986,4193.0284,1312.6372,8007.6937,4243.5326,15708.2869,5115.1678,5448.635,6962.8678,1355.2468,3314.3622,5350.072,24735.1041,3082.9071,6075.2833,14907.1899,9450.4288,4260.2435,17567.9816,18915.7228,28362.0756,2533.6236,2298.249,2444.7274,5130.6243,20351.7956,2766.8626,9083.8154,1803.2679,6261.9835,19594.4415,6863.7108,3770.0073,606.0888,11058.3876,25889.1644,1952.0783,2639.9469,1212.6173,40960.5807,2420.5771,2973.1747,4470.5271,
METH-ACETATE-PWY,1038.9017,2069.353,2307.2984,1834.8842,1621.9561,890.4212,1710.8005,2340.3091,1613.6045,1512.1999,1731.4065,1302.5251,1176.176,1894.6739,2678.4921,1913.3312,1133.3167,299.2538,1743.7812,1708.8779,1955.2996,2419.5244,1484.0623,1150.0376,1420.1089,1793.848,1726.2246,1749.5508,1873.177,1030.8692,1785.0756,1317.5669,360.6828,1548.5664,109.9414,464.6036,2378.3129,777.4937,1464.429,2529.299,591.5229,402.9194,1201.0876,1163.9425,1826.4557,3032.9945,194.4772,858.1512,1649.4995,1334.246,684.7908,1630.3082,921.8006,103.1185,918.542,244.2819,1608.143,1094.6396,3639.5038,3219.3185,112.7067,1159.8368,2382.9789,2007.9642,7764.4106,5349.04,1573.9674,3467.7094,1612.0113,1478.9089,3971.4138,6143.362,3933.3741,953.609,2047.2866,594.9061,1629.6845,2387.5379,2511.7117,4242.3494,2162.3427,1480.8163,2930.0041,1146.527,864.295,255.6578,3008.634,2400.4999,503.4213,1159.6745,2000.572,7428.44,3116.8065,313.0429,783.8611,
METHGLYUT-PWY,0,0,39.6056,14.8289,22.042,70.5766,28.6485,874.0963,2.0743,0,0,18.364,8.1553,3.5812,6.2482,2682.7665,58.233,42.754,6.0867,67.1443,19.4094,28.2918,1.6351,7.2662,1.661,96.9883,2.8992,0,67.2857,3.6831,0,124.3323,1.6763,2.8358,1266.2794,10.9199,10.3463,0,73.5475,0,4156.3753,0,0,0,0,2.0717,34.7266,0,2779.2154,3.309,0,10.4866,0,3091.0035,0,5566.9308,4.19,5.6759,9.3617,4.8751,5065.5573,4.9819,10.7554,13.1098,294.4977,0,13.7346,147.2892,109.1267,114.7037,244.9633,42.6241,1882.3158,0,30.2003,20.7845,0,186.8591,0,0,21.6011,54.2674,142.6329,62.4617,0,0,150.7739,268.8888,0,0,0,0.612,5.6633,0.6062,26.0132,
NAD-BIOSYNTHESIS-II,1470.5086,2149.015,3393.0624,6099.399,2344.5417,223.5239,7556.9606,3070.2351,5738.3836,2681.6548,2343.9234,7221.7208,3603.5341,2051.5981,8027.3437,4024.6121,4362.9185,1418.9966,2640.1081,2093.4456,5341.9157,3658.9582,1678.6256,1256.5671,2355.4356,9881.1024,8475.8864,4566.8835,2482.5818,484.9291,3904.7167,2133.6211,779.8705,4599.8423,2901.0671,969.5333,4122.6389,605.5077,1621.7365,4195.0277,5356.1609,893.8583,1657.7369,2604.1674,3642.5397,1706.2557,119.3305,1208.5135,4797.4901,1053.4601,1523.6478,4910.4773,1163.2755,3752.3638,1639.5001,6940.758,3760.8118,1806.9294,5372.7528,1688.9667,6294.0727,3081.0864,5186.5717,2902.5505,6331.9172,5910.2541,3939.8222,5327.8806,8898.8536,2144.822,8089.4344,4437.4256,23012.3531,3202.8104,2608.5653,3853.3481,4815.2216,4934.4043,838.5278,5698.546,2919.8305,528.3441,4615.2479,1402.7727,716.8319,1203.8121,1255.97,6688.2716,1159.7697,2302.5683,919.0884,3583.8487,1761.8918,2276.095,8300.6895,
NAGLIPASYN-PWY,2766.1985,2073.8017,4328.6036,2419.16,8874.9583,1030.7102,4018.9295,3807.5066,8956.9604,1239.3157,4883.304,4848.0292,8579.9863,7044.5033,8411.7454,3693.1259,3356.4184,1384.4194,1296.3843,3950.5038,2054.0416,7933.4091,2623.0668,4182.7573,8235.1771,6805.9747,8424.5106,4929.0678,1383.008,3909.5406,1435.1438,2367.8357,2022.3977,9518.485,5007.9149,1027.1349,3052.4414,2762.3365,1411.6628,6444.7558,4148.8221,1915.6834,4010.2294,9300.8274,5801.7953,3150.3433,3596.1435,6426.1783,5526.0885,6619.2559,1801.8917,2087.8438,7645.9574,3162.6951,2792.6809,5572.3789,12674.6359,11602.8438,8813.7379,1333.0927,5062.8958,9056.1898,5332.4137,2171.2822,6628.3647,2338.0103,1475.4207,11418.814,2571.8602,12740.9642,14729.0119,3117.2465,59008.5415,5560.7149,2625.0065,2614.0852,760.9056,18199.8417,1813.4415,2061.3643,4609.059,9552.1849,4926.0325,9072.4819,3948.3219,4114.9139,10009.3656,9789.2257,1299.5157,1588.9242,4912.4853,4593.2942,8433.1477,1626.6408,6268.8078,
NONMEVIPP-PWY,14584.0363,16833.0552,24280.8073,20676.6607,18562.1217,8726.8675,29451.5299,17777.6001,41586.8,14123.4053,25928.7448,23360.3058,32884.7974,27261.9143,31946.8971,12461.55,19824.6592,5577.6562,15879.4516,14103.513,20396.3104,30956.3639,10818.5327,48804.5882,23510.071,42559.6166,30784.6834,25479.9546,8039.1469,49557.18,35530.8233,14947.8484,8743.9738,30960.8239,8388.1196,4578.8432,28585.6555,15979.1888,12307.0047,35224.2075,7696.6671,8991.3066,17716.3315,35120.8527,26016.4768,21447.7916,5769.3038,18288.6666,17052.9582,18371.0586,10941.9171,25274.041,18122.1936,3604.551,8837.2643,7197.6579,37824.9139,26721.7139,37363.8212,16462.1416,6071.546,26263.1936,23481.2263,18722.7579,98049.871,22531.7709,21476.4023,55344.788,27760.0873,42760.0464,91804.5151,53972.3855,132434.6071,12597.6132,17951.2726,11692.3143,22317.7571,61343.6619,12632.5111,24434.0838,11742.7928,32465.7297,65303.9584,33808.9406,11764.9328,8077.0073,46269.2436,59253.7199,8402.1511,10925.5557,15386.8022,74585.1883,22630.0053,12440.4913,27834.1768,
NONOXIPENT-PWY,32406.2197,34292.6313,49300.8789,36549.017,32954.2178,12677.4075,50480.8841,30085.3743,74262.1634,23394.9421,45021.1299,72082.2542,51729.6485,46518.6521,51333.3998,20944.43,31232.035,10676.8775,28836.3411,24451.2181,34059.0764,55265.4318,23663.8206,117237.4413,41770.8591,79880.7916,59114.3167,46865.3757,14498.4782,114391.3556,57850.6768,25525.2512,13310.3966,66588.3249,16903.0879,8752.6712,45294.625,24968.9746,21978.0369,62518.1245,14336.0735,20625.0395,41721.2392,72577.7997,48384.2848,34304.0275,6178.6665,36190.2105,28358.1891,44742.0824,22812.001,46554.5154,40089.3164,7109.8145,17298.916,14059.0006,67739.1696,41287.4925,57054.4075,26699.4337,12155.7135,46752.8426,49340.9847,31235.3402,151640.3629,37787.4651,36599.0141,107258.0416,49821.3712,67587.0718,146596.8467,93388.2078,229586.8801,22209.2419,42646.0574,23686.9593,44647.2572,113476.3457,20885.468,38851.1854,19164.36,52190.366,107270.9708,63669.8155,23028.7129,13278.9188,111812.5116,126798.8073,13020.3577,17525.0021,27546.3565,107484.1987,35073.3807,22184.1487,58391.8086,
OANTIGEN-PWY,19938.3542,18706.1332,27304.4596,18245.829,18060.3845,35087.9929,23962.5455,15409.6593,36144.1361,10895.6889,28079.0086,52024.0306,27807.6222,26694.7471,24219.9605,9870.5056,16251.1736,6068.9151,13632.781,13361.9794,16561.9658,28854.7928,13425.7813,77737.9296,22707.5271,34980.5134,34415.3867,24335.2765,7035.1486,61752.4658,26286.1946,14482.2321,7022.8697,37811.7794,7857.759,4634.0969,22347.9777,16379.8195,12440.8951,35404.1004,5177.591,12680.8613,28080.2081,38492.1797,26441.3783,17772.0859,11786.2849,20743.1428,14604.5584,45003.5599,12059.3529,22233.6422,25564.9584,1323.2063,9240.9513,3672.7465,33412.4231,22299.2916,27838.4245,11831.4562,2825.4456,27581.5557,26710.5646,15394.5529,74174.2066,15850.2667,16031.8779,61864.2908,23903.4746,31392.0829,75620.7944,47418.259,105498.8231,13275.3119,28894.7205,12849.1074,22113.2675,82890.9886,9431.8004,15342.3348,8664.6259,27289.6077,51066.3644,32568.2678,14521.4668,8613.0429,71565.0338,107761.2175,6452.2906,8528.7407,13967.0688,47807.8849,22843.7746,10967.1536,34123.5968,
ORNARGDEG-PWY,0,0,54.4268,22.0169,24.8606,116.7869,38.806,1265.0505,2.9152,0,0,17.4679,6.9893,3.4987,4.6227,2969.2576,70.5313,71.0273,8.7249,81.2975,23.7509,30.2374,2.3289,6.9952,0,131.4585,4.0819,0,97.84,3.4983,0,190.028,1.7459,2.9146,1494.4345,16.1298,13.3364,0,115.031,0,4637.6685,0,0,0,0,2.9145,41.5839,0,3206.4864,4.6644,0,13.3306,0,3551.8464,0,6363.0106,4.0814,3.4906,10.9651,6.957,5825.8082,3.4988,12.1775,15.1049,458.1976,0,15.078,227.5067,149.8925,176.5182,371.646,72.1148,2797.778,0,37.7459,29.5679,0,261.261,0,0,30.5545,62.8252,218.3323,89.0998,0,0,194.8952,384.3878,0,0,0,0.5832,5.829,0.5832,36.0442,
ORNDEG-PWY,0,0,46.9234,18.9622,21.4745,107.8321,33.3547,1234.4607,2.4997,0,0,14.999,5.9975,2.9995,3.9978,3217.9936,62.3554,62.3745,7.4924,70.5224,20.4358,25.9602,1.9998,5.9995,0,114.1843,3.4996,0,91.786,2.9999,0,168.022,1.4985,2.4999,1470.8251,14.4543,11.4593,0,104.0296,0,5238.645,0,0,0,0,2.4992,35.9859,0,3366.3962,3.9998,0,11.4894,0,4073.0013,0,7260.4724,3.4993,2.9989,9.4831,5.9862,6651.9673,2.9996,10.4967,12.9716,390.6684,0,12.9708,201.4527,130.869,160.5609,352.8234,62.3541,2602.4752,0,32.4761,25.453,0,231.3164,0,0,26.3228,55.243,201.4553,79.7345,0,0,174.8209,356.8637,0,0,0,0.5,4.9982,0.5,30.9787,
P105-PWY,0,0,340.5607,138.1964,156.3894,641.5132,242.8918,4250.8944,18.7161,0,0,111.3067,44.7541,22.4667,29.1618,5650.7406,410.2156,407.1727,55.4171,492.4591,148.8973,192.6093,14.8974,44.7629,0,796.9686,26.2087,0,494.0069,22.4575,0,1045.192,11.1642,18.7016,4595.9167,92.8248,84.1264,0,610.2431,0,6744.0885,0,0,0,0,18.6921,257.767,0,7350.0917,29.9237,0,84.1292,0,4604.8124,0,8437.0577,26.2071,22.3228,69.0073,43.9658,7521.6165,22.4665,77.1544,95.6881,2267.9452,0,95.2561,1338.3224,872.1361,979.341,1903.2517,443.0054,13609.9561,0,236.2367,186.0934,0,1544.8272,0,0,192.3399,379.3483,1118.9514,520.0704,0,0,1121.443,2041.343,0,0,0,3.7475,37.3683,3.747,229.3073,
P108-PWY,5049.7184,3632.358,7426.3627,3795.3313,13216.2246,1568.1309,5352.9488,5009.8112,15409.8489,2130.1587,8316.2493,6342.7053,13217.9203,12143.8471,14324.0924,2842.4317,5107.397,2199.9569,2462.6593,6468.7168,3591.6259,12687.3163,4504.8645,4839.3488,13657.2835,10811.0776,14742.9459,8064.6384,2042.7463,5860.4829,2559.071,3934.931,3264.5236,15722.2238,6828.5793,1666.3491,4180.1093,4790.2432,2328.905,11188.396,2083.8652,3262.5172,7163.7103,14488.3582,10295.0268,5634.6134,5019.7655,10275.4558,5333.4571,11085.2229,2997.3855,3824.9084,11601.1317,459.4028,4225.9979,949.3807,19668.7586,16767.2514,14785.3704,2280.4725,919.2405,13926.6158,8525.3225,3668.2453,11652.2556,5058.8679,2798.5515,20871.1329,4456.0648,19474.1133,21925.3454,7574.8687,81588.5185,8181.8785,4338.7477,4359.8434,1187.2177,32529.0541,2605.5599,3747.6166,7300.5557,17151.8383,6018.3646,14029.2169,7151.1957,6304.3337,20508.2956,16856.424,2545.59,2994.7625,7138.0198,8738.5646,12224.4591,2931.0095,10805.6102,
P122-PWY,19124.6441,17029.3558,24902.7203,10543.2947,15937.976,55304.5031,11009.7395,9074.6245,22726.3377,5393.6502,22282.0331,124807.342,16577.8571,20572.1859,11715.17,4004.6007,7651.1895,5201.1357,8487.4573,9280.0603,8583.9954,19434.3946,15794.376,67649.5231,18145.2704,18368.6593,31785.3036,16506.7759,4765.796,50510.3735,7419.7532,10805.8485,3000.3249,43662.3579,5619.8937,3971.0652,8006.9502,12687.8311,9595.01,29711.5364,2558.6718,16397.9629,30879.3099,30086.4511,20290.9846,10013.4391,52224.9205,18215.4243,6878.8925,64893.74,11461.8128,13691.9478,32729.2505,944.3288,7868.0197,2002.9759,19729.9102,16059.8598,11219.3685,4903.476,1550.3433,22921.884,25727.3074,8200.5413,12320.8803,6985.1098,7173.09,61937.5144,15317.704,10762.3831,28194.942,27971.4204,49780.6237,13437.7954,35859.0363,11367.0059,18474.5762,82585.6102,3539.3583,6585.3325,5429.3819,15331.0343,21629.2504,23167.801,16926.6947,8432.8311,107049.6391,141969.2024,2685.1257,4651.0132,6429.7137,22386.9553,17390.5011,7111.9401,33485.5703,
P124-PWY,23625.4873,22304.7259,31520.3742,14793.971,20120.7149,61721.1899,15644.7418,12101.3066,30318.2754,8065.1351,29302.0306,149791.6179,22495.2589,26695.1987,16357.4651,5013.4974,10918.3536,6717.0583,11762.4647,12295.8464,12632.7032,25388.3589,19850.4084,90808.3929,23322.8527,25061.1002,40170.9783,22134.8338,6681.4123,72705.8015,13664.0759,14453.7426,4116.5892,55033.1297,6527.6458,5190.4011,11912.9843,16560.5245,12636.9959,38326.9223,2831.0579,20467.4699,37906.3798,39451.9829,26376.5365,13918.0021,57621.9553,22931.3976,8723.207,76719.2215,14970.241,19961.2489,40996.3407,1021.576,10639.6301,2174.9009,26197.2648,21297.3839,15950.4867,7541.3336,1687.1035,29163.9822,33643.7548,11610.0466,28557.2803,10909.6244,10258.155,79597.3654,21226.3205,14112.624,41647.4385,37815.8309,66955.8568,16792.3954,43099.9422,14414.3192,24742.3462,101291.6959,5499.8641,10320.5608,6744.9821,21285.4038,42590.8392,32160.5575,20556.3358,10699.5332,133560.4719,171490.9951,3651.9117,6678.6748,8610.0485,31513.715,21601.0571,9370.3565,42188.7786,
P125-PWY,14.9965,22.4895,29.9886,17.9879,11.9967,256.8719,101.3192,4.4988,134.6616,4.4978,218.1407,3471.552,679.1104,104.7448,116.263,154.1996,192.6519,0,0,166.5815,123.6349,204.4577,70.4045,287.5666,448.6624,228.189,122.8258,91.2664,0,163.2963,26.9153,13.4924,8.9858,61.4726,0,2.9992,8.9928,14.9887,8.9973,97.3233,0,453.5473,83.907,133.0194,122.6107,74.713,22.4828,208.8977,382.1703,35.9937,152.3632,38.956,100.4015,0,10.4953,0,374.0231,29.9533,95.3795,22.4309,0,38.9729,28.4903,65.7201,16.4326,65.1467,102.6484,130.4138,239.8826,58.2837,67.3976,62.9465,113.8979,16.4921,808.7503,335.535,154.0114,140.9255,186.1755,62.539,88.7877,31.4701,10.4975,28.487,11.9973,79.1976,179.9108,160.4473,104.4265,38.7711,316.9754,228.4728,55.4135,11.9883,86.8941,
P161-PWY,23732.3312,23104.1968,31179.2509,16883.9055,17649.8927,65252.3601,21786.7694,17673.504,27156.8539,9734.2568,35933.7679,173642.9487,26772.3569,28657.9974,20969.3001,15510.6947,13671.1694,6632.4432,12383.4392,12208.2861,18425.4994,25702.3961,21748.3101,96142.6743,20813.6598,30633.0555,38592.989,21883.596,8221.7833,71738.1525,17612.6465,17803.1317,6318.2628,53764.7324,7688.9396,4839.8128,16962.8604,21386.5929,13064.8106,40775.5127,12746.9426,23098.4676,38553.467,32737.9475,26598.1245,20722.1711,53579.6485,20584.5791,18440.1618,85836.7204,16392.4486,17716.7495,40922.9748,6033.7723,10223.4569,12111.8286,24620.745,17492.4433,19925.1365,12813.4864,10229.2345,29034.9779,37401.6067,14230.8493,40304.0885,12110.4058,15796.7754,79278.537,24011.1899,19790.784,49801.0265,48657.9464,75209.1813,15870.9294,44113.5518,14197.3014,27571.0984,103489.2644,6577.777,15304.943,7670.859,17951.3499,36255.7555,25647.9274,20952.1901,10391.5276,142222.1855,195878.737,5704.3583,7472.8932,9311.583,64322.7918,27698.1163,9644.3029,41359.045,
P162-PWY,625.8887,1173.248,1185.0942,1374.4896,821.8242,37.3674,2580.9488,1093.195,2543.4382,922.8167,977.4221,286.6586,1803.5819,1215.283,1809.8876,464.7465,1230.5423,231.4285,1103.7633,926.8663,1257.5296,1823.2809,586.857,422.6481,1266.056,2251.8554,1747.4727,2019.0826,468.1713,575.5951,2014.7307,745.0676,426.3615,1351.1015,0,344.0342,2146.3552,560.3534,537.9216,1818.4659,242.691,376.9294,975.7517,1437.7516,1637.8435,1132.498,0,684.7508,897.6462,470.2873,506.7948,1720.3539,567.7805,35.2167,344.5728,141.5091,1517.862,464.7079,2446.3192,947.095,89.3464,1006.6913,1368.7489,1334.1725,7584.04,609.6913,584.3293,3289.9354,1699.4737,1863.7296,8314.6789,2452.4387,5353.9561,277.5632,777.9611,602.688,545.4174,2500.2629,1038.9166,1111.1101,262.0007,977.2415,9627.5397,1654.1637,285.2213,155.3669,1639.2047,3080.6525,228.4707,729.7707,842.2756,1466.9048,508.155,433.524,1217.7425,
P163-PWY,54.4907,316.3407,122.8278,308.9553,284.036,0,102.7901,201.7414,612.4294,86.9063,484.7438,0.8796,410.0701,410.3076,908.1664,116.0154,177.8322,91.1568,86.9558,109.9496,402.7987,1160.8989,243.242,48.5494,241.3294,226.3685,879.9247,399.4243,49.4189,23.0556,69.9937,94.8433,112.0817,646.8347,0,65.2035,353.6104,58.3015,98.753,390.679,10.3804,110.5002,404.0203,156.3327,509.4693,542.5319,0,346.513,310.4614,53.7209,163.8396,259.4865,95.2253,1.2959,51.121,2.6556,253.8687,134.0002,611.1333,648.8833,1.307,457.7946,384.662,117.492,1356.2122,111.9211,56.6321,1069.1929,116.7621,1515.665,2616.5402,575.3249,553.1491,62.8667,132.6139,74.2362,52.6175,3388.9753,84.5442,35.4402,101.22,1504.8156,1260.5839,1198.317,298.0291,6.6648,2116.4263,1652.0272,46.0489,10.6397,94.5402,55.6825,70.0188,22.5034,123.672,
P164-PWY,4082.547,5545.9406,8079.8215,11045.5064,4406.8473,1285.2078,10437.6235,6464.6261,12921.2622,5182.368,5064.1826,11384.3583,8408.0393,6930.2656,12431.3454,7030.2624,6794.4958,2432.36,5188.4059,4033.6764,8017.8377,6984.7631,3513.301,4549.6345,5842.7398,12798.6977,13939.9739,9523.1452,5275.994,2338.972,11200.6724,4639.3936,1581.7059,11306.2979,11961.4764,1367.8419,6684.9212,1683.5543,3223.8552,9456.7302,1725.9918,3086.4329,5075.7932,5580.2037,8820.0309,6114.0555,780.6717,3244.611,8189.0561,4162.7833,3319.9404,12620.0928,3299.4561,1362.9476,3721.4734,3886.0771,5750.8984,2953.6858,10911.7837,6427.6059,3110.6719,6368.5578,12701.8987,6277.0423,28498.6301,13685.4866,5664.5463,13865.9591,13453.0961,7626.8065,28143.7438,8333.8262,118958.9956,4685.8799,6681.6622,5849.721,7099.9263,11610.3259,3150.1249,11204.5753,4907.8657,6144.5481,19663.3618,7594.6529,1380.1583,2160.6413,10362.2269,13727.898,1900.4666,4412.1624,3265.4939,9704.7927,3683.8681,3239.0501,13968.6308,
P23-PWY,2807.7624,4146.6297,4762.0407,3015.5268,2073.4916,3358.069,6545.7055,6070.9759,3274.5474,2187.2629,5610.9357,10008.387,4629.5766,7011.3509,3464.9895,6098.9274,1601.061,1807.7417,2135.8242,4755.5156,3324.4627,8746.7459,474.565,8886.1817,9263.3878,6697.7481,8051.4936,7473.4726,1095.3354,10370.1722,1356.1782,4344.1308,318.3819,4315.4443,6087.9759,199.2105,1068.7704,3491.4559,1507.5388,7764.4282,6441.2565,1896.2195,4417.2871,11128.8209,7074.5989,3470.937,3747.7851,4879.4907,8203.8623,4948.6328,1322.9338,1327.2691,3351.3836,2429.8335,490.3218,4978.4352,9703.0406,13973.9537,2683.7788,1294.7257,3134.3933,8474.5037,2008.315,3879.329,4607.5925,2094.7614,3424.9538,6266.2177,6608.1331,3217.8159,4419.2748,4351.1078,14312.5233,4847.6125,6768.1432,4139.443,2401.0814,6505.1355,1882.2697,2209.9376,4017.6542,3723.4055,1972.5682,2500.2513,2105.1228,3854.6232,5180.645,4496.0926,2022.234,1846.2267,4896.287,2731.0592,7982.671,2319.8881,8211.8123,
