#OTU ID,Lyz204BFP244S41,Itg10DTT456S50,Lyz203BDTT232S72,Itg20DTT504S99,Vil101BFP08,Vil114BFP167,Itg18DTT492S87,Vil1014BDTT164,Lyz201BFP208S56,Itg22DTT516S11,Itg24FP528S31,Vil108BFP95,Vil103BFP32,Itg26FP540S44,Vil106BFP68,Vil109BDTT104,Vil103BDTT32,Vil102BDTT20,Lyz204BDTT244S85,Vil104BDTT44,Itg24DTT528S23,Itg08DTT444S37,Lyz208BFP292S90,Vil110BFP119,Vil104BFP44,Itg16DTT480S75,Itg20FP504S7,Itg12DTT468S62,Lyz207BDTT280S122,Vil109BFP107,Lyz201BDTT208S48,Itg02DTT408S100,Lyz205BFP256S53,Lyz202BFP220S68,Vil1013BDTT152,Vil101BDTT08,Lyz205BDTT256S97,Itg02FP408S8,Lyz208BDTT292S134,Itg22FP516S19,Vil108BDTT92,Itg04FP420S20,Itg10FP456S58,Itg18FP492S95,Itg12FP468S70,Lyz206BFP268S65,Vil113BFP155,Itg08FP444S45,Vil1010BDTT116,Lyz203BFP232S80,Itg04DTT420S12,Lyz202BDTT220S60,Itg06FP432S33,Vil107BDTT80,Lyz207BFP280S78,Vil105BDTT56,Itg16FP480S83,Vil107BFP80,Vil105BFP56,Lyz206BDTT268S109,Vil106BDTT68,Vil102BFP20,Itg06DTT432S25,Itg26DTT540S36,LYZdtt364,SLCdtt050,SLCdtt110,LYZFP304,SLCdtt002,LYZFP328,LYZdtt328,SLCdtt074,LYZdtt304,SLCFP128,SLCFP092,SLCFP002,SLCdtt092,LYZFP316,SLCdtt020,SLCdtt128,SLCFP050,LYZFP352,LYZdtt340,LYZFP340,SLCFP074,SLCFP068,LYZdtt352,LYZdtt316,SLCFP110,SLCdtt068,SLCFP020,SLCdtt164,SLCFP164,SLCdtt146,SLCFP146,taxonomy
ASPASN-PWY,18536.0017,19714.1653,28954.269,20918.0761,24296.3366,10161.184,27166.6811,18511.2525,40955.2608,13350.579,30639.9924,36271.8273,35956.6827,31678.4017,30842.1519,12973.373,19652.2908,6810.7259,16514.8089,15607.0522,20160.3819,33684.2393,14551.0113,56958.8216,28415.7175,41001.3166,38174.5015,27472.6051,8636.0941,58778.0562,28380.1789,16491.8293,8921.8806,43378.4991,10582.4614,5601.3333,26633.5209,18349.8075,13549.8577,40312.1992,8090.599,12777.9106,23965.1427,42030.6909,29986.8183,22130.3769,13926.971,23344.8054,17661.4706,29165.9927,13111.9673,23930.4906,28051.7826,4135.2676,11108.5524,8011.2578,41702.2877,24866.9177,34967.2317,14740.5706,6918.1657,33082.1332,29064.4851,17957.4383,73124.8838,21492.7829,20479.375,66940.3498,28888.2651,40347.6401,80964.1008,52359.6591,91825.1361,17065.7633,23412.7223,14419.4685,25063.299,77838.2656,11500.44,21692.3944,12558.7273,31201.5654,59739.8744,39142.3012,16365.0075,10126.5915,65431.2969,78418.6964,8171.8093,10932.1623,16835.7254,66640.9824,28370.3527,12624.3065,35059.9041,
AST-PWY,0,0,23.5,9.5,10.75,54,16.75,698.5,1.25,0,0,7.5,3,1.5,2,2216,31.5,31.5,3.75,35.5,10.25,13,1,3,0,57.5,1.75,0,46.75,1.5,0,85.25,0.75,1.25,873.5,7.25,5.75,0,52.5,0,3827.5,0,0,0,0,1.25,18,0,2219.75,2,0,5.75,0,3012,0,5357.5,1.75,1.5,4.75,3,4912.75,1.5,5.25,6.5,230,0,6.5,101,66,82.5,180.25,31.25,1379.75,0,16.25,12.75,0,116,0,0,13.25,27.75,102,40,0,0,87.5,178.75,0,0,0,0.25,2.5,0.25,15.5,
BIOTIN-BIOSYNTHESIS-PWY,249.52,22.6692,480.9212,107.7971,622.7294,343.9547,201.9161,2981.9518,585.642,38.1534,374.5223,1416.2948,237.2532,307.3997,517.376,5263.8989,237.3698,237.2602,120.6139,362.8929,215.9823,215.9148,130.9867,1208.2674,286.2853,492.4232,222.6627,218.916,346.1489,444.347,101.4863,733.3036,62.5784,771.6034,5028.9677,75.2018,95.8731,123.6036,392.7965,291.8126,6292.3587,115.5985,37.7697,242.8406,232.7025,281.3638,620.3455,101.2465,6429.2129,350.9577,97.2085,198.4358,372.3188,4019.2744,120.9014,7535.3508,243.8474,355.1009,375.5909,110.7158,6688.301,286.884,252.3148,79.7337,1533.8034,155.2041,295.5528,1472.8193,584.9348,993.6505,1695.1428,346.1084,8865.973,468.7921,793.7279,398.7074,212.9236,2113.5335,338.2358,169.3906,592.5859,1604.1488,972.2567,1341.6509,55.6615,406.7945,3406.2874,2476.3531,256.7177,262.5034,1368.8597,309.3871,979.2159,32.2583,324.2835,
BRANCHED-CHAIN-AA-SYN-PWY,16245.7524,19457.9538,28419.7532,24603.3039,23056.6419,5129.9403,33778.6858,18718.181,48340.3568,15300.3952,22427.7272,40035.2091,33466.6577,26307.9861,38286.2918,12014.0329,22244.996,6216.3809,17506.1818,16414.7092,21884.682,34037.7669,14072.0333,40715.8238,26581.1639,50136.0914,36559.0111,28466.904,9677.1254,47235.6592,39589.5637,14400.1228,8273.3888,39150.7757,9409.9926,5912.0351,30904.6358,11828.8334,14289.8461,34109.2844,8810.1111,10331.6179,17941.3964,37483.1187,27121.8101,20008.0393,6652.4372,19465.1148,17499.2827,21757.5723,13369.0799,29519.4709,22531.7606,4345.9338,10605.2201,8630.9319,42297.5365,31136.87,41523.6713,18000.1048,7426.8657,26842.4248,30414.0629,20071.1128,105171.7207,25632.9462,23128.9038,66056.6367,32892.9623,44240.8699,101522.0309,60736.8949,161416.7234,15332.545,19368.0093,13225.4364,26861.6692,68531.0694,14305.387,27830.3825,13302.5985,36742.9966,72813.5792,39639.0341,14233.5307,9033.1853,60144.896,70939.9246,8607.7404,12145.8981,16782.7572,79332.4324,18772.417,13219.5373,29512.0313,
CALVIN-PWY,24378.5692,25370.2873,36835.9711,29587.2039,25901.7461,14274.02,39561.0413,24430.1398,53264.9202,17925.2823,37291.2343,61413.071,42331.9825,36929.0324,42321.5626,16647.8286,25597.7671,8238.5308,21999.8938,19323.8565,27655.9174,40625.8025,17233.954,69926.9641,32344.627,58072.5726,48242.4013,35138.5195,10758.2569,56100.0439,42344.1367,21170.2361,11092.9734,48249.8516,13568.3608,6743.8048,36164.1896,22643.6569,16842.5646,49463.9849,10944.792,15551.4861,28856.0337,45377.447,35565.7623,27494.8054,6879.6993,25510.1683,22498.6882,36612.4824,16968.4308,32629.1998,29298.4952,5251.456,11704.3803,10471.3921,45556.3729,28756.042,47653.2319,20306.469,8981.8976,37602.8277,36212.3177,24149.9557,118375.6925,28939.3482,28399.8969,80807.6849,37132.476,49062.9976,111691.6169,73834.454,187205.8546,18188.2387,32729.4684,17634.6137,33785.7585,97030.9394,15800.2976,29155.9051,15604.4061,38236.8243,76965.4909,39498.488,18324.5893,10953.0606,75880.7927,105873.7324,10628.7378,13820.3033,18949.5089,88635.2712,33132.4123,16286.78,43111.0557,
CENTFERM-PWY,0,150.8954,180.4816,104.6644,144.1079,224.8744,191.4799,2379.8081,33.21,10.4823,72.0043,2072.8915,534.073,113.4372,96.1462,1578.2753,445.798,198.5701,26.166,529.1869,101.1273,289.0957,13.9493,791.6822,308.188,542.7376,54.008,267.3166,285.9019,595.8974,0,589.8716,15.6752,66.2167,3300.4979,56.378,54.0628,41.607,356.0677,25.328,1840.9846,31.1602,261.1832,147.0603,291.4778,19.2021,102.2167,106.6047,2724.1228,20.915,81.7711,65.3562,68.7489,197.8046,10.4549,833.7506,117.9828,79.3093,59.9172,31.3581,552.0058,62.2164,132.4051,96.9703,1643.9724,34.8822,110.3488,769.7898,724.8744,567.6945,1244.2402,295.678,8510.0847,139.9188,144.7667,99.7323,0,972.535,105.1702,82.3139,90.7338,397.9034,726.968,277.8357,40.7675,30.9797,761.293,1361.2246,82.1839,0,104.7111,337.2237,78.6984,29.6156,123.3372,
COA-PWY,24092.5753,24129.7828,32755.3277,20677.9794,24209.3633,58328.125,28544.9361,20172.4657,39681.6066,13253.7081,35594.7869,127032.3751,34867.5428,33720.9282,31197.4452,12902.08,18690.1452,7401.6717,16739.9396,16702.8926,20689.7224,35125.5942,19518.8565,91669.9324,29900.6662,45748.1837,42717.4171,28656.8962,8446.6173,78970.5605,27114.3206,18708.7581,8733.2251,52215.3553,10789.6372,5730.2296,26014.1637,21909.8766,15654.6883,45838.2365,7554.1688,19249.7261,36912.5624,48097.3521,32520.9602,22428.2907,56157.2768,26237.2046,17549.2521,67069.875,16533.5523,22490.4481,38633.2309,3739.9107,11847.5044,7357.2482,42469.0104,25701.1697,35189.9335,15047.9682,6274.6461,35203.1906,35349.8706,18146.0957,70688.8861,18529.9852,21749.5677,82107.6852,28707.5037,38871.3665,77054.32,57358.83,138308.2658,18133.3254,41277.4789,16254.7948,29274.0731,101453.052,11820.3834,20665.9208,12120.651,32787.5631,61307.3531,40840.2407,20489.6937,12535.7676,120237.1545,154581.7454,8080.5518,10334.6711,16628.38,73059.5189,29495.7098,13454.1387,44476.9255,
COBALSYN-PWY,10605.5719,10845.1024,16478.1904,12887.7858,7264.1199,14442.8626,20468.721,11005.7138,26710.0649,9296.2651,12010.3753,8040.8557,15148.1111,13517.5698,19334.264,6467.8921,11566.0842,2550.418,11410.4601,6694.3342,14179.8558,17479.7177,6259.3589,23717.1476,9369.1097,28556.7725,16443.3508,14208.2322,4488.451,4963.1129,28472.7887,7586.8265,3805.7872,16136.543,6127.9335,2746.7669,18548.9454,6652.1771,8710.9495,18899.6079,6329.3107,4071.4293,9284.476,14444.7748,12661.9936,11458.5905,2827.0236,8011.3103,9009.5397,9974.5324,7079.9548,17801.6525,5170.3486,3403.9142,3110.329,6795.4761,12920.8567,5719.8338,22387.1186,12191.8003,5846.5616,10910.7564,13174.6693,12723.6819,70237.7985,14299.0172,16117.4541,36015.9504,18794.1301,18948.1507,61769.3101,33741.3071,114211.3075,4978.9725,14742.7653,6416.6246,17827.0189,46699.7783,9029.0151,16336.8433,5818.4653,15877.9019,50308.987,14825.6952,5352.5344,3633.3297,20846.4689,49104.5409,4911.3043,6551.5214,5728.8497,58444.4843,9143.2911,7581.1374,11025.6161,
CODH-PWY,419.3472,331.678,758.604,260.4505,1259.3115,129.8414,1459.2199,1347.6194,1201.9216,257.6225,535.8486,500.0368,2147.6708,593.5952,1351.1553,411.7181,977.8196,366.9724,303.3188,1496.9394,323.4754,1176.8418,320.3353,188.7982,2113.2141,911.5283,621.5377,633.9455,282.4468,1277.5457,402.4828,493.2455,407.1373,949.4697,780.8517,234.223,495.2897,325.4291,350.0342,915.7061,80.1428,218.7532,502.4381,1092.7645,687.5826,254.5607,1462.1075,557.9124,808.6473,865.3821,181.9757,399.0547,757.4911,8.9449,457.0339,75.5269,1214.6552,1108.4537,2620.2639,221.4114,38.4508,1621.39,857.3423,266.0928,1521.9013,715.7707,564.5863,3555.3476,1201.2499,640.6878,1380.3451,492.9358,66416.4543,964.1827,606.3233,714.1735,412.1351,2234.8387,487.6138,781.3917,639.0007,526.4344,1291.6885,800.9373,87.8158,294.3579,982.8827,1454.1472,319.6056,466.7452,789.1974,657.0408,1950.476,223.2185,1276.5253,
COLANSYN-PWY,6234.0745,5923.1818,10125.124,6558.3897,12764.0279,2075.8421,9977.4938,7725.418,18531.5904,3722.4733,10398.8083,9616.6997,14573.1954,13372.1714,13620.5773,6522.6914,7061.0106,2686.143,4023.1085,7346.967,5761.4818,14836.6881,5863.7815,8457.8502,13861.8039,16662.4722,16538.3602,11189.3834,2808.5778,7981.3091,5513.7956,5240.9022,3758.1421,18668.2696,7028.3922,2322.2991,8454.7623,5936.9358,3629.611,15130.9394,6098.055,4036.023,8502.2714,18213.179,12208.5645,7153.7089,5245.9949,11118.2929,9271.3135,12647.6912,4166.3733,6559.1214,12650.4929,3630.5827,4453.8873,6803.2504,19861.7777,15582.0648,15999.8721,3898.9268,5974.3927,14773.546,10087.2762,5930.9203,20104.226,5635.7057,5003.5389,26993.3427,7543.7616,19785.0436,33523.4966,13966.4705,54156.9981,8369.919,7277.1661,5318.5004,4232.9686,37096.7298,4329.2406,5350.6699,6402.5187,14961.351,16192.6349,16249.5816,8111.3304,5362.6802,23733.7173,29499.6156,2883.6555,3557.1363,7925.355,13661.0009,12404.8401,4578.5148,13502.6369,
