#OTU ID,Itg10DTT455S49,Vil101BFP07,Lyz204BFP243S92,Vil104BDTT43,Vil107BDTT79,Vil106BFP67,Lyz201BDTT207S47,Itg22FP515S18,Lyz205BFP255S52,Lyz204BDTT243S84,Vil104BFP43,Vil109BFP106,Itg02DTT407S99,Lyz208BDTT291S133,Itg24DTT527S22,Itg26DTT539S35,Lyz208BFP291S89,Vil106BDTT67,Vil102BFP19,Itg26FP539S43,Itg18FP491S94,Itg12DTT467S61,Vil107BFP79,Lyz202BDTT219S59,Itg24FP527S30,Lyz207BFP279S77,Lyz203BFP231S79,Itg18DTT491S86,Itg06DTT431S24,Lyz205BDTT255S96,Itg08FP443S44,Lyz207BDTT279S121,Vil108BFP94,Vil105BDTT55,Itg16FP479S81,Vil105BFP55,Lyz206BDTT267S108,Itg16DTT479S73,Itg12FP467S69,Vil114BFP166,Itg20DTT503S98,Itg22DTT515S10,Itg06FP431S32,Lyz206BFP267S64,Vil1013BDTT151,Itg02FP407S7,Itg04FP419S19,Vil102BDTT19,Lyz201BFP207S55,Itg08DTT443S36,Vil113BFP154,Vil103BFP31,Vil1010BDTT115,Vil108BDTT91,Vil1014BDTT163,Vil109BDTT103,Itg10FP455S57,Lyz203BDTT231S71,Itg20FP503S6,Lyz202BFP219S67,Itg04DTT419S11,Vil110BFP118,LYZdtt351,SLCFP067,SLCdtt019,SLCFP091,LYZFP327,SLCFP073,SLCFP019a,SLCFP049,LYZFP339,LYZFP315,SLCFP127,LYZdtt363,LYZdtt315,LYZFP351,LYZFP303,SLCdtt109,SLCdtt001,LYZdtt303,SLCFP001,SLCFP109,LYZdtt339,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt145,SLCFP163,SLCFP145,taxonomy
1CMET2-PWY,32347.2884,27723.373,36485.7668,10905.3404,4829.2771,27209.9823,20030.9537,15691.8108,16647.5819,37460.5302,31934.1317,40334.7122,16865.4242,17845.1483,24005.5797,13596.3877,15430.7461,4273.6815,32635.0913,16620.6799,31900.7516,31988.2572,23676.3288,27992.7714,17519.7952,7202.7467,28968.7802,29783.005,21119.194,11325.5722,25738.5649,15785.5621,52232.5801,7190.927,23423.1923,41640.1107,24513.6356,68319.0604,30534.6799,14978.5077,31744.9302,25840.1312,17100.066,25045.336,17807.7053,9403.0462,18163.2943,5475.3139,22803.7502,11870.2608,16602.7799,25441.4658,7087.438,6887.2156,16694.9565,10228.9323,41354.87,19476.7036,31258.4935,29545.6559,16472.5087,49984.2559,81365.8406,10441.8595,6331.1076,19105.1121,75870.468,17582.6916,14511.2624,16476.401,54447.3888,80260.1134,9345.4355,62802.3485,43418.3995,50502.1046,78026.9351,19133.8943,3842.2263,540120.2998,17718.9291,14173.3319,11718.6094,43942.3619,12355.9308,75057.2043,56900.3677,23427.1799,22685.2572,
ALL-CHORISMATE-PWY,749.2139,29.7412,15.7134,2382.231,4845.3413,43.0302,680.8869,0,0,1180.6603,0,0,844.3608,880.8369,332.7817,192.6092,33.2467,4413.1576,57.191,15.7915,36.9474,289.2128,56.0214,135.7699,13.2909,7.1685,18.5075,198.5254,167.5432,1166.0666,22.7946,2883.1908,42.0956,7377.5113,19.1928,126.6834,162.6759,1138.9549,0,82.0628,721.1135,344.9579,0,14.961,2445.2345,6.9179,0,519.4787,0,3266.2345,156.0314,73.7595,6066.9455,6483.972,2312.0614,7665.1998,0,771.3967,0,0,1299.4865,57.5384,449.7109,0,48.6244,0,817.381,0,0,335.6079,421.8979,665.8404,0,639.8154,6603.4878,597.1953,575.5405,117.9836,541.3453,38425.6137,307.3138,0,2486.4618,1158.1069,514.1994,17.2819,8.4536,15.905,29.8983,
ANAEROFRUCAT-PWY,42634.1308,33721.3013,51876.2782,12679.6802,5795.0452,31438.1064,23324.0237,22497.6254,22930.1732,50702.3102,37251.2134,65929.7243,22651.4799,26439.1601,27722.696,18326.5203,18538.7949,5127.363,48492.0283,22842.2485,34223.5405,40552.795,26478.4452,32734.0853,21937.37,8029.1761,41028.903,34317.302,29159.4948,14316.4507,30659.9121,18410.7674,70289.3842,8718.6494,26108.5192,47835.6948,23351.8187,98574.5633,36850.8463,52138.5253,43185.5083,37524.5046,21323.6422,29142.0431,22184.7696,15086.3537,21001.5418,12209.6915,27247.8103,15493.2197,18552.3069,34881.3336,8514.6137,8445.2387,22362.7543,12036.3962,55378.9318,28074.8373,40768.0177,35468.3211,20563.2797,56037.8357,91541.5247,12187.4308,8272.5572,25012.702,92571.2741,21753.2256,16259.0043,17863.8052,54135.193,102289.8984,12191.0234,49862.6852,61391.0717,52711.1359,99491.5573,29944.5104,5231.7056,279589.874,22161.2355,18698.0179,16565.7013,59557.174,16773.1293,103639.231,76326.487,30057.4684,30482.704,
ANAGLYCOLYSIS-PWY,54791.6412,39539.9597,83529.773,13957.5673,5858.1769,35855.8433,27082.5844,27147.8653,24960.229,63723.7807,41996.9574,79841.5844,24533.085,32307.3383,31954.1608,20214.9535,29181.9681,5169.4223,56203.0253,26240.0828,43533.5099,48342.6299,31389.8732,37719.6433,24573.7314,9200.8566,77681.6993,41301.1564,52310.4131,16197.97,39533.4145,20503.5725,97371.0532,8777.2422,33101.1584,54756.724,32789.0805,124010.5185,42693.8338,101903.9648,56084.2702,44581.3221,25852.0905,33862.1993,24226.7778,16056.1406,24972.867,13558.285,31092.9378,17164.0313,207976.0907,37460.5113,9421.9692,8810.4546,24567.1778,13835.0046,86660.7769,39707.1948,49486.7022,40221.6618,22814.4005,89223.7628,170078.2282,16009.6059,11686.1862,29579.3865,104768.0556,31682.7079,19074.0282,21055.6608,72965.7379,134873.9331,16564.3637,78631.9318,63968.6522,64967.6693,249754.3789,35939.4152,6349.4742,636251.8868,25847.8783,20513.8592,18043.7958,68860.4858,23993.2201,113803.0558,97571.4645,32460.9597,42115.0777,
ARG+POLYAMINE-SYN,3627.9406,2012.6062,1875.7089,3588.9656,4834.6446,4290.7515,3221.4993,1245.5095,1144.119,3763.6136,4754.6897,848.6142,2811.1473,2253.5612,3882.9169,1586.5491,1729.3145,4322.5163,1926.1653,1813.8839,2457.3355,3293.0753,2497.7731,4522.1561,2222.7019,951.2651,1683.1898,2759.931,1191.4225,1888.7383,2995.9775,4548.2374,1693.423,7238.7615,2643.8765,6495.8825,4067.9063,2949.5616,3780.815,362.7518,2983.7245,1921.0877,1747.0104,2961.0588,6452.8488,1150.3418,3923.5323,533.944,3300.2394,4303.0491,1594.8923,3606.3511,6001.6421,6510.1064,4958.9428,7592.9009,3691.2673,2299.4636,3236.6653,4857.9417,3065.1003,1885.9629,6030.9689,962.3578,557.1792,4590.7728,2573.4591,797.3015,2169.0411,2451.8631,4185.5605,6714.0828,760.4219,8630.0458,11606.6499,7730.7574,5820.1595,2179.7789,896.8297,137480.714,3407.7031,2630.3188,3135.4066,2413.609,1301.457,8139.2548,5744.0476,2920.7217,2334.6725,
ARGDEG-PWY,235.7714,5.2413,5.2477,1364.4756,4841.0454,6.9575,303.5883,0,0,503.0183,0,0,369.7693,353.3839,135.8777,65.4672,5.8024,4403.5645,9.326,2.9152,3.4986,64.9538,6.9597,47.2969,2.3321,1.744,5.2469,48.725,61.1152,548.1788,3.4986,1538.1877,5.8298,7385.2435,2.9152,18.5637,51.4562,381.5765,0,25.3521,262.8413,129.7799,0,2.3324,1152.4214,2.3316,0,177.1937,0,1866.0713,48.6451,8.1529,5401.4146,6329.7563,1077.4151,6182.6347,0,350.575,0,0,502.7512,8.1578,164.6021,0,9.2842,0,357.1261,0,0,83.2084,185.5895,252.9693,0,257.7239,2530.368,208.2924,228.5303,19.7666,230.822,17376.9118,84.7252,0,1188.8877,493.3221,168.3389,2.3332,1.1666,3.4984,4.0814,
ARGORNPROST-PWY,5589.1564,1335.1939,2962.3408,910.1503,8.9936,3403.1148,1862.4865,1724.7699,1577.2499,5818.3564,3318.0403,1622.5503,2084.8233,2516.0127,4118.058,1851.7526,999.4302,15.4148,2726.0705,1260.2131,2815.6505,3537.1817,1190.2044,2275.6975,2840.2899,563.879,2164.4985,3494.1918,1000.5557,1032.5534,3348.4616,1716.8087,4935.2857,28.3247,1739.9447,5070.6459,3078.2759,3249.2911,4002.9405,541.3704,5263.5249,2631.2182,1427.9868,3119.3718,297.1026,812.332,2568.0663,571.7921,1847.3897,1356.982,240.7183,3747.4482,270.1823,18.1156,2067.1502,305.1095,4419.4884,3201.1588,5929.7486,3057.0423,2223.7924,3030.9763,2923.1273,1257.4228,583.0764,5419.2264,2843.7688,606.0231,1261.0719,1952.7606,2316.8592,11285.7097,784.4785,4617.7308,17779.4255,4230.0849,5381.813,2421.9721,684.8945,12870.5571,3034.7747,1724.0031,1591.2599,2039.8836,1657.7116,14297.8727,6721.8355,3695.1975,1799.8834,
ARGSYN-PWY,25362.6432,19032.5298,24696.8789,9812.7327,4426.2212,24086.907,19222.1537,10263.9651,14172.6859,29546.7651,25737.1688,37473.6066,13653.9688,13999.7145,21907.2199,10238.3795,8945.0146,3934.6343,23256.6953,10868.1763,24630.6304,24231.7545,20329.6768,26804.2186,14431.9218,5600.1432,16482.0175,24788.7564,12827.7856,9617.4206,17337.5039,13564.7375,44117.4721,6618.2126,19108.1604,36610.4708,23506.0119,107952.2952,22919.1315,14744.9935,21677.2399,17041.1429,12514.7597,20299.0409,11975.1677,6655.2816,17651.2711,6869.0757,18313.6325,9112.6277,9984.3488,22324.134,6176.3864,6208.4421,14145.7417,8632.2276,28057.2846,17034.9812,22481.9506,27171.3322,13675.9437,44806.8684,53903.2183,8605.0772,4986.7154,13773.3012,56493.7968,9030.7366,12921.2804,13853.2707,45265.1505,68500.8766,5663.1709,61697.7701,37875.2618,43318.022,50667.8963,14733.9268,3042.6806,479599.1333,12422.0577,10779.4577,11438.981,32160.3089,9246.8217,64390.8427,47638.9575,20201.6702,13724.0546,
ARGSYNBSUB-PWY,24589.1455,16563.1378,19634.1817,9951.9449,4552.0207,23517.2488,19566.4289,8766.0192,13172.3045,28027.6376,25587.0472,35341.8258,13536.9691,13219.409,22395.0718,9857.9518,8125.1858,4058.9579,20404.1678,9456.5518,24283.1203,23488.6363,19664.9305,27531.3523,14286.2534,5326.9174,13454.0611,24657.1296,11365.8191,9299.2636,15905.759,13608.8265,43653.1119,6812.7783,18359.9721,35413.4618,23993.4557,120941.8516,22225.8359,12754.7918,19636.996,14391.5022,11768.3634,20018.9384,10341.0066,5840.488,17740.6439,6613.6838,18022.302,8941.2606,10684.7111,20755.3761,6254.4621,6335.6112,13924.9644,8658.0684,24466.8382,16105.6608,20701.7283,27906.5915,13524.2008,43441.4964,50537.4091,8917.4528,4672.0769,13429.0086,49635.1018,8233.005,12913.65,13664.0193,44067.6466,59627.49,5174.0483,63622.5157,36373.6422,42383.6995,43016.5925,14152.6967,2957.5862,501013.177,12094.361,10353.6592,11467.302,27686.2887,8755.3589,62035.1428,48344.6701,19226.5479,13107.8914,
ARO-PWY,22384.3192,18484.4294,17605.4626,9826.3264,5076.3449,25585.8762,20290.286,10775.3555,18845.5177,25260.2463,26205.333,43786.6668,16301.3545,12350.1643,23865.0026,12217.4217,7605.4135,4658.0211,25264.5735,12870.2947,24081.1945,24422.2024,21760.62,27891.7192,17799.3802,6449.398,12349.0903,23985.3379,10115.5566,12734.7466,16861.6578,14710.7266,33484.8899,7673.0877,18545.4818,42173.0186,27653.8134,106628.194,25094.4127,15827.1861,18518.3621,17907.1049,12017.4802,25409.1086,12464.8589,9439.0871,19033.9568,6874.3822,19150.1608,9320.0417,6172.1912,24506.3709,7079.0684,6726.3984,13937.9909,11161.688,23566.6908,12031.3126,20061.0375,28546.0665,13576.5039,34738.3842,39653.4753,8145.548,4187.4404,12843.048,70163.8989,8586.0175,14061.969,16866.1163,42226.0239,46558.7273,5176.7389,71408.0408,42953.6124,49126.8361,30483.9292,15951.1941,2910.1373,445789.6194,13345.7139,14375.6416,11181.5412,35325.1758,7236.7245,62461.9599,42331.01,18671.6739,13078.9385,
