"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","X","Kingdom","Phylum","Class","Order","Family","Genus","Species","Family_Genus","Phylum_Genus","asterisk","coef_d","tick_colors"
"1","028e2c1b650e2e2b5847154a153e0166","Site","Jej",0.429518425840544,0.328892574960733,270,95,0.192936541127116,0.34184729434603,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","",0.429518425840544,"forestgreen"
"2","028e2c1b650e2e2b5847154a153e0166","Site","Ile",-0.742017739070399,0.324743996030569,270,95,0.0232764003998219,0.0599509239566145,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","",-0.742017739070399,"forestgreen"
"3","028e2c1b650e2e2b5847154a153e0166","Site","Cec",-1.78947433114957,0.321578377918613,270,95,7.65224563209998e-08,7.21497445312284e-07,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","*",-1.78947433114957,"forestgreen"
"4","028e2c1b650e2e2b5847154a153e0166","Site","PC",-1.74604046430223,0.321578377918613,270,95,1.49900598754231e-07,1.31912526903723e-06,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","*",-1.74604046430223,"forestgreen"
"5","028e2c1b650e2e2b5847154a153e0166","Site","Duo",0.374280027025204,0.333607031075808,270,95,0.2631238870892,0.43826313054605,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","",0.374280027025204,"forestgreen"
"6","028e2c1b650e2e2b5847154a153e0166","Site","DC",0,NA,NA,NA,NA,100,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","",0,"forestgreen"
"7","178d4eb06bd14fca2d3c300f9f05e384","Site","Duo",-0.147138601705663,0.158594668625044,270,241,0.354552885952308,0.542620068935706,"178d4eb06bd14fca2d3c300f9f05e384","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,"Lachnospiraceae : Marvinbryantia","Firmicutes : Marvinbryantia","",-0.147138601705663,"forestgreen"
"8","178d4eb06bd14fca2d3c300f9f05e384","Site","Cec",0.669955767466844,0.15282574415411,270,241,1.81428476228232e-05,9.97856619255277e-05,"178d4eb06bd14fca2d3c300f9f05e384","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,"Lachnospiraceae : Marvinbryantia","Firmicutes : Marvinbryantia","*",0.669955767466844,"forestgreen"
"9","178d4eb06bd14fca2d3c300f9f05e384","Site","Jej",-0.299799152155812,0.156354334631041,270,241,0.0564864554067385,0.129673254151122,"178d4eb06bd14fca2d3c300f9f05e384","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,"Lachnospiraceae : Marvinbryantia","Firmicutes : Marvinbryantia","",-0.299799152155812,"forestgreen"
"10","178d4eb06bd14fca2d3c300f9f05e384","Site","Ile",-0.0877486648255253,0.154340166124446,270,241,0.57025303784676,0.741609862027313,"178d4eb06bd14fca2d3c300f9f05e384","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,"Lachnospiraceae : Marvinbryantia","Firmicutes : Marvinbryantia","",-0.0877486648255253,"forestgreen"
