,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.06B.DTT70,Vil1.03B.DTT35,Vil1.01B.DTT11,Itg.24.DTT530.S25,Vil1.06B.DTT72,Itg.24.DTT531.S26,Itg.04.DTT423.S15,Lyz2.06B.DTT272.S114,Lyz2.04B.DTT246.S87,Itg.20.DTT508.S3,Lyz2.06B.DTT270.S112,Itg.16.DTT482.S77,Lyz2.03B.DTT236.S76,Vil1.04B.DTT46,Lyz2.02B.DTT224.S64,Vil1.02B.DTT24,Vil1.02B.DTT23,Lyz2.06B.DTT271.S113,Lyz2.07B.DTT284.S126,Vil1.09B.DTT106,Lyz2.02B.DTT223.S63,Itg.22.DTT519.S14,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,Itg.22.DTT518.S13,Itg.02.DTT412.S4,Vil1.03B.DTT34,Itg.26.DTT543.S39,Itg.04.DTT424.S16,Lyz2.01B.DTT210.S50,Vil1.08B.DTT96,Vil1.010B.DTT119,Vil1.05B.DTT58,Vil1.05B.DTT59,Vil1.010B.DTT120,Itg.12.DTT470.S64,Itg.02.DTT410.S2,Vil1.05B.DTT60,Itg.08.DTT446.S39,Vil1.08B.DTT95,Vil1.01B.DTT10,Itg.26.DTT542.S38,Itg.18.DTT495.S90,Lyz2.04B.DTT248.S89,Vil1.010B.DTT118,Itg.20.DTT507.S2,Itg.12.DTT471.S65,Lyz2.03B.DTT235.S75,Lyz2.05B.DTT258.S99,Itg.10.DTT459.S53,Itg.08.DTT447.S40,Vil1.09B.DTT107,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.014B.DTT167,Itg.26.DTT544.S40,Itg.04.DTT422.S14,Lyz2.08B.DTT295.S137,Itg.06.DTT435.S28,Vil1.06B.DTT71,Itg.16.DTT484.S79,Vil1.04B.DTT48,Lyz2.07B.DTT282.S124,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Vil1.07B.DTT83,Lyz2.02B.DTT222.S62,Lyz2.01B.DTT211.S51,Lyz2.01B.DTT212.S52,Vil1.02B.DTT22,Lyz2.07B.DTT283.S125,Itg.10.DTT458.S52,Vil1.08B.DTT94,Itg.02.DTT411.S3,Vil1.014B.DTT168,Vil1.09B.DTT108,Lyz2.05B.DTT259.S100,Itg.20.DTT506.S1,Lyz2.03B.DTT234.S74,Vil1.07B.DTT82,Vil1.013B.DTT154,Vil1.04B.DTT47,Itg.18.DTT494.S89,Lyz2.08B.DTT294.S136,Vil1.013B.DTT155,LYZdtt342,LYZdtt308,SLCdtt022,LYZdtt366,SLCdtt070,SLCdtt005,LYZdtt354,LYZdtt330,SLCdtt114,LYZdtt356,LYZdtt368,SLCdtt095,LYZdtt367,SLCdtt024,LYZdtt319,LYZdtt306,SLCdtt113,SLCdtt004,SLCdtt112,LYZdtt355,LYZdtt343,SLCdtt076,LYZdtt344,SLCdtt096,LYZdtt318,LYZdtt332,LYZdtt320,SLCdtt078,SLCdtt052,SLCdtt054,SLCdtt006,SLCdtt077,SLCdtt132,SLCdtt130,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt150,SLCdtt167,SLCdtt149,SLCdtt148,SLCdtt168,SLCdtt166
b3111baca54677926264de26b4a9bf7a,0,59,0,4,5,0,0,2,4,4,4,0,0,0,14,0,8,2,2,0,0,0,4,2,0,3,0,0,4,6,0,15,0,0,0,0,0,0,6,0,0,0,3,0,0,10,0,8,0,3,5,0,3,0,0,3,0,9,9,2,2,0,0,0,0,13,0,5,3,0,10,0,6,3,3,0,0,0,64,0,0,0,8,0,0,0,0,11,0,2,64,15,2,9,4,0,4,6,0,20,0,61,0,0,0,0,5,0,0,1,0,50,0,16,15,5,8,3,0,23,2,0,3,56,6,0,10,0,5,631,24,8
87c1f25ee57f851893eda4c10a460604,57,65,0,14,7,73,0,26,232,50,443,0,67,69,136,0,52,52,124,71,34,0,5,26,281,79,137,57,567,20,93,0,0,0,0,0,0,27,121,0,7,0,26,9,38,403,7,8,7,50,102,0,34,0,25,11,0,69,84,359,0,64,0,133,6,96,52,0,146,0,7,0,56,23,17,10,0,15,321,0,32,44,391,0,0,0,76,38,0,5,151,1064,20,53,9,7,0,15,7,108,22,49,13,26,29,16,25,4,24,0,199,14,78,188,5,17,82,9,4,17,105,14,4,189,0,5,52,412,65,162,356,25
e8ed0e081283c5963ce9860944f651c6,20,11,0,7,0,15,0,4,67,12,12,35,16,6,18,4,8,5,3,19,8,0,0,3,28,7,13,12,44,17,9,10,0,9,0,0,0,36,0,0,7,0,0,8,8,15,0,43,0,4,11,0,26,0,0,16,0,22,8,22,2,7,0,4,0,32,8,0,37,0,0,0,4,5,7,4,0,3,110,0,0,47,17,0,0,0,12,14,0,21,71,65,9,30,6,0,3,0,0,75,3,48,0,0,0,2,5,0,0,0,113,23,0,25,7,0,19,18,2,17,39,12,0,32,9,5,14,23,15,914,26,8
b3ef12a80d40902556c2fd4de5924438,0,0,0,4,2,0,0,0,0,2,0,0,4,0,0,3,13,2,0,0,10,0,3,3,0,5,3,0,2,0,0,3,0,0,0,0,0,6,8,0,0,0,0,0,0,3,0,3,2,4,5,0,3,0,0,0,0,0,0,0,0,6,0,16,2,5,4,6,3,0,13,0,0,4,0,0,0,0,9,0,0,0,11,0,0,5,0,0,0,9,3,8,71,0,0,0,8,0,7,38,0,56,0,4,3,0,0,0,15,0,7,10,0,4,0,0,3,0,6,3,3,4,0,10,13,5,23,4,30,11,12,3
a30dd65fa0f17c9ffe88b70cc66d024b,4,0,0,2,0,2,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,2,3,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0,4,0,7,9,2,0,11,2,0,0,0,0,0,0,0,0,4,2,0,0,0,7,0,0,0,0,0,0,3,0,6,3,0,0,0,0,6,4,11,0,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,7,0,4,0,0,0,0,8,8,0,2
4c8288bfbd76958c0c094d87b97650f8,292,382,7894,847,487,1221,14154,608,276,1827,43,333,767,60,97,668,201,828,662,253,240,16153,95,137,277,589,211,234,235,1408,206,114,21438,23410,16360,8700,10621,22,179,12093,41,17632,298,238,425,5678,16298,259,53,155,48,86,406,19453,625,6295,10720,739,295,73,104,251,12560,253,942,308,70,232,271,7240,88,10413,247,311,1637,55,19407,48,4760,10467,128,628,202,10620,4733,1609,253,196,1932,510,773,111,210,0,161,160,243,747,226,1800,0,179,0,349,247,36,88,0,248,217,79,636,0,535,240,194,41,14,0,302,52,0,36,781,426,15,1,1,1,1,1,1
fbbeae3dceada6928b2cdc472f5d9901,0,0,13,45,32,186,19,97,38,125,0,0,0,0,0,205,0,75,47,0,0,63,0,26,139,0,26,0,116,44,0,36,30,77,0,0,17,0,0,0,0,22,1,0,0,142,66,0,0,0,0,33,90,39,43,700,16,51,39,0,14,35,0,29,74,20,0,0,58,0,0,488,0,25,192,0,43,0,146,17,82,31,0,0,915,81,0,8,824,8,122,37,8,29,2,2,1,29,6,60,1,6,7,9,1,19,1,1,6,2,1,11,1,27,6,7,2,81,32,3,1,6,1,16,4,143,145,39,573,512,20,1
f9130f059b9380b9961aef118b3a529e,79,29,0,12,8,53,0,8,80,9,38,19,22,15,16,20,51,22,32,36,45,6,7,13,68,70,61,7,100,38,31,72,3,0,0,0,0,52,15,0,13,3,17,19,80,34,8,28,12,6,11,18,81,0,5,5,0,20,14,50,8,70,0,55,5,103,14,8,65,0,27,0,5,0,18,14,0,0,97,0,3,28,57,0,0,8,103,26,0,99,163,209,36,11,23,0,44,4,7,93,0,77,0,2,8,0,5,0,17,28,72,122,16,221,87,0,17,6,0,2,21,25,8,135,37,9,39,60,53,650,157,2
f0deb5bac19f248fce27d93d918d3464,9,0,0,2,0,8,0,5,8,0,5,3,3,2,2,4,5,0,0,5,17,14,0,0,20,5,2,3,3,6,4,7,0,2,0,0,0,6,0,0,0,0,0,5,3,5,11,3,2,0,0,3,13,8,0,2,0,4,2,5,0,14,0,0,6,23,3,2,4,0,0,0,3,0,7,0,0,0,7,0,0,5,0,0,0,0,3,2,0,0,14,11,9,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,18,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,2,34,18,0
292a57429f3bed0adc53c07dc4c62c9f,27,9,0,9,6,48,0,13,77,17,28,28,27,15,9,5,2,15,23,65,48,26,0,8,69,17,43,4,56,40,20,61,0,10,0,0,2,21,3,0,6,0,22,28,19,18,28,35,11,5,9,9,40,9,6,7,0,37,14,86,4,26,0,15,3,42,11,15,40,0,4,0,4,2,29,7,0,0,167,4,0,36,19,0,2,2,30,12,0,45,156,30,16,9,0,0,71,0,0,142,0,59,0,11,35,10,0,0,22,18,101,81,0,204,59,33,30,0,0,0,36,0,0,38,76,0,53,24,55,484,37,2
