	Mouse5A.DTT29	Mouse6A.DTT35	Mouse1B.DTT18	Mouse5A.DTT30	Mouse5A.DTT28	Mouse7A.DTT41	Mouse4A.DTT22	Mouse7A.DTT42	Mouse1B.DTT16	Mouse6A.DTT34	Mouse4A.DTT24	Mouse1B.DTT17	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.DTT40	Mouse9A.DTT100	Mouse9A.DTT101	Mouse8A.DTT90	Mouse10A.DTT113	Mouse9A.DTT102	Mouse10A.DTT112	Mouse10A.DTT114	Mouse8A.DTT88	Mouse8A.DTT89
Mouse5A.DTT29	0.0	0.45289832464397256	2.4630667988019144	0.19337165333409578	2.0222447724681185	0.20682764837722387	0.4220697037970955	0.9024478745985521	1.4414654496960544	0.3474928475358359	0.9727761439411721	2.6857972670844896	0.14176047750921675	0.5478463451531794	1.9781438260573276	2.898355260635689	2.7296913916713503	3.1611702970629842	1.7720935126152324	2.782131164182279	2.7615683585155755	3.42512227434474	1.9858821896415373	2.0453423796878125
Mouse6A.DTT35	0.45289832464397256	0.0	2.014015825783178	0.31088529459216124	1.5730324630899208	0.4538450043271432	0.64610687374792	0.4657230913321126	1.000222678764698	0.4101860687383618	0.532014280565079	2.236614647892094	0.5298477829822518	0.12991311255970422	1.5314261233733775	2.8059084175605005	2.5847165642714307	2.807094581472111	1.4270366321725567	2.636470303877162	2.3134100730355946	2.974229049588575	1.7091393275789828	1.9363226592268934
Mouse1B.DTT18	2.4630667988019144	2.014015825783178	0.0	2.311913542332991	0.46925787221200566	2.4430454581180268	2.5228410081212473	1.5693636769184465	1.0922802021009304	2.3007433964184316	1.500449135559412	0.23911790286922477	2.519458047829032	1.9167457592590735	0.5759259221857461	3.4816089928132072	3.1148261659986742	2.1454507178328264	1.6309727333846982	3.148938722694858	0.5147276489081823	1.1179868371256085	2.050813387802918	2.81098475275961
Mouse5A.DTT30	0.19337165333409578	0.31088529459216124	2.311913542332991	0.0	1.863358237239639	0.2772035314746166	0.5618973850061528	0.7504237561168656	1.269950873624944	0.4059502979549536	0.8163873206784263	2.5307036277729256	0.32329943771241143	0.4122839221444533	1.8120917202032083	2.806290123929915	2.6245969243005334	2.9957649444676484	1.5907515529153142	2.6823973964794976	2.592318130831208	3.2577899154754486	1.830813002580499	1.9391497715026267
Mouse5A.DTT28	2.0222447724681185	1.5730324630899208	0.46925787221200566	1.863358237239639	0.0	2.0092791919219977	2.1184476883765337	1.1248288978866516	0.6238566764182327	1.8874833665239215	1.0527334423898715	0.6699726856989822	2.0882182824256694	1.4775347067099933	0.14444106230916173	3.1962427064247185	2.849624579774672	2.0966271989052117	1.2726786249051416	2.895422929250223	0.7709003591227406	1.4671538166742513	1.741527330762666	2.4634455117488243
Mouse7A.DTT41	0.20682764837722387	0.4538450043271432	2.4430454581180268	0.2772035314746166	2.0092791919219977	0.0	0.3820022581258315	0.9181341080660909	1.4407353404106737	0.2983319045974093	0.983273195774267	2.6688026569188175	0.24188736781962905	0.5709679106916182	1.9704345222022173	2.754853046834954	2.581293486626169	3.0545298095345585	1.7081196148243045	2.625834349294498	2.7446688076289343	3.3812329659291387	1.8751370011242712	1.914341321978481
Mouse4A.DTT22	0.4220697037970955	0.64610687374792	2.5228410081212473	0.5618973850061528	2.1184476883765337	0.3820022581258315	0.0	1.049731844043922	1.6029742927336894	0.2433110607861274	1.1213067505889553	2.7565238570012256	0.3008204757961067	0.7154465386958693	2.10218941753498	3.062616134623482	2.8801918135845854	3.3149852046648896	2.0062134536105294	2.9108533170664894	2.878866431010175	3.5157977489862837	2.1828450610950814	2.2435565884649584
Mouse7A.DTT42	0.9024478745985521	0.4657230913321126	1.5693636769184465	0.7504237561168656	1.1248288978866516	0.9181341080660909	1.049731844043922	0.0	0.5668784947434174	0.8119434866239849	0.07712560639383872	1.7881973979024475	0.9714841380778573	0.3581594665219212	1.0839688030996504	2.924962126884778	2.659664023854817	2.5984195194478628	1.2503917809279659	2.7142422038223746	1.872146893672452	2.5570876663190423	1.648100517446209	2.0620574787572337
Mouse1B.DTT16	1.4414654496960544	1.000222678764698	1.0922802021009304	1.269950873624944	0.6238566764182327	1.4407353404106737	1.6029742927336894	0.5668784947434174	0.0	1.3620199166013853	0.4904288423861818	1.2899595372911965	1.5243645789156892	0.9129768247530897	0.5478156971252854	2.889805462587176	2.5846500209269814	2.2002361337337444	0.9712624427088687	2.64493594138021	1.3248742237905298	2.0193066966384134	1.46993547490459	2.0738573999862138
Mouse6A.DTT34	0.3474928475358359	0.4101860687383618	2.3007433964184316	0.4059502979549536	1.8874833665239215	0.2983319045974093	0.2433110607861274	0.8119434866239849	1.3620199166013853	0.0	0.8823745742421165	2.532542886838169	0.29811615430904054	0.47894177836811996	1.8665432662659092	2.9555921308317843	2.7540575082730463	3.106171542414415	1.7821397793012466	2.7901076288395097	2.6446858281402434	3.286466320523712	1.9907177009965449	2.116273539126877
