feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MF0020	Sex	Male	-6.33585576249046	0.963020004972458	11	6	0.000310269271744067	0.0293204461798143
MF0060	Sex	Male	-4.48307103773293	0.65464232139281	11	8	0.000242400758689724	0.0293204461798143
MF0060	Site	Jejunum	3.98134968338923	0.65464232139281	11	8	0.00050001908744214	0.0315012025088548
MF0051	Site	Jejunum	-3.47645948376637	0.625793361932644	11	7	0.000855146324384632	0.0404056638271739
MF0086	Site	Jejunum	1.77256827673092	0.38342953667746	11	11	0.00241776409884863	0.0652796306689131
MF0095	Site	Jejunum	-2.80242125404839	0.591117176912837	11	7	0.00210569492766609	0.0652796306689131
MF0056	Site	Jejunum	-2.53371071020941	0.411436645998334	11	3	0.00193577025938621	0.0652796306689131
MF0048	Sex	Male	-2.14092866017404	0.480843973904546	11	11	0.00296291629985649	0.0699988975841096
MF0092	Site	Jejunum	2.80149263364099	0.67187795944811	11	10	0.00419100187425983	0.0880110393594564
MF0068	Site	Jejunum	1.72811511900309	0.425974529474471	11	11	0.00482878009679053	0.091263943829341
MF0015	Site	Jejunum	2.3757018486016	0.425557859810032	11	7	0.00570628034353706	0.0980442713571368
MF0011	Sex	Male	2.81175142007986	0.763062367494708	11	7	0.00780975890811706	0.123003702802844
MF0068	Sex	Male	-1.39091627220385	0.425974529474471	11	11	0.0137641276447256	0.169180942510959
MF0036	Sex	Male	2.81722544570205	0.870453428368426	11	4	0.014322196191404	0.169180942510959
MF0086	Sex	Male	-1.24219318720368	0.38342953667746	11	11	0.0142591524601972	0.169180942510959
MF0012	Site	Jejunum	-3.03546670310121	0.763938481671659	11	3	0.0136450850853354	0.169180942510959
MF0035	Sequencing_Run	Two	-3.28984058956058	0.808176675994173	11	5	0.0170123981264138	0.176988256206039
MF0044	Sex	Male	2.27905077967149	0.492789232187018	11	5	0.0177924702006071	0.176988256206039
MF0015	Sequencing_Run	Two	2.83031911105594	0.841077343781897	11	7	0.0165302878486207	0.176988256206039
MF0067	Sex	Male	-1.22244497896369	0.413289792005065	11	11	0.0211698740355	0.181868463304978
MF0048	Site	Jejunum	1.44490668991828	0.480843973904546	11	11	0.0198033218683747	0.181868463304978
