Module	BioGeo.Vil1.01B.FP11	BioGeo.Mouse3A_FP17	BioGeo.TL1a_FP_229.REP1_S12	BioGeo.Vil1.04B.FP43.Rep1_S88	BioGeo.Lyz2.01B.FP211.S59	BioGeo.TL1a_FP_65	BioGeo.Vil1.03B.FP31	BioGeo.Mouse9A_FP97	BioGeo.Vil1.14B.FP164	BioGeo.Vil1.14B.FP166	BioGeo.Lyz2.05B.FP255.S52	BioGeo.SLCFP071.REP1_S27	BioGeo.Vil1.07B.FP83	BioGeo.Vil1.07B.FP79	BioGeo.Mouse5A_FP29.REP1_S53	BioGeo.LYZFP327.Rep1_S105	BioGeo.Vil1.05B.FP55	BioGeo.TL1a_FP_127	BioGeo.TL1a_FP_61	BioGeo.Lyz2.04B.FP243.S92	BioGeo.SLCFP019a	BioGeo.TL1a_FP_233.REP1_S13	BioGeo.TL1a_FP_241	BioGeo.LYZFP315	BioGeo.TL1a_FP_101.REP1_S6	BioGeo.LYZFP319	BioGeo.TL1a_FP_209.REP1_S11	BioGeo.Lyz2.08B.FP295.S93	BioGeo.TL1A_FP_637	BioGeo.Mouse6A_FP31	BioGeo.Lyz2.01B.FP207.S55	BioGeo.TL1a_FP_193.Rep1_S85	BioGeo.SLCFP005.REP1_S24	BioGeo.TL1A_FP_685.REP1_S22	BioGeo.LYZFP303	BioGeo.LYZFP307	BioGeo.Lyz2.07B.FP279.S77	BioGeo.Mouse1A_FP01	BioGeo.Mouse1A_FP05	BioGeo.Lyz2.03B.FP231.S79	BioGeo.Lyz2.05B.FP259.S56	BioGeo.TL1A_FP_629	BioGeo.Vil1.13B.FP152	BioGeo.Mouse2A_FP11.REP1_S55	BioGeo.Mouse5A_FP25	BioGeo.TL1A_FP_677.REP1_S21	BioGeo.Mouse2A_FP07	BioGeo.SLCFP109	BioGeo.Vil1.08B.FP92.REP1_S41	BioGeo.Mouse7A_FP41.REP1_S54	BioGeo.Vil1.06B.FP71	BioGeo.TL1a_FP_73.REP1_S3	BioGeo.Vil1.04B.FP47	BioGeo.Vil1.09B.FP106	BioGeo.TL1A_FP_625.REP1_S16	BioGeo.Vil1.13B.FP154.REP1_S47	BioGeo.Vil1.09B.FP104	BioGeo.Mouse9A_FP101	BioGeo.Vil1.02B.FP23	BioGeo.Mouse8A_FP85	BioGeo.Vil1.10B.FP118.REP1_S45	BioGeo.TL1a_FP_197.REP1_S10	BioGeo.TL1A_FP_641	BioGeo.Lyz2.07B.FP283.S81	BioGeo.Vil1.02B.FP19	BioGeo.Lyz2.02B.FP223.S71	BioGeo.Mouse8A_FP89	BioGeo.TL1a_FP_205	BioGeo.LYZFP355	BioGeo.Lyz2.02B.FP219.S67	BioGeo.Mouse4A_FP23.Rep1_S92	BioGeo.TL1a_FP_77.REP1_S4	BioGeo.Vil1.10B.FP116.REP1_S44	BioGeo.SLCFP131.REP1_S33	BioGeo.TL1A_FP_689.Rep1_S104	BioGeo.Lyz2.03B.FP235.S83	BioGeo.Lyz2.04B.FP247.S44	BioGeo.LYZFP351.Rep1_S106	BioGeo.Mouse10A_FP113	BioGeo.SLCFP001	BioGeo.Vil1.01B.FP07.Rep1_S107	BioGeo.TL1a_FP_139	BioGeo.SLCFP023.REP1_S26	BioGeo.SLCFP127	BioGeo.TL1a_FP_85	BioGeo.TL1a_FP_131	BioGeo.SLCFP095	BioGeo.Mouse6A_FP35.Rep1_S93	BioGeo.Vil1.03B.FP35.REP1_S38	BioGeo.TL1A_FP_673.REP1_S20	BioGeo.Mouse7A_FP37	BioGeo.Vil1.05B.FP59.REP1_S37	BioGeo.Vil1.06B.FP67	BioGeo.SLCFP091.REP1_S29	BioGeo.Vil1.08B.FP94.REP1_S42	BioGeo.SLCFP077	BioGeo.SLCFP113	BioGeo.Lyz2.06B.FP271.S69	BioGeo.Lyz2.06B.FP267.S64	BioGeo.LYZFP339	BioGeo.TL1a_FP_143	BioGeo.Mouse10A_FP109	BioGeo.Mouse3A_FP13	BioGeo.Lyz2.08B.FP291.S89
MF0063	2.34075E-5	0.0	4.333808E-6	3.30596614E-5	1.63699E-5	4.8808125E-5	2.4854492E-5	4.373502E-6	1.0841697E-5	2.70707E-5	3.844275E-5	2.57452E-6	7.2413771E-5	2.3415375E-5	1.7192982E-5	2.9396E-5	4.81951E-5	6.474745E-6	6.7288918E-5	1.300407E-6	1.4746097E-5	4.002457E-6	5.395347050000001E-5	3.230379E-6	0.0	2.063524E-6	2.57447029E-5	1.34754E-5	3.8252991E-5	5.351144E-6	7.793248E-6	1.4901182E-5	8.227608499999999E-6	4.6300216E-5	8.16572E-6	6.773154E-6	2.4539768E-5	0.0	0.0	8.87055E-7	7.3329357E-5	2.472611E-5	5.93528E-6	1.41944219E-5	9.85446E-6	8.353406E-6	8.392876E-6	0.0	4.323191E-6	6.81889E-6	0.0	7.7198052E-5	1.01765876E-4	1.19554E-4	1.675837E-5	2.9407247E-5	1.260344E-5	0.0	3.10582E-5	2.665861E-6	1.17442943E-4	0.0	2.2559689E-5	6.59538E-5	1.06172E-5	2.2088145E-5	7.383482E-6	6.8956303E-5	5.87289E-5	3.218585E-6	1.2269322E-6	6.226656E-5	2.7658663E-5	4.625229E-6	1.351787E-5	1.53238E-6	0.0	1.7043691E-5	0.0	4.439897E-6	1.33127784E-5	7.324242E-5	4.94876851E-5	0.0	4.723384E-6	0.0	8.35035E-6	0.0	2.7964728E-6	2.646285E-6	1.249222E-5	1.28236E-5	2.3556679E-5	2.330064E-6	0.0	6.17082E-7	0.0	2.1932384E-5	5.902257E-6	4.557059E-5	0.0	8.03569E-6	7.59395E-6	7.915082E-6
MF0020	1.2349019999999999E-6	3.5343115000000005E-5	7.256554E-6	3.4294319E-6	0.0	0.0	4.70393E-7	0.0	2.5974364999999997E-6	9.178405E-5	8.323103E-6	1.49768215E-5	0.0	0.0	9.1352115E-6	0.0	0.0	9.9932515E-6	5.269813E-6	3.864245E-5	2.5763045E-6	9.138830350000001E-5	3.5907492E-5	4.409727E-5	0.0	1.08127942E-4	3.5437385E-6	0.0	7.3913295E-6	2.8287595E-6	0.0	2.6844686E-5	5.1450559E-5	1.07117235E-5	9.109899999999999E-6	3.5982725E-5	0.0	0.0	2.76467E-5	2.056348E-5	3.4399046E-5	0.0	0.0	1.4152575E-5	6.466845E-6	0.0	5.508019E-6	0.0	0.0	1.274063E-5	0.0	1.678954625E-5	6.582295E-6	2.6750543000000002E-5	0.0	1.174381E-6	0.0	0.0	2.0539E-5	0.0	1.2056965000000001E-5	7.057864999999999E-5	0.0	0.0	1.2791785E-5	1.0241905000000001E-6	0.0	0.0	2.799974E-6	0.0	2.491642E-5	0.0	1.504472E-6	4.783284E-6	0.0	5.04967E-5	1.460452E-4	0.0	2.5614525E-6	5.2574895E-6	0.0	0.0	1.5053365000000002E-5	0.0	7.15262E-7	2.52505E-4	9.327865E-5	9.07674E-6	6.535625104999999E-5	0.0	8.17385E-6	9.4176585E-6	2.16488E-6	5.39316E-6	0.0	1.4065670000000001E-5	0.0	4.69458735E-5	2.5982239999999998E-6	0.0	0.0	0.0	1.114384E-5	0.0
MF0064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8940539999999998E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MF0061	2.9384041E-5	1.768709E-5	7.550802E-6	5.9666195E-5	3.1392199E-5	1.0955072E-5	4.9837339E-5	1.0536486E-5	2.3922577E-5	1.21381311E-4	6.9521391E-5	2.320377E-5	1.05063532E-4	4.9821179E-5	3.2970178E-5	5.0146435E-5	7.8685101E-5	5.373925E-6	6.355977E-6	3.0140383E-5	3.7682958E-5	2.7370093E-5	7.15081E-7	3.8748376E-5	0.0	6.2598809E-5	1.2366789E-5	1.953593E-5	7.159903E-6	8.667063E-6	2.2517644E-5	6.768564E-6	3.84747757E-5	7.317301E-6	1.6000042E-5	3.4314076E-5	4.2828075E-5	5.683005E-6	2.972911E-5	1.608816E-5	1.17044875E-4	5.3753024E-5	1.5223701049999998E-4	2.77855203E-5	3.1633525E-5	1.7542186E-5	2.5959317E-5	0.0	1.1226826E-5	2.750507E-5	5.09679E-5	6.4981075E-6	1.57634233E-4	2.01237169E-4	3.1572986E-5	9.285042E-6	3.5367314E-5	6.6105E-6	8.8847651E-5	5.016851E-6	2.0253071E-4	6.812862E-5	9.412407E-6	9.6324353E-5	4.092883E-5	4.4519605E-5	1.054198E-5	1.499514E-6	8.718255E-5	1.26574E-5	1.25313696E-5	1.1201426E-5	5.7725136E-5	2.0017718E-5	4.97842E-6	2.6264519E-5	1.0725715E-4	2.7478042E-5	1.0813799E-5	1.5708801E-5	2.90547265E-5	3.45844E-6	9.20727714E-5	1.7190166666666667E-5	8.952798E-6	1.34186E-4	7.6850681E-5	4.9599E-6	7.82843381E-5	9.576635E-6	3.2572651E-5	2.9624853E-5	4.576572E-5	1.4579875E-5	1.248814E-5	1.8390611E-5	0.0	7.583227E-5	2.0690524E-5	6.2708676E-5	0.0	1.2318554E-5	2.1884604E-5	1.8690239E-5
MF0060	0.0	3.28758175E-5	1.7044969E-5	3.12608675E-5	0.0	3.0232097E-5	2.51506805E-5	0.0	1.53961095E-5	1.8647465649999998E-4	3.71665155E-5	2.324013E-5	0.0	0.0	2.7265302899999998E-5	2.5445068E-5	0.0	1.0642902000000002E-5	4.84382015E-5	3.6897562E-5	1.90039725E-5	8.888764E-5	5.8672250500000005E-5	3.5311488E-5	0.0	7.08713795E-5	2.0986479000000002E-5	0.0	2.6123639000000002E-5	1.1305374499999999E-5	0.0	2.50061695E-5	7.528582899999999E-5	2.939942815E-5	1.2532052E-5	3.2399728E-5	0.0	0.0	3.177193E-5	2.00851885E-5	6.68666875E-5	3.428303800000001E-5	1.515460055E-4	2.5953047E-5	2.4209078999999998E-5	9.924015000000001E-6	0.0	0.0	0.0	2.3559385E-5	0.0	4.668670265E-5	8.07823065E-5	1.021859395E-4	0.0	2.42214005E-5	0.0	0.0	4.9504075499999995E-5	0.0	1.06057195E-4	7.470632000000001E-5	0.0	4.8250685E-5	2.236963E-5	0.0	0.0	0.0	4.433233E-5	0.0	2.0565294E-5	4.336248E-5	2.9157322499999998E-5	1.699766E-5	0.0	3.6050979999999996E-5	1.275629E-4	0.0	1.19418105E-5	1.5491263E-5	0.0	0.0	5.03037777E-5	0.0	0.0	1.4605E-4	1.13948837E-4	0.0	6.778880715E-5	0.0	2.84841E-5	1.8777211500000002E-5	2.3357477500000003E-5	1.6347292499999998E-5	0.0	1.8761098E-5	0.0	6.2027244E-5	1.4557925E-5	0.0	0.0	1.79363765E-5	0.0	0.0
MF0027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73703E-7	0.0	0.0	0.0	0.0	0.0	6.5852E-7	0.0	0.0	9.92503E-7	2.37972E-7	0.0	4.62809E-7	0.0	2.24805E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.778E-7	4.13501E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.80043E-7	0.0	0.0	1.1389E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06511E-7	0.0	0.0	0.0	6.37151E-7	0.0	0.0	0.0	0.0	0.0	0.0	1.82911E-7	0.0	3.09604E-7	0.0	4.40148E-7	0.0	0.0	0.0	5.45851E-8	2.69676E-7	4.48885E-7	0.0	0.0	9.25406E-7	0.0	2.16696E-7	0.0	0.0	1.31862E-6	0.0	0.0	0.0	1.05869E-6	2.6199E-7
MF0028	2.958139E-6	2.88495E-6	1.2430435E-5	1.9747117E-5	7.22827E-6	1.5918388E-5	1.503357E-5	1.836175E-5	9.729371E-6	1.957E-5	1.621403E-5	2.765687E-5	1.665029E-5	1.390915E-5	2.1188789E-5	1.593338E-5	1.9796833E-5	3.27305E-6	9.5968E-6	1.0175719E-5	2.1302528E-5	4.60622E-6	1.507238E-6	1.3535428E-5	0.0	5.384058E-6	2.6805192E-5	2.513043E-6	3.774211E-6	1.671278E-5	8.588566E-6	1.5235299E-5	1.5027501E-5	5.183962E-6	5.26249E-6	8.825911E-6	1.2748578E-5	3.45167E-6	3.30194E-5	1.2410514E-5	2.057798E-5	4.6313591E-5	4.70867E-6	5.255832E-5	6.01207E-5	1.3513E-6	4.6884945E-5	0.0	5.252625E-6	5.201797E-5	1.17681E-5	7.627076E-6	2.568861E-6	3.67394E-5	7.697691E-6	2.59038E-5	1.81272E-5	2.335287E-5	1.544768E-5	7.305138E-6	6.72133E-6	4.11196E-6	9.114415E-6	1.948246E-6	1.287554E-5	7.318695E-6	2.916771E-5	2.208437E-6	2.3978805E-5	5.31258E-6	5.159181E-6	1.9773E-5	1.454801E-5	3.1731802E-5	1.20779E-5	8.757185E-6	0.0	1.381596E-5	2.533057E-5	2.217308E-5	2.173934E-5	3.688832E-6	1.0628625E-5	9.28449E-6	1.3264615E-5	0.0	1.58862E-7	1.10014E-5	1.0252873E-6	1.0318372E-5	5.5780429E-5	1.978302E-6	9.11463E-6	1.2356049E-5	3.1249E-6	7.73021E-6	0.0	3.846963E-6	8.170047E-6	1.4014317E-5	0.0	3.180183E-5	3.39635E-5	7.25351E-6
MF0025	0.0	0.0	0.0	6.79589E-7	0.0	0.0	0.0	0.0	1.91896E-6	0.0	1.5132E-6	0.0	0.0	3.501478E-6	6.46229E-7	1.54526E-6	0.0	1.56497E-6	1.877332E-6	9.41023E-7	5.03019E-7	0.0	0.0	1.60036E-6	0.0	0.0	5.3733E-8	0.0	1.545599E-6	0.0	2.07406E-6	3.66217E-7	2.58973E-8	7.98027E-7	6.26375E-7	0.0	6.10968E-7	0.0	0.0	5.44657E-7	0.0	0.0	4.94929E-8	4.25955E-8	0.0	5.90357E-7	5.40698E-7	0.0	3.51402E-6	0.0	0.0	1.450433E-6	0.0	0.0	0.0	8.74522E-7	6.735889E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85326E-6	0.0	0.0	1.69059E-7	0.0	1.92449E-6	0.0	0.0	8.42925E-6	0.0	0.0	0.0	0.0	2.44358E-6	0.0	1.527057E-6	1.293636E-6	0.0	0.0	0.0	9.3E-7	0.0	0.0	0.0	7.11333E-7	1.480045E-6	0.0	0.0	9.87388E-7	2.89793E-6	0.0	0.0	0.0	0.0	3.40201E-6	1.47821E-6	0.0	6.1226E-7	0.0	3.13244E-6
MF0102	0.0	0.0	0.0	0.0	0.0	4.31852E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.821295E-8	0.0	0.0	0.0	7.458755E-7	0.0	0.0	0.0	3.0737015E-5	0.0	0.0	0.0	6.2996350000000005E-6	0.0	3.2562800000000004E-7	0.0	0.0	0.0	0.0	3.9943050000000004E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.82353E-7	0.0	0.0	0.0	1.9075630800000002E-5	0.0	0.0	0.0	0.0	0.0	0.0	1.852560225E-5	0.0	0.0	0.0	0.0	2.2582055E-5	0.0	0.0	0.0	2.3286105E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.156647575E-5	5.35960475E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MF0069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6107E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62661E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
