	TL1a_FP_162	TL1a_FP_88	TL1a_FP_230	TL1a_FP_89	TL1a_FP_234	TL1a_FP_128	TL1a_DTT_268_Repeat	TL1a_FP_129	TL1a_FP_287	TL1a_FP_86	TL1a_FP_198	TL1a_FP_161	TL1a_FP_266	TL1a_FP_197	TL1a_FP_159	TL1a_FP_132	TL1a_FP_130	TL1a_DTT_269_Repeat	TL1a_FP_90	TL1a_FP_195	TL1a_FP_158	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_FP_231	TL1a_FP_284	TL1a_FP_267	TL1a_DTT_130_Repeat	TL1a_FP_269	TL1a_FP_288	TL1a_DTT_196_Repeat	TL1a_DTT_90_Repeat	TL1a_FP_87	TL1a_FP_196	TL1a_FP_131	TL1a_DTT_198_Repeat	TL1a_DTT_88_Repeat	TL1a_FP_270	TL1a_FP_160	TL1a_FP_194	TL1a_FP_286	TL1a_DTT_89_Re_extracted	TL1a_DTT_197_Repeat	TL1a_FP_232	TL1a_DTT_270_Repeat	TL1a_FP_233	TL1a_FP_268	TL1a_FP_285	TL1a_DTT_284	TL1a_DTT_231	TL1a_FP_85	TL1a_DTT_267	TL1a_FP_127	TL1a_DTT_160	TL1a_DTT_234	TL1a_DTT_158	TL1a_FP_193	TL1a_FP_265	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_159	TL1a_FP_157	TL1a_DTT_287	TL1a_DTT_233	TL1a_DTT_195	TL1a_DTT_85	TL1a_DTT_86	TL1a_DTT_193	TL1a_DTT_286	TL1a_DTT_230	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_DTT_229	TL1a_FP_283	TL1a_FP_229	TL1a_DTT_87	TL1a_DTT_266	TL1a_DTT_232	TL1A_DTT_673	TL1A_FP_626	TL1A_DTT_675	TL1A_DTT_626	TL1A_DTT_629	TL1A_FP_677	TL1A_FP_674	TL1A_FP_678	TL1A_DTT_674	TL1A_DTT_627	TL1A_FP_625	TL1A_FP_630	TL1A_FP_673	TL1A_FP_675	TL1A_DTT_630	TL1A_DTT_628	TL1A_FP_627
TL1a_FP_162	0.0	4.578774423156181	4.764512141838179	1.5553039203273942	4.538839965636231	4.341332583148457	2.939210212933844	4.152483623409946	3.2120299101611183	4.975526789068527	1.9571114746266658	0.7559248892112492	3.340980361944269	2.2624451420689833	4.088330608147775	3.8192287412686285	1.4811491147583222	3.001294150083131	2.7669549474374735	3.510229091914538	3.604397849980253	4.386985986931223	3.8183123400697014	4.793116285340554	4.507976709192277	3.6753174646990967	2.8875656381145087	2.2487620157527073	3.603490279100787	2.860346133815843	3.829437271360534	5.162088265462407	3.5307116186930916	3.733947367529835	3.0447874515822644	3.6800107407442018	1.628173496013354	2.5386042706471006	3.554238945757408	3.634434316161561	2.6380092483411586	3.2599189983301087	3.626581488079818	3.7712615870165895	3.2651156143557314	2.3470557432786796	4.769883923493912	4.8721771919170624	3.2172520002433704	4.480132857230206	4.141618751001974	4.35446015682602	3.2169928384261866	4.2011334549831	3.7833331797869105	3.430468805552337	3.1361115999085585	4.646670342136423	3.7773538957256108	4.482652881335214	3.724656944029103	3.559400777485101	3.9458500267748384	4.6049461325458	3.9238633956824325	4.651063884437053	4.605112470556182	3.3366017175499048	4.359971876218563	4.596400230802288	3.979146588001129	4.674198217478153	3.5426007072425083	1.6241295412652945	4.719359013354586	4.805017859504423	4.516802648896871	2.5473021537323786	3.9919731381299783	2.7648953378271086	3.8272674917580605	4.336059785536679	3.9569318389407244	1.6108789220350819	2.662332062117464	3.946750708654025	3.1117764179544007	4.177731885371203	4.083431156783666	4.0375332201305545	3.1191261119812377	4.433355074789835	4.215627209816037	2.4358414452984123	3.2598318329944305	3.94550425480099
TL1a_FP_88	4.578774423156181	0.0	0.40080060571707515	4.298835358699428	1.8767050087938943	2.6939611897731957	1.764847207126197	2.213232259649416	1.4867323894213766	0.43397464898259747	2.7996333778318907	3.8555292039221767	1.6700656225955601	2.6238051347061497	2.0879226595671896	2.3982876806812015	3.1404641459492897	2.15950504239759	1.9266324396753223	2.564329587047592	2.0680681200712607	2.0336002986766886	1.7578226881260592	0.2913980983944671	0.9995087407582837	1.4943285115583447	1.7084264612223299	2.7656603176008256	1.1212435253773259	1.898532625715288	1.0129973955027407	0.7376144568270574	1.9296791357146268	1.0315744093151453	1.7632606026296869	1.0899784543378217	2.9812991212774738	2.3577725851325355	1.764788358578668	0.9527578466282215	2.0346800955671824	1.331112697097981	1.0656495424346024	0.937762470927779	1.982746902116909	2.7065897934869207	0.45763642686861483	1.2524973693817918	1.501686300819436	0.2699776212975908	1.7647872123015618	1.7217174678202873	2.1911198293565057	1.6834308077908304	2.245594042312719	1.785558869295838	1.8040407068337385	2.3935672098932415	1.7184661212446046	0.5342131173989568	1.8919087208253276	1.851302247419778	0.8570648108986839	0.8461558448009586	2.900059572422863	0.29061227768681946	0.2373593474357934	2.7059628543062595	0.3195189959230464	0.7428559215112424	2.11613405410604	0.4910320090906048	1.976704010059471	2.98427189935979	0.6751736929204455	0.6987328279461885	0.2652145156015494	2.329181139278677	1.8410747236043177	2.3295309430091464	0.9610231731669746	0.9049261053611855	1.106499125361295	3.6238823309959645	2.291662629403075	0.9484328381902957	1.7714954369353595	0.7892903748773198	1.026097306604022	1.2647267358225456	2.0181519302951676	1.1546886985546383	0.46346311531346457	2.446773827062119	1.654856768211829	0.883441574565297
TL1a_FP_230	4.764512141838179	0.40080060571707515	0.0	4.368536645954574	1.7972056597112818	2.960565837090156	1.9409485577027064	2.493086842874335	1.7891620039705298	0.31132743382575306	3.0450312636461945	4.029601938662901	2.0127790455916736	2.8958865606464768	2.3455876635155875	2.7075680094126087	3.3136057984098453	2.1649036375674804	2.0754401768529593	2.8901506631382814	2.3799699613953105	2.2772566354662676	1.979604303841636	0.21852398808621562	1.0396352911178133	1.8290134310378894	1.9483519042445543	2.95623721169576	1.2881601796064206	2.0848258942743625	1.0109939994612964	0.414588204991926	2.2664598789554433	1.258010403974406	2.0122999028090076	1.1469796237397136	3.185932647637452	2.66324474771521	2.146030842554775	1.1615004390813286	2.254658460554653	1.5149891063884848	1.158665696624433	1.217109682457681	2.075013906630262	3.0137176923806237	0.18986082192390985	1.285228018272729	1.7376076053565388	0.3132317053874169	2.0178668423852537	2.0043550148979548	2.5193442680267406	1.6045134260493639	2.4882442916138516	2.158235459690993	2.144008857342261	2.6074325943456755	1.9617074978467803	0.711632773177884	2.1780691246308233	2.1691655648195853	0.8605302150921421	0.6296915460116254	3.176464611898153	0.18106383461154335	0.2004184622314851	3.034221105368964	0.5047581520493729	0.8164525554873465	2.3666778519956293	0.6043290836021524	2.3109588099129663	3.148428381373037	0.7591177581494888	0.5752433833690612	0.48708560278502366	2.604221486542538	1.7840994279434468	2.4066612597738017	1.0289389424880369	0.8480672779562559	1.102746287582333	3.6950658241272616	2.3372057588196906	1.0464691990132982	1.809476578729253	0.755856560876583	0.8989386806179447	1.2362961295457886	2.101786831667893	1.0206449111089213	0.5566808521189908	2.584987660621528	1.7574887545245668	0.9132697007027437
TL1a_FP_89	1.5553039203273942	4.298835358699428	4.368536645954574	0.0	4.303953494401401	4.284141455482868	2.8809523041461857	4.07990311130324	3.273010011642902	4.616755787214485	2.4574796546927176	1.4042716901264582	3.453561596855496	2.7798433087991468	3.9372795548012562	3.8808683832973268	1.7158075723026263	2.5260996786642664	2.640127814051591	3.699186631223123	3.63203006132628	4.203064556920417	3.5459251104708476	4.435742086708119	4.332723258299212	3.661185475571256	2.8678515215175366	2.6088024766232314	3.4360456450858403	2.8828470411042093	3.358256135537433	4.7387785767911375	3.6276039944337546	3.45153465446248	2.9160730078355686	3.233338167441755	1.982963989613227	2.8912559723344775	3.8517531868718784	3.4202338991822567	2.744846781183359	3.0195028586878387	3.2942706439735514	3.5639690054814146	3.189357939685014	2.8237819550142733	4.340957886518963	4.402191550643811	3.0253711560217464	4.144323599043498	3.947610733468969	4.231464964712343	3.387379292997927	3.8936071008250606	3.604494812192112	3.7159641571876265	3.358936740255292	4.42267009318327	3.5532041149492715	4.13912925547821	3.6347216649989704	3.572136371783791	3.511405600388475	4.196806402399955	3.934263377499943	4.304495461000041	4.248229239280407	3.593929863612451	4.025509353037342	4.184736947543315	3.810266174532567	4.314213214744285	3.638343455248583	1.66255295006602	4.334710996525662	4.4979417361103815	4.194787979196463	2.6871542147497847	3.692654238998177	2.5844637344892685	3.5217159627562014	4.023571001394845	3.6398148179092424	0.8441112383667736	2.1620016402254936	3.7241102868354434	2.6684441236629985	3.8269178739960443	3.5333036343957267	3.7363414837929745	2.9851168453755026	4.067978217591141	3.882739571482138	2.4470661552851656	3.085878886204218	3.605803385340026
TL1a_FP_234	4.538839965636231	1.8767050087938943	1.7972056597112818	4.303953494401401	0.0	4.3544645141186695	1.8308740150309508	3.8563079761616432	2.2418648828753325	2.015344637544148	2.89908851678767	3.8003041653931535	2.796409851660859	2.7783440437022757	3.7274632232582596	3.9008443976804874	3.109561046276964	1.7980885045614423	1.9533999780061861	3.9196919978984988	3.496575440651489	3.764282955413442	3.2957830711207428	1.9585768565539055	0.9511215053901559	2.897843037516747	2.2624860596723053	2.4052014321675275	1.469032770562369	1.8623425142707517	1.8137703729408736	1.859394784693316	3.27603474808313	2.3836341680736295	2.7988360874188714	1.9764254188297392	3.053845291163205	3.016342842470567	2.7183221719836776	1.793807280396446	2.1854447587915504	2.0573161952383257	1.6430615321759303	2.2961944007990853	1.2872248993644237	3.3774875871730923	1.9663557542857375	3.0310960754218668	2.54901176806538	1.6944403999702473	3.438556537840438	3.451669861556393	3.3933447971812036	0.45547729071833976	3.771884209641441	2.7240130446515547	2.6601737491727953	4.157569934451229	3.244633433135994	2.3302128433248566	3.394089377225124	3.244514075313362	1.735679216255832	1.2075530383246926	4.4256355181263585	1.6970213601687667	1.8181990695790686	3.9790030224174036	1.9677754861763523	2.51046249271373	3.718619406295084	2.319058896353461	3.3370611396686494	3.055783037414964	2.4936462393111585	1.3039618787223615	2.079578561348976	3.156935560551437	0.6143022949241164	1.7966434845868942	1.386052015754507	1.0151967849598582	1.0785076239266538	3.4827941100450266	2.202432637580889	1.203240479158197	1.822920269146991	1.2697602864255422	1.7456879480827492	0.8459641856743679	1.4297670667484264	0.8258693073821102	1.6591651890072177	2.1127839720628128	1.4125377365291167	1.3762898220768633
TL1a_FP_128	4.341332583148457	2.6939611897731957	2.960565837090156	4.284141455482868	4.3544645141186695	0.0	3.059509767916178	0.4994936226556065	2.380636831061423	2.8865457410190705	3.1673546260635823	3.898863906743587	1.8067113416201233	3.0608810538607485	0.6531698353921641	0.6602300003586493	3.4893416556978383	3.636931402528885	3.1130124298178856	0.9972576393026997	1.012864480704994	0.7049959936563002	1.1890610300703943	2.7961770980354848	3.5256613744102308	1.5134364265289222	2.535991772511684	3.699015506841052	2.965261590601799	3.155203330471174	2.787912631340024	3.2609402815758655	1.2873903640491098	2.028074929426494	1.8911891645238972	2.6157770380107075	3.2727303763890903	2.320652367907877	2.169068783555337	2.605573023078699	2.964050017305423	2.5149707830003427	2.8437780112027045	2.0698401425049657	3.7413143688804436	2.3300709283055268	2.841873502792964	2.0106497459292814	2.022231821496413	2.8415610844099746	0.9575949094816517	0.9899299572393953	1.416930549615616	4.050199371541983	0.7739521866136768	2.1359576566098597	2.15572167371683	0.6044409444226178	1.1903170714717217	2.250303927921397	1.0115242944787566	1.23242066830255	2.7969543588464196	3.4343735262917883	0.5036136894521388	2.938643734380965	2.8061728449472887	1.184745337061601	2.5328257583292575	2.21084823862819	0.6992526890219991	2.381134818534036	1.2297675286534695	3.3093642565304067	2.27044766850708	3.387650559852956	2.4885471074048	2.0457541418631426	4.0871107915707885	3.743286340642807	3.0311269883812155	3.4068255080347276	3.344212695435634	4.014844421036588	3.4005245592679745	3.158688091351444	3.1972231745787423	3.1656233839219774	2.9944559946050946	3.5702218538125994	3.6770744576438723	3.6735841037358496	2.7808006860740178	3.5662135624171154	3.3513184701423624	3.0489918663230795
TL1a_DTT_268_Repeat	2.939210212933844	1.764847207126197	1.9409485577027064	2.8809523041461857	1.8308740150309508	3.059509767916178	0.0	2.6039159654432535	0.7815427450482784	2.1630326380377154	1.196446162929634	2.197101258187864	1.3649777610335392	1.1249129585371977	2.4847474281047166	2.4971354542670414	1.4653333959526977	0.9391489299655891	0.2508453377808735	2.4021208949129296	2.0790478397897636	2.652605366557491	2.047542753989648	1.9927008131078139	1.5762848683526343	1.6308921530523872	0.54391316077106	1.037407558232455	0.6790084695795677	0.17877282167293074	1.1947153580898415	2.3110158325137466	1.8644438737461262	1.3244164926890596	1.2201885804117443	1.124056109433373	1.3344052887639701	1.2772910026517343	1.4968161075307387	0.8494411171737967	0.40011430098633183	0.6931770324601988	0.8441613052188818	1.2726079506123977	0.729522389626163	1.613642096194392	2.001087939429802	2.5254247984322133	1.086371895643745	1.6428064220836442	2.2998957026220914	2.411535288406866	1.8364932720577984	1.4811150294581414	2.3963572577794046	1.4154719081308031	1.1574389642508254	3.056244649975164	1.9780367985435967	1.8723084085579513	2.0540968192179188	1.8496677337569414	1.2352638588894647	1.72961012589774	2.9643062592924014	1.8006630730089954	1.7924519635477065	2.4000930561115017	1.6208786440269445	2.061432872360452	2.4325359029208884	2.0199773980305427	1.920495362345902	1.3718852710368254	2.1351890171240844	1.8803850300214806	1.7899752158899296	1.3903723382864939	1.3679259436488505	0.7658187476757289	0.9524012324631742	1.4253211627732196	1.0784204724050173	2.110782799061358	0.9507773052057757	1.0152812959966993	0.7298502666702354	1.2978841530800085	1.4511426660512874	1.1804849865925031	0.6418874572785043	1.568372525955959	1.3925167413258812	0.702804686777505	0.44868685874988234	1.0845271297355727
TL1a_FP_129	4.152483623409946	2.213232259649416	2.493086842874335	4.07990311130324	3.8563079761616432	0.4994936226556065	2.6039159654432535	0.0	1.916194205568234	2.431565832073733	2.8198411540260886	3.646140316259466	1.3617629120451815	2.6953236028779566	0.24110410346389452	0.44825333671180706	3.1695333626680444	3.201000342869967	2.672475602938181	0.8428528430368172	0.6224206450976297	0.38043982849902164	0.7790665118982417	2.3319843127751647	3.0278541832979315	1.0300659369256124	2.0939485078254285	3.299393029008342	2.4747949082636995	2.7047041857194087	2.321166792961679	2.8087261103841628	0.8744644718018476	1.5480556850018794	1.4757502219107073	2.1530118850736177	2.947925339041966	1.9737584487348279	1.7445251619195556	2.1155885165843054	2.5356641636526716	2.04943604601652	2.36312219854958	1.5772170085618353	3.269332223435722	2.0498955347165086	2.3842909719216303	1.6536411675457283	1.5740037361319676	2.358287018757065	0.5035717086241072	0.5456993032215812	1.0829860277143384	3.5569563097109214	0.518004911740864	1.7115508604838015	1.7288704594408466	0.6249526309597185	0.7512760028679355	1.7864140567741735	0.560327746606256	0.7929256797992676	2.32185073793641	2.95064507632217	0.7474726551752188	2.460753564378801	2.331017638313127	1.0620393613539127	2.052076349048416	1.7734702634976822	0.336941313928695	1.9281664498576179	0.8265354793607481	2.9883447371984913	1.8336657193361978	2.9024579209603374	2.014474345399156	1.7195381726407628	3.5980318464371215	3.3040534589359707	2.5414854734425427	2.9125930145947185	2.8529548398123175	3.727223964212701	2.99463097761493	2.662181548053861	2.753596833037877	2.6752012753361436	2.534547265811953	3.0771550216076147	3.2130910353189823	3.1818986713761364	2.292306898308215	3.146876670686975	2.878342032605713	2.5599328304767925
TL1a_FP_287	3.2120299101611183	1.4867323894213766	1.7891620039705298	3.273010011642902	2.2418648828753325	2.380636831061423	0.7815427450482784	1.916194205568234	0.0	1.9168912878558084	1.3653075145536042	2.5273086517927643	0.6141808448177188	1.1749383109059568	1.8342575300600699	1.8023769954519437	1.8447957975840739	1.6397003755186093	0.9453827004641897	1.7272177362058374	1.3913172818056543	1.995722436559167	1.4953963392224943	1.7524435280315216	1.6462024598626366	0.9058789924171906	0.4185048318515039	1.5441005512103216	0.8284055226458021	0.845613215905817	1.2636622343611439	2.1822687362544073	1.1389818984020295	0.9069302310725454	0.7765123960886923	1.1299451012711783	1.614891141164366	0.9049064140484225	0.7797240775265524	0.709006499427038	0.753827734849731	0.6373985212110602	0.9790822714703107	0.7859864895497537	1.4087418773905478	1.274933541962314	1.8174303586730083	2.103820343340756	0.6740862277333535	1.4833369439807549	1.6602641378255245	1.7215211678635116	1.1731519271237143	1.945259623679349	1.8049354184728386	0.6919255591956731	0.46274866739173026	2.412916546635482	1.3958670236087931	1.4887868052501532	1.3969208069694394	1.1516831118120263	1.2596090646605702	1.8296239335502984	2.324653286364228	1.6449115376265533	1.598195204648403	1.7551245460062155	1.3531135328898374	1.6916708664231133	1.80387466726637	1.6602417378609793	1.2000063494030613	1.729013758348301	1.7505370143599894	1.8523554620944227	1.4688743618919344	1.0219632488996964	1.9184997386249985	1.5443442657117754	1.1133111433671912	1.5752429313102791	1.36478511748159	2.6053301460668274	1.563618296824855	1.1560320217044173	1.2788177858758123	1.4058567472766006	1.5644940171374904	1.5323526063394481	1.3853112302671071	1.8190534012681654	1.2740446732043278	1.393959040318189	1.0960083016600461	1.2181086508489547
TL1a_FP_86	4.975526789068527	0.43397464898259747	0.31132743382575306	4.616755787214485	2.015344637544148	2.8865457410190705	2.1630326380377154	2.431565832073733	1.9168912878558084	0.0	3.2243605045971195	4.249129635764029	2.067124624562532	3.0550237614623827	2.3015622725184515	2.674154820476634	3.5355759319650772	2.455591041824237	2.3119160119614537	2.8823388838352586	2.3781358945117317	2.197739104995393	1.9989043868101548	0.18442119042094865	1.1974141249955683	1.8434167220180129	2.124071884072943	3.171396519824495	1.5078505875560244	2.301232932163204	1.2748837693966415	0.39510933480775984	2.2727826471441137	1.3709020340508633	2.13508919723633	1.3835370172939527	3.389520195581673	2.779105861698624	2.1680113873435642	1.355327011814164	2.451346852578288	1.7161199137744005	1.410175502631739	1.3138785436562748	2.3237338901420115	3.1223008033936224	0.32701077165387815	1.1926301747157135	1.874852987219108	0.5298156730321617	1.9725399928626282	1.9145344865716896	2.5543294252554687	1.8652622905362384	2.487311120504255	2.195502948591028	2.226065859287093	2.5116506320064658	1.9792349181026707	0.7002053673362781	2.1766628348043047	2.181240909604144	1.1257197108345267	0.8993189133466022	3.1441216969826438	0.39544363955692585	0.38449740565767987	3.040620676555587	0.628825037592434	0.786350743044808	2.3397346326237587	0.5330591877368588	2.314039149914868	3.3710352470624594	0.6714816772145845	0.722518500564346	0.5108127808053635	2.724865184985251	2.0544649716242462	2.674902942014003	1.290047969854455	1.1019474344548028	1.3776443162369487	3.9555323551649537	2.61135401042124	1.281260971657897	2.0859114484904198	1.0357606029318596	1.1880764842897151	1.505108559365394	2.361226626783453	1.2828485263789222	0.7885614098346382	2.8287458443532048	2.010571402276833	1.1854489733427556
