index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes,k__Bacteria;p__Verrucomicrobia
Distal_Colon,24.0,29668.0,179.0,11031.0,437.0,206.0,1250.0
Proximal_Colon,9.0,27318.0,390.0,21244.0,358.0,251.0,311.0
Cecum,12.0,25581.0,434.0,31491.0,399.0,524.0,267.0
Ileum,9.0,12337.0,24.0,59001.0,272.0,106.0,86.0
Jejunum,13.0,17062.0,8.0,26606.0,219.0,14.0,354.0
Duodenum,26.0,23899.0,63.0,12777.0,382.0,50.0,314.0
