Species	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Rev
Fusobacterium_periodonticum_2_1_31	15DAPt	15dap[c]	15dap[e]	1	1	0.25	0	1000	0
Fusobacterium_periodonticum_2_1_31	23DHMPO	23dhmp[c]	3h3mop[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	23DHMPO	nadp[c]	3h3mop[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	23DHMPO	23dhmp[c]	h[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	23DHMPO	nadp[c]	h[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	23DHMPO	23dhmp[c]	nadph[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	23DHMPO	nadp[c]	nadph[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2AHBUTI	2ahbut[c]	3h3mop[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGCOAD	2hydogcoa[c]	glutaccoa[c]	1	1	0.25	0	1000	0
Fusobacterium_periodonticum_2_1_31	2HYDOGCOAD	2hydogcoa[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_periodonticum_2_1_31	2HYDOGCOAT	h[c]	2hydogcoa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGCOAT	2hydog[c]	2hydogcoa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGCOAT	accoa[c]	2hydogcoa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGCOAT	h[c]	ac[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGCOAT	2hydog[c]	ac[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGCOAT	accoa[c]	ac[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGDH	h[c]	2hydog[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGDH	akg[c]	2hydog[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGDH	nadh[c]	2hydog[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGDH	h[c]	nad[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGDH	akg[c]	nad[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2HYDOGDH	nadh[c]	nad[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2MBCOATA	2mbcoa[c]	coa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2MBCOATA	ACP[c]	coa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2MBCOATA	2mbcoa[c]	2mbutACP[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	2MBCOATA	ACP[c]	2mbutACP[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	h2o[c]	h[c]	1	2	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	nad[c]	h[c]	1	2	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	35dacap[c]	h[c]	1	2	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	h2o[c]	nadh[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	nad[c]	nadh[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	35dacap[c]	nadh[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	h2o[c]	5a3ohex[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	nad[c]	5a3ohex[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	35dacap[c]	5a3ohex[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	h2o[c]	nh4[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	nad[c]	nh4[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	35DACAPDH	35dacap[c]	nh4[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	36DAHXI	36dahx[c]	35dacap[c]	1	1	0.25	-1000	1000	1
Fusobacterium_periodonticum_2_1_31	3ABUTCOAL	h[c]	nh4[c]	1	1	0.25	0	1000	0
Fusobacterium_periodonticum_2_1_31	3ABUTCOAL	3abutcoa[c]	nh4[c]	1	1	0.25	0	1000	0
Fusobacterium_periodonticum_2_1_31	3ABUTCOAL	h[c]	b2coa[c]	1	1	0.25	0	1000	0
Fusobacterium_periodonticum_2_1_31	3ABUTCOAL	3abutcoa[c]	b2coa[c]	1	1	0.25	0	1000	0
Fusobacterium_periodonticum_2_1_31	3HACPR1	3hgACPm[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_periodonticum_2_1_31	3HACPR1	3hgACPm[c]	egACPm[c]	1	1	0.25	0	1000	0
Fusobacterium_periodonticum_2_1_31	3HACPR2	3hpACPm[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_periodonticum_2_1_31	3HACPR2	3hpACPm[c]	epACPm[c]	1	1	0.25	0	1000	0
