#OTU ID,TILC-DTT-774,TILC-DTT-739,TILC-DTT-736,TILC-DTT-852,TILC-DTT-778,TILC-DTT-845,TILC-DTT-744,TILC-DTT-843,TILC-DTT-737,TILC-DTT-850,TILC-DTT-813,TILC-DTT-810,TILC-DTT-841,TILC-DTT-846,TILC-DTT-743,TILC-DTT-735,TILC-DTT-809,TILC-DTT-851,TILC-DTT-777,TILC-DTT-844,TILC-DTT-773,TILC-DTT-848,TILC-DTT-734,TILC-DTT-807,TILC-DTT-780,TILC-DTT-742,TILC-DTT-849,TILC-DTT-738,TILC-DTT-740,TILC-DTT-771,TILC-DTT-816,TILC-DTT-772,TILC-DTT-741,TILC-DTT-779,TILC-DTT-808,TILC-DTT-815
3920e3f781deba9bdcd294ebb3a06431,0,0,0,0,0,0,0,2,0,0,2,0,21,0,0,24,0,0,0,0,0,2,63,4,0,0,0,0,0,0,0,0,0,0,0,0
cfd65c7bbc3926cdc9b88c2e38bbecaa,0,120,0,2,114,0,0,515,0,0,120,0,184,3,0,268,0,0,471,2,0,2010,184,262,0,2,529,85,40,253,0,0,3,0,2,0
467182e7c24e45f1dae500092292f434,0,9,0,0,0,0,0,2,0,0,9,0,27,0,0,45,0,0,0,0,0,7,57,111,0,0,3,3,6,5,0,0,0,0,2,0
f742dfc22bfb61fc9b27df780176b36e,0,0,2,7,4,3,0,46,0,0,40,0,672,0,0,677,0,0,20,3,0,156,639,25,0,2,65,0,0,0,0,0,0,0,0,0
6ae041fdd983ace2321d4a2355b8a290,0,0,0,0,0,0,0,21,0,0,58,0,58,0,0,66,0,0,8,0,0,12,55,40,0,0,10,0,0,3,0,0,0,0,0,0
4b41294d409030f46d8e403ae37036c5,0,0,0,0,0,0,0,41,0,0,7,0,461,0,0,59,0,0,0,0,0,37,105,7,0,0,12,0,0,2,0,0,0,0,0,0
6e61f4bede587c68efcaa016e92085f2,0,0,0,0,0,0,0,9,0,0,2,0,68,0,0,6,0,0,4,0,0,20,4,0,0,0,4,0,1,0,0,0,2,0,0,0
6c5d5533b2e2bb0f16c28448f394d583,0,0,0,0,0,0,2,0,0,0,0,0,52,0,0,49,0,0,2,0,0,0,21,3,0,5,0,0,2,0,0,0,5,0,0,0
8d38eab2c38b24f6c148059d00e838b0,6,0,6,0,0,0,2,0,3,0,2,3,21,0,0,13,0,0,0,4,6,4,9,3,4,0,0,0,0,0,34,0,0,0,0,20
a6aa0a15c1d806b5531f10185e8eb6a1,7,0,14,6,4,0,0,2,0,3,9,11,87,2,0,75,0,0,0,0,14,8,37,9,0,2,4,0,0,0,34,2,0,0,0,30
ce1654b7ed5cbe150d256a72fffaeee7,0,0,0,0,0,0,0,1,0,0,6,0,19,0,0,2,0,0,6,0,0,15,1,3,0,0,1,0,3,0,0,0,0,0,0,0
d5afd202fdec49e85c0014789dbd2742,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,0,3,2,3,0,0,4,0,0,0,0,0,0,0,0,0
686b1c1752a35be01421dfdacfa244e1,3,0,2,5,0,0,0,0,2,2,0,2,17,0,0,66,0,5,0,0,7,0,20,9,2,0,2,0,0,2,4,0,2,0,0,4
82c25eb50099d3b163d4c2a939f8e0c8,0,9,0,0,0,0,2,3,0,0,5,0,24,0,0,33,0,0,3,0,0,3,95,11,0,0,0,7,6,22,0,0,0,0,2,0
4e38395c5e80618eac785b2ddba6ed13,3,74,4,5,0,0,0,2,0,5,3,2,52,0,0,31,0,0,0,0,0,0,10,6,4,0,0,63,17,97,13,0,0,0,0,4
46f43d3fe417eb537a1c421542cd3fbc,0,2,0,0,2,0,0,11,0,0,25,0,116,0,0,174,0,0,18,0,0,23,84,24,0,2,15,0,7,2,0,0,0,0,3,0
7f2dae3459f288b9999b898a0c4ce1f2,0,1,0,0,0,0,0,2,0,0,3,0,28,0,0,7,0,0,0,0,0,2,24,2,0,0,0,0,4,10,0,0,0,0,0,0
97d6bee36c1067c3575b775785593bc4,0,0,0,2,0,0,2,7,0,0,15,0,42,0,0,2,0,0,4,0,0,5,0,30,0,0,2,0,0,25,0,0,0,0,0,0
9df3ba9ad6b7dfeceed3cf23f911c888,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,26,0,0,0,0,0,8,19,14,0,0,2,0,0,0,0,0,0,0,0,0
e78a758dd0cf4ecdeec205371b241817,0,0,0,0,0,0,0,8,0,0,12,0,31,0,0,51,0,0,0,0,0,11,77,20,0,0,0,0,2,11,0,0,0,0,0,0
8eb769f1198126e9511233acb51bba4f,0,8,0,0,0,0,0,4,0,0,3,0,6,0,0,53,0,0,15,0,0,0,18,82,0,0,3,6,0,0,0,0,0,0,2,0
28d09c230390bade39f1ef87782f563f,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,2,10,2,0,0,2,0,0,3,0,0,0,0,0,0
8aad6681e2c231299c93cee9ca1bbf2a,0,0,0,0,0,0,0,2,0,0,0,0,26,0,0,30,0,0,3,0,0,24,56,2,0,0,5,0,0,0,0,0,0,0,0,0
ad97a825d385aa882d65c473bbce8e52,0,0,0,0,2,0,0,5,0,0,7,0,27,0,0,56,0,0,5,0,0,4,46,38,0,0,3,0,0,0,0,0,0,0,0,0
5b3a936420780cb578d24f7acf86fa00,0,0,0,0,2,0,2,5,0,0,22,0,69,0,0,110,0,0,1,0,0,24,92,12,0,0,5,0,2,0,0,0,0,0,0,0
73ecb2b42a2a27b594d1940b3b01355c,0,0,0,2,2,0,0,5,0,0,0,0,101,0,0,27,0,0,3,0,0,6,54,7,0,0,7,0,0,2,0,0,0,0,0,0
d36a7f58015a3d006caa3dd7209a65ec,0,0,0,0,0,0,0,161,0,0,9,0,460,0,0,870,0,0,7,0,0,6,453,26,0,0,4,0,0,4,0,0,3,0,0,0
a1d94686c329d9a7bc674627e2180285,0,14,0,0,0,0,0,0,0,0,0,0,13,0,0,24,0,0,3,0,0,12,11,0,0,0,0,8,1,4,0,0,0,0,0,0
30ab808928dd752d7fc5e409c1ad226f,0,15,0,0,0,0,0,0,0,0,3,0,8,0,0,25,0,0,4,0,0,2,51,6,0,0,4,10,2,10,0,0,0,0,0,0
b558365592f7a8d645f69873f6cda354,0,8,0,0,0,0,0,3,0,0,0,0,11,0,0,7,0,0,0,0,0,0,13,5,0,0,0,6,2,11,0,0,0,0,0,0
415033681d70ab871d00f8e199d5485d,0,0,16,3,0,0,0,0,0,0,2,7,65,0,0,42,0,0,0,2,2,0,10,3,3,0,0,0,0,0,32,0,2,0,0,18
1db8b37913edafca869c6d415ad3aceb,0,25,0,0,0,0,2,0,0,0,3,0,5,0,0,27,0,0,0,0,0,0,13,3,0,0,0,15,8,24,0,0,0,0,0,0
447701b714266e5d6b877cf8f709fd6a,0,60,0,0,0,0,0,0,0,0,0,0,3,0,0,21,0,0,0,0,0,2,41,6,0,0,0,37,14,2,0,0,0,0,0,0
0047d48fbaf4753f25019037ff802349,0,172,0,9,0,0,0,0,0,15,5,14,52,0,0,4,4,7,0,5,0,4,0,24,0,0,2,101,49,165,26,0,0,0,4,37
1b8aac6bd97ef49e6481be0850595977,0,0,0,0,0,0,0,2,0,0,2,0,15,0,0,8,0,0,2,0,0,2,8,2,0,0,4,0,0,0,0,0,0,0,0,0
03aed0890ce95b1c85b351723a23be0c,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,2,4,0,0,0,15,6,14,0,0,0,0,0,0
83489afea229f95dae0908ccb8acfb09,3,0,0,7,0,0,2,0,0,0,0,0,6,0,0,2,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
adc61945a7a169f9b0420e3fd8c958b9,0,0,0,0,0,0,0,3,0,0,5,0,42,0,0,8,0,0,0,0,0,9,23,7,0,0,0,0,0,0,0,0,0,0,0,0
77a77eae86afdce64d710bd6818fef78,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,2,2,0,0,0,0,5,0,13,0,0,0,0,0,0
e6c4fd72cbf685d1028351f9b5d55188,0,0,0,0,0,0,0,7,0,0,11,0,11,0,0,33,0,0,0,0,0,4,14,0,0,0,6,0,0,2,0,0,0,0,0,0
fb08afe65a099ec28a78c9d8155b16e4,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,13,0,0,0,0,0,3,21,3,0,0,3,2,0,0,0,0,0,0,0,0
aeb091a4d196e216c7ed9c8cc29f36a8,0,9,0,0,0,0,0,2,0,0,0,0,21,0,0,7,0,0,2,0,0,10,26,3,0,0,0,4,0,0,0,0,0,0,0,0
b4d6edf2fed7f3c5477d370559a3a9cf,2,7,0,0,0,0,8,0,0,2,0,0,0,0,4,237,0,0,0,0,0,3,1741,0,2,58,2,3,2810,34,0,2,3427,0,0,0
3f5d350d3445a0c4018fb2a432bb935a,0,9,0,0,0,0,0,0,0,0,2,0,3,0,0,12,0,0,0,0,0,0,23,7,0,0,0,6,2,6,0,0,0,0,0,0
4e51dc9ff9dca8f1f1fd6ae3784e6c84,0,0,0,23,787,0,0,9888,0,8,14176,0,206,4,0,2,0,0,10133,3,0,6839,2,14233,0,0,13795,2,0,1814,4,0,0,2,8,2
bfe54af4c9180d37a0d76f6dafe79a5a,7,48,0,61,69,4,5,1208,0,0,2,132,233,82,0,72,18,0,22,16,20,18,11,47,6,36,8,0,7,2,4,17,4,4,479,0
db7202347d5fa58c95c89fab435c3573,5,0,3,31,3,0,0,0,5,14,3,10,32,0,3,16,8,12,0,2,17,5,8,6,4,2,4,0,0,0,23,0,0,0,0,8
3214a96cdb6b838015701ab2f9d68c00,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,33,0,0,0,0,0,5,75,3,0,0,2,0,0,2,0,0,0,0,0,0
97e79eb4b7b7c2784c6889e08d510750,0,0,0,0,0,0,0,5,0,0,0,0,104,0,0,2,0,0,2,0,0,16,0,0,0,2,4,0,0,0,0,0,0,0,0,0
23d5a6e0455c0f02222837ca67a71aeb,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,2,0,0,0,0,0,2,8,7,0,0,0,0,0,3,0,0,0,0,0,0
8f98fb8693ed59c21399d83ce2d10724,4,191,9,2,0,0,19,0,0,2,3,0,30,0,3,177,0,0,3,0,0,2,686,6,0,173,0,111,648,1085,3,2,822,2,2,0
a24e0d4286b004ee3345384b6f377f9e,0,4,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2
