OTU ID	Distal_Colon	Jejunum
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__GGB28818	80	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	126110	77795
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0	275
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__GGB42949	973	169
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__GGB30301	3495	1753
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__GGB31701	15070	2743
k__Bacteria|p__Actinobacteria|c__CFGB73496|o__OFGB73496|f__FGB73496|g__GGB70518	7536	11454
k__Bacteria|p__Actinobacteria|c__CFGB73496|o__OFGB73496|f__FGB73496|g__GGB80032	6315	24733
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobiaceae_unclassified	50973	93474
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_unclassified	9023	83503
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__GGB28421	914	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Parvibacter	4702	5771
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	118601	203365
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified	3559	6320
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	12071	19640
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB28839	7649	1565
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified	99391	93339
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB14001	161674	111517
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28951	3423	846
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28955	4156	1435
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28959	489	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28961	1618	598
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28963	3376	566
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28964	2589	1147
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB42601	1533	399
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB79854	4806	973
k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28887	2494	301
k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28888	25882	10340
k__Bacteria|p__Bacteria_unclassified|c__CFGB49426|o__OFGB49426|f__FGB49426|g__GGB28889	25	226
k__Bacteria|p__Bacteria_unclassified|c__CFGB73496|o__OFGB73496|f__FGB73496|g__GGB30048	1086	8488
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB20145	129	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB28893	60	18702
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB28904	11664	3313
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB42608	3697	1565
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB79848	2092	580
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138|f__FGB76138|g__GGB79948	1545	182
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244|o__OFGB76244|f__FGB76244|g__GGB28967	14153	8476
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311|o__OFGB76311|f__FGB76311|g__GGB28903	2537	81
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313|f__FGB76313|g__GGB28927	26566	10939
k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28898	6741	2105
k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28901	68024	18448
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB28946	16978	9141
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB79804	3301	813
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_unclassified	5	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	339120	28276
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	325062	22563
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified	1685416	1140392
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB27849	227814	262771
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	565457	251663
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella	428724	319176
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB24127	187999	90965
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27898	154	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27903	596345	170574
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27918	200	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27919	14732	74229
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB28916	1717	74
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB30621	4857	1309
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB3583	164779	73798
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB46152	17190	5635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB46159	146811	96905
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB70852	582881	500244
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Heminiphilus	61771	45173
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified	387239	122591
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	561061	428369
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum	312345	293913
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	191201	73357
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	23135	18566
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24102	23406	4051
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB28990	1737	4194
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	191508	40562
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791|f__FGB1791|g__GGB27770	22569	7568
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425|g__GGB1503	293527	228065
k__Bacteria|p__Bacteroidetes|c__CFGB4875|o__OFGB4875|f__FGB4875|g__GGB24146	42927	48907
k__Bacteria|p__Bacteroidetes|c__CFGB593|o__OFGB593|f__FGB593|g__GGB79741	5231	0
k__Bacteria|p__Bacteroidetes|c__CFGB59744|o__OFGB59744|f__FGB59744|g__GGB59744	628	563
k__Bacteria|p__Bacteroidetes|c__CFGB632|o__OFGB632|f__FGB632|g__GGB24130	66726	7431
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635|g__GGB27872	41128	30684
k__Bacteria|p__Bacteroidetes|c__CFGB74567|o__OFGB74567|f__FGB74567|g__GGB1515	709	0
k__Bacteria|p__Bacteroidetes|c__CFGB75970|o__OFGB75970|f__FGB75970|g__GGB24149	109979	56686
k__Bacteria|p__Bacteroidetes|c__CFGB76004|o__OFGB76004|f__FGB76004|g__GGB28250	17146	1364
k__Bacteria|p__Bacteroidetes|c__CFGB76026|o__OFGB76026|f__FGB76026|g__GGB27914	26472	11979
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111|g__GGB79628	62545	8624
k__Bacteria|p__Bacteroidetes|c__CFGB76185|o__OFGB76185|f__FGB76185|g__GGB27894	10435	8701
k__Bacteria|p__Bacteroidetes|c__CFGB76349|o__OFGB76349|f__FGB76349|g__GGB27861	28068	7153
k__Bacteria|p__Bacteroidetes|c__CFGB76719|o__OFGB76719|f__FGB76719|g__GGB23844	27833	5394
k__Bacteria|p__Bacteroidetes|c__CFGB76719|o__OFGB76719|f__FGB76719|g__GGB27697	29299	12389
k__Bacteria|p__Bacteroidetes|c__CFGB9382|o__OFGB9382|f__FGB9382|g__GGB27878	35	0
k__Bacteria|p__Bacteroidetes|c__CFGB9382|o__OFGB9382|f__FGB9382|g__GGB70856	1108	17
k__Bacteria|p__Bacteroidetes|c__CFGB9382|o__OFGB9382|f__FGB9382|g__GGB75879	93944	21744
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388|f__FGB9388|g__GGB27866	17476	13584
k__Bacteria|p__Bacteroidetes|c__CFGB9397|o__OFGB9397|f__FGB9397|g__GGB27885	40458	6959
k__Bacteria|p__Bacteroidetes|c__CFGB9508|o__OFGB9508|f__FGB9508|g__GGB27851	492	38
k__Bacteria|p__Candidatus_Kryptonia|c__CFGB796|o__OFGB796|f__FGB796|g__GGB796	0	108
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197|o__OFGB10197|f__FGB10197|g__GGB31108	496	360
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197|o__OFGB10197|f__FGB10197|g__GGB31109	2644	1284
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197|o__OFGB10197|f__FGB10197|g__GGB31111	74	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197|o__OFGB10197|f__FGB10197|g__GGB75896	2360	1015
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB31064	2047	526
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB27478	13715	8636
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB47462	154	30
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB75725	1378	3634
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Oscillatoriales|f__Microcoleaceae|g__Arthrospira	0	193
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum	28077	15365
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus	0	183
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria	0	314
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB27929	103407	18746
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus	157	120779
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	6186	376096
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__GGB28248	60090	47119
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	365	3265
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus	0	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB24134	938	461
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB27481	7352	4624
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB27860	98210	64149
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB30087	20028	11661
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB30141	4312	3009
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB47117	0	2
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus	1152	397
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	506831	1143943
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus	1043432	2537633
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus	93182	256547
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus	0	39
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella	0	1286
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	10028	3073
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	26512	35080
k__Bacteria|p__Firmicutes|c__CFGB10213|o__OFGB10213|f__FGB10213|g__GGB31179	1495	1741
k__Bacteria|p__Firmicutes|c__CFGB10253|o__OFGB10253|f__FGB10253|g__GGB31256	0	288
k__Bacteria|p__Firmicutes|c__CFGB10289|o__OFGB10289|f__FGB10289|g__GGB31762	4171	569
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB47127	428	531
k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312|f__FGB10312|g__GGB70381	470	652
k__Bacteria|p__Firmicutes|c__CFGB10344|o__OFGB10344|f__FGB10344|g__GGB31793	786	27
k__Bacteria|p__Firmicutes|c__CFGB10344|o__OFGB10344|f__FGB10344|g__GGB31822	13872	9139
k__Bacteria|p__Firmicutes|c__CFGB10344|o__OFGB10344|f__FGB10344|g__GGB31823	16789	7268
