	TL1a_FP_207	TL1a_FP_75	TL1a_FP_141	TL1a_FP_171	TL1a_FP_99	TL1a_FP_63	TL1a_FP_243	TL1a_DTT_171	TL1a_DTT_141	TL1a_DTT_243	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_99	TL1A_FP_639	TL1A_FP_687	TL1A_DTT_639	TL1A_DTT_687
TL1a_FP_207	0.0	2.061704802897848	2.622575052998467	3.846289556761024	2.5911794046670127	2.160850085930491	1.3948589495684804	2.4980426193266894	2.305385478737215	0.9006435277578287	2.1818932310186843	1.0496767299680838	2.418090622504363	1.4552773564050867	3.020755911454441	2.5611339934667585	2.8171928973232774	2.9673607603629355
TL1a_FP_75	2.061704802897848	0.0	0.914566661559854	2.9123338230867586	0.7796609713802384	0.6297919339223991	0.8890973429685626	1.0091129954618603	0.8699127679724725	1.6929509812132137	0.3090668968871333	3.0921088278518414	0.36564839050208875	0.7523735434366882	1.4065057675163783	1.218660842700208	1.442190344980862	1.4669180493407024
TL1a_FP_141	2.622575052998467	0.914566661559854	0.0	2.067233995550783	0.25244279287832905	0.466729228874403	1.233973872503127	0.2670285556153491	0.3795470482285366	1.9659442904291615	0.6160876806547664	3.6638019692899673	0.821237291413414	1.5179664805809872	2.0295080711445097	2.017106279076007	2.1908722505789564	2.1425255324710895
TL1a_FP_171	3.846289556761024	2.9123338230867586	2.067233995550783	0.0	2.249826664193394	2.3008047925417885	2.70275067288406	1.9069350218813605	2.0674291683499657	2.9575170715569787	2.6147153455719923	4.725045833413022	2.8766304053975946	3.315489219540026	4.0594564137276095	4.068380065112721	4.245836664762849	4.177003571786893
TL1a_FP_99	2.5911794046670127	0.7796609713802384	0.25244279287832905	2.249826664193394	0.0	0.4941570510472734	1.2125838260188406	0.4455954650019349	0.5250498911663841	1.9945018052724626	0.5217830203239157	3.629272776072653	0.6344968524308146	1.4558277512141722	1.8243344688249814	1.8252906360151588	1.9960579068997002	1.9345971532550725
TL1a_FP_63	2.160850085930491	0.6297919339223991	0.466729228874403	2.3008047925417885	0.4941570510472734	0.0	0.7829524450912186	0.42872799608628126	0.24913177430105612	1.537584046727843	0.3520517817522548	3.2052892917472997	0.7382618636731851	1.0949824362587226	1.9715495951265476	1.8418443514245684	2.0544042429981757	2.0537046486493478
TL1a_FP_243	1.3948589495684804	0.8890973429685626	1.233973872503127	2.70275067288406	1.2125838260188406	0.7829524450912186	0.0	1.1118692029546364	0.9316536714029876	0.829857159401238	0.8788595902862302	2.430851116691738	1.2042633176599185	0.7853315494465608	2.213355644735789	1.91666926310146	2.174489634155846	2.235850282929655
TL1a_DTT_171	2.4980426193266894	1.0091129954618603	0.2670285556153491	1.9069350218813605	0.4455954650019349	0.42872799608628126	1.1118692029546364	0.0	0.24332805974922517	1.7852934703763002	0.7087322654452755	3.5283885004041355	0.9974609629026997	1.5220531742728423	2.232258136530379	2.1774540507475995	2.3692860139583067	2.33381745761151
TL1a_DTT_141	2.305385478737215	0.8699127679724725	0.3795470482285366	2.0674291683499657	0.5250498911663841	0.24913177430105612	0.9316536714029876	0.24332805974922517	0.0	1.6103558844266948	0.5751970757049167	3.342834575270716	0.9326582900033216	1.3077143257046158	2.175541551072145	2.0726744170591602	2.2771340009932857	2.2674792692868735
TL1a_DTT_243	0.9006435277578287	1.6929509812132137	1.9659442904291615	2.9575170715569787	1.9945018052724626	1.537584046727843	0.829857159401238	1.7852934703763002	1.6103558844266948	0.0	1.6869173816342056	1.8237888267554931	2.026259243833224	1.3023996083989202	2.9570842361763128	2.589724414720302	2.855407734181554	2.9549276369647925
