	Mouse1B.DTT15	Mouse5A.DTT27	Mouse7A.DTT38	Mouse1B.DTT14	Mouse5A.DTT26	Mouse4A.DTT21	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse9A.DTT98	Mouse10A.DTT110	Mouse9A.DTT99	Mouse10A.DTT111	Mouse8A.DTT86	Mouse8A.DTT87
Mouse1B.DTT15	0.0	0.5854730378790024	0.880402443422225	0.38664768103426717	0.8594349629074975	0.7162619209409988	1.2005945741034865	0.710900506485784	0.7783586881465614	1.054670228934357	2.191577908744062	2.475251009313972	1.8122657323795757	2.528766736858149	1.483291233076399	1.8407076761461028
Mouse5A.DTT27	0.5854730378790024	0.0	0.4469256621903397	0.9079657744089478	0.46420382155964757	0.33779128588187446	0.7174115980469651	0.29341150562210966	0.24854103158578242	0.5812681832833986	2.6122404276757285	2.750438397277459	2.3031448815485964	2.8205006456748185	2.063598969651777	2.349683535571992
Mouse7A.DTT38	0.880402443422225	0.4469256621903397	0.0	1.0906078040434577	0.804479376220773	0.3989792706523234	0.34078085498231286	0.2725011577026176	0.3599763305733158	0.19728183062017726	2.5996829654711995	3.1762800535844185	2.38704867309545	3.242502585568192	2.3040605148488935	2.432541853610601
Mouse1B.DTT14	0.38664768103426717	0.9079657744089478	1.0906078040434577	0.0	1.2400039058738734	1.0120205242860556	1.395222805159971	0.9825803352724788	1.0922716739964144	1.2768457365393857	1.8088504682095277	2.6322641480027373	1.4350807143426012	2.6738473193696293	1.2152388701271688	1.4614821109561433
Mouse5A.DTT26	0.8594349629074975	0.46420382155964757	0.804479376220773	1.2400039058738734	0.0	0.5479888379633812	1.001809411626212	0.6088198041294828	0.4529444363033087	0.8471895528085104	3.0184440472269345	2.508440356889543	2.6620791975523734	2.58703396706936	2.2764189672075257	2.698552773628906
Mouse4A.DTT21	0.7162619209409988	0.33779128588187446	0.3989792706523234	1.0120205242860556	0.5479888379633812	0.0	0.6964654831444752	0.1370309410643973	0.19915513315929104	0.4632672530690501	2.692397977111282	2.844611910354243	2.412868808296874	2.9078031974093013	2.1715293768968666	2.4357662695151707
Mouse7A.DTT39	1.2005945741034865	0.7174115980469651	0.34078085498231286	1.395222805159971	1.001809411626212	0.6964654831444752	0.0	0.588686984596571	0.6054081924968049	0.26180748872928816	2.787226700692035	3.4564190307221674	2.62049196290827	3.5281724280186606	2.608699231333134	2.679400064301866
Mouse4A.DTT20	0.710900506485784	0.29341150562210966	0.2725011577026176	0.9825803352724788	0.6088198041294828	0.1370309410643973	0.588686984596571	0.0	0.18602626228153227	0.3755376760863135	2.6242156510148718	2.9288003432156007	2.3608758403046113	2.9930205914258003	2.170143249176983	2.3925561035129976
Mouse6A.DTT32	0.7783586881465614	0.24854103158578242	0.3599763305733158	1.0922716739964144	0.4529444363033087	0.19915513315929104	0.6054081924968049	0.18602626228153227	0.0	0.4163950296483629	2.772241159074059	2.8694697390624264	2.489992621234094	2.939358801193942	2.259546472111722	2.5272422337380482
Mouse6A.DTT33	1.054670228934357	0.5812681832833986	0.19728183062017726	1.2768457365393857	0.8471895528085104	0.4632672530690501	0.26180748872928816	0.3755376760863135	0.4163950296483629	0.0	2.767461937605868	3.28132445375991	2.5712202299819014	3.3490652955289244	2.4878642982035974	2.6130145215370435
Mouse9A.DTT98	2.191577908744062	2.6122404276757285	2.5996829654711995	1.8088504682095277	3.0184440472269345	2.692397977111282	2.787226700692035	2.6242156510148718	2.772241159074059	2.767461937605868	0.0	3.943397475804472	0.6000971587608234	3.9511838149306575	1.573176906745715	0.6414529778963233
Mouse10A.DTT110	2.475251009313972	2.750438397277459	3.1762800535844185	2.6322641480027373	2.508440356889543	2.844611910354243	3.4564190307221674	2.9288003432156007	2.8694697390624264	3.28132445375991	3.943397475804472	0.0	3.359557908725851	0.12037322953249319	2.3993793135506265	3.335366428024451
Mouse9A.DTT99	1.8122657323795757	2.3031448815485964	2.38704867309545	1.4350807143426012	2.6620791975523734	2.412868808296874	2.62049196290827	2.3608758403046113	2.489992621234094	2.5712202299819014	0.6000971587608234	3.359557908725851	0.0	3.367066736221671	0.9933347249509233	0.202807035346191
Mouse10A.DTT111	2.528766736858149	2.8205006456748185	3.242502585568192	2.6738473193696293	2.58703396706936	2.9078031974093013	3.5281724280186606	2.9930205914258003	2.939358801193942	3.3490652955289244	3.9511838149306575	0.12037322953249319	3.367066736221671	0.0	2.397036974575396	3.3367528558650745
Mouse8A.DTT86	1.483291233076399	2.063598969651777	2.3040605148488935	1.2152388701271688	2.2764189672075257	2.1715293768968666	2.608699231333134	2.170143249176983	2.259546472111722	2.4878642982035974	1.573176906745715	2.3993793135506265	0.9933347249509233	2.397036974575396	0.0	0.9441404041824696
Mouse8A.DTT87	1.8407076761461028	2.349683535571992	2.432541853610601	1.4614821109561433	2.698552773628906	2.4357662695151707	2.679400064301866	2.3925561035129976	2.5272422337380482	2.6130145215370435	0.6414529778963233	3.335366428024451	0.202807035346191	3.3367528558650745	0.9441404041824696	0.0
