	TL1a_FP_230	TL1a_FP_128	TL1a_FP_86	TL1a_FP_266	TL1a_FP_158	TL1a_FP_284	TL1a_FP_194	TL1a_DTT_284	TL1a_DTT_158	TL1a_DTT_86	TL1a_DTT_230	TL1a_DTT_128	TL1a_DTT_194	TL1a_DTT_266	TL1A_FP_626	TL1A_DTT_626	TL1A_FP_674	TL1A_DTT_674
TL1a_FP_230	0.0	2.8898037573712925	1.2715768328890735	2.6216334611156347	2.3719313464453395	2.67643732033474	3.3994622173538342	0.9989311371670307	2.036682126904392	0.8000753155978431	0.7466720616786254	2.297576794344496	2.3838242574821393	1.0026413411759327	1.270010231776154	1.1768215839601275	1.6432502838673928	1.065261902566516
TL1a_FP_128	2.8898037573712925	0.0	3.0074250078999056	2.783678374643282	1.8717954589413803	4.465879875725943	3.282941111655393	3.207672430845665	1.391301384499656	2.7785811658023523	2.4084895810426294	0.8621394043214151	1.8361684857110312	1.969912076416776	3.128912049338489	3.3469155584576864	3.223588914922212	3.0583003269906217
TL1a_FP_86	1.2715768328890735	3.0074250078999056	0.0	1.5283700307127006	1.674378841746254	1.600138423715295	2.2657799955159943	2.2382640577024064	1.7655463696589728	0.49662232527383066	1.7789343075823598	2.2338628650365715	1.706190410953838	1.245794064314308	0.3432243867099363	0.48991944178432606	0.3861417316208207	0.33061851987227725
TL1a_FP_266	2.6216334611156347	2.783678374643282	1.5283700307127006	0.0	0.9263855372755763	2.0802633002328066	0.7990860079354135	3.5521627226040082	1.6381291583430933	1.8578006296323584	2.864847023024699	2.078411671253161	0.9476618104146529	2.0200307677371345	1.7053151695156448	1.9633641713741832	1.3596006501215248	1.805206742523162
TL1a_FP_158	2.3719313464453395	1.8717954589413803	1.674378841746254	0.9263855372755763	0.0	2.780764067249864	1.5304885096356358	3.1677208749061654	0.7892946920183056	1.764883396687535	2.3725610901245355	1.1654257707530002	0.14769031833827506	1.5029542498051986	1.8294244192565068	2.113688733367412	1.7019235412331686	1.862333061134869
TL1a_FP_284	2.67643732033474	4.465879875725943	1.600138423715295	2.0802633002328066	2.780764067249864	0.0	2.3998533040271304	3.5691360969993062	3.161882702437578	2.0503820924723484	3.3096776141067994	3.673670456869209	2.816877085631303	2.843819698078388	1.6080709025141824	1.5593720852598616	1.2892188925404209	1.738952146518558
TL1a_FP_194	3.3994622173538342	3.282941111655393	2.2657799955159943	0.7990860079354135	1.5304885096356358	2.3998533040271304	0.0	4.343286084665068	2.3075957815980264	2.631519004564187	3.6530758047867358	2.6804198561236325	1.5277793627238363	2.8007858917228736	2.442992247244763	2.6800868554174455	2.0424006933113725	2.5569114041771086
TL1a_DTT_284	0.9989311371670307	3.207672430845665	2.2382640577024064	3.5521627226040082	3.1677208749061654	3.5691360969993062	4.343286084665068	0.0	2.6484747923194667	1.7674245480754287	0.8475312820055001	2.7730126210508965	3.185928901129454	1.6718854191883463	2.166973463415503	2.060100617763577	2.593736050672942	1.9855340250525095
TL1a_DTT_158	2.036682126904392	1.391301384499656	1.7655463696589728	1.6381291583430933	0.7892946920183056	3.161882702437578	2.3075957815980264	2.6484747923194667	0.0	1.6464174358712933	1.8212715567005677	0.5361718627919573	0.8400571168324206	1.0492384196154676	1.8449892159260628	2.1091880096395275	1.9225652299244018	1.826241502825154
TL1a_DTT_86	0.8000753155978431	2.7785811658023523	0.49662232527383066	1.8578006296323584	1.764883396687535	2.0503820924723484	2.631519004564187	1.7674245480754287	1.6464174358712933	0.0	1.2882017628334639	2.0491383003654002	1.788990231733263	0.8693514714583551	0.5789804009033342	0.6277145795778498	0.8766315154465912	0.38689432187039274
TL1a_DTT_230	0.7466720616786254	2.4084895810426294	1.7789343075823598	2.864847023024699	2.3725610901245355	3.3096776141067994	3.6530758047867358	0.8475312820055001	1.8212715567005677	1.2882017628334639	0.0	1.9331045175710355	2.386514487927742	0.8750745073380015	1.7665493119154645	1.773673365194717	2.146603387196751	1.590822108226659
TL1a_DTT_128	2.297576794344496	0.8621394043214151	2.2338628650365715	2.078411671253161	1.1654257707530002	3.673670456869209	2.6804198561236325	2.7730126210508965	0.5361718627919573	2.0491383003654002	1.9331045175710355	0.0	1.1723613508658894	1.3039569624794265	2.326259173034898	2.568718499567609	2.4244201372909737	2.2809542250976778
TL1a_DTT_194	2.3838242574821393	1.8361684857110312	1.706190410953838	0.9476618104146529	0.14769031833827506	2.816877085631303	1.5277793627238363	3.185928901129454	0.8400571168324206	1.788990231733263	2.386514487927742	1.1723613508658894	0.0	1.517674523399457	1.8844165459666216	2.158646756812135	1.7454544667878427	1.90614338300487
TL1a_DTT_266	1.0026413411759327	1.969912076416776	1.245794064314308	2.0200307677371345	1.5029542498051986	2.843819698078388	2.8007858917228736	1.6718854191883463	1.0492384196154676	0.8693514714583551	0.8750745073380015	1.3039569624794265	1.517674523399457	0.0	1.3172971658461294	1.4593511904205965	1.573071322050363	1.1873800969586343
TL1A_FP_626	1.270010231776154	3.128912049338489	0.3432243867099363	1.7053151695156448	1.8294244192565068	1.6080709025141824	2.442992247244763	2.166973463415503	1.8449892159260628	0.5789804009033342	1.7665493119154645	2.326259173034898	1.8844165459666216	1.3172971658461294	0.0	0.3150478436581032	0.4813801599598022	0.21439929669909127
TL1A_DTT_626	1.1768215839601275	3.3469155584576864	0.48991944178432606	1.9633641713741832	2.113688733367412	1.5593720852598616	2.6800868554174455	2.060100617763577	2.1091880096395275	0.6277145795778498	1.773673365194717	2.568718499567609	2.158646756812135	1.4593511904205965	0.3150478436581032	0.0	0.6472898995809062	0.28909719387807137
TL1A_FP_674	1.6432502838673928	3.223588914922212	0.3861417316208207	1.3596006501215248	1.7019235412331686	1.2892188925404209	2.0424006933113725	2.593736050672942	1.9225652299244018	0.8766315154465912	2.146603387196751	2.4244201372909737	1.7454544667878427	1.573071322050363	0.4813801599598022	0.6472898995809062	0.0	0.614838386111593
TL1A_DTT_674	1.065261902566516	3.0583003269906217	0.33061851987227725	1.805206742523162	1.862333061134869	1.738952146518558	2.5569114041771086	1.9855340250525095	1.826241502825154	0.38689432187039274	1.590822108226659	2.2809542250976778	1.90614338300487	1.1873800969586343	0.21439929669909127	0.28909719387807137	0.614838386111593	0.0
