feature	rank
K00064	9.721962054
K00077	9.721962054
K00090	9.721962054
K00094	9.721962054
K00117	9.721962054
K00137	9.721962054
K00146	9.721962054
K00216	9.721962054
K00247	9.721962054
K00276	9.721962054
K00322	9.721962054
K00389	9.721962054
K00427	9.721962054
K00611	9.721962054
K00631	9.721962054
K00640	9.721962054
K00673	9.721962054
K00705	9.721962054
K00840	9.721962054
K00855	9.721962054
K00874	9.721962054
K00884	9.721962054
K00885	9.721962054
K00892	9.721962054
K00906	9.721962054
K00932	9.721962054
K00937	9.721962054
K00941	9.721962054
K00973	9.721962054
K00998	9.721962054
K01085	9.721962054
K01096	9.721962054
K01139	9.721962054
K01146	9.721962054
K01169	9.721962054
K01175	9.721962054
K01252	9.721962054
K01407	9.721962054
K01460	9.721962054
K01484	9.721962054
K01521	9.721962054
K01584	9.721962054
K01607	9.721962054
K01608	9.721962054
K01620	9.721962054
K01625	9.721962054
K01637	9.721962054
K01647	9.721962054
K01649	9.721962054
K01659	9.721962054
K01671	9.721962054
K01708	9.721962054
K01720	9.721962054
K01725	9.721962054
K01766	9.721962054
K01782	9.721962054
K01825	9.721962054
K01846	9.721962054
K02024	9.721962054
K02062	9.721962054
K02063	9.721962054
K02064	9.721962054
K02079	9.721962054
K02100	9.721962054
K02170	9.721962054
K02255	9.721962054
K02298	9.721962054
K02317	9.721962054
K02344	9.721962054
K02345	9.721962054
K02362	9.721962054
K02363	9.721962054
K02364	9.721962054
K02399	9.721962054
K02402	9.721962054
K02403	9.721962054
K02423	9.721962054
K02425	9.721962054
K02430	9.721962054
K02436	9.721962054
K02462	9.721962054
K02466	9.721962054
K02467	9.721962054
K02468	9.721962054
K02485	9.721962054
K02494	9.721962054
K02504	9.721962054
K02505	9.721962054
K02506	9.721962054
K02507	9.721962054
K02521	9.721962054
K02550	9.721962054
K02553	9.721962054
K02554	9.721962054
K02560	9.721962054
K02562	9.721962054
K02565	9.721962054
K02569	9.721962054
K02572	9.721962054
K02609	9.721962054
K02610	9.721962054
K02611	9.721962054
K02612	9.721962054
K02613	9.721962054
K02615	9.721962054
K02616	9.721962054
K02617	9.721962054
K02618	9.721962054
K02679	9.721962054
K02680	9.721962054
K02681	9.721962054
K02682	9.721962054
K02742	9.721962054
K02812	9.721962054
K02814	9.721962054
K02815	9.721962054
K02847	9.721962054
K02848	9.721962054
K02850	9.721962054
K02853	9.721962054
K02854	9.721962054
K02855	9.721962054
K02972	9.721962054
K03078	9.721962054
K03112	9.721962054
K03119	9.721962054
K03181	9.721962054
K03184	9.721962054
K03207	9.721962054
K03208	9.721962054
K03212	9.721962054
K03214	9.721962054
K03221	9.721962054
K03275	9.721962054
K03276	9.721962054
K03278	9.721962054
K03290	9.721962054
K03304	9.721962054
K03314	9.721962054
K03324	9.721962054
K03329	9.721962054
K03425	9.721962054
K03435	9.721962054
K03445	9.721962054
K03459	9.721962054
K03468	9.721962054
K03472	9.721962054
K03477	9.721962054
K03485	9.721962054
K03498	9.721962054
K03516	9.721962054
K03528	9.721962054
K03532	9.721962054
K03548	9.721962054
K03554	9.721962054
K03557	9.721962054
K03573	9.721962054
K03576	9.721962054
K03577	9.721962054
K03580	9.721962054
K03583	9.721962054
K03591	9.721962054
K03597	9.721962054
K03603	9.721962054
K03607	9.721962054
K03632	9.721962054
K03633	9.721962054
K03645	9.721962054
K03651	9.721962054
K03656	9.721962054
K03668	9.721962054
K03669	9.721962054
K03670	9.721962054
K03672	9.721962054
K03674	9.721962054
K03675	9.721962054
K03683	9.721962054
K03690	9.721962054
K03712	9.721962054
K03717	9.721962054
K03720	9.721962054
K03721	9.721962054
K03743	9.721962054
