#OTU ID,Lyz2.04B.FP244.S41,Itg.10.DTT456.S50,Lyz2.03B.DTT232.S72,Itg.20.DTT504.S99,Vil1.01B.FP08,Vil1.14B.FP167,Itg.18.DTT492.S87,Vil1.014B.DTT164,Lyz2.01B.FP208.S56,Itg.22.DTT516.S11,Itg.24.FP528.S31,Vil1.08B.FP95,Vil1.03B.FP32,Itg.26.FP540.S44,Vil1.06B.FP68,Vil1.09B.DTT104,Vil1.03B.DTT32,Vil1.02B.DTT20,Lyz2.04B.DTT244.S85,Vil1.04B.DTT44,Itg.24.DTT528.S23,Itg.08.DTT444.S37,Lyz2.08B.FP292.S90,Vil1.10B.FP119,Vil1.04B.FP44,Itg.16.DTT480.S75,Itg.20.FP504.S7,Itg.12.DTT468.S62,Lyz2.07B.DTT280.S122,Vil1.09B.FP107,Lyz2.01B.DTT208.S48,Itg.02.DTT408.S100,Lyz2.05B.FP256.S53,Lyz2.02B.FP220.S68,Vil1.013B.DTT152,Vil1.01B.DTT08,Lyz2.05B.DTT256.S97,Itg.02.FP408.S8,Lyz2.08B.DTT292.S134,Itg.22.FP516.S19,Vil1.08B.DTT92,Itg.04.FP420.S20,Itg.10.FP456.S58,Itg.18.FP492.S95,Itg.12.FP468.S70,Lyz2.06B.FP268.S65,Vil1.13B.FP155,Itg.08.FP444.S45,Vil1.010B.DTT116,Lyz2.03B.FP232.S80,Itg.04.DTT420.S12,Lyz2.02B.DTT220.S60,Itg.06.FP432.S33,Vil1.07B.DTT80,Lyz2.07B.FP280.S78,Vil1.05B.DTT56,Itg.16.FP480.S83,Vil1.07B.FP80,Vil1.05B.FP56,Lyz2.06B.DTT268.S109,Vil1.06B.DTT68,Vil1.02B.FP20,Itg.06.DTT432.S25,Itg.26.DTT540.S36,LYZdtt364,SLCdtt050,SLCdtt110,LYZFP304,SLCdtt002,LYZFP328,LYZdtt328,SLCdtt074,LYZdtt304,SLCFP128,SLCFP092,SLCFP002,SLCdtt092,LYZFP316,SLCdtt020,SLCdtt128,SLCFP050,LYZFP352,LYZdtt340,LYZFP340,SLCFP074,SLCFP068,LYZdtt352,LYZdtt316,SLCFP110,SLCdtt068,SLCFP020,SLCdtt164,SLCFP164,SLCdtt146,SLCFP146,taxonomy
2f65298490e0fe48b880145471ec54eb,7219,7250,11623,3928,8168,2026,1719,2331,9288,1160,6007,107683,5281,2882,3154,1191,2313,1911,2590,3250,2085,3672,10804,23039,5551,6347,12408,3897,2186,25621,1330,3541,566,28370,1138,2163,1313,2001,5195,6129,632,11646,8768,3029,2880,2577,6823,3202,1734,42190,7107,6033,22873,260,4483,521,5869,3343,2090,1033,448,6274,16222,1361,453,695,661,36030,4689,2355,7224,12248,19154,6366,10315,2010,8047,37490,398,1233,823,5673,7539,11443,10448,3139,84396,98891,95,877,851,6946,2473,1324,7005,
c42634f8d1aad4956aa9638465e86565,33,1549,272,108,5512,2371,7492,2950,2281,343,3047,10853,6718,3108,6687,3577,2074,607,199,3918,480,10990,693,71304,8119,12743,603,5791,1159,95175,149,67,2645,2797,6,610,3769,17,426,2807,68,1225,5813,40552,8666,849,73,11911,4566,381,774,341,9425,157,5254,69,33787,18581,3645,144,56,5208,3656,812,1092,287,295,790,768,21045,10200,404,841,415,1153,572,334,1850,2641,542,431,7954,5445,31988,363,410,11269,2033,148,173,15821,1066,1291,1001,763,
5ae5ad642b9c2cc68c4fc59e4902ff63,857,235,1880,5408,1003,1,951,24,2097,2629,166,9712,1844,661,0,234,2935,1262,2099,815,387,226,266,1137,808,296,6907,2748,2609,73,1759,1547,106,1322,0,429,586,318,426,3153,103,68,90,167,1486,492,1,42,1445,309,213,3811,467,0,1170,3,92,18,251,588,0,2012,3184,1305,1165,4860,26,1304,5810,777,3379,0,1550,2320,1072,2286,1529,902,200,7059,1579,0,1926,314,0,917,0,914,7,1840,207,266,0,1560,8239,
f5fb42e8863737981eb6e04a3de22e29,159,489,427,871,719,145,1605,692,1039,312,459,2152,716,568,1162,216,718,127,307,525,442,721,319,2082,557,1854,1077,1286,267,388,378,354,328,454,0,271,1374,338,258,879,125,113,367,1758,811,481,18,292,517,199,163,388,252,27,171,91,987,658,1522,304,58,711,753,636,2096,171,219,718,307,1317,4868,483,2792,76,260,111,188,835,553,403,101,249,1993,458,73,57,535,2019,59,286,557,874,372,163,475,
d013db1a71d477496cb864ee431c3420,352,425,611,931,4904,221,315,624,1148,329,1795,376,1742,2229,1248,228,846,465,219,1579,389,2329,1083,413,2411,1586,4341,1129,303,1739,149,612,1212,1611,8,430,1100,840,444,2350,40,579,1560,1774,1404,609,16,2793,679,1035,349,223,3194,45,761,21,3680,2108,766,178,0,1926,1134,488,388,136,142,2358,232,5972,4425,1089,1009,1007,117,549,1,6413,224,269,216,1812,467,2391,1963,385,2484,2911,145,229,1155,447,1240,1136,4206,
ccdb1dad68d457d1df2d11af1ea8ca5f,31,162,152,0,298,53,0,818,306,0,0,280,76,12,0,0,12,40,36,0,0,70,18,0,49,0,0,331,0,0,168,0,179,343,0,74,621,0,10,0,14,0,195,0,343,31,0,64,0,21,0,291,0,19,0,110,36,617,2312,26,0,183,0,31,295,0,2,1188,0,31,270,16,1627,4,0,0,0,1266,0,0,0,0,326,53,16,12,0,1577,14,42,188,0,0,64,529,
9c9d2dfde9ad67dcb9628dc8c30ec99f,800,156,896,354,2530,50,278,578,2184,173,778,1693,1834,1148,1712,151,317,343,200,822,172,1043,764,122,2531,811,2418,623,189,573,108,245,670,2152,3,217,633,606,246,1559,36,290,883,1889,1101,603,9,1236,170,2053,214,263,1826,85,917,13,3482,9987,1399,121,10,2723,641,194,500,78,164,3350,197,3590,2645,636,843,886,0,406,0,8463,27,243,156,2457,788,4243,1004,306,2484,3311,171,109,121,690,2232,183,1132,
a93ecb34623d57ce5a83ac109551229b,24,143,176,147,157,9,198,345,235,85,123,643,220,167,306,120,128,42,32,71,177,108,97,706,206,365,174,131,105,163,323,26,28,197,6,34,111,17,141,80,36,54,123,97,141,274,0,51,112,45,126,400,177,21,101,18,138,313,460,347,23,209,473,336,1266,63,117,259,375,318,732,68,317,86,119,125,104,220,331,391,29,102,792,135,19,24,188,142,31,136,131,871,31,131,84,
1b23073ca2a2884ac2bd7895dda760bc,6,12,70,205,23,1,135,123,119,3,9,93,17,48,44,7,22,5,72,24,59,111,19,88,26,119,80,1,14,1,505,13,4,16,0,9,141,6,35,1,5,2,1,4,1,5,0,6,8,2,29,164,7,1,2,1,12,12,132,93,0,23,87,323,1278,294,9,308,96,0,0,4,243,26,0,15,0,376,0,365,85,127,1488,120,0,0,127,346,0,0,0,1145,548,0,0,
7cd17d18c05e35c6001cc253ac15c517,394,146,361,162,1097,59,206,198,1089,169,908,1142,1119,1051,798,116,320,146,147,275,250,666,561,1245,762,345,914,399,154,1060,107,260,229,1034,0,91,260,399,197,1033,19,226,539,855,701,241,17,681,293,710,187,142,939,17,495,11,954,1575,437,116,0,1435,405,222,164,187,101,1302,129,2722,2447,186,549,540,164,260,53,3053,47,124,530,590,180,928,238,238,792,1193,110,126,218,827,1346,86,239,
