#OTU ID,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.13B.FP153,Itg.20.FP508.S11,Vil1.06B.DTT72,Lyz2.06B.DTT272.S114,Itg.20.DTT508.S3,Lyz2.03B.DTT236.S76,Itg.16.FP484.S87,Vil1.05B.FP60,Lyz2.01B.FP212.S60,Lyz2.02B.DTT224.S64,Vil1.09B.FP105,Vil1.02B.DTT24,Vil1.04B.FP48,Lyz2.07B.DTT284.S126,Vil1.03B.FP36,Itg.02.FP412.S12,Lyz2.02B.FP224.S72,Itg.02.DTT412.S4,Itg.26.FP544.S48,Itg.10.FP460.S62,Itg.04.DTT424.S16,Itg.18.FP496.S99,Vil1.08B.DTT96,Vil1.010B.DTT120,Itg.06.FP436.S37,Vil1.01B.FP12,Vil1.10B.FP117,Vil1.05B.DTT60,Lyz2.04B.DTT248.S89,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.06B.FP72,Vil1.02B.FP24,Itg.26.DTT544.S40,Lyz2.05B.FP260.S57,Itg.12.FP472.S74,Vil1.14B.FP165,Itg.16.DTT484.S79,Vil1.07B.FP84,Vil1.04B.DTT48,Itg.08.FP448.S49,Itg.04.FP424.S24,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Lyz2.01B.DTT212.S52,Lyz2.07B.FP284.S82,Lyz2.08B.FP296.S95,Lyz2.03B.FP236.S84,Vil1.014B.DTT168,Vil1.09B.DTT108,Itg.22.FP520.S23,Vil1.08B.FP93,Lyz2.06B.FP272.S70,SLCFP072,LYZFP308,LYZdtt308,SLCFP078,SLCFP024,SLCdtt114,LYZFP320,LYZdtt356,LYZdtt368,LYZFP356,SLCdtt024,LYZFP332,LYZdtt344,SLCdtt096,LYZdtt332,LYZdtt320,SLCdtt078,SLCFP054,SLCFP114,SLCFP006,SLCdtt054,SLCdtt006,SLCdtt132,SLCFP132,LYZFP344,SLCFP096,SLCdtt150,SLCdtt168,SLCFP150,taxonomy
8f139f903db65b737165fab17b843584,16,4,0,0,0,0,13,0,6,18,0,14,11,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,14,0,9,0,0,110,7,40,3,0,0,0,0,8,7,0,0,0,48,0,4,0,0,0,84,19,0,0,0,0,4,10,0,0,0,4,0,21,0,0,0,0,0,0,4,0,0,0,0,10,6,22,
5fc2d4103e27f399113f1fc7c954ef66,21,9,6228,0,0,34,12,0,9,36,0,23,61,19,8,22,8,0,7,0,0,0,8,0,0,0,0,0,49,0,24,0,356,0,21,0,14,6,0,78,1,39,0,0,0,4,14,7,0,0,0,0,35,7,0,46,10,3,215,0,0,0,0,2,1,3,2,3,2,2,7,10,10,8,4,0,2,0,3,47,4,97,0,25,46,5,
01ac8dc658ac5b92afc9837f747e74dd,7,0,0,0,0,0,0,0,4,13,0,6,34,6,0,2,5,0,0,0,0,0,4,0,0,0,0,0,57,0,0,0,0,0,16,0,0,0,4,26,0,20,0,0,5,2,8,2,0,0,0,0,6,0,0,32,0,0,96,4,0,0,0,0,5,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,3,10,
46864a6aa122ecb439eb59a3c0542ee6,4,0,0,6,0,9,4,0,0,25,0,0,32,6,0,5,7,0,0,0,0,0,8,0,0,0,0,5,75,0,10,0,0,0,13,0,0,0,5,151,0,26,0,0,10,0,0,8,6,0,0,0,19,0,12,81,4,0,13,15,2,0,2,2,0,4,0,0,9,15,0,16,0,0,0,0,0,0,0,0,4,1,0,2,9,139,
48fe77b828ac410d9e0effc44fbeb57e,21,32,0,21,0,25,58,17,10,8,0,31,54,4,0,38,13,5,28,5,0,0,11,4,0,5,0,0,41,0,24,3,4,0,24,10,6,11,14,57,17,45,0,0,5,4,5,51,4,0,12,6,50,0,18,65,11,0,47,6,3,4,11,3,0,14,4,3,0,23,7,4,0,6,14,3,4,7,5,7,3,27,0,10,165,2,
77eb2f8589e0e143883648e11bde2a31,17,0,63,0,0,8,3,0,2,18,0,2,0,0,1,1,3,0,0,0,1,1,2,0,0,0,1,1,0,0,4,0,14,0,30,1,1,0,1,116,0,85,0,0,1,2,0,11,0,0,0,0,0,0,1,0,1,0,123,0,0,0,9,0,0,0,0,0,0,64,0,1,38,0,0,0,0,0,0,0,0,57,0,3,3,5,
e16b103da2aa64c71cfe99afc4405912,12,3,0,3,0,0,5,0,8,36,0,0,0,6,0,2,4,0,0,3,0,2,2,0,0,0,0,0,0,0,1,0,0,0,16,0,5,0,3,81,0,0,0,0,2,0,0,3,0,0,0,0,14,0,3,0,0,0,52,1,0,0,4,0,5,11,0,0,0,24,0,17,0,1,0,0,0,0,0,0,0,0,0,7,6,26,
4938367aefb076da9af1836d7df30ae0,13,0,13,0,0,0,3,0,4,6,0,6,15,3,0,14,4,3,0,5,0,0,0,0,0,0,0,0,32,0,0,0,0,0,4,3,6,0,5,5,6,0,0,0,0,0,0,7,0,0,0,0,8,3,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,13,0,4,5,0,0,0,0,0,0,3,0,0,0,1,6,34,
0789b8bf342cad7160cfe6e2e074f034,10,0,0,8,0,0,9,0,0,8,0,6,111,0,0,4,5,0,0,0,0,0,3,0,0,0,0,0,56,0,0,0,0,0,6,0,6,0,3,67,0,24,0,0,0,0,0,3,0,0,0,0,12,0,0,90,0,0,27,7,0,0,0,0,0,7,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,8,
17bccd87573679acdd1eda74fc49bde7,28,0,0,3,0,0,16,0,4,8,0,3,15,3,0,4,3,0,2,0,0,2,10,0,0,0,0,0,25,0,0,0,3,0,5,2,6,0,0,21,5,12,2,0,0,2,0,9,0,0,0,0,38,0,0,35,0,0,9,6,0,0,0,0,0,27,0,0,0,32,0,6,0,9,0,0,0,0,6,0,0,0,0,1,18,0,
d33d037914391243a664e78b0865819d,7,0,860,0,0,10,10,7,7,13,0,19,44,0,0,7,6,0,0,6,0,0,0,0,0,0,0,0,134,0,11,0,126,0,5,0,0,0,0,7,0,12,0,0,1,0,0,4,0,0,0,0,15,0,0,16,0,3,13,144,0,0,0,0,7,4,3,1,4,9,0,0,3,3,0,0,0,0,0,4,0,7,0,13,7,1,
ccd31353e129fad1e0c6c09602372b4f,3,3,0,0,0,0,0,0,0,12,0,2,71,0,0,3,0,0,0,3,0,0,8,0,0,0,0,3,49,0,6,2,0,0,7,0,7,0,7,60,0,16,0,0,3,0,0,3,0,0,0,0,15,0,3,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,17,0,2,4,1,
598a513a3552c092cd8b71a429c45ab1,0,0,0,0,0,61,5,0,2,5,3,0,18,4,0,5,13,2,0,4,0,0,2,0,2,0,0,3,39,0,32,2,0,0,4,2,6,0,0,27,0,21,0,0,0,0,0,4,0,0,0,0,12,0,0,6,2,0,17,494,0,0,0,0,0,12,4,0,0,7,0,0,4,20,0,0,0,0,0,0,0,47,0,120,14,4,
f75f1091527cd2a1a4c96eba1f735466,0,4,2,0,0,0,0,0,10,18,0,4,43,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,159,0,12,5,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,
8f2b821cd45696bb55b164853a1917c3,0,0,0,0,0,0,0,0,2,5,0,2,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,142,0,0,0,0,0,6,0,0,0,0,13,0,15,0,0,4,2,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,2,0,
d5971448f3dce06f45cfd35f968de816,2,0,0,0,0,0,0,0,0,3,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,4,12,0,11,0,0,2,0,0,5,2,0,0,0,1,0,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,2,
59cb2b356649752e276dd7f74cee4321,2,0,0,1,0,7,4,0,2,0,1,5,2,0,0,3,0,1,13,0,9,3,0,0,0,0,14,2,0,0,0,0,0,0,1,15,5,0,33,6,2,6,0,15,0,0,3,2,0,7,1,1,2,0,3,15,1,0,100,15,0,0,3,5,31,56,99,0,0,18,0,1,8,0,0,0,0,0,0,5,3,8,0,0,0,24,
2e11ee45d4ccab0775222da825d3bd42,32,15,0,13,0,3,39,23,16,224,0,12,144,0,4,21,10,19,0,25,14,6,55,0,0,0,8,0,32,0,37,4,6,0,149,11,64,0,5,108,12,23,0,7,33,31,0,37,1,0,0,0,107,4,18,89,0,3,37,7,3,3,0,0,0,98,4,3,0,43,9,33,4,23,5,0,6,0,21,12,0,38,0,68,20,72,
c3bdd500bfba25ea4c753e8d815ef903,3,0,0,2,0,0,2,2,0,0,0,0,10,2,0,9,0,0,0,0,0,0,4,0,0,0,0,0,4,0,2,0,3,0,4,0,0,0,0,15,0,10,0,0,0,0,0,4,0,0,0,0,5,0,2,29,0,0,20,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,
df4ca25fd346713ef43d2c727b2ef78e,12,51,0,17,0,3,0,30,34,21,0,23,44,0,10,0,24,29,0,24,7,8,7,4,0,0,0,0,15,0,0,0,0,0,58,15,19,4,75,86,0,149,0,5,18,6,0,9,13,0,0,0,0,0,39,5790,6,0,45,97,0,8,0,46,13,51,48,10,0,1,0,0,10,15,8,0,0,0,22,8,0,38,0,1,2,4,
b92f84c206887ecd667f142dd3606ac3,20,0,0,0,0,0,13,0,10,35,0,3,21,0,0,6,7,0,0,3,0,0,10,0,0,0,0,5,73,0,4,4,0,0,28,0,8,0,3,43,3,52,0,0,3,5,0,10,0,0,0,0,11,0,0,33,8,0,44,18,0,0,0,0,5,18,0,0,0,20,0,0,0,0,4,0,0,0,0,0,0,9,0,9,8,9,
594b20915c3abfcb209ccf738fb7122b,17,0,1,0,0,0,0,0,0,37,0,2,47,4,0,1,6,0,2,2,1,0,7,0,0,0,0,1,3,0,4,5,0,0,20,0,4,0,0,31,1,95,0,0,4,4,23,4,8,2,15,1,12,0,0,74,0,0,10,9,0,0,0,5,3,8,0,0,0,3,3,10,4,0,0,0,0,0,0,5,0,11,0,0,36,16,
4a82bd4ce156dbdc137b21a1d7e75f93,15,0,0,0,0,0,0,4,7,14,0,0,41,0,0,3,8,0,0,0,0,0,7,0,0,0,0,0,93,0,3,0,0,0,8,0,0,0,0,0,6,14,0,0,6,2,0,8,0,0,0,0,0,0,3,14,6,0,241,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,79,0,2,4,15,
a5641950b2a3a47827849d91242f0ead,6,11,7,0,0,0,0,8,25,74,0,11,123,3,5,0,17,0,6,4,9,7,4,0,0,0,0,6,75,0,9,0,5,0,73,11,6,0,12,148,0,79,0,5,19,3,0,12,5,0,0,0,55,0,31,280,9,0,372,93,0,0,0,0,0,44,9,0,36,14,0,16,5,0,0,6,0,0,8,0,0,29,0,2,31,247,
0e1ed618e78c277a6e33fd639749410c,5,12,0,0,0,2,0,5,4,13,0,0,9,0,3,0,6,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,9,4,0,0,7,0,0,19,0,0,4,0,5,6,0,0,0,0,6,0,3,32,0,0,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,6,0,0,9,13,
