#OTU ID,Itg.10.DTT455.S49,Vil1.01B.FP07,Lyz2.04B.FP243.S92,Vil1.04B.DTT43,Vil1.07B.DTT79,Vil1.06B.FP67,Lyz2.01B.DTT207.S47,Itg.22.FP515.S18,Lyz2.05B.FP255.S52,Lyz2.04B.DTT243.S84,Vil1.04B.FP43,Vil1.09B.FP106,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Lyz2.08B.FP291.S89,Vil1.06B.DTT67,Vil1.02B.FP19,Itg.26.FP539.S43,Itg.18.FP491.S94,Itg.12.DTT467.S61,Vil1.07B.FP79,Lyz2.02B.DTT219.S59,Itg.24.FP527.S30,Lyz2.07B.FP279.S77,Lyz2.03B.FP231.S79,Itg.18.DTT491.S86,Itg.06.DTT431.S24,Lyz2.05B.DTT255.S96,Itg.08.FP443.S44,Lyz2.07B.DTT279.S121,Vil1.08B.FP94,Vil1.05B.DTT55,Itg.16.FP479.S81,Vil1.05B.FP55,Lyz2.06B.DTT267.S108,Itg.16.DTT479.S73,Itg.12.FP467.S69,Vil1.14B.FP166,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Itg.06.FP431.S32,Lyz2.06B.FP267.S64,Vil1.013B.DTT151,Itg.02.FP407.S7,Itg.04.FP419.S19,Vil1.02B.DTT19,Lyz2.01B.FP207.S55,Itg.08.DTT443.S36,Vil1.13B.FP154,Vil1.03B.FP31,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.09B.DTT103,Itg.10.FP455.S57,Lyz2.03B.DTT231.S71,Itg.20.FP503.S6,Lyz2.02B.FP219.S67,Itg.04.DTT419.S11,Vil1.10B.FP118,LYZdtt351,SLCFP067,SLCdtt019,SLCFP091,LYZFP327,SLCFP073,SLCFP019a,SLCFP049,LYZFP339,LYZFP315,SLCFP127,LYZdtt363,LYZdtt315,LYZFP351,LYZFP303,SLCdtt109,SLCdtt001,LYZdtt303,SLCFP001,SLCFP109,LYZdtt339,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt145,SLCFP163,SLCFP145,taxonomy
2f65298490e0fe48b880145471ec54eb,15129,15363,34203,2525,119,6097,4680,5140,2466,22197,7390,22736,3265,13081,2869,2339,18542,0,13681,3072,3441,10040,5133,7171,1761,1522,47015,5867,36770,1449,5101,3225,53072,193,8044,4538,2401,10633,4670,6399,22784,12107,10478,3344,1869,1964,3442,3544,8479,3710,21501,7654,786,1038,4178,1079,26812,17433,16898,8103,5583,32710,114301,3804,5346,3290,20909,18512,752,656,19829,42963,8429,2059,10335,7394,188592,8060,1546,9140,2417,593,5000,25581,11729,30669,36173,2834,15112,
c42634f8d1aad4956aa9638465e86565,7233,7764,197,3319,10,11568,790,2232,9346,1072,11184,59779,696,1479,1202,2405,1510,7,5296,2920,32522,12829,20678,928,1625,2243,233,25166,6668,3358,13458,3878,32031,22,23866,12758,490,12125,11895,11884,2076,3100,4027,708,196,11,1121,812,1607,1966,96,10881,968,59,3646,3164,13867,1100,576,1186,4065,77874,22137,546,3693,1060,71765,452,18611,743,69654,2202,315,4743,1254,19063,2452,3346,297,6431,855,489,1691,24870,653,6385,17279,7055,72,
5ae5ad642b9c2cc68c4fc59e4902ff63,1275,367,423,630,0,0,1691,445,116,1778,1123,69,700,889,4305,651,45,0,871,125,161,1257,17,3318,158,775,347,926,348,130,51,823,11231,0,20,280,1152,270,1139,2,3608,826,1319,720,4,156,632,119,1200,118,1,878,2,2,125,5,80,644,4230,2905,594,524,18,858,150,1105,461,0,195,3045,195,667,860,827,123,0,525,184,169,2480,1404,18,333,383,995,3543,4812,0,2596,
f5fb42e8863737981eb6e04a3de22e29,817,510,145,271,0,438,303,120,282,537,631,440,588,826,550,208,87,0,461,113,639,853,499,685,408,49,161,947,182,347,236,221,2713,0,192,826,547,672,354,278,469,243,173,620,42,98,276,129,197,167,15,358,12,0,360,23,223,379,346,499,475,1295,672,36,60,266,444,69,276,192,404,791,36,2225,217,383,598,338,30,2184,42,46,464,492,100,812,916,942,2,
d013db1a71d477496cb864ee431c3420,1228,7680,1539,805,0,1801,815,1841,1743,1192,3950,409,565,1401,765,1237,1453,0,2854,3028,1640,2064,3208,799,1216,883,1054,1165,1906,1699,2894,761,97,0,2349,2034,459,1824,2051,89,5954,3614,1554,1121,37,889,802,667,1599,440,32,2996,168,27,348,308,3538,424,4527,1307,787,244,2667,448,157,245,17606,2287,1191,493,4523,7025,445,5528,1057,4097,2558,372,153,14066,774,458,228,10432,219,735,429,1473,3295,
ccdb1dad68d457d1df2d11af1ea8ca5f,109,182,0,27,0,11,84,5,239,0,55,0,0,143,0,6,25,0,93,0,0,231,285,286,0,0,0,47,0,163,78,38,500,11,5,1492,73,55,231,125,0,0,0,53,6,0,0,13,99,15,0,31,0,7,286,0,173,121,0,368,0,32,11,21,0,0,19,5,103,0,40,1218,1,299,80,6,532,42,0,736,0,2,97,35,60,51,795,0,92,
9c9d2dfde9ad67dcb9628dc8c30ec99f,558,3715,2680,480,0,2106,606,1124,2133,1266,3628,324,278,598,372,503,931,0,2680,1062,1944,1330,3161,756,453,909,2039,1140,630,1052,1774,369,160,4,1596,3954,376,1022,1611,140,2144,1924,926,1072,16,585,485,319,1614,198,0,2405,22,14,413,205,1924,214,2653,1260,350,138,3049,250,18,0,11752,1128,101,228,8608,9804,570,3938,720,5876,5865,346,89,5244,583,620,230,5646,209,407,164,2253,1043,
a93ecb34623d57ce5a83ac109551229b,250,64,27,80,0,131,119,16,27,150,244,187,44,172,124,68,25,0,69,34,54,54,136,295,128,42,21,106,97,34,29,175,607,0,33,196,437,82,70,34,89,38,228,351,7,6,189,21,94,72,0,80,7,0,164,0,90,108,113,172,192,286,227,21,24,214,152,14,112,45,80,143,35,1050,96,145,96,157,6,95,67,36,66,112,62,263,1137,18,1,
1b23073ca2a2884ac2bd7895dda760bc,42,10,1,84,0,41,205,1,3,108,143,2,85,10,17,82,5,0,4,7,5,1,21,773,127,1,1,61,7,17,2,22,657,0,1,31,216,6,1,1,47,1,31,63,1,1,89,1,19,5,0,2,0,0,144,1,1,52,39,96,132,4,232,0,0,0,7,0,0,250,41,300,17,1634,70,180,115,7,0,300,7,7,28,24,15,463,29,261,19,
7cd17d18c05e35c6001cc253ac15c517,458,1735,1199,152,0,986,417,1242,864,663,953,1093,323,500,385,526,558,0,1822,978,1062,927,1777,484,621,407,946,775,591,376,1122,280,829,0,660,1157,205,640,1103,199,1078,1700,516,427,11,368,368,240,1011,177,24,1170,64,12,189,87,1428,259,1093,553,383,196,819,254,45,316,7904,333,246,813,1937,3894,336,1563,634,1433,2473,194,48,2349,534,344,124,5883,235,1302,517,1649,314,
