	IL17DTT201	IL17DTT188	IL17DTT218	IL17DTT85	IL17DTT104	IL17DTT26	IL17DTT27	IL17DTT219	IL17DTT129	IL17DTT199	IL17DTT200	IL17DTT116	IL17DTT25	IL17DTT86	IL17DTT141	IL17DTT117	IL17DTT115	IL17DTT105	IL17DTT49	IL17DTT51	IL17DTT139	IL17DTT189	IL17DTT87	IL17DTT140	IL17DTT128	IL17DTT217	IL17DTT127	IL17DTT50	IL17DTT103	TKODTT152	TKODTT21	TKODTT141	TKODTT19	TKODTT123	TKODTT69	TKODTT93	TKODTT127	TKODTT43	TKODTT129	TKODTT111	TKODTT110	TKODTT139	TKODTT2	TKODTT103	TKODTT87	TKODTT109	TKODTT104	TKODTT57	TKODTT92	TKODTT44	TKODTT153	TKODTT55	TKODTT3	TKODTT91	TKODTT73	TKODTT105	TKODTT128	TKODTT151	TKODTT45	TKODTT75	TKODTT32	TKODTT56	TKODTT31	TKODTT1	TKODTT74	TKODTT20	TKODTT33	TKODTT140
IL17DTT201	0.0	0.860401210075666	1.7786570242139956	2.394695198302318	1.8341809625264116	1.094963614639446	0.953835918837763	0.9542064725034889	2.7687130119424994	0.2973125237571476	0.3660365432745976	2.4438958884575572	2.8545048823238215	1.2592828773861944	0.7622561349544971	1.5333858795038222	2.474839148532035	1.739927832041254	2.9136994952167368	1.8664483625644117	1.1594943794790515	0.07542736143426701	1.194517176790309	0.7998124585596414	1.0855034578859721	3.5275043992811974	3.0366570646386677	1.886669246633725	2.4323027970619004	0.7019028233808924	1.4296730572556433	1.8234480490211344	1.4581772279074738	2.2389744161427996	2.113028753824373	1.509003372557211	3.715732875520028	3.248404711136233	2.025740103957983	2.5923865749057935	2.3398150981662234	3.738738333573714	3.5007092420964927	2.616964353405081	1.2665818207099038	3.3292126283761534	1.1406466299025493	1.1298018249148851	1.2136250032185552	0.5129968336779721	1.1277700048869888	0.8763129671890131	2.365750201210046	2.3411649103000727	2.633404377336434	1.8569850549568936	1.14851642505054	3.070884980716885	0.5010635070410088	1.8977439236575657	1.2860281468206722	1.0484285975435412	1.7259599083726935	2.5095882699907768	1.573784453152497	0.5495286461125212	1.2269126228187133	2.0102669117434733
IL17DTT188	0.860401210075666	0.0	1.4237539548536151	2.4929739218064864	1.6223026779819898	1.1155075021706728	1.4126272675597362	0.7101574622313507	3.550831012805783	0.6565287245723325	0.5025423506809283	1.9903685247834568	3.064667070726344	0.9909091352587659	1.3505878732636682	1.4208767633844115	2.702433902355121	1.7397234581481678	3.0232033855073563	1.9582970026840114	1.6320251014219616	0.7899696092150836	1.2605755277813582	1.3453318636703977	0.32487415822265553	3.4614097673042763	3.0703735276488495	1.8225401563635926	2.4756015358860117	1.4083884064238523	2.207030188231529	2.6098727005089772	2.131265098023752	2.855006360109399	2.9428766381633618	2.3305750290072997	4.374848672464695	3.709484460304343	2.869153025409712	3.3243117087954244	3.108605937157425	4.318665822140038	3.728325140045405	3.1267137356889343	2.1208441658015964	4.007794178997111	1.9291327175574289	1.5493875938658215	1.985485047485203	1.347942619666866	1.884228126587908	1.416319474946552	2.8463682743530807	2.6501105033471215	3.0875980907671754	2.5992232570436045	2.0055731947319893	3.775200830147497	1.344995505485218	2.5989565478219503	2.1146443896401084	1.4753485585343646	2.5461047363512144	2.824753798033472	2.3197725078550966	1.3462203937265511	2.0487022534514248	2.7366573105979644
IL17DTT218	1.7786570242139956	1.4237539548536151	0.0	1.3864061306613713	0.32262658030981367	0.8228822935864066	1.398600454519959	0.8427580134549256	3.553821040033067	1.4927003105763208	1.567692051775002	0.6766796300942276	2.0258765339774727	0.5201566115423637	1.5625447529787682	0.48314548325968726	1.7493554692315618	0.7187318852211856	1.8396140086431905	0.9785554658103166	1.4583001492695533	1.751712253343166	0.8126666640783826	1.4896815125775804	1.1448055903196126	2.1232197242923703	1.8641173243263356	0.6646416169212054	1.3041127762006763	1.7508062834511804	2.400452781822712	2.771046175574695	2.09208173413616	2.520562059322414	3.7178175123362585	2.6355306517391286	3.9696582685624353	2.9553439328314224	3.232815344603609	3.2039438039801236	3.1252318785528885	3.748934496850532	2.662729871718665	2.5535616806650463	2.834355097063297	3.67772385580848	2.227996639569292	1.3541025394924437	2.2171559183150342	2.009237543802665	2.112449041006388	1.5415212094441662	2.252481638542622	1.8097330727865717	2.4149260304083544	2.62355240136282	2.5733377532977024	3.5168579313460313	2.201478048265518	2.5042036220472714	2.9474254783873275	1.353061591019395	2.8128756027866033	1.9762916519679106	2.3964408851978907	1.8859185251634942	2.8862384355226784	2.693321870252241
IL17DTT85	2.394695198302318	2.4929739218064864	1.3864061306613713	0.0	1.094981635735809	1.3977216757428053	1.50401199510303	1.808993920572162	2.820845913584692	2.2129604703009895	2.3896195295654357	1.562682947878873	0.6398008399608037	1.5486856707898768	1.744504053940847	1.1007754210986638	0.4318543860341682	0.7914882291687072	0.5526163310859551	0.5698534912580416	1.3795199519465025	2.4127245141799696	1.25781163988193	1.6813227131371022	2.3134194509105024	1.2024375168730947	0.7064411013633282	0.7377896111601656	0.1573412229620726	1.9338112169453514	2.1280862798400033	2.3354390617301455	1.7246614451927136	1.6710837997095103	3.7110106798205034	2.404749410273634	2.8396239651070228	1.6698109845748346	2.8949461270653156	2.4056392344264927	2.4721811602002615	2.515561561765267	1.2895640407328348	1.4388848348121241	2.930897896239965	2.630503290532215	2.124566097223141	1.3368739260296147	2.069372413787263	2.3498321503548834	1.9982089418207358	1.648372391520563	1.2046263804570276	0.6244700803195246	1.236926158854058	2.0975846505741553	2.603273395283159	2.561665556283732	2.61637750544133	1.9097743424741733	3.1303088274279887	1.4036518954985293	2.4869548007176596	0.712411374296936	2.017756909930594	2.1716945847325495	3.073109094799592	2.0791721718863463
IL17DTT104	1.8341809625264116	1.6223026779819898	0.32262658030981367	1.094981635735809	0.0	0.8078293897738348	1.298702691271939	0.9609005258327797	3.3422593660594506	1.5667407759274383	1.6778113308922302	0.784074679761428	1.732909029419836	0.641899837360013	1.489230039132733	0.36455230604591254	1.462145402376835	0.4400193367993292	1.5409031978287984	0.6876751288319091	1.3012052709647783	1.819100182356374	0.7335711256558036	1.406772556816589	1.3762982593225768	1.9006015744243976	1.6177272063781316	0.37901971596824713	1.0204429768150325	1.6810929921997835	2.2545970714794548	2.608857566557224	1.9131791048795577	2.2746083654859177	3.6565702452938846	2.5004511392343565	3.6983536471599217	2.654489048448339	3.0949912578881054	2.9797081739154243	2.9253785502333476	3.46404827515293	2.377251726661509	2.2810993477282726	2.7807694673952246	3.417439962852645	2.1127501655846497	1.20965924213969	2.085815069319755	1.984688950458044	1.9881173572417121	1.459027663061794	1.9766424344547209	1.5165788047894693	2.1319227871359256	2.4392762184810515	2.497470582262151	3.2636861919944447	2.2086834319198694	2.298281325955918	2.918220105939969	1.2298200717989456	2.6652508919168354	1.6885841405746276	2.2259794798202135	1.8455656277209995	2.8634232955504566	2.4947315020300596
IL17DTT26	1.094963614639446	1.1155075021706728	0.8228822935864066	1.3977216757428053	0.8078293897738348	0.0	0.6110644586507065	0.4903612720240224	2.8617677385590023	0.8617430096204567	1.0131838563069822	1.4722499036164187	1.9504473323506994	0.4174702999721076	0.7634274293119252	0.46064079709500133	1.5869385538168255	0.7036502090231669	1.9369320087925885	0.8739552635051671	0.7633842141319302	1.0920304324322234	0.16652611809524986	0.7109981748684137	1.0003033234691643	2.4580970929350814	2.0069585196265374	0.8156030512517214	1.4009482931783859	0.9669378386911981	1.6373389108243852	2.0127128320985306	1.383786886990714	1.9422929360975731	2.9193793625776228	1.8665911943963898	3.4505539071202476	2.6430881163066355	2.4489763571309595	2.5456158106588154	2.4179355860986185	3.317455242213194	2.6147348174784835	2.1023272660823364	2.0439432372725017	3.117603990901145	1.4451475439790764	0.6398290747697454	1.4558299524730163	1.2638137350041245	1.3415191480764443	0.7317265249856953	1.8136216363231406	1.5473154395816966	2.028983136295264	1.8999458012972306	1.7809338061285154	2.928413806423422	1.4642892041747138	1.8255068361087319	2.1645656577528296	0.6014081676410016	2.0464064216871534	1.7183912467133784	1.6650383430210143	1.1196943706014926	2.0936865783853893	1.9930314857694444
IL17DTT27	0.953835918837763	1.4126272675597362	1.398600454519959	1.50401199510303	1.298702691271939	0.6110644586507065	0.0	0.9372703359361028	2.272786974862464	0.8752662778520787	1.0854996556404106	2.0343295916374124	1.9103430991896275	1.0022828414259828	0.24703603734139742	0.9605713552188822	1.5306987324971104	1.0124223327413646	2.0093171199890962	1.0366278100595208	0.2880959574112257	0.9929308480617175	0.5871475545820262	0.21903184721210417	1.42530743540466	2.682202101613294	2.1502800302654403	1.1746842820460364	1.5694658221229134	0.4640935201581939	1.027410446013188	1.4043587121351713	0.79921777642812	1.4497646395469062	2.385253431009597	1.2634166493225636	2.970770128979575	2.338636864733786	1.8423161833651616	1.9814035263652783	1.8259340739502212	2.907414271231385	2.5493357427034797	1.7268377288880772	1.5300401589155164	2.6132725927589973	0.8486772427437175	0.21009488392663456	0.8579450560964514	0.8746188326590951	0.741791909911248	0.17501004311499835	1.4593627103693476	1.3930384095812085	1.7127980240918763	1.304159984185522	1.234784903967778	2.398944065404179	1.120971084119199	1.2528516784346477	1.6904497629046382	0.11827205608572486	1.43682138177562	1.5562823211213297	1.0619816257846328	0.6929213465918935	1.6264276793088057	1.410420005199934
IL17DTT219	0.9542064725034889	0.7101574622313507	0.8427580134549256	1.808993920572162	0.9609005258327797	0.4903612720240224	0.9372703359361028	0.0	3.189132580192444	0.6601317577465159	0.728451601981429	1.4997380833543803	2.391608147748989	0.33966772361954883	0.9797542937533745	0.7412673230940536	2.0384769149149538	1.0388434618254538	2.327587016663254	1.2621309699226406	1.096386521918876	0.9195108639261802	0.6007301724944268	0.9274609423753419	0.5760250655343432	2.804771691686505	2.4147563128945895	1.1359675521835422	1.7934539303400894	1.1146034002576024	1.8913545045034876	2.3016623236330047	1.696326507229613	2.337397117321323	2.9909022315834695	2.076348177284581	3.8671563757730754	3.0826329269983996	2.671153443629936	2.9063185625134573	2.7446939290546983	3.757786530027033	3.0632392176599423	2.547337970930331	2.108830316371313	3.521460041178665	1.6544985397863916	1.0017864004744599	1.672872833067842	1.258007137605569	1.5658462972984726	1.021238779764707	2.247004470341476	1.9909059292625142	2.4780584775556864	2.223476626424167	1.8940016074522024	3.306438280471498	1.405796061253877	2.1648216513531735	2.1859115175368053	0.952895751369842	2.2823093102571925	2.175927339292489	1.9492034604084092	1.172107043129847	2.127961396396814	2.335794859379814
IL17DTT129	2.7687130119424994	3.550831012805783	3.553821040033067	2.820845913584692	3.3422593660594506	2.8617677385590023	2.272786974862464	3.189132580192444	0.0	2.9048903407513964	3.091567666379912	4.094538196249561	2.647280356994736	3.2516104713233025	2.2335474258424775	3.077550566571229	2.478783659733232	2.920822248217806	2.990842491121957	2.7443588278616016	2.1330910394739613	2.8421710107590212	2.788943162629605	2.2678616107156286	3.6505292075290194	3.8144534093655476	3.244326285500141	3.0665317014445246	2.9730742427198944	2.150939293460562	1.3486665791408479	0.9538504933581707	1.500860910565756	1.1541651664007653	1.962710327770086	1.2904634337426248	1.3014451169667907	1.918036688832725	0.985440053069548	0.4259553238777477	0.4496495810906119	1.6632043007674757	2.8865621368053684	1.5311705104817628	1.8990691742794565	0.9363673973982617	1.632998927980941	2.236570886523831	1.5853815430636127	2.310295088636792	1.675047574184841	2.2063321475907434	1.6539958049486876	2.2230855819495017	1.755201246341488	0.9708009243682946	1.7511531917349519	0.6704750395801079	2.4498988720582875	1.0527781852914093	2.1190138660897824	2.267239320089997	1.0739213630086664	2.2186291039232207	1.25045721572879	2.2421941582347786	2.132931493462056	0.8701508270260437
IL17DTT199	0.2973125237571476	0.6565287245723325	1.4927003105763208	2.2129604703009895	1.5667407759274383	0.8617430096204567	0.8752662778520787	0.6601317577465159	2.9048903407513964	0.0	0.21321878543988004	2.154592781282508	2.7143482527065417	0.9741740477864034	0.7460919236022906	1.2814389063374099	2.337671125779443	1.515290438798781	2.737599400496078	1.6702290457552875	1.086681200228727	0.25969441079143896	0.9730603483379459	0.7525904084722731	0.8270122765317921	3.3137572191085045	2.8501527040144676	1.651933682411672	2.235773613739137	0.7625221995746095	1.557386860096827	1.966747236138222	1.5067721366112188	2.2628796290045297	2.3931611812500875	1.6769051989686838	3.7734109892363876	3.202865547561269	2.2294744238387754	2.6919928117642566	2.466234630904251	3.754944821023461	3.373780973072137	2.5938931063625956	1.5309846078660498	3.3969522518183752	1.2774638204563569	1.0332391750828724	1.3321472561133023	0.7122514712034109	1.2345121255205638	0.8472656253869537	2.3231426049883517	2.2274800058999578	2.5838644989057378	1.9623392287315016	1.375322039831285	3.150043523663415	0.7790872847225649	1.9699958300787173	1.570320746768242	0.9542408901073243	1.8945038055502645	2.4036391660314167	1.674755253170806	0.6912774765942733	1.5117668543555485	2.1048407277561534
