index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Verrucomicrobiota
Distal_Colon,175.0,0.0,32289.0,47.0,41.0
Proximal_Colon,220.0,0.0,36595.0,10.0,10.0
Cecum,119.0,0.0,32941.0,32.0,25.0
Ileum,336.0,5.0,35689.0,210.0,249.0
Jejunum,1037.0,0.0,32752.0,620.0,269.0
Duodenum,1988.0,2.0,37132.0,1477.0,1455.0
