index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota
Distal_Colon,3315.0,892.0,424.0,10200.0,55.0,34440.0
Proximal_Colon,9263.0,515.0,3199.0,581.0,106.0,34444.0
Cecum,8524.0,85.0,5681.0,771.0,84.0,35263.0
Ileum,2819.0,3.0,20628.0,257.0,6.0,28844.0
Jejunum,6453.0,36.0,20882.0,789.0,17.0,16362.0
Duodenum,3771.0,167.0,27532.0,6145.0,10.0,18782.0
