index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Desulfobacterota
Distal_Colon,15480.0,47.0,5043.0,51831.0,90.0,6.0,1.0
Proximal_Colon,12615.0,2850.0,24670.0,30576.0,66.0,2308.0,6.0
Cecum,9596.0,2022.0,14248.0,32244.0,29.0,100.0,6.0
Ileum,4190.0,3.0,14073.0,17702.0,5.0,4.0,1.0
Duodenum,5186.0,0.0,14189.0,17207.0,3.0,4.0,0.0
Jejunum,6880.0,0.0,21307.0,491.0,2.0,2.0,0.0
