index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Desulfobacterota
Distal_Colon,7579.0,13.0,9286.0,16152.0,2.0,26040.0,99.0
Proximal_Colon,13773.0,10.0,2145.0,16483.0,0.0,25476.0,41.0
Cecum,3678.0,0.0,11721.0,23562.0,0.0,14943.0,137.0
Ileum,4117.0,0.0,15684.0,22132.0,2.0,4473.0,229.0
Jejunum,5089.0,0.0,15530.0,22357.0,0.0,6277.0,276.0
Duodenum,7447.0,0.0,6496.0,26180.0,0.0,1760.0,72.0
