index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota
Distal_Colon,4739.0,0.0,3753.0,282.0,0.0,1378.0
Proximal_Colon,7269.0,0.0,4941.0,699.0,0.0,1947.0
Cecum,3450.0,0.0,3806.0,377.0,0.0,1000.0
Ileum,13567.0,16.0,1915.0,1632.0,12.0,2145.0
Jejunum,12385.0,34.0,2794.0,1667.0,24.0,4297.0
Duodenum,20394.0,287.0,1133.0,829.0,13.0,1589.0
