index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Verrucomicrobiota
Distal_Colon,4061.0,27.0,21146.0,335.0,3.0,0.0,17769.0
Proximal_Colon,4403.0,73.0,17080.0,1119.0,10.0,0.0,30202.0
Cecum,4061.0,2.0,12155.0,521.0,5.0,0.0,21067.0
Ileum,5610.0,220.0,3125.0,17608.0,25.0,0.0,15687.0
Jejunum,9853.0,42.0,3120.0,1397.0,11.0,0.0,36275.0
Duodenum,10819.0,296.0,4867.0,1615.0,20.0,87.0,28567.0
