index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Desulfobacterota
Distal_Colon,4831.0,1.0,45427.0,174.0,1.0,11.0,109.0
Proximal_Colon,5476.0,0.0,39809.0,85.0,3.0,2.0,111.0
Cecum,34493.0,7.0,18773.0,13474.0,29.0,2000.0,962.0
Ileum,18017.0,80.0,24146.0,4322.0,18.0,217.0,293.0
Jejunum,17122.0,173.0,15006.0,4184.0,44.0,309.0,160.0
Duodenum,4718.0,0.0,38897.0,121.0,1.0,4.0,78.0
