index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Verrucomicrobiota
Distal_Colon,2561.0,185.0,8719.0,5654.0,3.0,49.0,5719.0
Proximal_Colon,5289.0,2810.0,6593.0,4361.0,17.0,18.0,12652.0
Cecum,15399.0,181.0,14609.0,2408.0,3.0,7.0,4339.0
Ileum,3384.0,0.0,17440.0,500.0,1.0,31.0,5892.0
Jejunum,5578.0,0.0,18629.0,591.0,2.0,8.0,19365.0
Duodenum,3817.0,138.0,14588.0,482.0,10.0,32.0,7837.0
