index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Desulfobacterota
Distal_Colon,1407.0,7.0,5251.0,100857.0,1.0,150.0,3.0
Proximal_Colon,4452.0,221.0,3642.0,82309.0,4.0,160.0,1.0
Cecum,5105.0,176.0,2879.0,124337.0,5.0,598.0,1.0
Ileum,2919.0,1.0,12898.0,53068.0,0.0,290.0,30.0
Jejunum,4646.0,2.0,17874.0,14025.0,0.0,220.0,168.0
Duodenum,5770.0,2.0,14292.0,16583.0,1.0,305.0,80.0
