# Constructed from biom file
#OTU ID	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_FP_85	TL1a_FP_127	TL1a_FP_193	TL1a_FP_265	TL1a_DTT_265	TL1a_FP_157	TL1a_DTT_85	TL1a_DTT_193	TL1a_DTT_283	TL1a_DTT_229	TL1a_FP_283	TL1a_FP_229	TL1A_DTT_673	TL1A_FP_625	TL1A_FP_673	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__	1100.0	234.0	1174.0	175.0	6.0	121.0	173.0	307.0	1606.0	217.0	532.0	159.0	854.0	138.0	24.0	38.0	31.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__	37.0	61.0	47.0	9.0	2.0	62.0	52.0	84.0	36.0	14.0	52.0	25.0	88.0	3.0	4.0	19.0	23.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001	45.0	0.0	0.0	41.0	0.0	3.0	0.0	0.0	0.0	3.0	97.0	47.0	50.0	4.0	13.0	4.0	3.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	3047.0	2598.0	1140.0	3528.0	75.0	396.0	1754.0	1145.0	806.0	2015.0	4140.0	552.0	6443.0	332.0	123.0	139.0	238.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor	688.0	189.0	59.0	133.0	1.0	3.0	255.0	26.0	0.0	437.0	1947.0	93.0	1756.0	22.0	52.0	36.0	153.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	8.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	3.0	8.0	305.0	2.0	0.0	32.0	0.0	3.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cuneatibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	30.0	0.0	0.0	17.0	0.0	5.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575	86.0	216.0	90.0	43.0	1.0	3.0	94.0	81.0	134.0	40.0	316.0	59.0	440.0	50.0	21.0	8.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	394.0	706.0	309.0	1285.0	28.0	94.0	960.0	342.0	181.0	545.0	1110.0	1614.0	1029.0	142.0	189.0	45.0	68.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group	153.0	311.0	22.0	29.0	1.0	8.0	413.0	23.0	45.0	1918.0	1199.0	16.0	559.0	5.0	4.0	2.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	7159.0	1483.0	9917.0	3784.0	95.0	342.0	6661.0	458.0	21723.0	12623.0	4710.0	2684.0	5074.0	1032.0	2264.0	854.0	3133.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	11.0	0.0	0.0	0.0	1.0	743.0	1338.0	0.0	0.0	0.0	360.0	39.0	1867.0	0.0	0.0	0.0	77.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004	52.0	149.0	89.0	187.0	9.0	14.0	170.0	186.0	51.0	52.0	175.0	18.0	379.0	22.0	3.0	7.0	11.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006	641.0	163.0	24.0	57.0	4.0	4.0	3.0	8.0	16.0	196.0	14.0	0.0	18.0	0.0	0.0	0.0	4.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010	18.0	32.0	4.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	3.0	0.0	17.0	0.0	7.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	351.0	0.0	0.0	515.0	0.0	7.0	96.0	0.0	0.0	0.0	54.0	27.0	433.0	116.0	4.0	0.0	61.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia	100.0	75.0	0.0	62.0	0.0	1.0	61.0	12.0	0.0	13.0	60.0	0.0	128.0	0.0	3.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella	157.0	87.0	5.0	132.0	4.0	11.0	2.0	85.0	6.0	40.0	132.0	203.0	139.0	10.0	59.0	8.0	13.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	15.0	0.0	0.0	7.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__	121.0	73.0	26.0	42.0	6.0	2.0	30.0	17.0	45.0	106.0	93.0	0.0	68.0	0.0	13.0	0.0	4.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia	9.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	13.0	0.0	0.0	103.0	0.0	0.0	30.0	0.0	6.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	639.0	336.0	160.0	715.0	4.0	36.0	135.0	47.0	144.0	77.0	400.0	73.0	774.0	7.0	17.0	8.0	70.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	2.0	64.0	0.0	15.0	0.0	4.0	16.0	19.0	0.0	15.0	11.0	6.0	4.0	5.0	18.0	0.0	4.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella	0.0	55.0	0.0	0.0	0.0	45.0	45.0	8.0	0.0	4.0	0.0	0.0	0.0	15.0	0.0	0.0	3.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus	0.0	65.0	0.0	0.0	1.0	2.0	9.0	20.0	0.0	3.0	75.0	0.0	19.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	357.0	0.0	0.0	40.0	0.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0
