"KO"	"BioGeo.Itg.02.FP407.S7"	"BioGeo.Itg.02.FP411.S11"	"BioGeo.Itg.04.FP419.S19"	"BioGeo.Itg.04.FP423.S23.Rep1_S87"	"BioGeo.Itg.06.FP431.S32"	"BioGeo.Itg.06.FP435.S36"	"BioGeo.Itg.08.FP443.S44"	"BioGeo.Itg.08.FP447.S48"	"BioGeo.Itg.10.FP455.S57"	"BioGeo.Itg.10.FP459.S61"	"BioGeo.Itg.12.FP467.S69"	"BioGeo.Itg.12.FP471.S73"	"BioGeo.Itg.16.FP479.S81.Rep1_S86"	"BioGeo.Itg.16.FP483.S86"	"BioGeo.Itg.18.FP491.S94"	"BioGeo.Itg.20.FP503.S6"	"BioGeo.Itg.20.FP507.S10"	"BioGeo.Itg.22.FP515.S18"	"BioGeo.Itg.22.FP519.S22"	"BioGeo.Itg.24.FP527.S30"	"BioGeo.Itg.24.FP531.S34"	"BioGeo.Itg.26.FP539.S43"	"BioGeo.Itg.26.FP543.S47"	"BioGeo.LYZFP303"	"BioGeo.LYZFP307"	"BioGeo.LYZFP315"	"BioGeo.LYZFP319"	"BioGeo.LYZFP327.Rep1_S105"	"BioGeo.LYZFP339"	"BioGeo.LYZFP351.Rep1_S106"	"BioGeo.LYZFP355"	"BioGeo.Lyz2.01B.FP207.S55"	"BioGeo.Lyz2.01B.FP211.S59"	"BioGeo.Lyz2.02B.FP219.S67"	"BioGeo.Lyz2.02B.FP223.S71"	"BioGeo.Lyz2.03B.FP231.S79"	"BioGeo.Lyz2.03B.FP235.S83"	"BioGeo.Lyz2.04B.FP243.S92"	"BioGeo.Lyz2.04B.FP247.S44"	"BioGeo.Lyz2.05B.FP255.S52"	"BioGeo.Lyz2.05B.FP259.S56"	"BioGeo.Lyz2.06B.FP267.S64"	"BioGeo.Lyz2.06B.FP271.S69"	"BioGeo.Lyz2.07B.FP279.S77"	"BioGeo.Lyz2.07B.FP283.S81"	"BioGeo.Lyz2.08B.FP291.S89"	"BioGeo.Lyz2.08B.FP295.S93"	"BioGeo.Mouse10A_FP109"	"BioGeo.Mouse10A_FP113"	"BioGeo.Mouse1A_FP01"	"BioGeo.Mouse1A_FP05"	"BioGeo.Mouse2A_FP07"	"BioGeo.Mouse2A_FP11.REP1_S55"	"BioGeo.Mouse3A_FP13"	"BioGeo.Mouse3A_FP17"	"BioGeo.Mouse4A_FP23.Rep1_S92"	"BioGeo.Mouse5A_FP25"	"BioGeo.Mouse5A_FP29.REP1_S53"	"BioGeo.Mouse6A_FP31"	"BioGeo.Mouse6A_FP35.Rep1_S93"	"BioGeo.Mouse7A_FP37"	"BioGeo.Mouse7A_FP41.REP1_S54"	"BioGeo.Mouse8A_FP85"	"BioGeo.Mouse8A_FP89"	"BioGeo.Mouse9A_FP101"	"BioGeo.Mouse9A_FP97"	"BioGeo.SLCFP001"	"BioGeo.SLCFP005.REP1_S24"	"BioGeo.SLCFP019a"	"BioGeo.SLCFP023.REP1_S26"	"BioGeo.SLCFP071.REP1_S27"	"BioGeo.SLCFP077"	"BioGeo.SLCFP091.REP1_S29"	"BioGeo.SLCFP095"	"BioGeo.SLCFP109"	"BioGeo.SLCFP113"	"BioGeo.SLCFP127"	"BioGeo.SLCFP131.REP1_S33"	"BioGeo.TL1A_FP_625.REP1_S16"	"BioGeo.TL1A_FP_629"	"BioGeo.TL1A_FP_637"	"BioGeo.TL1A_FP_641"	"BioGeo.TL1A_FP_673.REP1_S20"	"BioGeo.TL1A_FP_677.REP1_S21"	"BioGeo.TL1A_FP_685.REP1_S22"	"BioGeo.TL1A_FP_685"	"BioGeo.TL1A_FP_689.Rep1_S104"	"BioGeo.TL1a_FP_101.REP1_S6"	"BioGeo.TL1a_FP_127"	"BioGeo.TL1a_FP_131"	"BioGeo.TL1a_FP_139"	"BioGeo.TL1a_FP_143"	"BioGeo.TL1a_FP_193.Rep1_S85"	"BioGeo.TL1a_FP_197.REP1_S10"	"BioGeo.TL1a_FP_205"	"BioGeo.TL1a_FP_209.REP1_S11"	"BioGeo.TL1a_FP_229.REP1_S12"	"BioGeo.TL1a_FP_233.REP1_S13"	"BioGeo.TL1a_FP_241"	"BioGeo.TL1a_FP_61"	"BioGeo.TL1a_FP_65"	"BioGeo.TL1a_FP_73.REP1_S3"	"BioGeo.TL1a_FP_77.REP1_S4"	"BioGeo.TL1a_FP_77"	"BioGeo.TL1a_FP_85"	"BioGeo.Vil1.01B.FP07.Rep1_S107"	"BioGeo.Vil1.01B.FP11"	"BioGeo.Vil1.02B.FP19"	"BioGeo.Vil1.02B.FP23"	"BioGeo.Vil1.03B.FP31"	"BioGeo.Vil1.03B.FP35.REP1_S38"	"BioGeo.Vil1.04B.FP43.Rep1_S88"	"BioGeo.Vil1.04B.FP47"	"BioGeo.Vil1.05B.FP55"	"BioGeo.Vil1.05B.FP59.REP1_S37"	"BioGeo.Vil1.06B.FP67"	"BioGeo.Vil1.06B.FP71"	"BioGeo.Vil1.07B.FP79"	"BioGeo.Vil1.07B.FP83"	"BioGeo.Vil1.08B.FP92.REP1_S41"	"BioGeo.Vil1.08B.FP94.REP1_S42"	"BioGeo.Vil1.09B.FP104"	"BioGeo.Vil1.09B.FP106"	"BioGeo.Vil1.10B.FP116.REP1_S44"	"BioGeo.Vil1.10B.FP118.REP1_S45"	"BioGeo.Vil1.13B.FP152"	"BioGeo.Vil1.13B.FP154.REP1_S47"	"BioGeo.Vil1.14B.FP164"	"BioGeo.Vil1.14B.FP166"
"K00001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20663E-06	0	0	0	2.36285E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64004E-07	6.97845E-07	0	0	0	6.74275E-07
"K00002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75359E-07	1.13326E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.626168E-06	1.681893E-05	0	0	1.169353E-06	7.61927E-07	4.66409E-06	1.108899E-06	1.239276E-05	1.093516E-05	0	0	0	0	0	0	0	0	0	0	9.75027E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00003"	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5798E-05	0	0	0	0	0	0	0	0	0	3.27889E-06	4.38423E-06	1.951712E-06	9.30124E-07	3.124296E-05	5.18217E-05	2.091238E-05	5.74894E-05	5.391919E-06	2.3283E-05	2.920257E-06	2.61786E-05	6.5318E-07	9.28984E-07	0	0	4.823321E-05	8.3779572E-05	4.13875E-06	2.1285E-05	2.949927E-05	7.4783193E-05	7.34836E-06	1.49546E-05	5.28955E-07	0	0	1.97652E-06	3.314892E-06	1.4085618E-05	1.10191E-06	0	1.195544E-06	7.00499E-06	1.34449568E-05	1.953838E-06	2.09368E-06	9.188331E-06	8.57977E-06	4.73727E-07	8.195652E-06	6.965394E-06	2.721674E-06	3.98717E-06	1.557624E-05	1.677147E-05	6.465851E-05	5.13967E-06	0	5.1841E-06	9.86723E-06	0	0	0	9.408723E-06	2.0455117E-05	6.74635E-05	9.666309E-06	1.601611E-05	1.696507E-06	1.685334E-05	1.2417848E-05	1.1253397E-05	2.75505E-05	8.02552E-06	0	0	2.350414E-06	0	1.262146E-06	0	4.588866E-06	2.8615423E-05	2.08277E-06	4.02867E-06	3.80398E-07	5.402705E-06	3.5645723E-05	4.9204754E-06	3.478119E-05	5.079453E-05	1.142726E-06	1.5682843E-05	2.37299E-05	1.5643743E-05	3.49741E-05	2.70847E-05	5.6303968E-06	3.8309407E-05	0.000115678	6.99954E-05	1.445686E-05	2.6913515E-05	3.79004E-05	3.7822402E-05	8.5675125E-05	2.910516E-06	4.61023E-06	1.2367228E-05	0.000166363	2.6676182E-05	0.0001355685	0	8.229536E-07	9.511859E-06	4.81942E-05
"K00004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.74918E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88518E-07	0	6.92087E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.24259E-07	0	0
"K00005"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.928097E-06	3.048538E-05	3.18746E-05	7.914395E-05	7.43701E-07	0	0	1.48211E-06	0	0	0	0	6.88931E-06	1.86972E-05	1.89711E-05	9.64262E-05	4.81164E-06	1.66885E-05	1.25122E-06	3.17983E-05	0	1.77017E-07	0	0	1.20208E-06	1.34028E-06	0	2.01387E-05	0	4.4671E-06	0	2.1354E-05	1.45339E-05	1.01122E-06	1.962976E-06	9.9008E-07	0	2.991533E-06	3.4054E-06	0	0	0	0	1.73884E-06	3.15601E-05	3.24987E-07	8.534784E-06	1.05135E-05	9.13037E-06	4.69179E-06	6.24771E-05	0	0	0	2.73248E-06	0	2.76448E-06	4.96594E-07	0	0	1.40618E-06	7.68588E-07	4.37561E-07	0	0	1.59502E-06	0.000142302	0	0	6.45034E-06	4.56469E-05	0	1.530729E-06	8.81036E-07	3.51114E-05	7.57573E-07	1.89141E-07	1.634257E-06	6.573791E-07	8.9818E-07	0	0	0	0	3.81043E-06	1.01605E-05	4.64022E-07	4.5581689E-05	2.85554E-06	3.93038E-06	0	7.92957E-06	9.49235E-07	0	0	0	0	0	0	3.13471E-06	5.89509E-07	9.58368E-06	1.733E-07	4.40016E-07	8.03284E-07	6.3198E-05
"K00008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.655252E-06	1.1451743E-05	7.830137E-06	1.821632E-06	5.82901E-06	7.084956E-06	7.20083E-06	1.33475E-05	5.769905E-06	4.76849E-06	4.929633E-06	4.074178E-06	4.93585E-06	5.36398E-06	5.9704E-06	0	8.554759E-06	9.92785E-06	5.381936E-06	5.091666E-06	8.305979E-06	4.951659E-06	5.878076E-06	5.041458E-06	9.61385E-06	8.353771E-06	0	1.13402E-05	2.5867127E-05	2.52848496E-05	1.78037E-05	1.1599E-06	2.96443E-06	2.7016E-05	1.05787385E-05	5.654212E-06	4.68418E-06	3.100876E-05	1.75417E-05	3.194667E-06	6.76734E-06	8.04597E-06	7.959417E-06	6.03275E-06	5.40664E-06	8.03009E-06	3.5540211E-06	9.34479E-06	1.461223E-06	5.995451E-06	3.32046E-07	0	0	1.15352E-05	1.4308465E-05	3.5274E-07	1.12959E-06	3.619733E-06	9.64958E-06	1.794299E-06	7.64931E-07	6.193518E-06	5.957638E-06	7.81111E-06	0	2.397234E-06	0	1.657631E-06	0	1.944242E-06	0	8.61076E-07	1.3505231E-05	3.355513E-06	9.32543E-07	2.13226E-07	1.57153E-06	9.867925E-06	2.5750739E-06	8.0371E-06	6.61956E-06	4.687839E-06	6.992214E-06	2.765786E-06	5.93186E-06	9.580144E-06	7.255591E-06	8.104817E-07	8.728871E-06	1.996454E-06	7.24652E-06	1.014208E-06	5.975085E-06	0	4.982244E-06	3.88795E-06	4.795604E-06	0	9.087546E-06	2.80615E-07	4.257793E-06	0	0	0	5.486935E-06	2.64222E-07
"K00009"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71259E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15592E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34927E-07	0	0	9.72051E-07	0	0	0	0	0	0	5.61052E-07	0	0	8.04093E-07	1.4769E-06	0	2.23283E-06	4.17203E-07	4.63523E-07	0	0	0	0	8.52242E-07	0	0	0	0	4.603231E-06	0	0	2.40788E-07	7.55622E-07	3.25733E-06	6.8E-07	2.13004E-06	2.44105E-06	0	0	0	0	0	0	1.533748E-06	0	0	0	0	0	0	0	0	0	0	0	5.19609E-07	0	0	0	4.63644E-07	0	0
"K00010"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.659137E-06	2.295284E-06	3.28551E-07	1.45757E-06	0	6.49456E-07	0	0	2.288508E-06	0	4.87704E-06	1.43125E-06	5.59372E-07	1.84404E-06	1.384886E-06	0	1.10529E-06	9.2755E-07	1.337739E-06	1.63701E-06	0	0	0	1.90125E-06	0	2.4786E-07	0	0	0	0	0	0	0	0	4.01561E-07	0	0	0	0	0	1.98105E-07	0	0	0	2.19386E-07	0	3.71571E-07	1.88059E-06	9.88869E-07	3.01866E-07	0	0	0	0	0	0	8.55997E-07	1.1690812E-05	3.352538E-05	1.58037E-07	0	2.2737945E-05	2.1442992E-05	4.752246E-05	0	1.723885E-06	0	3.813043E-06	0	2.15512E-07	0	2.70435E-06	3.763617E-05	4.15652E-07	5.15322E-07	2.7062E-06	3.686408E-06	2.456556E-05	6.252238E-06	3.022048E-05	2.878499E-05	6.63553E-07	6.229285E-07	1.94372E-06	0	2.07228E-06	0	4.09508E-08	8.778436E-07	4.64652E-07	6.31932E-07	9.65942E-08	8.78434E-07	0	0	2.71151E-06	9.02846E-07	1.79476E-06	0	0	0	0	0	0	4.90232E-07	0
"K00012"	0	5.62714E-05	0	0	0	0	0	0	0	7.36351E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65342E-06	2.791886E-06	5.147026E-06	1.4741E-06	5.535186E-06	5.02486E-06	5.93099E-06	1.0768315E-05	3.849252E-06	2.90865E-06	3.24092E-06	2.67942E-06	4.253862E-06	3.15175E-06	3.47292E-06	0	6.980044E-06	7.110116E-06	4.244701E-06	2.7190617E-05	6.814062E-06	2.297649E-06	3.439451E-06	9.22752E-07	1.839791E-05	1.6209097E-05	2.40497E-06	1.441942E-05	2.6054464E-05	4.3487199E-05	2.055158E-05	7.127148E-06	3.153593E-06	3.79709864E-05	2.5110197E-05	1.0677798E-05	6.23979E-06	3.5391234E-05	1.761462E-05	3.4375E-06	1.994935E-05	1.462997E-05	8.216341E-06	1.8060755E-05	8.3409768E-05	1.33909769E-05	1.62460092E-05	2.356607E-05	4.693173E-06	1.0610854E-05	8.16092E-05	0	0	8.16285E-06	2.4355764E-05	4.454339E-06	3.99939E-05	4.921631E-06	0	6.113784E-06	2.454599E-06	2.7415083E-06	3.443284E-06	0	0	9.90745E-07	0	1.906231E-06	0	6.198231E-06	1.23526E-05	4.4481E-07	2.0139685E-06	4.687029E-06	1.264134E-05	1.01104E-07	7.4505735E-06	2.155401E-06	6.3682176E-06	5.841498E-06	4.32467E-06	5.277524E-06	1.0271862E-05	1.00781E-06	1.5997511E-05	1.612326E-05	1.0392017E-05	1.4980972E-06	1.19353154E-05	2.3450133E-05	2.3238213E-05	3.817555E-06	4.334443E-06	0	1.375894E-05	1.1116963E-05	3.3673856E-06	1.96223E-06	1.1579463E-05	3.8144777E-05	1.1397267E-05	8.82756E-06	0.000272689364	3.30296257E-05	9.835923E-06	0.00019566822
"K00013"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.286824E-06	5.347595E-06	7.17593E-06	2.309113E-06	3.08698E-05	5.341004E-05	2.104305E-05	6.771129E-05	9.435204E-06	1.684503E-05	6.032642E-06	2.2798682E-05	4.921788E-06	3.787377E-06	5.015498E-06	0	4.7341618E-05	8.0745823E-05	8.165654E-06	1.8064259E-05	3.2913401E-05	6.6996492E-05	1.0557101E-05	1.07774E-05	1.0794557E-05	5.34488E-06	0	1.12533E-05	2.1330111E-05	2.0715159E-05	1.731215E-05	3.73533E-07	2.0302531E-06	2.860759E-05	1.65283848E-05	6.866165E-06	2.81812E-06	2.6874651E-05	1.809816E-05	2.9484E-06	7.15957E-06	3.86376E-06	5.307309E-06	9.378221E-06	9.15006E-06	2.3534577E-05	5.943097E-05	9.11686E-06	6.44608E-07	1.0968376E-05	9.709139E-06	0	0	0	1.582174E-05	1.4882557E-05	2.00641E-05	1.7707336E-05	5.903076E-06	2.962947E-06	7.94897E-06	1.1300388E-05	1.060621E-05	0	0	3.90224E-06	0	1.03853E-05	0	1.0937171E-05	0	3.01434E-06	6.8212071E-06	2.338273E-06	0	3.96236E-07	2.2158466E-05	2.6955517E-05	1.61358279E-05	3.244843E-05	3.820311E-05	4.8578E-06	2.07071548E-05	2.21081E-05	1.5754159E-05	3.3117731E-05	2.962843E-05	5.018387E-06	3.8147588E-05	0.000104363338	5.6671269E-05	1.334254E-05	2.8348528E-05	9.00756E-06	3.0877137E-05	7.1090884E-05	5.018379E-06	1.43054E-05	2.0000091E-05	0.000120010245	3.7218857E-05	0.000116463	7.027755E-06	3.2847639E-05	7.629967E-06	2.75082E-05
