"KO"	"BioGeo.TL1a_FP_127"	"BioGeo.TL1a_FP_131"	"BioGeo.TL1a_FP_193.Rep1_S85"	"BioGeo.TL1a_FP_197.REP1_S10"	"BioGeo.TL1a_FP_229.REP1_S12"	"BioGeo.TL1a_FP_233.REP1_S13"	"BioGeo.TL1A_FP_625.REP1_S16"	"BioGeo.TL1A_FP_629"	"BioGeo.TL1A_FP_673.REP1_S20"	"BioGeo.TL1A_FP_677.REP1_S21"	"BioGeo.TL1a_FP_85"	"BioGeo.TL1a_FP_101.REP1_S6"	"BioGeo.TL1a_FP_139"	"BioGeo.TL1a_FP_143"	"BioGeo.TL1a_FP_205"	"BioGeo.TL1a_FP_209.REP1_S11"	"BioGeo.TL1a_FP_241"	"BioGeo.TL1a_FP_61"	"BioGeo.TL1A_FP_637"	"BioGeo.TL1A_FP_641"	"BioGeo.TL1a_FP_65"	"BioGeo.TL1A_FP_685.REP1_S22"	"BioGeo.TL1A_FP_689.Rep1_S104"	"BioGeo.TL1a_FP_73.REP1_S3"	"BioGeo.TL1a_FP_77.REP1_S4"	"BioGeo.Lyz2.01B.FP207.S55"	"BioGeo.Lyz2.01B.FP211.S59"	"BioGeo.Lyz2.02B.FP219.S67"	"BioGeo.Lyz2.02B.FP223.S71"	"BioGeo.Lyz2.03B.FP231.S79"	"BioGeo.Lyz2.03B.FP235.S83"	"BioGeo.Lyz2.04B.FP243.S92"	"BioGeo.Lyz2.04B.FP247.S44"	"BioGeo.Lyz2.05B.FP255.S52"	"BioGeo.Lyz2.05B.FP259.S56"	"BioGeo.Lyz2.06B.FP267.S64"	"BioGeo.Lyz2.06B.FP271.S69"	"BioGeo.Lyz2.07B.FP279.S77"	"BioGeo.Lyz2.07B.FP283.S81"	"BioGeo.Lyz2.08B.FP291.S89"	"BioGeo.Lyz2.08B.FP295.S93"	"BioGeo.LYZFP303"	"BioGeo.LYZFP307"	"BioGeo.LYZFP315"	"BioGeo.LYZFP319"	"BioGeo.LYZFP327.Rep1_S105"	"BioGeo.LYZFP339"	"BioGeo.LYZFP351.Rep1_S106"	"BioGeo.LYZFP355"	"BioGeo.Mouse10A_FP109"	"BioGeo.Mouse10A_FP113"	"BioGeo.Mouse1A_FP01"	"BioGeo.Mouse1A_FP05"	"BioGeo.Mouse2A_FP07"	"BioGeo.Mouse2A_FP11.REP1_S55"	"BioGeo.Mouse3A_FP13"	"BioGeo.Mouse3A_FP17"	"BioGeo.Mouse4A_FP23.Rep1_S92"	"BioGeo.Mouse5A_FP25"	"BioGeo.Mouse5A_FP29.REP1_S53"	"BioGeo.Mouse6A_FP31"	"BioGeo.Mouse6A_FP35.Rep1_S93"	"BioGeo.Mouse7A_FP37"	"BioGeo.Mouse7A_FP41.REP1_S54"	"BioGeo.Mouse8A_FP85"	"BioGeo.Mouse8A_FP89"	"BioGeo.Mouse9A_FP101"	"BioGeo.Mouse9A_FP97"	"BioGeo.SLCFP001"	"BioGeo.SLCFP005.REP1_S24"	"BioGeo.SLCFP019a"	"BioGeo.SLCFP023.REP1_S26"	"BioGeo.SLCFP071.REP1_S27"	"BioGeo.SLCFP077"	"BioGeo.SLCFP091.REP1_S29"	"BioGeo.SLCFP095"	"BioGeo.SLCFP109"	"BioGeo.SLCFP113"	"BioGeo.SLCFP127"	"BioGeo.SLCFP131.REP1_S33"	"BioGeo.Vil1.01B.FP07.Rep1_S107"	"BioGeo.Vil1.01B.FP11"	"BioGeo.Vil1.02B.FP19"	"BioGeo.Vil1.02B.FP23"	"BioGeo.Vil1.03B.FP31"	"BioGeo.Vil1.03B.FP35.REP1_S38"	"BioGeo.Vil1.04B.FP43.Rep1_S88"	"BioGeo.Vil1.04B.FP47"	"BioGeo.Vil1.05B.FP55"	"BioGeo.Vil1.05B.FP59.REP1_S37"	"BioGeo.Vil1.06B.FP67"	"BioGeo.Vil1.06B.FP71"	"BioGeo.Vil1.07B.FP79"	"BioGeo.Vil1.07B.FP83"	"BioGeo.Vil1.08B.FP92.REP1_S41"	"BioGeo.Vil1.08B.FP94.REP1_S42"	"BioGeo.Vil1.09B.FP104"	"BioGeo.Vil1.09B.FP106"	"BioGeo.Vil1.10B.FP116.REP1_S44"	"BioGeo.Vil1.10B.FP118.REP1_S45"	"BioGeo.Vil1.13B.FP152"	"BioGeo.Vil1.13B.FP154.REP1_S47"	"BioGeo.Vil1.14B.FP164"	"BioGeo.Vil1.14B.FP166"
"K00001"	"K00001"	0	0	0	0	0	0	0	0	0	18.7518360601	0	20.1828496061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9635910559	22.2483313087	0	0	0	22.2313998837
"K00002"	"K00002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.1385669886	1153.9835571696	71.3895738933	57.5972400816	46.4779141589	18.6773009765	162.6140486525	0	0	293.2565651372	190.5710063987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5840664957	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00003"	"K00003"	0	0	36.2110715024	0	77.0686044409	84.0697250077	352.8592760893	1380.2463398367	60.1354079443	143.2181738477	26.7479082857	6.8551905218	45.8450201997	0	70.9384023078	1963.3667202418	23.2235214678	408.4134155734	579.4351281485	263.9624116042	1242.7916458503	1061.9192023788	78.2277956887	1301.2569126151	534.8513229411	99.6782010921	167.6498090567	45.5955453503	327.9795157863	18.0259415613	14.3283831611	0	0	1174.6016019016	1759.0691844608	101.4621492261	303.121056588	471.3260659352	2170.9364638045	123.4533988782	162.3864769199	66.9779826862	140.730320052	54.0918201957	20.6814549557	516.0230426954	657.9141705666	141.678519532	713.2662025588	5.8486528958	0	0	10.2911727784	59.6681658616	1155.156013358	10.6953781932	0	132.2851250164	270.5103260689	3165.4541942016	32.450792425	10.2048726983	195.3608086286	41.0417476766	9.4092328118	422.3391052487	64.195761877	30.3090034333	147.2983999648	1093.8552343424	878.4721802795	6477.1098284745	72.9550453131	0	160.6259505429	352.4525788465	0	0	0	292.5714582375	819.6748774629	428.1361602911	233.9517954597	602.6875612245	381.7036208204	985.0945310148	4501.4215556523	4214.0245767719	1371.9279603593	827.9556425118	553.6533147078	24.6675047744	646.8925585299	1358.9465132001	118.4262582783	23.7121762552	263.0485225867	5887.0570810705	905.7206354103	4322.1218150646	0	97.9191643857	408.4323910207	1588.9995168532
"K00004"	"K00004"	0	0	0	0	0	0	0	0	0	8.284791727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0660744858	0	8.1321489715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.0745144968	0	0
"K00005"	"K00005"	68.505966212	553.7920347725	185.0608623863	180.5157518574	32.6009470999	732.6981099895	0	56.5588373616	0	11.9496097494	0	0	0	0	0	105.0266731184	46.2501614916	14.297940308	29.767682228	0	56.9784979302	65.7262064805	0	173.8485408867	13.8118564787	0	0	0	0	190.125871208	288.3804669855	242.1722335731	57.3033577111	117.1757828857	350.397324636	30.6739648313	452.8421813085	0	5.1387461459	0	0	121.0933684383	978.5563910987	883.408070084	1759.778950745	12.2833079502	0	0	18.3884577748	13.2913388398	60.8084485334	0	104.8563393015	0	366.3440571011	0	341.4084828389	1608.1517356176	39.0500845192	462.1593543757	16.443987667	0	63.6054354651	16.2899183234	0	0	0	0	64.2380884477	2216.3345170205	17.0225422971	854.9643403922	149.2333723357	385.8628254615	145.3721008103	2231.6508287339	0	0	0	84.968570506	0	0	56.9850206707	175.0897907077	6.5394382052	7974.9815103666	335.5316573203	143.179078316	0	454.1335687746	19.5272353546	0	0	0	0	0	0	110.9272664694	20.0152731228	305.5422125186	6.0777952349	52.3553545805	34.4924605391	2083.6900900648
"K00008"	"K00008"	102.9608672047	0	55.7805256811	0	124.1639433073	19.4601625247	6.0849236947	23.110463277	63.6015715205	6.5003336928	109.7288451342	0	32.3322142432	0	13.3111928801	926.6233116886	13.0175714184	118.7985534227	216.9802463254	159.0353617342	344.0462206444	529.641779353	22.1791258102	680.9961099573	123.591338581	106.6658691844	34.3356896659	76.9689167938	51.0435027004	136.2155828661	82.7324642181	76.2139822729	0	208.3300406344	208.4488644139	131.9392532871	72.5108635945	132.7093732946	143.7455139265	98.7525463766	54.7430893826	176.8008781068	367.5922814773	217.0130994267	40.5043386394	96.2745391879	89.9486744517	48.7846369967	165.6010517351	106.3003332333	379.0103795769	0	59.0450262995	465.6081761981	2073.5929542596	172.8060011374	18.5444739791	328.0100573429	1043.2721742075	2490.6384670077	93.9093993283	22.8312924847	659.3030645915	83.9116440435	63.4529318728	348.7348683118	74.1547257406	88.6372336212	222.8688058023	379.6858660435	420.6091722143	356.0208546067	132.6442772097	61.7534574062	185.7652068399	11.8605162631	0	0	14.1038971839	444.9323269414	365.4535942283	49.9005143208	88.7110775179	165.0887460347	102.252772719	141.8020488594	1025.6581847458	72.7283563358	142.0336722762	58.0845600476	122.9168277407	0	85.2134837207	61.6692537939	195.1288773042	0	193.2909291992	9.9300770929	144.5625347817	0	0	0	235.605234004	8.7116087495
"K00009"	"K00009"	0	0	0	0	0	0	0	0	0	18.9744775772	0	0	16.6230463302	0	0	315.8376986902	14.7001967931	57.1206108579	48.2003279003	24.340860876	113.5670338383	35.6773082056	0	179.8311413855	32.7549199904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5410195886	0	0	0	0	0	0	0	0	0	0	0	0	5.0484315988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.5430523136	0	0	13.7977428708	0	0	0	0	0	0	17.4463181382	0	0	0	0	0	268.3446566669	0	0	0	0	0	0	0	0	0	0	0	18.3873103584	0	0	0	55.166721978	0	0
"K00010"	"K00010"	74.0406359012	0	6.1830648991	0	15.3803561344	10.7536507703	0	17.5129749829	5.6018688511	0	15.5318646666	0	74.3735867526	0	41.8060031995	2582.2999335366	165.2147916506	278.671124453	700.7908441305	552.5333965494	856.4801746879	1944.4461203828	134.9370245294	1653.4530879025	464.718650027	42.3066576228	0	76.1476592284	17.9315365399	15.4371110844	28.442016147	17.6784801329	0	26.9167306137	19.4752031838	32.7949379388	23.3127690341	0	0	0	20.6448756857	33.8912648859	73.6767616966	9.1058281098	32.4093059437	0	8.2453146334	0	0	0	11.2454057161	0	0	0	0	0	0	0	0	94.542768593	0	0	0	0	0	10.2087679607	0	0	0	15.4065418284	0	37.2217345423	26.6939293372	41.7910743623	9.3531302576	0	0	0	0	0	32.5578484786	35.0688498038	0	35.7103044049	0	7.1647557523	103.1483138472	16.9267354359	12.3860331431	5.5320394595	18.0707358263	0	0	43.0089570077	36.7360129343	9.2311409497	0	0	0	0	0	0	21.0502227267	0
"K00012"	"K00012"	42.5524078731	0	177.8275080241	48.8496881649	173.4338836817	263.7974441378	76.8393812124	818.2417150717	216.7123077018	20.85906337	123.5314011559	0	37.1811156193	0	6.8762278978	138.1827387406	6.1724697461	563.219957114	295.0211908043	0	75.1483015359	234.4412741406	0	1684.1223678279	89.8282834316	71.1595695545	20.9438540507	50.6021937174	33.5692291405	117.3948040588	48.6117566337	44.3328984699	0	169.9817879652	149.2867963494	104.059682176	387.2228797862	108.8721507461	66.7001752807	57.7832603783	10.0197873088	33.7744386101	89.6172556966	142.650311616	32.7769257546	91.421685934	63.7943217006	40.1816285579	133.6017201716	203.4257772174	735.4079676421	6.6675337216	75.0776056635	468.9802392435	3566.3552632105	199.4780537694	113.9491866401	348.9401105918	1466.3187699294	5911.8949132976	177.3448097497	30.4135554079	752.4821154722	84.2602816794	68.2760942314	1028.0310162876	134.8353230655	91.498396982	667.2211952592	5857.5203540576	701.4074633961	1627.4293669458	334.5079740104	198.3406842447	328.7709331007	2915.0412370445	0	0	9.9805906336	757.3606687079	536.8663820648	18.1830250446	239.2431499252	277.8421276055	146.4543305115	262.1072309637	1402.4211432051	854.2623413918	455.4755146904	218.6345406433	89.166139591	0	235.3250398027	176.3331945966	137.0162057911	10.0925147183	246.2937782081	1349.822569694	386.9654091013	281.4357535399	9563.4505926029	3930.0392700778	422.3479286404	6451.3296893641
"K00013"	"K00013"	167.6006294155	0	313.7884312025	0	86.5229450305	0	256.7300088596	410.4935595075	105.0262285429	67.5499030812	113.7070679206	0	202.5660085246	0	46.5980059318	468.0181205319	24.1904159488	1675.050793116	1061.4432533002	97.2888792142	939.8056017762	966.3587746551	0	4267.2389305571	498.9794314175	174.4245773484	121.292899323	94.190770433	285.6345093068	135.8277217516	58.4154354706	64.024374252	0	1152.8891929296	1695.3698444131	200.1824397051	257.255074498	525.8770253626	1944.8926376376	177.3606865754	117.0269690511	107.9940138425	171.6533580616	198.8820355238	51.3434941395	509.8586428086	678.0796466169	142.5635697432	840.0889529939	119.3554100419	242.4969047087	0	58.5927064755	383.942569436	1698.8357899465	168.0346535171	5.9720575503	224.643993559	1104.7346694862	3891.4094494665	114.0383054182	13.7358877054	571.4044384054	86.5734025324	58.5614219219	368.9471361921	35.6099128455	59.1029423241	346.4607143869	642.5710070297	1232.718706112	5953.4437417827	129.4089569017	27.2420904716	339.8480888125	346.8058645706	0	0	0	491.9886438423	1082.273342525	398.8767642393	235.6042093379	570.6964427438	417.5516409312	878.0170044518	4482.4059767332	3801.8309874983	1110.7717968157	764.1391876626	583.1728155611	5.8625838897	528.1042877859	1127.6165154271	204.1932281734	73.5780369927	425.3992404832	4246.7887572639	1263.6735742957	3713.0201883793	246.4697709059	3908.3782537419	327.6258156223	906.968253855
