	TL1a_FP_207	TL1a_FP_129	TL1a_FP_159	TL1a_FP_75	TL1a_FP_141	TL1a_FP_195	TL1a_FP_231	TL1a_FP_267	TL1a_FP_171	TL1a_FP_87	TL1a_FP_99	TL1a_FP_63	TL1a_FP_243	TL1a_FP_285	TL1a_DTT_231	TL1a_DTT_267	TL1a_DTT_171	TL1a_DTT_141	TL1a_DTT_129	TL1a_DTT_285	TL1a_DTT_159	TL1a_DTT_243	TL1a_DTT_195	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_99	TL1a_DTT_87	TL1A_DTT_675	TL1A_DTT_627	TL1A_FP_639	TL1A_FP_687	TL1A_FP_675	TL1A_DTT_639	TL1A_DTT_687	TL1A_FP_627
TL1a_FP_207	0.0	2.7673014536172804	2.387693234280384	1.2185384345393646	0.5129083286725764	2.96647346312779	2.9279299652323267	2.623189834428189	0.7725302476552337	3.4013345302573583	0.672406550487921	0.297070787750817	0.6862626299483835	3.228708823050108	2.411604661087358	2.7594945741447776	0.6319054966317402	0.2629199496349737	2.8087071604022222	2.801078913436093	2.343274940819993	0.715556532676977	3.3217256562387765	0.8944422390215184	0.98773903400313	1.0288834133922522	1.099249159005121	2.574640766744206	2.940331820962139	2.620537249308849	1.7792194400591952	1.6777361077757251	2.5531000434125537	0.8047109573167639	1.8176977046808875	2.5707832715319103
TL1a_FP_129	2.7673014536172804	0.0	0.6922855785362245	2.7309078782612755	2.332351609691391	0.5703387444578708	2.2411628132752526	1.227255088077556	3.3945693885700985	3.5109087042843212	2.1079515380927396	2.4889262705390833	2.4676400945417996	2.85556004082314	1.9069369631117878	0.5240262073000203	2.2076713587765573	2.538850958305624	0.35682744779351483	1.840484652342296	0.6879948460641221	3.199342862115278	1.2930198295352577	1.9942905380660627	3.00927016876979	2.2250676847856865	3.0357591177526273	2.2919569118417393	2.858580620656895	2.922033009229147	2.4725990289734994	2.6597055584327256	2.2543549028114476	2.9745288133912027	2.573581858522412	2.5908278648855316
TL1a_FP_159	2.387693234280384	0.6922855785362245	0.0	2.1875035179715887	1.959141537677637	1.2249655481024841	1.6180260737087575	0.6367358095481919	3.04317580018571	2.856120440187345	1.729674905361981	2.1423363509159743	1.9728476209095176	2.227594496519746	1.3763288237552775	0.48402497889201607	1.9169888829812227	2.1605591544012825	0.9554984706793533	1.238322506975683	0.18554053055179406	2.701823718241794	1.9397347821526938	1.7368979391316839	2.4518241368245564	1.707683572798635	2.5128861295704117	1.6372149166464134	2.193618277986715	2.2325850095993096	1.842805403808882	2.0312087997729633	1.5817732486914569	2.4698050911308767	1.9307654726287964	1.9112138957877611
TL1a_FP_75	1.2185384345393646	2.7309078782612755	2.1875035179715887	0.0	1.0214149280759315	3.0433335507549546	2.116805355410563	2.1313122363054675	1.8664532838499945	2.3733824011202502	1.1260280753327814	1.2552316685477263	0.6398501883022123	2.5955968643538427	1.5402442313317166	2.6562322651156567	1.3411530587648295	1.090749655585331	2.9185363472177475	2.324918468539597	2.1152179688437776	1.0829770965638221	3.5864294585181327	1.3708232397848734	0.626490719399074	0.5585743366941943	0.37883439857797474	1.6758982500040558	2.0187919069629974	1.7830621924482446	0.7391016160460164	0.6109009695361334	1.7474382061307066	1.2817969612629858	0.782024067342661	1.683692071667369
TL1a_FP_141	0.5129083286725764	2.332351609691391	1.959141537677637	1.0214149280759315	0.0	2.5325892496810183	2.588256983594417	2.2024968700387917	1.276257330952596	3.1883320138260327	0.26833412603497214	0.32355242165567266	0.4980438626036422	3.023537931981876	1.970894258807459	2.356710273484121	0.3281877329371101	0.250126842663013	2.4057957386285556	2.490815975353763	1.8929096697320051	1.0430972411910133	2.9327651748888197	0.4718611449781707	1.0571574165763	0.6689651151642536	1.0553535388727697	2.2423266639489983	2.689454161652939	2.437978569913652	1.4942481867266508	1.4548598826635937	2.2444033041892886	1.082580939406332	1.5663075858399529	2.3100486255480064
TL1a_FP_195	2.96647346312779	0.5703387444578708	1.2249655481024841	3.0433335507549546	2.5325892496810183	0.0	2.770527258229191	1.7605011840690639	3.5727714367127676	4.023039552996281	2.3324594016468008	2.6736524102384864	2.7587423467725234	3.422644032749018	2.2978917211181433	1.0801556247312716	2.358409561697076	2.7398598316200364	0.47919143641306855	2.4092971466148705	1.1756993360593557	3.485261723526627	0.7472897394707695	2.125214764909421	3.3404319834844616	2.5356559069028095	3.3227649351341833	2.790927850870096	3.3833374723647265	3.444295032044103	2.880920816972716	3.060422477275968	2.777121419526874	3.2945150252924518	2.994195990439815	3.1051765175641535
TL1a_FP_231	2.9279299652323267	2.2411628132752526	1.6180260737087575	2.116805355410563	2.588256983594417	2.770527258229191	0.0	1.0141080000523148	3.564914532037222	1.3122531937313278	2.4447195431499957	2.816414308813518	2.2770336325663285	1.0446818720132778	1.103466619748538	1.8894967761281034	2.747299912953993	2.743135713077392	2.5430619850001643	0.8237502261408578	1.6515033694669465	2.843838304226077	3.513538344510544	2.6491151748668864	2.389131316108393	1.983083451283745	2.465636550077077	0.46539157557709326	0.7061697752626042	1.0220223092381129	1.3930278029698235	1.5800155917533139	0.4181553327036912	2.6776576135363794	1.3887921487147714	0.6643391795280933
TL1a_FP_267	2.623189834428189	1.227255088077556	0.6367358095481919	2.1313122363054675	2.2024968700387917	1.7605011840690639	1.0141080000523148	0.0	3.3011205008050997	2.2949759729571038	2.002896988299629	2.422970844397149	2.0782618154822026	1.7512502857278855	1.0197882938576073	0.9194070724228162	2.2499278513339234	2.3997269624864286	1.5357474984581962	0.8229252679642344	0.6762360400840057	2.789902891392375	2.5026588668407532	2.089232465642383	2.438407648130939	1.7657444430345852	2.491683814060079	1.1136374045006965	1.6500811291401727	1.7856694245321878	1.598767137099956	1.8147933164268897	1.0710381057039806	2.582126860202135	1.6678954870826799	1.4240205581248666
TL1a_FP_171	0.7725302476552337	3.3945693885700985	3.04317580018571	1.8664532838499945	1.276257330952596	3.5727714367127676	3.564914532037222	3.3011205008050997	0.0	3.93378110933566	1.3934653844352802	0.9906576692301442	1.3895396408893703	3.7044113124682805	3.1556419064908083	3.366404846826378	1.2981035285373388	1.0296932933323095	3.384748800241638	3.3725324382889608	3.022170912117949	0.9324838037453742	3.849223582118272	1.5793922039567037	1.4442910286078499	1.765051728386456	1.6484155838066705	3.2253809438161296	3.5084038798508805	3.1264737446687096	2.4377955143671532	2.2970606692958118	3.1733494447604698	0.9912737561917182	2.4476047708493684	3.1569513719292286
TL1a_FP_87	3.4013345302573583	3.5109087042843212	2.856120440187345	2.3733824011202502	3.1883320138260327	4.023039552996281	1.3122531937313278	2.2949759729571038	3.93378110933566	0.0	3.1307215583785926	3.3999922636308577	2.746019519942085	1.3729994509575945	1.9465264415768155	3.173722323513789	3.4414542292333676	3.2800414961073554	3.806770352523974	1.9664060366158547	2.870933735472823	3.050034346165013	4.756222162184155	3.411942340816726	2.550929086598858	2.5366551794240517	2.6177406518771527	1.244223310736268	0.685462885199392	0.9249823690818902	1.7300255475052835	1.7801254965794444	1.2868261414482807	2.9936605438273225	1.6403495813314801	1.0072822347142707
