	pielou_e
IL17.DTT.115	0.6052085774262871
IL17.DTT.116	0.6922930107750999
IL17.DTT.117	0.6839123909722078
IL17.DTT.118	0.5786460858768945
IL17.DTT.119	0.5298092108160378
IL17.DTT.120	0.5726018235531489
IL17.DTT.127	0.7142128835641945
IL17.DTT.128	0.7464199337189544
IL17.DTT.129	0.5160853933442568
IL17.DTT.130	0.6913286457954103
IL17.DTT.131	0.5279446179282778
IL17.DTT.132	0.4984134523701688
IL17.DTT.143	0.30264373984681237
IL17.DTT.144	0.47548046336845684
IL17.DTT.139	0.5282504146744077
IL17.DTT.140	0.5297640173508431
IL17.DTT.141	0.6546309905089701
IL17.DTT.142	0.03412776585522845
IL17.DTT.188	0.7107786579799457
IL17.DTT.189	0.681779561165603
IL17.DTT.201	0.713927370738262
IL17.DTT.202	0.032385271568747584
IL17.DTT.203	0.2738687439601682
IL17.DTT.199	0.7390489192503733
IL17.DTT.200	0.7311229292323105
IL17.DTT.217	0.5630417700834215
IL17.DTT.218	0.5744908860294458
IL17.DTT.219	0.6157683196188035
IL17.DTT.220	0.48503219036213446
IL17.DTT.221	0.6185656152504048
IL17.DTT.222	0.6291482245951402
IL17.DTT.25	0.5246657985629957
IL17.DTT.26	0.7231687853529798
IL17.DTT.27	0.6828458985950577
IL17.DTT.28	0.030915357315423508
IL17.DTT.29	0.13793879480719345
IL17.DTT.30	0.6656585105938949
IL17.DTT.105	0.6060386760616953
IL17.DTT.106	0.6010211350946825
IL17.DTT.103	0.6663461855832531
IL17.DTT.104	0.5850714912252922
IL17.DTT.53	0.5104320689908489
IL17.DTT.54	0.7337206760638877
IL17.DTT.49	0.48425173453667286
IL17.DTT.50	0.5428504033377208
IL17.DTT.51	0.5535426624621923
IL17.DTT.52	0.18021251975518132
IL17.DTT.85	0.5277467910844059
IL17.DTT.86	0.6789824591023528
IL17.DTT.87	0.6568313977451612
IL17.DTT.88	0.25724954328626154
IL17.DTT.89	0.6673463169749292
IL17.DTT.90	0.6175760257186854
TKO.DTT.1	0.7767676952182295
TKO.DTT.2	0.48847385034634694
TKO.DTT.3	0.6392708845371353
TKO.DTT.4	0.34355936404034315
TKO.DTT.5	0.5622192745221163
TKO.DTT.6	0.7290757634147736
TKO.DTT.43	0.5683352409611839
TKO.DTT.44	0.7170737684741062
TKO.DTT.45	0.5701516923824748
TKO.DTT.46	0.09018116774139685
TKO.DTT.47	0.3068286651978132
TKO.DTT.48	0.7075977096376515
TKO.DTT.31	0.6530579094492677
TKO.DTT.32	0.7266617284775725
TKO.DTT.33	0.6986968040419211
TKO.DTT.34	0.32352180754286136
TKO.DTT.35	0.4724977908192702
TKO.DTT.36	0.4993391065891749
TKO.DTT.16	0.49505665468151944
TKO.DTT.17	0.45819463354015627
TKO.DTT.18	0.464684731353197
TKO.DTT.22	0.45168086836124277
TKO.DTT.23	0.5294597265928966
TKO.DTT.24	0.508619314485127
TKO.DTT.19	0.6512523409037961
TKO.DTT.20	0.6958298784377297
TKO.DTT.21	0.607423163575146
TKO.DTT.58	0.483297017902716
TKO.DTT.59	0.4994967679371888
TKO.DTT.60	0.5202798710374154
TKO.DTT.55	0.7753072755010149
TKO.DTT.56	0.7192138191296431
TKO.DTT.57	0.6767227219100576
TKO.DTT.69	0.5974759840543187
TKO.DTT.70	0.023964838455922174
TKO.DTT.71	0.090962856446188
TKO.DTT.72	0.49247453880089453
TKO.DTT.78	0.6416450472489016
TKO.DTT.73	0.6971863748324544
TKO.DTT.74	0.7215671829492082
TKO.DTT.75	0.6477954525143697
TKO.DTT.76	0.12041138650337525
TKO.DTT.77	0.4119652335012304
TKO.DTT.87	0.6108068680274873
TKO.DTT.88	0.1452698196002552
TKO.DTT.89	0.1592113529477099
TKO.DTT.90	0.4696915689306458
TKO.DTT.91	0.674490474172663
TKO.DTT.92	0.6414169988790429
TKO.DTT.93	0.6312424131313413
TKO.DTT.94	0.2801955388020296
TKO.DTT.95	0.5537026972964015
TKO.DTT.96	0.8015519933115348
TKO.DTT.103	0.6760176069155898
TKO.DTT.104	0.688543935345502
TKO.DTT.105	0.6333133673306023
TKO.DTT.106	0.18832822463730803
TKO.DTT.107	0.4476193851473336
TKO.DTT.108	0.6791435925674029
TKO.DTT.109	0.578816075296323
TKO.DTT.110	0.5981211790498532
TKO.DTT.111	0.6070898396740203
TKO.DTT.112	0.06664515530050144
TKO.DTT.113	0.2393695922938797
TKO.DTT.123	0.6639995141432453
TKO.DTT.124	0.018636937298120416
TKO.DTT.125	0.27319286569616663
TKO.DTT.126	0.5587636824104636
TKO.DTT.127	0.5086438896891806
TKO.DTT.128	0.6676675823087099
TKO.DTT.129	0.6478704846042903
TKO.DTT.130	0.4804899783517334
TKO.DTT.131	0.6866264363445669
TKO.DTT.132	0.7018186216952946
TKO.DTT.139	0.5353465613467386
TKO.DTT.140	0.6166564255752681
TKO.DTT.141	0.6009997534437822
TKO.DTT.142	0.4734245449219211
TKO.DTT.143	0.4699184905671705
TKO.DTT.144	0.6794589132232874
TKO.DTT.154	0.5745911276965131
TKO.DTT.155	0.5459919397490152
TKO.DTT.156	0.6761635400061082
TKO.DTT.151	0.5881030664348368
TKO.DTT.152	0.7261448459287294
TKO.DTT.153	0.6195698026723481
