	Mouse1B.DTT15	Mouse5A.DTT27	Mouse4A.DTT19	Mouse7A.DTT38	Mouse6A.DTT31	Mouse1B.DTT14	Mouse1B.DTT13	Mouse5A.DTT26	Mouse4A.DTT21	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse7A.DTT37	Mouse9A.DTT98	Mouse10A.DTT109	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse10A.DTT111	Mouse8A.DTT85	Mouse8A.DTT86	Mouse8A.DTT87
Mouse1B.DTT15	0.0	0.7511680075047331	0.8003758185444072	0.6515655883244966	0.8370383756823989	0.43065738268958126	0.6198989073635208	0.9105554327013184	1.1394873650227682	0.93623067626084	0.8630977060992499	1.1979813442229814	0.7325869975012208	0.8160850151818642	1.9113523277923308	2.478029597116518	2.516309157719453	2.202206250022571	2.0285447052588768	1.4433529956152569	2.055012507530257	1.4121687955548607	1.5907948473029065	1.983315520014109
Mouse5A.DTT27	0.7511680075047331	0.0	0.07525763564670775	0.3007637616544848	0.9629668828024557	0.9285595025684574	1.3127516319715216	0.7120395101198278	0.45216751628518465	0.2538995112289448	0.3323775456011371	0.48841809354568577	0.6678387833167109	0.380126735595138	2.109188411669938	2.7715888633430965	3.1961304096252983	2.815401776580304	2.4467804093125607	2.0613345325534462	2.6770374891508695	2.156733903517092	2.3107374468247146	2.480475543731434
Mouse4A.DTT19	0.8003758185444072	0.07525763564670775	0.0	0.3251796788665852	0.9932796913506337	0.9682220291812924	1.3585052684847687	0.7320985691321263	0.3915359145568027	0.22014501254051755	0.3369569574465214	0.4375219382370059	0.6900831583669199	0.3810141473538025	2.130460576774924	2.7903628973648757	3.23919240197345	2.856977011188281	2.475625347971988	2.1005372459399	2.717521760743606	2.2029438507961205	2.3543039880458414	2.5119904098914003
Mouse7A.DTT38	0.6515655883244966	0.3007637616544848	0.3251796788665852	0.0	0.6689802255574115	0.952747986509725	1.1172710788205176	0.4483230549219814	0.6987726341857715	0.5442127813523536	0.22018567185114593	0.7494844687561516	0.36905009977542413	0.17332834039073305	1.8131643750751436	2.9212089584442666	2.9628940535158703	2.558025183442446	2.5500911061616827	2.0657209597180435	2.4223918526050703	1.9913974560671472	2.237227031486939	2.548909974338327
Mouse6A.DTT31	0.8370383756823989	0.9629668828024557	0.9932796913506337	0.6689802255574115	0.0	1.2643707650131013	0.874816515147747	0.38464428562503294	1.3556566826418428	1.211793554411203	0.7458643928175077	1.404545593534918	0.3138146860084431	0.666929492734597	1.1636236290007564	3.313424782938451	2.468117417985476	1.9981362202925774	2.856593483923665	2.197202143127296	1.879307976714409	1.7210032920991307	2.184154113212633	2.7895488000856
Mouse1B.DTT14	0.43065738268958126	0.9285595025684574	0.9682220291812924	0.952747986509725	1.2643707650131013	0.0	0.8812089112869557	1.2999946822355435	1.2060932910428983	1.0180712137496934	1.1519911132618217	1.2632302519382592	1.128124359125692	1.1238622114241452	2.325729572328125	2.050048267324038	2.6803778774047866	2.4466138277474996	1.6192791346213595	1.1334155292841048	2.2929809457916748	1.4670698033457719	1.4246547488758472	1.5989687629788005
Mouse1B.DTT13	0.6198989073635208	1.3127516319715216	1.3585052684847687	1.1172710788205176	0.874816515147747	0.8812089112869557	0.0	1.1624853691661392	1.7171877756351344	1.5267282256873753	1.314251797748888	1.781829346962981	0.9826526933169143	1.2395331993200205	1.6033925182174509	2.7333924542353483	1.8996951021338284	1.5894694791319284	2.2021620299122606	1.4233713666567391	1.4398547695601844	0.8858253854673002	1.3171257922459745	2.07295704646045
Mouse5A.DTT26	0.9105554327013184	0.7120395101198278	0.7320985691321263	0.4483230549219814	0.38464428562503294	1.2999946822355435	1.1624853691661392	0.0	1.0619657726906928	0.9425077677780167	0.4203889506597456	1.0961962104352867	0.216947248752914	0.36878836812710925	1.4266231010861643	3.3246507921536863	2.84888372314684	2.3816924004299844	2.9175314017323455	2.3494221318615045	2.2635095685253033	2.0405002208424263	2.4239116566742394	2.8896149536173064
Mouse4A.DTT21	1.1394873650227682	0.45216751628518465	0.3915359145568027	0.6987726341857715	1.3556566826418428	1.2060932910428983	1.7171877756351344	1.0619657726906928	0.0	0.23993993218782236	0.647320650488253	0.11430347714743398	1.0435541701660582	0.7010236733116597	2.459215146645842	2.7956202015186014	3.6002758947067823	3.227647494869633	2.5595784306695673	2.3030564658830905	3.0845621808809276	2.5371781457436295	2.6206708233255296	2.6332370773204694
Mouse5A.DTT25	0.93623067626084	0.2538995112289448	0.22014501254051755	0.5442127813523536	1.211793554411203	1.0180712137496934	1.5267282256873753	0.9425077677780167	0.23993993218782236	0.0	0.5322374788878671	0.2652161901962822	0.9099959593605117	0.5918451417724631	2.34927511184355	2.701225473678769	3.420092053493321	3.0536428817122316	2.427484670469265	2.131195661974937	2.9122493994095158	2.345571083906956	2.4360212364359475	2.4899016369697167
