feature	k__Bacteria.p__Firmicutes	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Verrucomicrobiota
IL17.DTT.115	4.56404945643065	5.24075465804478	-3.09665375622947	-0.611747106441469	-4.48294811734936	-2.87351020491526	1.26005507046012
IL17.DTT.116	4.82975159470017	4.49681519409255	-0.202080668825483	0.393788104105088	-5.38386421911757	-3.77442630668347	-0.359983698271292
IL17.DTT.117	4.84464616927162	4.43734039262906	-0.139470663379727	0.371354960386263	-5.68073420853815	-4.29443984741826	0.461303197049203
IL17.DTT.118	4.42269634169312	4.80773558077738	1.69124889656221	-5.62263793507125	-2.53159548171293	-2.67819895590481	-0.0892484463437275
IL17.DTT.119	4.1421958866993	6.368791433819	0.0204523502890859	-4.83936005407259	-4.83936005407259	-2.44146478127422	1.58874521861201
IL17.DTT.120	3.70691850401257	5.66422218144933	1.0152728226304	-5.12245423145583	-5.12245423145583	-1.29381283496674	1.1523077897861
IL17.DTT.127	3.36923065581357	3.49830185476573	-1.91203030910631	0.00834653794383425	-5.43839083372248	-1.36085338981676	1.83539548412242
IL17.DTT.128	5.40917042033199	4.48406391324349	0.501900131129104	0.27594363843828	-5.08534852727115	-3.13943837821583	-2.44629119765589
IL17.DTT.129	6.05809311216593	6.351644472019	1.65571992276244	-4.48416462946381	-4.48416462946381	-2.69240516023576	-2.40472308778398
IL17.DTT.130	4.85416649118544	4.50335818472683	0.419708911621474	-0.0259135183337549	-4.63441149441452	-3.16807442562109	-1.94883414916437
IL17.DTT.131	5.2992453789681	7.31293521366267	0.711831914569271	-3.60565619896704	-3.60565619896704	-3.60565619896704	-2.50704391029893
IL17.DTT.132	5.0916185023164	6.51837890196295	1.4091362785102	-4.43440813852116	-1.7953508089059	-2.35496659684132	-4.43440813852116
IL17.DTT.143	6.91909729513751	1.88642908551903	-3.19497527946543	-3.19497527946543	2.87576244853706	-3.19497527946543	-2.09636299079732
IL17.DTT.144	7.77753650736504	5.9713382052414	-2.74977494252129	-2.74977494252129	-2.74977494252129	-2.74977494252129	-2.74977494252129
IL17.DTT.139	4.37547294336093	6.49227611498838	0.0764144870322516	1.00566436354891	-4.44537409001679	-4.44537409001679	-3.0590797288969
IL17.DTT.140	4.43772490384726	6.31653804758433	0.136896535552121	1.53400181277623	-4.79035714960508	-4.79035714960508	-2.84444700054977
IL17.DTT.141	5.24076418852441	5.43073311271733	0.732917046902375	1.64431779348234	-5.17787959713815	-2.69297294735015	-5.17787959713815
IL17.DTT.142	8.38822758924433	2.45274369194308	-0.93503066938693	-2.13900347371287	-3.23761576238098	-3.23761576238098	-1.29170561332566
IL17.DTT.188	5.39276293355954	5.25682525116768	1.74406479247543	0.349067156227239	-4.61377747403267	-3.51516518536456	-4.61377747403267
IL17.DTT.189	5.11775531281646	4.9586158000216	1.15134743322578	-0.0286721300776669	-5.15857084500074	-3.77227648388085	-2.26819908710458
IL17.DTT.201	5.27845896222757	4.73453189207733	0.180118087712212	0.757075350684122	-5.09799657151831	-3.15208642246299	-2.70010129871993
IL17.DTT.202	8.39921604281026	2.87010672356362	-1.7886042293525	-3.17489859047239	-1.56546067803829	-3.17489859047239	-1.56546067803829
IL17.DTT.203	6.85741487129377	3.50208692329007	-0.304575566480249	-3.99345502059419	0.539144472559071	-3.99345502059419	-2.60716065947429
IL17.DTT.199	4.99481344815741	4.66835421509084	0.18084207257098	0.36870380974055	-4.82979322152528	-2.75035167984544	-2.63256864418906
IL17.DTT.200	5.23491288620673	4.90395540319058	0.343495480204856	0.298375044924386	-4.97462451363936	-3.02871436458405	-2.77739993630314
