	Itg.18.DTT496.S91	Lyz2.05B.DTT260.S101	Vil1.06B.DTT70	Vil1.03B.DTT35	Vil1.01B.DTT11	Itg.24.DTT530.S25	Vil1.06B.DTT72	Itg.24.DTT531.S26	Itg.04.DTT423.S15	Lyz2.06B.DTT272.S114	Lyz2.04B.DTT246.S87	Itg.20.DTT508.S3	Lyz2.06B.DTT270.S112	Itg.16.DTT482.S77	Lyz2.03B.DTT236.S76	Vil1.04B.DTT46	Lyz2.02B.DTT224.S64	Vil1.02B.DTT24	Vil1.02B.DTT23	Lyz2.06B.DTT271.S113	Lyz2.07B.DTT284.S126	Vil1.09B.DTT106	Lyz2.02B.DTT223.S63	Itg.22.DTT519.S14	Lyz2.04B.DTT247.S88	Itg.06.DTT434.S27	Itg.22.DTT518.S13	Itg.02.DTT412.S4	Vil1.03B.DTT34	Itg.26.DTT543.S39	Itg.04.DTT424.S16	Lyz2.01B.DTT210.S50	Vil1.08B.DTT96	Vil1.010B.DTT119	Vil1.05B.DTT58	Vil1.05B.DTT59	Vil1.010B.DTT120	Itg.12.DTT470.S64	Itg.02.DTT410.S2	Vil1.05B.DTT60	Itg.08.DTT446.S39	Vil1.08B.DTT95	Vil1.01B.DTT10	Itg.26.DTT542.S38	Itg.18.DTT495.S90	Lyz2.04B.DTT248.S89	Vil1.010B.DTT118	Itg.20.DTT507.S2	Itg.12.DTT471.S65	Lyz2.03B.DTT235.S75	Lyz2.05B.DTT258.S99	Itg.10.DTT459.S53	Itg.08.DTT447.S40	Vil1.09B.DTT107	Vil1.01B.DTT12	Vil1.013B.DTT156	Vil1.07B.DTT84	Vil1.014B.DTT167	Itg.26.DTT544.S40	Itg.04.DTT422.S14	Lyz2.08B.DTT295.S137	Itg.06.DTT435.S28	Vil1.06B.DTT71	Itg.16.DTT484.S79	Vil1.04B.DTT48	Lyz2.07B.DTT282.S124	Itg.06.DTT436.S29	Lyz2.08B.DTT296.S139	Itg.22.DTT520.S15	Vil1.07B.DTT83	Lyz2.02B.DTT222.S62	Lyz2.01B.DTT211.S51	Lyz2.01B.DTT212.S52	Vil1.02B.DTT22	Lyz2.07B.DTT283.S125	Itg.10.DTT458.S52	Vil1.08B.DTT94	Itg.02.DTT411.S3	Vil1.014B.DTT168	Vil1.09B.DTT108	Lyz2.05B.DTT259.S100	Itg.20.DTT506.S1	Lyz2.03B.DTT234.S74	Vil1.07B.DTT82	Vil1.013B.DTT154	Vil1.04B.DTT47	Itg.18.DTT494.S89	Lyz2.08B.DTT294.S136	Vil1.013B.DTT155	LYZdtt342	LYZdtt308	SLCdtt022	LYZdtt366	SLCdtt070	SLCdtt005	LYZdtt354	LYZdtt330	SLCdtt114	LYZdtt356	LYZdtt368	SLCdtt095	LYZdtt367	SLCdtt024	LYZdtt319	LYZdtt306	SLCdtt113	SLCdtt004	SLCdtt112	LYZdtt355	LYZdtt343	SLCdtt076	LYZdtt344	SLCdtt096	LYZdtt318	LYZdtt332	LYZdtt320	SLCdtt078	SLCdtt052	SLCdtt054	SLCdtt006	SLCdtt077	SLCdtt132	SLCdtt130	LYZdtt307	LYZdtt331	SLCdtt053	SLCdtt150	SLCdtt167	SLCdtt149	SLCdtt148	SLCdtt168	SLCdtt166
Itg.18.DTT496.S91	0.0	0.38158290701173636	0.9730665061691243	0.562293108636774	0.7502256996689738	0.5857658742100511	0.9823954258200421	0.5678603671381282	0.5380680108335841	0.5097803189888654	0.6716822148660848	0.567258501354198	0.6331628046945531	0.5744808907613602	0.6452001203731568	0.46780018055973516	0.6877821245862172	0.5684622329220583	0.5628949744207041	0.4590731266927475	0.45109840505567256	0.7324706590430334	0.7399939813421607	0.38444176948540476	0.6372253987360819	0.5820042130604876	0.6199217574480891	0.48314775804995486	0.749172434547096	0.6200722238940716	0.4628347878423112	0.7267529340956966	0.9819440264820944	0.7443575082756545	0.9170929882636172	0.9315377670779417	0.8128197411977129	0.39030996087872405	0.375413782726452	0.9790851640084262	0.48871501655130906	0.9507974721637075	0.7341257899488414	0.5006018657839302	0.14143845922359313	0.6104423713511887	0.744207041829672	0.5994583207944628	0.4334938308757147	0.6974119771291002	0.4858561540776407	0.4936804092687331	0.3203430634968402	0.7866385795967499	0.6995185073728558	0.5871200722238941	0.9691543785735781	0.4047547396930484	0.4134817935600361	0.6757448089076136	0.6810111345170027	0.6154077640686128	0.986758952753536	0.4580198615708697	0.46990671080349083	0.609990972013241	0.5789948841408366	0.7205838098104123	0.3581101414384592	0.9416190189587722	0.7433042431537767	0.7317183268131207	0.7362323201925971	0.5928377971712309	0.6008125188083058	0.5559735179055071	0.9814926271441469	0.4110743304243154	0.4116761962082456	0.7834787842311165	0.4996990671080349	0.7917544387601565	0.6634065603370448	0.9697562443575083	0.60637977730966	0.5100812518808305	0.30439362022269034	0.5997592536864279	0.6102919049052061	0.6542281071321095	0.6563346373758652	0.4217574480890761	0.6781522720433343	0.5731266927475173	0.42506770990069215	0.863827866385796	0.7973216972615107	0.5809509479386097	0.6995185073728558	0.6334637375865182	0.48796268432139633	0.6719831477580499	0.5007523322299128	0.6810111345170027	0.806500150466446	0.4602768582606079	0.4616310562744508	0.7368341859765273	0.7451098405055673	0.716370749322901	0.7109539572675293	0.5285886247366837	0.5058681913933193	0.7220884742702377	0.6453505868191394	0.8939211555823051	0.7037315678603672	0.5371652121576889	0.46403851941017155	0.4501956063797773	0.7169726151068312	0.6450496539271743	0.6321095395726752	0.6605476978633764	0.6272946133012338	0.47652723442672285	0.5154980439362022	0.6053265121877821	0.5615407764068613	0.5911826662654228	0.5309960878724045	0.6585916340656034
Lyz2.05B.DTT260.S101	0.38158290701173636	0.0	0.9617815227204334	0.5043635269334938	0.6560337044839001	0.5678603671381282	0.9693048450195606	0.7150165513090581	0.6903400541679205	0.45455913331327114	0.6594944327414987	0.5347577490219682	0.5115859163406561	0.5312970207643696	0.6215768883538971	0.3758651820643996	0.6287992777610593	0.4337947637676798	0.46674691543785735	0.4071622028287692	0.2958170328016852	0.6743906108937707	0.6715317484201023	0.5814023472765574	0.6078844417694854	0.4996990671080349	0.6286488113150768	0.5713210953957267	0.7082455612398435	0.5964489918748119	0.6688233523924165	0.7159193499849533	0.9699067108034908	0.7320192597050857	0.9047547396930484	0.9198013842913031	0.7861871802588023	0.35555221185675595	0.44477881432440564	0.9668973818838399	0.4930785434848029	0.937706891363226	0.6680710201625037	0.5157989768281673	0.3424616310562745	0.5725248269635871	0.6856755943424616	0.609990972013241	0.527836292506771	0.6725850135419802	0.27490219681011135	0.654378573578092	0.37360818537466145	0.7676798074029492	0.6554318386999699	0.8086066807102016	0.9562142642190792	0.5668071020162504	0.44146855251278966	0.7424014444778815	0.583508877520313	0.5925368642792658	0.9736683719530544	0.42747517303641286	0.46298525428829373	0.51655130905808	0.5358110141438459	0.6433945230213662	0.4652422509780319	0.9294312368341859	0.6999699067108035	0.6978633764670479	0.7258501354198014	0.48013842913030397	0.5350586819139332	0.6778513391513692	0.9694553114655432	0.5794462834787842	0.42190791453505866	0.7566957568462233	0.29431236834185975	0.7970207643695456	0.6388805296418899	0.9577189286789046	0.8344869094191996	0.5085765874210051	0.48555522118567557	0.42642190791453505	0.8368943725549203	0.6146554318387	0.5979536563346374	0.3576587421005116	0.5940415287390912	0.62293108636774	0.6388805296418899	0.8522419500451399	0.6679205537165213	0.6414384592235931	0.6673186879325911	0.5297923563045441	0.7250978031898887	0.5776406861269937	0.40144447788143245	0.6334637375865182	0.7991272946133012	0.6414384592235931	0.7026783027384893	0.7986758952753535	0.6763466746915437	0.7058380981041228	0.7150165513090581	0.4802888955762865	0.7433042431537767	0.7099006921456515	0.49262714414685527	0.8912127595546193	0.691844718627746	0.6372253987360819	0.6254890159494433	0.6352693349383087	0.7105025579295817	0.6215768883538971	0.6405356605476978	0.5949443274149865	0.3793259103219982	0.6232320192597051	0.5993078543484803	0.5806500150466446	0.6110442371351189	0.4802888955762865	0.517905507071923	0.6915437857357809
Vil1.06B.DTT70	0.9730665061691243	0.9617815227204334	0.0	0.8859464339452302	0.9566656635570268	0.9259705085765875	0.018958772193800783	0.953957267529341	0.9717123081552814	0.8176346674691544	0.9664459825458923	0.965543183869997	0.9563647306650617	0.9667469154378574	0.9765272344267228	0.9467348781221787	0.9718627746012639	0.9094191995185074	0.9461330123382485	0.9634366536262413	0.9717123081552814	0.34125789948841406	0.9772795666566356	0.9653927174240144	0.9607282575985555	0.9634366536262413	0.9626843213963286	0.975473969304845	0.9613301233824857	0.9354498946734878	0.9739693048450195	0.965543183869997	0.02121576888353897	0.28603671381281975	0.06349684020463436	0.04905206139030996	0.20734276256394824	0.9690039121275955	0.9753235028588625	0.01685224195004514	0.9674992476677701	0.02678302738489317	0.9566656635570268	0.9640385194101715	0.9643394523021366	0.8307252482696359	0.34923262112548903	0.9587721938007824	0.9742702377369846	0.9759253686427927	0.9697562443575083	0.9679506470057178	0.9608787240445381	0.2294613301233825	0.9473367439061089	0.8083057478182365	0.011736382786638579	0.9434246163105627	0.9709599759253686	0.9753235028588625	0.962533854950346	0.968853445681613	0.024225097803189887	0.9697562443575083	0.9149864580198616	0.9673487812217876	0.9702076436954559	0.9768281673186879	0.9613301233824857	0.033854950346072825	0.9757749021968101	0.735931387300632	0.9659945832079446	0.9554619319891664	0.8010833584110744	0.9674992476677701	0.019259705085765876	0.9775804995486007	0.862473668371953	0.2436051760457418	0.9717123081552814	0.9587721938007824	0.968853445681613	0.020312970207643697	0.8331327114053566	0.8784231116461029	0.9632861871802588	0.9530544688534457	0.9130303942220884	0.9620824556123985	0.9693048450195606	0.9765272344267228	0.965543183869997	0.9670478483298225	0.9745711706289497	0.9664459825458923	0.9685525127896479	0.9577189286789046	0.9772795666566356	0.9548600662052362	0.9796870297923563	0.9667469154378574	0.9793860969003912	0.9559133313271141	0.9659945832079446	0.9768281673186879	0.9637375865182064	0.9684020463436653	0.9658441167619621	0.9656936503159795	0.9781823653325309	0.9676497141137527	0.9795365633463737	0.9745711706289497	0.9647908516400843	0.981793560036112	0.9783328317785134	0.967198314775805	0.9772795666566356	0.9720132410472465	0.9786337646704785	0.9756244357508276	0.9650917845320494	0.9632861871802588	0.9614805898284683	0.9667469154378574	0.9786337646704785	0.9792356304544086	0.9781823653325309	0.9783328317785134	0.9793860969003912	0.9796870297923563
Vil1.03B.DTT35	0.562293108636774	0.5043635269334938	0.8859464339452302	0.0	0.4963888052964189	0.522870899789347	0.9027986758952754	0.7219380078242552	0.4644899187481192	0.4708095094793861	0.617965693650316	0.5039121275955462	0.4825458922660247	0.6953054468853446	0.4813421606981643	0.6145049653927174	0.5010532651218779	0.38579596749924766	0.4127294613301234	0.43695455913331327	0.5073728558531447	0.5874210051158592	0.5615407764068613	0.5106831176647607	0.40731266927475174	0.4169425218176347	0.6564851038218478	0.45425820042130605	0.6760457417995787	0.6158591634065603	0.4416190189587722	0.5296418898585615	0.9035510081251881	0.6310562744507975	0.8241047246464038	0.8529942822750527	0.695154980439362	0.5478483298224496	0.6301534757749022	0.9021968101113451	0.6095395726752935	0.8722539873608185	0.4763767679807403	0.5490520613903099	0.5409268733072525	0.41363226000601866	0.5838098104122781	0.43093590129401144	0.5350586819139332	0.5066205236232321	0.6065302437556425	0.4450797472163707	0.5039121275955462	0.6907914535058682	0.4455311465543184	0.7141137526331628	0.8904604273247065	0.5847126090881734	0.5782425519109239	0.529491423412579	0.501655130905808	0.43514896178152274	0.9089678001805598	0.5367138128197412	0.5490520613903099	0.49006921456515196	0.39753235028588624	0.5469455311465543	0.5040625940415288	0.8645801986157087	0.562594041528739	0.43650315979536564	0.5519109238639783	0.5484501956063798	0.44417694854047546	0.5674089678001806	0.9014444778814324	0.473818838399037	0.439362022269034	0.668973818838399	0.6226301534757749	0.7732470659043034	0.4676497141137526	0.8922660246764972	0.7053866987661751	0.5621426421907915	0.6387300631959073	0.44071622028287694	0.6724345470959976	0.41950045139933795	0.4363526933493831	0.527836292506771	0.7120072223894072	0.4113752633162805	0.5618417092988264	0.7983749623833885	0.7434547095997592	0.7083960276858261	0.49067108034908213	0.654378573578092	0.550707192296118	0.683569064098706	0.6187180258802287	0.45395726752934096	0.7810713210953957	0.6990671080349082	0.5416792055371652	0.8188383990370147	0.4846524225097803	0.7103520914835991	0.5159494432741498	0.43334336442973215	0.6405356605476978	0.49322900993078544	0.5007523322299128	0.8748119169425218	0.536111947035811	0.5636473066506169	0.6971110442371351	0.5030093289196509	0.549352994282275	0.618266626542281	0.6005115859163407	0.4396629551609991	0.6728859464339453	0.6349684020463436	0.472163707493229	0.4207041829671983	0.4446283478784231	0.6661149563647306	0.380379175443876	0.5108335841107433
Vil1.01B.DTT11	0.7502256996689738	0.6560337044839001	0.9566656635570268	0.4963888052964189	0.0	0.6298525428829371	0.9736683719530544	0.8226000601865784	0.32636172133614205	0.655732771591935	0.5941919951850737	0.5285886247366837	0.5774902196810111	0.6232320192597051	0.29055070719229614	0.562293108636774	0.25789948841408367	0.5079747216370749	0.4780318988865483	0.562293108636774	0.6698766175142943	0.7622630153475775	0.20809509479386096	0.5746313572073427	0.4058080048149263	0.22404453806801083	0.6480589828468252	0.3809810412278062	0.7839301835690641	0.7234426722840807	0.3925669575684622	0.30935901294011436	0.9745711706289497	0.80318988865483	0.894974420704183	0.9231116461029191	0.8209449292807703	0.6572374360517604	0.6632560938910623	0.9723141739392116	0.616310562744508	0.9425218176346675	0.21983147758049956	0.5731266927475173	0.7117062894974421	0.5996087872404454	0.7609088173337346	0.3946734878122179	0.6283478784231117	0.2761059283779717	0.7073427625639482	0.5347577490219682	0.6387300631959073	0.810111345170027	0.1643093590129401	0.8054468853445682	0.9611796569365032	0.7891965091784532	0.6721336142040325	0.30965994583207945	0.22855853144748722	0.2258501354198014	0.9796870297923563	0.5446885344568161	0.6352693349383087	0.5236232320192598	0.2843815829070117	0.1688233523924165	0.6200722238940716	0.934697562443575	0.2506770990069215	0.33854950346072826	0.26015648510382183	0.5186578393018357	0.5970508576587421	0.5568763165814024	0.973818838399037	0.5534155883238038	0.7273547998796268	0.7973216972615107	0.7177249473367439	0.7135118868492326	0.2955160999097201	0.9623833885043636	0.7897983749623834	0.5893770689136323	0.7350285886247366	0.5015046644598254	0.7387902497743003	0.34080650015046643	0.4864580198615709	0.6834185976527234	0.6012639181462534	0.4590731266927475	0.7815227204333434	0.7232922058380981	0.7533854950346073	0.7479687029792357	0.2633162804694553	0.6393319289798375	0.4596749924766777	0.6194703581101414	0.7255492025278363	0.337646704784833	0.7207342762563949	0.7472163707493229	0.613301233824857	0.7509780318988866	0.2010231718326813	0.7121576888353897	0.26241348179356005	0.31628046945531146	0.7225398736081854	0.3198916641588926	0.6191694252181763	0.8411074330424315	0.2449593740595847	0.5990069214565152	0.7108034908215468	0.7281071321095396	0.27685826060788443	0.5928377971712309	0.5055672585013542	0.281974119771291	0.7016250376166115	0.6161600962985254	0.5275353596148059	0.33328317785133915	0.42115558230514594	0.74586217273548	0.3590129401143545	0.2958170328016852
Itg.24.DTT530.S25	0.5857658742100511	0.5678603671381282	0.9259705085765875	0.522870899789347	0.6298525428829371	0.0	0.9429732169726152	0.6038218477279567	0.5862172735479988	0.43439662955161	0.33644297321697264	0.572223894071622	0.4649413180860668	0.49352994282275053	0.6426421907914535	0.470508576587421	0.7011736382786639	0.3797773096599458	0.4074631357207343	0.4328919650917845	0.49322900993078544	0.6584411676196208	0.7566957568462233	0.5090279867589528	0.49714113752633166	0.6789046042732471	0.3361420403250075	0.6172133614204033	0.722991272946133	0.5272344267228408	0.5865182064399639	0.45395726752934096	0.9432741498645802	0.6608486307553415	0.8645801986157087	0.8898585615407764	0.7317183268131207	0.5400240746313572	0.5643996388805297	0.9423713511886849	0.34787842311164613	0.9127294613301233	0.4599759253686428	0.2992777610592838	0.5490520613903099	0.5263316280469456	0.6220282876918447	0.4273247065904303	0.5204634366536263	0.657387902497743	0.7102016250376166	0.51655130905808	0.46373758651820646	0.7192296117965694	0.6674691543785736	0.701775504062594	0.9304845019560638	0.5803490821546795	0.5385194101715317	0.6330123382485706	0.6810111345170027	0.6382786638579597	0.9491423412578995	0.637526331628047	0.6059283779717123	0.6588925669575685	0.6092386397833284	0.7351790550707192	0.4802888955762865	0.9047547396930484	0.7568462232922059	0.6503159795365634	0.7365332530845622	0.30243755642491726	0.5677099006921457	0.32049352994282276	0.9414685525127896	0.6026181161600963	0.49157387902497746	0.7291603972314173	0.7208847427023773	0.5103821847727956	0.6009629852542883	0.9322900993078543	0.7112548901594944	0.3701474571170629	0.5640987059885646	0.4978934697562444	0.718025880228709	0.42717424014444777	0.6370749322900993	0.5287390911826663	0.5162503761661149	0.3239542582004213	0.5648510382184773	0.5482997291603973	0.5201625037616612	0.5922359313873007	0.7520312970207643	0.7047848329822449	0.6972615106831177	0.6995185073728558	0.6563346373758652	0.6582907011736383	0.5230213662353296	0.5990069214565152	0.49774300331026183	0.4390610893770689	0.5693650315979537	0.5236232320192598	0.6563346373758652	0.686879325910322	0.7136623532952152	0.6862774601263918	0.620975022569967	0.617965693650316	0.7171230815528137	0.6152572976226302	0.6773999398134216	0.5258802287089979	0.7253987360818538	0.6594944327414987	0.4315377670779416	0.6483599157387903	0.6834185976527234	0.5886247366837195	0.5464941318086067	0.6161600962985254	0.5889256695756846	0.7126090881733373	0.5878724044538068	0.6483599157387903
Vil1.06B.DTT72	0.9823954258200421	0.9693048450195606	0.018958772193800783	0.9027986758952754	0.9736683719530544	0.9429732169726152	0.0	0.970809509479386	0.98344869094192	0.8265121877821245	0.9846524225097804	0.9835991573879025	0.973517905507072	0.985404754739693	0.9846524225097804	0.9652422509780318	0.9805898284682516	0.9262714414685526	0.9643394523021366	0.9756244357508276	0.982094492928077	0.3481793560036112	0.9855552211856756	0.9832982244959374	0.9783328317785134	0.9763767679807402	0.9808907613602167	0.9835991573879025	0.9798374962383388	0.9535058681913933	0.9823954258200421	0.9840505567258502	0.004363526933493831	0.2920553716521216	0.08080048149262714	0.05988564550105326	0.2135118868492326	0.9864580198615709	0.985404754739693	0.0033102618116160097	0.9857056876316581	0.033403551008125185	0.9745711706289497	0.982094492928077	0.9775804995486007	0.8457718928678905	0.35555221185675595	0.9756244357508276	0.9860066205236232	0.9832982244959374	0.9864580198615709	0.9849533554017454	0.9781823653325309	0.23593138730063196	0.9650917845320494	0.8146253385495035	0.013692446584411676	0.9491423412578995	0.9793860969003912	0.985404754739693	0.9751730364128799	0.9814926271441469	0.006470057177249473	0.982094492928077	0.9256695756846224	0.9802888955762865	0.9796870297923563	0.9832982244959374	0.9787842311164611	0.04122780619921757	0.9863075534155883	0.753836894372555	0.9816430935901294	0.973818838399037	0.8185374661450496	0.985404754739693	0.0033102618116160097	0.9855552211856756	0.8684923262112549	0.24992476677700873	0.9805898284682516	0.9774300331026181	0.98344869094192	0.014444778814324405	0.8399037014745712	0.8960276858260607	0.9819440264820944	0.9647908516400843	0.9195004513993379	0.9793860969003912	0.9762263015347578	0.9839000902798676	0.9826963587120072	0.9858561540776407	0.980439362022269	0.9839000902798676	0.9837496238338851	0.9653927174240144	0.9839000902798676	0.967198314775805	0.9869094191995185	0.9840505567258502	0.9858561540776407	0.9730665061691243	0.9837496238338851	0.9849533554017454	0.9814926271441469	0.9864580198615709	0.9832982244959374	0.9832982244959374	0.9846524225097804	0.9781823653325309	0.986758952753536	0.9811916942521818	0.982094492928077	0.9926271441468553	0.9851038218477279	0.9857056876316581	0.9860066205236232	0.9786337646704785	0.9848028889557628	0.9863075534155883	0.9829972916039723	0.9805898284682516	0.9781823653325309	0.9855552211856756	0.9848028889557628	0.9851038218477279	0.9848028889557628	0.9857056876316581	0.985404754739693	0.9866084863075534
Itg.24.DTT531.S26	0.5678603671381282	0.7150165513090581	0.953957267529341	0.7219380078242552	0.8226000601865784	0.6038218477279567	0.970809509479386	0.0	0.620975022569967	0.6253385495034607	0.7216370749322901	0.7095997592536865	0.6986157086969605	0.8341859765272345	0.7062894974420704	0.7467649714113752	0.8731567860367138	0.6453505868191394	0.5969003912127595	0.5773397532350286	0.6913933192897984	0.8408065001504664	0.8871501655130906	0.43891062293108635	0.5585314474872104	0.8435148961781522	0.6945531146554318	0.6137526331628047	0.8438158290701173	0.6257899488414084	0.5886247366837195	0.8370448390009028	0.9712609088173337	0.7678302738489317	0.8925669575684623	0.9160397231417394	0.834637375865182	0.6032199819440265	0.5952452603069516	0.9702076436954559	0.6831176647607583	0.9407162202828769	0.8275654529040024	0.42371351188684925	0.5397231417393921	0.4711104423713512	0.8262112548901595	0.6712308155281372	0.43229009930785434	0.7756545290400241	0.7971712308155281	0.35103821847727956	0.5514595245260306	0.8367439061089377	0.8215467950647005	0.6793560036111947	0.9583207944628348	0.273698465242251	0.39241649112247967	0.7603069515498044	0.8414083659343966	0.804845019560638	0.9769786337646704	0.8143244056575384	0.7393921155582305	0.8454709599759254	0.788594643394523	0.8788745109840506	0.48239542582004213	0.9333433644297322	0.8869996990671081	0.8171832681312068	0.8668371953054469	0.6652121576888353	0.8010833584110744	0.4455311465543184	0.9700571772494734	0.536111947035811	0.609690039121276	0.8483298224495938	0.8055973517905507	0.8089076136021667	0.7172735479987963	0.9608787240445381	0.7019259705085766	0.7333734577189287	0.6537767077941619	0.7812217875413783	0.7049352994282275	0.8123683418597653	0.7648209449292808	0.7250978031898887	0.8388504363526933	0.6485103821847727	0.3465242250978032	0.8554017454107734	0.8933192897983749	0.48871501655130906	0.8888052964188986	0.855853144748721	0.581853746614505	0.8609690039121276	0.7928077038820343	0.5413782726452001	0.8152272043334337	0.3987360818537466	0.3587120072223894	0.6695756846223292	0.8383990370147457	0.8462232922058381	0.8036412879927776	0.8605176045741799	0.45290400240746315	0.7925067709900692	0.8444176948540475	0.8684923262112549	0.8478784231116461	0.6631056274450797	0.6333132711405357	0.3779717123081553	0.8451700270839603	0.8063496840204635	0.7500752332229913	0.6758952753535962	0.8427625639482396	0.6104423713511887	0.5887752031297021	0.7399939813421607	0.6816130003009329	0.9030996087872405	0.7123081552813723	0.7446584411676196
Itg.04.DTT423.S15	0.5380680108335841	0.6903400541679205	0.9717123081552814	0.4644899187481192	0.32636172133614205	0.5862172735479988	0.98344869094192	0.620975022569967	0.0	0.6143544989467349	0.678603671381282	0.5257297622630154	0.5504062594041529	0.8110141438459224	0.28152272043334337	0.7025278362925068	0.3435148961781523	0.5696659644899188	0.5370147457117063	0.5105326512187782	0.6674691543785736	0.7497743003310262	0.347577490219681	0.42025278362925067	0.4298826361721336	0.31206740896780016	0.6792055371652121	0.2538368943725549	0.7831778513391514	0.6764971411375263	0.12127595546193198	0.45877219380078244	0.9839000902798676	0.7082455612398435	0.9149864580198616	0.9316882335239242	0.7730965994583208	0.5842612097502257	0.5519109238639783	0.9808907613602167	0.681913933192898	0.9524526030695155	0.406560337044839	0.5510081251880831	0.5240746313572073	0.5720734276256395	0.7207342762563949	0.44146855251278966	0.4793860969003912	0.2970207643695456	0.7645200120373157	0.3432139632861872	0.5544688534456816	0.7747517303641288	0.3010833584110743	0.6537767077941619	0.9709599759253686	0.537767077941619	0.5645501053265122	0.2023773698465242	0.3517905507071923	0.24736683719530544	0.9887150165513091	0.6045741799578694	0.6439963888052964	0.6074330424315377	0.2839301835690641	0.3331327114053566	0.4610291904905206	0.9432741498645802	0.34577189286789045	0.45290400240746315	0.33057478182365335	0.678603671381282	0.6504664459825459	0.4687029792356305	0.9826963587120072	0.3921155582305146	0.5916340656033704	0.7744507974721637	0.7711405356605477	0.8019861570869696	0.2809208546494132	0.9714113752633163	0.646102919049052	0.6871802588022871	0.6242852843815829	0.5704182967198315	0.5952452603069516	0.4390610893770689	0.4972916039723142	0.6482094492928077	0.8182365332530845	0.4043033403551008	0.5495034607282576	0.8125188083057479	0.8879024977430033	0.6647607583508878	0.34471862774601264	0.7625639482395425	0.22630153475774903	0.7469154378573578	0.7085464941318086	0.3254589226602468	0.8009328919650918	0.5832079446283479	0.421456515197111	0.7780619921757448	0.35479987962684323	0.8060487511284984	0.30093289196509176	0.36217273547998796	0.4972916039723142	0.2891965091784532	0.6470057177249473	0.8928678904604274	0.3111646102919049	0.48630755341558835	0.5938910622931086	0.5114354498946735	0.31522720433343365	0.6291002106530243	0.6072825759855552	0.30469455311465543	0.8299729160397231	0.5358110141438459	0.41814625338549505	0.2875413782726452	0.37721938007824257	0.8257598555522119	0.28934697562443573	0.23623232019259705
Lyz2.06B.DTT272.S114	0.5097803189888654	0.45455913331327114	0.8176346674691544	0.4708095094793861	0.655732771591935	0.43439662955161	0.8265121877821245	0.6253385495034607	0.6143544989467349	0.0	0.5836593439662955	0.45109840505567256	0.4954860066205236	0.6403851941017153	0.5458922660246764	0.5838098104122781	0.5792958170328016	0.3248570568763166	0.38504363526933494	0.27911525729762265	0.4390610893770689	0.547396930484502	0.6307553415588324	0.48555522118567557	0.5431838699969906	0.5860668071020162	0.5690640987059886	0.47366837195305445	0.7144146855251279	0.4562142642190791	0.593138730063196	0.6969605777911526	0.8266626542281071	0.5461931989166416	0.762112548901595	0.7705386698766176	0.62293108636774	0.4665964489918748	0.4504965392717424	0.8259103219981944	0.5183569064098706	0.7967198314775805	0.6652121576888353	0.41152572976226304	0.4632861871802588	0.37390911826662654	0.5371652121576889	0.5275353596148059	0.39617815227204334	0.5792958170328016	0.5574781823653325	0.5346072825759856	0.39858561540776405	0.5991573879024977	0.6576888353897081	0.5574781823653325	0.8140234727655733	0.5239241649112248	0.3701474571170629	0.657387902497743	0.554318386999699	0.5576286488113151	0.8326813120674089	0.521516701775504	0.44387601564851037	0.5285886247366837	0.5019560637977731	0.6089377068913632	0.37390911826662654	0.7882937105025579	0.6609990972013241	0.4975925368642793	0.6995185073728558	0.4501956063797773	0.3022870899789347	0.554017454107734	0.8251579897682817	0.5352091483599157	0.33222991272946134	0.6074330424315377	0.5830574781823653	0.7855853144748721	0.5461931989166416	0.8158290701173638	0.5841107433042432	0.5087270538669877	0.593439662955161	0.4416190189587722	0.678603671381282	0.6801083358411074	0.5529641889858562	0.4273247065904303	0.6244357508275654	0.5442371351188685	0.5428829371050256	0.8308757147156184	0.8083057478182365	0.49533554017454107	0.6990671080349082	0.5341558832380379	0.6790550707192297	0.5380680108335841	0.5720734276256395	0.6348179356003611	0.7943123683418598	0.5117363827866386	0.5866686728859465	0.695154980439362	0.7126090881733373	0.7893469756244358	0.6309058080048149	0.6236834185976528	0.6956063797773097	0.6725850135419802	0.6727354799879627	0.8912127595546193	0.6239843514896178	0.5400240746313572	0.547396930484502	0.5046644598254589	0.6591934998495336	0.5382184772795666	0.5627445079747216	0.5853144748721035	0.722991272946133	0.529491423412579	0.4938308757147156	0.5260306951549805	0.49909720132410473	0.6086367739993981	0.5120373156786037	0.6188684923262112
