,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.13B.FP153,Itg.20.FP508.S11,Vil1.06B.DTT72,Lyz2.06B.DTT272.S114,Itg.20.DTT508.S3,Lyz2.03B.DTT236.S76,Itg.16.FP484.S87,Vil1.05B.FP60,Lyz2.01B.FP212.S60,Lyz2.02B.DTT224.S64,Vil1.09B.FP105,Vil1.02B.DTT24,Vil1.04B.FP48,Lyz2.07B.DTT284.S126,Vil1.03B.FP36,Itg.02.FP412.S12,Lyz2.02B.FP224.S72,Itg.02.DTT412.S4,Itg.26.FP544.S48,Itg.10.FP460.S62,Itg.04.DTT424.S16,Itg.18.FP496.S99,Vil1.08B.DTT96,Vil1.010B.DTT120,Itg.06.FP436.S37,Vil1.01B.FP12,Vil1.10B.FP117,Vil1.05B.DTT60,Lyz2.04B.DTT248.S89,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.06B.FP72,Vil1.02B.FP24,Itg.26.DTT544.S40,Lyz2.05B.FP260.S57,Itg.12.FP472.S74,Vil1.14B.FP165,Itg.16.DTT484.S79,Vil1.07B.FP84,Vil1.04B.DTT48,Itg.08.FP448.S49,Itg.04.FP424.S24,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Lyz2.01B.DTT212.S52,Lyz2.07B.FP284.S82,Lyz2.08B.FP296.S95,Lyz2.03B.FP236.S84,Vil1.014B.DTT168,Vil1.09B.DTT108,Itg.22.FP520.S23,Vil1.08B.FP93,Lyz2.06B.FP272.S70,SLCFP072,LYZFP308,LYZdtt308,SLCFP078,SLCFP024,SLCdtt114,LYZFP320,LYZdtt356,LYZdtt368,LYZFP356,SLCdtt024,LYZFP332,LYZdtt344,SLCdtt096,LYZdtt332,LYZdtt320,SLCdtt078,SLCFP054,SLCFP114,SLCFP006,SLCdtt054,SLCdtt006,SLCdtt132,SLCFP132,LYZFP344,SLCFP096,SLCdtt150,SLCdtt168,SLCFP150
2f65298490e0fe48b880145471ec54eb,25002,6337,23606,30473,209,4051,23577,42960,13530,13040,25721,20373,2933,5476,15827,18963,31564,45778,34760,53932,26340,49628,45393,52431,217,2588,29184,35027,5011,194,26802,20482,22141,218,7756,29531,28663,7339,25135,13191,19191,7201,4167,49744,49646,6696,48146,21416,46317,6423,9060,57532,13636,2049,44300,4514,22329,11247,46745,43706,24897,5461,18417,47724,92506,13460,13158,4518,6571,41740,69090,14370,25121,33977,6098,2926,41869,7376,30207,13821,9685,28369,45568,76108,91115,33890
c42634f8d1aad4956aa9638465e86565,10653,7531,67,408,8,372,281,167,31706,5409,3576,1162,8565,918,16630,12232,12320,97,3235,48,7027,7135,1372,13561,10,276,6226,8413,12980,7,434,1344,140,24,13920,10262,3016,9598,38296,11413,14297,13535,2183,16494,1365,780,964,550,887,7240,829,601,4083,731,3779,2092,5974,710,1647,696,828,17544,464,1696,13306,8411,80203,9476,19436,17337,570,8346,2193,442,895,1204,1768,285,1456,757,525,112992,352,9149,10137,75266
5ae5ad642b9c2cc68c4fc59e4902ff63,916,301,21,25477,0,131,6244,579,8381,338,35,1303,3195,761,1415,3013,985,1198,1676,1018,459,230,211,86,1,1,1627,5100,2939,0,967,205,8,0,2660,2558,300,122,1279,272,1910,2254,726,72,203,156,697,1860,159,1939,1000,1018,403,4,1540,7369,847,2861,124,1012,44,173,790,169,17,995,20,82,16,400,73,333,167,57,3399,313,972,361,1074,7546,5961,460,3,1736,1437,1139
f5fb42e8863737981eb6e04a3de22e29,804,431,29,4093,0,198,1834,113,3277,914,187,300,717,211,2609,2059,1554,1822,804,535,1878,1106,258,422,15,20,2003,3537,1024,0,212,293,82,13,1289,1276,975,970,1242,990,1280,1540,218,1063,228,165,655,530,165,415,1349,921,654,28,1026,1180,3355,565,194,1158,1025,609,413,580,171,1146,695,257,55,595,18,531,557,169,832,487,332,299,176,861,548,1025,7,5207,3970,725
04af8257d41718f9636b8bbc789b0fcf,263,30,5,469,0,65,78,58,591,183,31,85,525,87,214,273,106,367,172,56,136,245,182,11,0,5,51,346,234,0,111,10,13,0,149,3567,97,6,338,401,185,397,116,95,85,28,97,127,42,94,230,138,236,1,131,551,595,7,172,264,25,47,162,160,5,220,258,52,0,86,30,25,79,25,76,146,73,7,172,26,90,47,0,18,402,327
3bffd5a2b1cf48b46d1e51628c3551fc,16,23,0,272,0,4,73,0,176,62,8,12,63,14,216,121,83,100,80,23,64,82,9,14,0,0,127,115,105,0,9,12,0,0,63,207,22,43,63,37,18,114,41,71,11,12,22,24,5,42,81,50,21,0,47,53,134,13,95,30,54,26,11,147,23,196,307,13,0,54,0,18,16,9,86,27,0,12,0,54,48,186,0,99,180,27
6d5171bbc6ef97262119e6d152d82164,78,28,0,49,0,35,750,70,59,39,32,71,0,523,26,211,31,31,0,60,22,37,74,28,0,0,22,142,0,0,330,941,0,0,83,21,122,0,28,0,259,41,40,65,23,48,35,465,439,0,0,0,0,0,70,0,13,3,48,44,1,14,3,453,25,579,29,0,22,386,3,1117,388148,4,4,1,2,16,10,196,7,34,1,1,1,1452
235c319ab46f87d377a28a34ba10bfa1,170,219,1718,266,0,30,185,58,399,411,175,129,458,218,1094,160,554,646,163,330,290,181,105,97,0,16,296,1367,567,0,136,222,1089,0,402,1170,231,271,223,519,346,709,332,285,79,70,234,141,111,71,148,361,202,36,255,253,130,175,352,189,74,465,630,144,99,321,213,127,19,265,48,125,349,16,422,285,449,256,193,472,515,439,16,1193,482,88
89c209abd89a5232343a4c87c93cb4ea,17,50,8,187,9,24,133,40,118,1450,6,18,31,58,13,29,382,90,37,57,481,219,1146,31,0,5,277,766,33,7,86,464,159,0,1774,93,608,47,164,7,180,41,6,357,2476,91,228,82,8,37,63,58,252,91,241,0,37,19,87,636,8,55,17,289,83,428,102,20,697,1334,16,1020,532,7,0,0,106,0,60,32,10,1140,0,6581,207,23
f745d265f36ea7eac26d97280e690796,1468,118,0,934,0,16,230,90,369,169,8,118,215,10,30,0,1200,0,13,11,30,546,77,1594,0,0,42,753,29,0,43,614,18,0,125,194,103,0,412,0,199,2,8,10,49,16,63,28,69,0,8,10,39,39,28,29,0,0,14,11,73,31,4,0,1,37,9,7,14,95,6,15,11,743,4,0,64,0,7733,5,0,13,0,2901,45,16
48082d1ff66a9207ede6bf05e9846d6e,236,274,40,898,0,126,1124,233,761,465,394,394,805,313,999,510,471,1564,661,827,1186,636,215,140,12,0,1009,1586,353,0,195,164,37,10,638,1623,873,234,1290,1111,834,668,411,1020,188,125,1006,263,348,248,452,729,243,57,481,419,538,223,2592,499,742,348,855,29,1052,2326,2837,118,145,1275,17,555,481,250,692,154,164,546,99,1387,869,1448,0,2544,464,246
b3111baca54677926264de26b4a9bf7a,0,59,7,2,0,4,0,14,11,65,6,8,83,2,0,0,6,0,17,0,4,0,0,0,0,0,0,46,14,0,10,0,3,0,43,654,9,77,0,1331,0,27,0,0,3,0,5,3,6,0,0,2,64,0,20,112,22,69,307,64,0,0,6,4,0,20,1,0,2,50,0,15,5,8,5,36,3,0,23,0,8,100,0,10,24,130
