,Vil1.01B.FP11,Vil1.03B.DTT35,Vil1.03B.FP35,Vil1.01B.DTT11,Lyz2.07B.FP283.S81,Itg.24.DTT531.S26,Vil1.10B.FP116,Itg.04.DTT423.S15,Lyz2.06B.FP271.S69,Vil1.05B.FP59,Vil1.08B.FP92,Vil1.02B.DTT23,Itg.20.FP507.S10,Lyz2.06B.DTT271.S113,Vil1.04B.FP47,Lyz2.02B.DTT223.S63,Lyz2.05B.FP259.S56,Itg.22.DTT519.S14,Lyz2.04B.DTT247.S88,Vil1.09B.FP104,Vil1.13B.FP152,Itg.26.DTT543.S39,Vil1.14B.FP164,Itg.24.FP531.S34,Vil1.010B.DTT119,Vil1.05B.DTT59,Vil1.07B.FP83,Itg.26.FP543.S47,Vil1.08B.DTT95,Itg.18.DTT495.S90,Itg.12.FP471.S73,Itg.20.DTT507.S2,Itg.12.DTT471.S65,Lyz2.03B.DTT235.S75,Itg.10.DTT459.S53,Itg.08.DTT447.S40,Vil1.09B.DTT107,Vil1.014B.DTT167,Lyz2.08B.DTT295.S137,Itg.06.DTT435.S28,Vil1.06B.DTT71,Itg.04.FP423.S23,Lyz2.04B.FP247.S44,Lyz2.01B.FP211.S59,Vil1.06B.FP71,Vil1.07B.DTT83,Lyz2.01B.DTT211.S51,Lyz2.08B.FP295.S93,Lyz2.03B.FP235.S83,Lyz2.07B.DTT283.S125,Itg.10.FP459.S61,Itg.02.DTT411.S3,Itg.16.FP483.S86,Lyz2.02B.FP223.S71,Itg.02.FP411.S11,Itg.06.FP435.S36,Vil1.02B.FP23,Itg.22.FP519.S22,Lyz2.05B.DTT259.S100,Vil1.04B.DTT47,Itg.08.FP447.S48,Vil1.013B.DTT155,Itg.18.FP495.S98,LYZFP307,LYZFP331,SLCFP131,SLCFP023,SLCdtt005,LYZFP355,LYZFP319,SLCFP005,SLCFP053,SLCFP095,SLCdtt095,SLCFP077,LYZdtt367,LYZdtt319,SLCFP113,SLCFP071,SLCdtt113,LYZdtt355,LYZdtt343,LYZFP343,SLCdtt077,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt167,SLCdtt149,SLCFP167,SLCFP149
f745d265f36ea7eac26d97280e690796,380,1279,26825,404,0,18,45,322,0,196,45,0,1039,0,81,46,0,16,89,402,0,59,0,31,19,0,72,35,0,510,796,78,85,39,372,34,56,0,19,33,0,153,0,38,43,0,630,38,24,37,2602,12,149,34,20,45,85,32,45,0,20,0,639,12,16,9,72,3065,7,17,63,7,0,0,179,17,13,0,0,0,21,12,21,469,29,43,0,2,6,3,3
48082d1ff66a9207ede6bf05e9846d6e,193,65,153,280,95,66,402,352,116,427,522,532,459,347,282,1398,296,134,201,1055,104,500,813,55,37,0,415,1138,14,269,660,245,292,359,161,485,103,71,110,493,0,195,45,526,362,0,416,50,762,91,435,289,845,668,1218,705,1211,123,565,230,126,0,224,1112,358,1003,127,42,1416,393,133,419,11,13,87,1434,43,207,305,221,619,223,366,151,366,2270,1546,1508,1813,279,53
b3111baca54677926264de26b4a9bf7a,103,4,18,5,0,2,11,4,15,34,203,2,14,0,0,4,194,2,0,64,30,6,1691,0,0,0,13,653,0,0,4,8,0,3,0,3,0,9,2,0,0,0,0,16,31,0,0,7,5,3,0,0,3,20,6,0,114,8,0,0,0,0,4,14,6,18,0,4,0,19,1,10,1,0,0,61,0,15,16,0,0,1,21,2,56,6,0,0,5,0,5
87c1f25ee57f851893eda4c10a460604,110,14,92,7,0,26,22,232,22,43,0,124,48,71,0,5,23,26,281,0,10,20,472,9,0,0,0,51,0,38,16,8,7,50,0,34,0,69,0,64,0,23,73,11,604,0,0,10,110,17,28,15,200,22,81,22,158,51,32,0,10,0,13,115,21,5,12,9,8,8,7,9,19,22,21,49,26,12,19,16,24,0,5,105,189,0,5,412,65,287,2
e8ed0e081283c5963ce9860944f651c6,50,7,6,0,0,4,57,67,9,30,1162,3,56,19,27,0,4,3,28,78,3,17,120,3,9,0,31,68,0,8,16,43,0,4,0,26,0,22,2,7,0,0,5,0,94,0,0,8,0,7,3,3,0,0,9,0,24,3,0,0,0,0,0,17,0,11,0,6,0,7,4,41,0,3,0,48,0,6,0,2,0,0,13,39,32,9,5,23,15,1,5
b3ef12a80d40902556c2fd4de5924438,37,4,18,2,10,0,19,0,11,43,22,0,25,0,126,3,13,3,0,5,0,0,38,0,0,0,176,6,0,0,19,3,2,4,0,3,0,0,0,6,0,0,3,9,152,0,0,15,60,0,17,0,53,59,24,30,41,49,0,5,27,0,0,138,48,27,0,0,9,63,5,11,0,0,19,56,4,0,18,0,15,0,49,3,10,13,5,4,30,46,58
108627a3879bcb1138b2c54c39e9f4a1,28,3,20,0,17,13,34,84,105,112,378,26,159,68,33,16,0,12,59,195,8,53,159,4,2,0,63,216,0,119,15,108,14,6,14,109,10,25,4,68,0,7,5,15,372,0,0,33,15,18,3,7,73,32,22,18,26,20,8,4,3,0,2,406,18,36,0,23,8,56,0,30,6,0,14,152,26,0,17,0,11,41,2,41,370,63,32,11,36,1,1
2ce5f984c303607afe63f839e492f57b,84,45,210,18,9,44,1393,474,25,498,9420,108,538,60,163,159,11,32,146,799,49,75,2504,19,6,0,174,4941,1,698,90,381,21,13,16,284,15,42,3,57,0,6,45,307,1459,0,129,28,51,50,132,4,167,387,68,6,48,75,29,29,52,0,69,224,110,21,13,11,63,209,0,46,19,7,330,721,53,22,40,23,27,59,190,168,423,374,19,1555,160,61,108
a30dd65fa0f17c9ffe88b70cc66d024b,11,2,0,0,7,0,17,0,5,6,8,0,18,0,14,0,3,2,0,5,0,2,3,0,3,0,12,0,0,0,7,0,0,0,0,3,0,0,0,4,0,0,0,0,15,0,0,12,0,0,3,4,18,6,15,15,12,7,0,0,5,0,0,14,0,9,5,0,0,24,3,14,3,0,0,6,3,3,11,0,0,0,4,0,4,0,0,0,8,4,21
4c8288bfbd76958c0c094d87b97650f8,14,847,301,487,5,608,17,276,18,47,0,662,10,253,7,95,3,137,277,5,246,1408,8,12,23410,8700,0,14,17632,425,0,259,53,155,86,406,19453,739,104,251,12560,9,6,12,60,7240,10413,28,7,1637,6,48,9,0,0,0,16,0,128,1609,0,1932,0,342,352,0,0,161,111,169,208,0,0,0,0,179,349,0,0,36,248,217,374,52,781,426,15,1,1,4,21
