,Vil1.03B.DTT33,Vil1.05B.DTT57,Lyz2.07B.DTT281.S123,Vil1.010B.DTT117,Vil1.05B.FP57,Lyz2.02B.DTT221.S61,Itg.02.FP409.S9,Lyz2.04B.FP245.S42,Lyz2.06B.DTT269.S111,Vil1.09B.DTT105,Itg.20.DTT505.S100,Itg.24.DTT529.S24,Vil1.09B.FP108,Itg.26.DTT541.S37,Itg.02.DTT409.S1,Itg.06.DTT433.S26,Vil1.10B.FP120,Vil1.08B.FP96,Vil1.01B.FP09,Vil1.02B.DTT21,Itg.22.DTT517.S12,Vil1.06B.FP69,Itg.16.FP481.S84,Vil1.03B.FP33,Itg.08.FP445.S46,Itg.24.FP529.S32,Lyz2.06B.FP269.S67,Vil1.04B.DTT45,Lyz2.03B.DTT233.S73,Lyz2.07B.FP281.S79,Vil1.07B.DTT81,Vil1.04B.FP45,Itg.12.FP469.S71,Itg.06.FP433.S34,Lyz2.05B.FP257.S54,Itg.18.DTT493.S88,Vil1.013B.DTT153,Vil1.02B.FP21,Itg.04.DTT421.S13,Vil1.014B.DTT165,Vil1.06B.DTT69,Itg.10.DTT457.S51,Vil1.13B.FP156,Lyz2.05B.DTT257.S98,Vil1.08B.DTT93,Itg.20.FP505.S8,Itg.22.FP517.S20,Lyz2.03B.FP233.S81,Lyz2.02B.FP221.S69,Vil1.07B.FP81,Itg.16.DTT481.S76,Itg.12.DTT469.S63,Vil1.14B.FP168,Lyz2.04B.DTT245.S86,Itg.18.FP493.S96,Lyz2.08B.DTT293.S135,Itg.10.FP457.S59,Lyz2.01B.FP209.S57,Lyz2.01B.DTT209.S49,Vil1.01B.DTT09,Itg.04.FP421.S21,Itg.26.FP541.S45,Itg.08.DTT445.S38,Lyz2.08B.FP293.S91,SLCFP021,SLCFP069,SLCFP111,SLCdtt075,SLCFP051,LYZFP317,SLCFP093,SLCdtt021,SLCdtt111,LYZdtt317,LYZdtt305,LYZdtt329,SLCFP075,LYZdtt341,SLCdtt051,LYZFP305,SLCFP129,LYZdtt365,SLCFP003,SLCdtt069,SLCdtt129,LYZdtt353,SLCdtt093,LYZFP353,SLCdtt003,LYZFP329,LYZFP341,SLCFP165,SLCdtt165,SLCFP147,SLCdtt147
8fde870b4c3464dbd28fb743c07f36f1,0,0,0,13,0,0,5,0,0,0,2,4,2,5,0,0,69,14,13,0,2,15,3,33,10,24,0,3,0,0,0,5,10,0,7,3,0,14,4,0,0,0,0,5,0,13,7,0,2,25,4,2,2,0,6,0,3,5,0,0,4,16,4,0,25,0,3,0,0,0,0,4,0,0,5,0,0,0,0,2,3,0,7,6,0,10,0,11,0,0,11,0,0,9,10
3311c81da0640c29e6d9ed4f0529d3d5,28,0,0,0,0,0,29,0,0,17,0,5,2,4,30,3,2,0,5,2,5,28,22,69,30,2,0,23,0,0,0,22,12,5,0,3,0,1,7,24,0,2,0,0,0,3,5,0,0,8,15,4,0,0,8,0,6,0,0,2,8,5,26,0,0,4,12,6,17,0,0,6,10,0,0,0,0,0,11,0,4,0,15,28,5,0,15,0,45,0,0,0,0,35,38
4aa01b032f6f21994f27fd7c9ef08933,0,0,3,2,13,0,3,0,0,0,6,8,0,9,2,0,1,2,6,4,5,5,1,9,5,8,3,0,2,2,0,5,9,5,0,2,0,5,3,0,0,0,0,9,0,8,8,0,0,1,0,0,0,0,1,2,2,5,7,0,5,3,2,3,0,0,0,0,0,0,0,4,0,10,0,0,0,6,4,0,0,20,8,8,0,0,12,18,0,0,4,0,0,6,6
b08002696e45f7e121334d154e2f5d4a,4,0,11,9,0,1,0,1,12,4,0,0,5,0,0,0,4,37,24,11,8,5,0,26,21,0,15,8,4,20,0,27,14,0,11,0,0,36,8,3,0,8,0,20,0,0,33,17,11,0,0,11,0,0,0,6,23,41,22,6,0,0,19,21,23,1,11,0,11,0,17,5,25,12,12,0,0,7,1,0,10,0,0,31,1,14,14,9,0,0,23,30,23,3,5
204736c3bd4a4c1f840e9fc99a5155d2,63,0,55,140,103,53,64,20,59,58,86,100,23,170,128,57,11,104,57,50,37,125,42,407,59,80,27,83,31,26,0,88,59,49,30,60,232,65,72,37,0,29,8,46,3,93,53,44,37,62,94,54,4,18,45,44,56,49,45,31,36,80,62,17,35,8,15,0,51,0,38,85,80,78,90,306,0,298,141,11,10,262,54,107,27,157,302,35,117,251,72,16,30,110,115
bbf6f74f140636ff3f33ef2bc3d892a3,184,0,16,422,127,35,84,16,28,115,33,68,14,28,58,18,239,111,71,9,41,264,271,1512,181,83,45,75,11,34,3,384,133,23,16,41,0,36,522,32,2,54,6,13,7,172,137,65,64,108,141,64,13,5,46,32,117,143,45,14,535,46,62,152,269,62,245,22,202,114,906,61,101,65,46,0,54,0,67,103,14,72,468,49,6,55,267,60,285,0,0,137,75,204,231
1e65ef9ba16ebcd3b8413c31e58cada1,100,0,139,115,594,272,256,130,149,76,224,340,17,266,166,158,24,87,134,58,140,351,150,510,209,188,193,125,57,71,8,286,173,232,96,201,0,359,274,78,4,47,5,312,41,380,169,54,296,52,241,226,23,78,131,105,289,436,384,33,222,109,191,163,0,12,119,128,156,52,67,0,276,173,212,807,0,268,442,224,31,296,298,282,95,447,329,554,516,560,230,73,823,32,636
6f06d4c3412c12274598b1a4bc468d3a,1,1,1,1,128,1,1,1,120,1,3712,1,1,1,113,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,11,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,11,4,2,1,1,1206,1,1,0,0,0,0,1,0,0,0,33658,14,995,0,38343,0,1,0,1726759,1,1,0,83837,0,3,0,31,1,0,0,0,0
c8433912bf1d2d7d9dd177739211ae41,48,0,15,197,383,133,24,37,137,26,175,293,1,91,24,55,61,180,491,67,89,790,137,214,429,338,412,47,30,25,0,197,355,112,66,44,0,591,169,88,1,56,1,136,7,914,185,52,298,261,138,199,2,40,73,64,806,159,112,52,165,163,145,346,33,16,36,79,82,123,83,9,25,455,153,1520,113,1143,22,124,10,751,39,43,11,439,25,899,16,2265,1248,35,37,30,39
8a8c39a3e855256f236f71f39bf300aa,73,0,0,0,0,68,0,0,0,0,0,0,0,12,0,0,0,8,133,32,19,0,0,247,220,0,0,0,0,0,0,26,164,0,49,0,0,205,0,0,0,58,0,44,0,0,80,0,123,0,0,81,0,0,0,0,218,195,86,21,0,7,54,0,0,7,0,0,79,0,101,0,4,0,2,263,0,11,20,2,11,23,5,7,3,26,58,79,0,554,39,38,19,0,0
a172874a13d3e6df1391f0797d95d6bc,44,0,52,31,350,35,28,16,34,22,26,112,9,124,32,49,85,112,65,14,19,321,61,184,139,158,54,29,17,92,5,101,62,53,26,65,0,76,51,33,10,16,3,17,8,75,45,85,132,431,30,31,8,9,81,15,88,61,29,8,39,190,55,52,30,36,34,0,0,0,126,9,64,73,72,49,0,124,0,45,32,89,207,107,25,35,106,67,101,70,121,145,170,63,97
762fd96b2d1336974fba68fedd33fefa,61,0,135,441,106,87,47,63,25,141,50,130,15,114,114,77,320,88,135,27,39,124,110,232,88,109,42,77,46,96,0,153,94,72,29,50,1847,116,140,141,13,25,103,51,20,105,63,101,176,126,97,79,36,43,52,16,49,44,29,31,52,114,67,30,429,85,204,0,266,0,158,212,72,85,114,152,0,96,288,0,107,19,201,269,99,38,146,10,221,158,93,40,65,350,1149
76d6be90e19a660c9a84b35fa31d801c,140,1,243,302,784,146,116,135,147,153,117,214,81,152,242,284,694,372,256,59,227,340,264,326,188,235,300,116,107,181,13,354,190,180,64,185,9642,402,343,496,35,51,207,124,26,413,447,251,273,264,197,113,239,80,135,87,173,258,85,73,127,209,129,164,586,230,372,62,724,284,505,141,127,945,1452,1291,163,1029,140,181,300,414,328,338,245,598,217,798,185,1383,850,244,756,175,743
64864a4b76fc5cccc00f4e44f8dbcff4,74,0,272,173,858,383,226,210,341,87,375,309,56,313,247,264,160,1367,567,126,280,501,352,452,467,333,276,292,153,266,9,513,479,377,218,376,0,490,353,200,11,147,0,250,106,624,466,248,416,267,318,351,35,73,387,306,509,396,379,104,193,286,256,440,136,85,235,382,143,53,188,135,685,342,182,1548,120,1067,413,40,96,1136,293,1627,83,852,1047,398,268,1883,851,113,378,279,611
7186c67c129c329bce7d6c988267b231,9,0,25,27,107,17,43,21,13,10,28,27,0,34,19,27,6,22,77,8,21,95,66,89,63,51,22,18,20,27,4,39,56,33,33,48,0,70,52,23,7,16,0,33,10,84,78,55,33,92,25,19,0,12,47,20,47,52,10,6,26,48,27,37,46,29,22,5,54,16,34,22,29,26,14,72,29,55,22,30,26,184,34,27,10,95,64,51,10,91,41,65,52,63,72
46864a6aa122ecb439eb59a3c0542ee6,29,0,162,113,621,152,197,127,140,38,122,494,11,325,145,46,53,323,250,118,198,170,86,546,73,291,223,68,40,107,6,212,253,93,289,63,0,333,194,125,2,155,10,628,40,217,200,66,116,74,82,301,14,58,56,98,422,163,348,57,115,230,92,233,6,41,71,40,45,8,16,67,151,120,197,898,24,551,344,118,29,707,116,457,38,541,204,381,148,1283,576,34,423,56,209
17bccd87573679acdd1eda74fc49bde7,13,8,84,67,433,96,46,37,138,42,196,190,2,242,112,115,19,174,51,67,148,139,58,27,80,175,95,96,54,185,20,56,134,75,115,199,0,120,136,140,27,46,2,196,19,176,161,62,108,76,164,147,2,29,47,151,104,80,169,26,40,89,152,169,101,15,50,152,57,87,54,109,357,731,166,103,55,706,94,163,11,306,62,84,104,191,96,168,208,133,187,16,46,76,226
