	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_DTT_284	TL1a_DTT_231	TL1a_DTT_267	TL1a_DTT_158	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_159	TL1a_DTT_195	TL1a_DTT_85	TL1a_DTT_86	TL1a_DTT_193	TL1a_DTT_230	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_DTT_229	TL1a_DTT_87	TL1a_DTT_266	TL1A_DTT_673	TL1A_DTT_675	TL1A_DTT_626	TL1A_DTT_674	TL1A_DTT_627
TL1a_DTT_127_Repeat	0.0	0.8948133244842251	3.781829023528337	2.9031623671542435	1.5506412974753967	0.9329668984107302	0.24502208349841015	1.598961248342757	2.4159023391169434	0.8721923351146266	1.2878406490448595	2.1756636199820347	2.2991081593162117	0.7313376514875484	1.965961139720844	0.27346579820036926	2.346718077268047	0.49070135239454943	2.513499930838125	1.8451210639263844	2.615487374362838	3.0030633749053277	2.7154774543417535	2.68760049398341	2.530195616136756	2.71853849043249
TL1a_DTT_157_Repeat	0.8948133244842251	0.0	2.9971532026013463	2.0974756868651645	0.8976366485581163	0.34830550605144694	1.1277559528721166	0.8575820532103713	1.573444424560871	0.2556888438261787	1.4163199856374684	1.938230364628932	2.084824209643105	0.8302734072511082	1.1730107750918863	0.9901276295924324	1.5227748037748792	0.7003132838944576	1.6212176726975007	1.6463999805185685	1.8350890410594423	2.217044754601606	2.209822979177585	2.0623812372080605	2.032069830237696	1.9453105876418397
TL1a_DTT_284	3.781829023528337	2.9971532026013463	0.0	0.9711881092941055	2.244985185550311	2.87826078599359	4.009786810913782	2.204819969505573	1.7602519339197351	2.962054900141122	3.246875026374633	4.088405802470384	4.232980792656532	3.2164868262825044	2.356207513204639	3.954529316434923	1.8857588521527884	3.500832804043924	1.8942764770629128	3.9603109159803918	1.1747824087960146	2.7065278065630167	3.6312900966715405	3.2256421314613015	3.611742145536232	2.652867661053154
TL1a_DTT_231	2.9031623671542435	2.0974756868651645	0.9711881092941055	0.0	1.434376827807061	2.0272340837985814	3.140451920873385	1.3867292832781961	0.8193097680328288	2.052239976826018	2.5838889608271014	3.143200533482877	3.2926069757241003	2.3788665512979037	1.3942716748578228	3.0626540767530153	0.9378467192147459	2.583501487016737	1.1705648096870056	3.0001019363592527	0.3635972937454301	1.9749767421573092	2.756552234425306	2.370827117677383	2.7181551700930613	1.8409408773462803
TL1a_DTT_267	1.5506412974753967	0.8976366485581163	2.244985185550311	1.434376827807061	0.0	0.6757824466571886	1.7708717468781177	0.2231025406911724	1.25219535572229	0.8267495252994035	1.2309745490051853	2.622173759755555	2.7814749243646677	1.0123630047657477	1.2056848708653152	1.7448921894198117	1.2568255504192765	1.3436930414990989	1.4239419254248793	2.3586758240047416	1.1041257069437933	2.3580174848790154	2.6648223029551237	2.409744375340822	2.533607303364464	2.101887498458117
TL1a_DTT_158	0.9329668984107302	0.34830550605144694	2.87826078599359	2.0272340837985814	0.6757824466571886	0.0	1.1530797069484386	0.6761817810895686	1.6322610145918293	0.37305462679901463	1.1033427525118007	2.277918538148808	2.4266320862356303	0.6673531320022481	1.3377766586144184	1.095078033785299	1.6015134436084162	0.8232574046000554	1.6777046065039187	1.9822432776061083	1.7250138621216533	2.4422024920621093	2.5221681120517485	2.3494479559276407	2.352584598291579	2.1747532940867917
TL1a_DTT_129	0.24502208349841015	1.1277559528721166	4.009786810913782	3.140451920873385	1.7708717468781177	1.1530797069484386	0.0	1.8214078900150268	2.660198789315218	1.1162667038275802	1.363504165413382	2.3068503825416213	2.420174418342055	0.9128400814681267	2.207212017227225	0.28493397807998916	2.591426988738266	0.7085878664786445	2.739638488845506	1.9792054404969448	2.8474390819694664	3.223291952472796	2.8964014485586222	2.8898662715949173	2.708241009573244	2.942119625581814
TL1a_DTT_265	1.598961248342757	0.8575820532103713	2.204819969505573	1.3867292832781961	0.2231025406911724	0.6761817810895686	1.8214078900150268	0.0	1.164810781846867	0.8467265357528219	1.3683068431412848	2.566022497290465	2.7219103814426058	1.14424235934837	1.1319374894273617	1.7669708287131216	1.1833191320659522	1.403105442042498	1.2313780561256729	2.3148139533983914	1.0665129333203536	2.2183194121670073	2.583296413043304	2.313183802991025	2.4470099076205916	1.9777366967342513
TL1a_DTT_285	2.4159023391169434	1.573444424560871	1.7602519339197351	0.8193097680328288	1.25219535572229	1.6322610145918293	2.660198789315218	1.164810781846867	0.0	1.5465126604112887	2.472085499087765	2.330220916006281	2.4772113445128454	2.0316252643914865	0.6104488198136545	2.528360989501858	0.152775563826121	2.0464887948849038	0.8219917367010591	2.202653348530303	0.8441165793005079	1.3147079936646258	1.9594070446373062	1.5863713003131508	1.907170594863669	1.1050283559853833
TL1a_DTT_159	0.8721923351146266	0.2556888438261787	2.962054900141122	2.052239976826018	0.8267495252994035	0.37305462679901463	1.1162667038275802	0.8467265357528219	1.5465126604112887	0.0	1.3343647365335654	1.9623954633685456	2.1159044779552345	0.6564617501244507	1.141911595657881	1.0171223144125798	1.4826885223545814	0.578524528286736	1.7172605072130644	1.6611119158973855	1.7881971627900908	2.277846797750167	2.228788985146366	2.0880166837477705	2.0648178852850765	1.9869828713965503
TL1a_DTT_195	1.2878406490448595	1.4163199856374684	3.246875026374633	2.5838889608271014	1.2309745490051853	1.1033427525118007	1.363504165413382	1.3683068431412848	2.472085499087765	1.3343647365335654	0.0	3.242050230805193	3.3889614376006683	0.8384394414148857	2.305367917942489	1.5331014753965808	2.4579044239012413	1.422478756013371	2.5763431884988264	2.9200104121160786	2.230338306079797	3.4911213259299325	3.5580788542876016	3.4010151036148444	3.3982955418488223	3.217721149414208
TL1a_DTT_85	2.1756636199820347	1.938230364628932	4.088405802470384	3.143200533482877	2.622173759755555	2.277918538148808	2.3068503825416213	2.566022497290465	2.330220916006281	1.9623954633685456	3.242050230805193	0.0	0.16583981534568998	2.4455241036753796	1.7602707321439337	2.058857166218206	2.209194030319236	1.8696783864971902	2.5207090232971274	0.3349056171135877	3.082048869035259	1.8852023862194627	0.8757241613969665	1.1727658919434392	0.7339404892054249	1.684214411050072
TL1a_DTT_86	2.2991081593162117	2.084824209643105	4.232980792656532	3.2926069757241003	2.7814749243646677	2.4266320862356303	2.420174418342055	2.7219103814426058	2.4772113445128454	2.1159044779552345	3.3889614376006683	0.16583981534568998	0.0	2.595002696207439	1.9142797827917761	2.169540349702416	2.3579523920341323	2.010478622769322	2.6481794887182035	0.47499853217600324	3.2365628356058544	1.966621845989549	0.9211014828156413	1.2520338848805261	0.7957593234929122	1.7856922980369114
TL1a_DTT_193	0.7313376514875484	0.8302734072511082	3.2164868262825044	2.3788665512979037	1.0123630047657477	0.6673531320022481	0.9128400814681267	1.14424235934837	2.0316252643914865	0.6564617501244507	0.8384394414148857	2.4455241036753796	2.595002696207439	0.0	1.702635870009856	0.994899326975414	1.972797826670279	0.6309130021602487	2.2634510337587215	2.121311909418011	2.0734347213787516	2.905025069685521	2.7960249123876233	2.685940964448482	2.6408955141022403	2.6048499460828474
TL1a_DTT_230	1.965961139720844	1.1730107750918863	2.356207513204639	1.3942716748578228	1.2056848708653152	1.3377766586144184	2.207212017227225	1.1319374894273617	0.6104488198136545	1.141911595657881	2.305367917942489	1.7602707321439337	1.9142797827917761	1.702635870009856	0.0	2.0467421685455878	0.4930335790521102	1.5638043003501716	1.0788663410895138	1.605924897053568	1.3256599605634622	1.2630004025750194	1.5351707516705215	1.2357436567030968	1.4456640508027718	0.9599787503402184
TL1a_DTT_128	0.27346579820036926	0.9901276295924324	3.954529316434923	3.0626540767530153	1.7448921894198117	1.095078033785299	0.28493397807998916	1.7669708287131216	2.528360989501858	1.0171223144125798	1.5331014753965808	2.058857166218206	2.169540349702416	0.994899326975414	2.0467421685455878	0.0	2.456640016308191	0.6293637941919443	2.5806586311166084	1.7361069878262076	2.7865906847635356	2.9992520409021197	2.655020117253472	2.6557753550991787	2.4609425422632385	2.725599374419406
TL1a_DTT_283	2.346718077268047	1.5227748037748792	1.8857588521527884	0.9378467192147459	1.2568255504192765	1.6015134436084162	2.591426988738266	1.1833191320659522	0.152775563826121	1.4826885223545814	2.4579044239012413	2.209194030319236	2.3579523920341323	1.972797826670279	0.4930335790521102	2.456640016308191	0.0	1.9590816698807192	0.9272280290011519	2.0805171580086523	0.9513386451282727	1.2892581479641527	1.8491273336003788	1.4892246129896491	1.798648843055805	1.0511880783761565
TL1a_DTT_194	0.49070135239454943	0.7003132838944576	3.500832804043924	2.583501487016737	1.3436930414990989	0.8232574046000554	0.7085878664786445	1.403105442042498	2.0464887948849038	0.578524528286736	1.422478756013371	1.8696783864971902	2.010478622769322	0.6309130021602487	1.5638043003501716	0.6293637941919443	1.9590816698807192	0.0	2.264635679023872	1.537553597133108	2.3271748748162904	2.64507462775728	2.335757575356457	2.2981948890269996	2.1675681016287762	2.3423343376474355
TL1a_DTT_229	2.513499930838125	1.6212176726975007	1.8942764770629128	1.1705648096870056	1.4239419254248793	1.6777046065039187	2.739638488845506	1.2313780561256729	0.8219917367010591	1.7172605072130644	2.5763431884988264	2.5207090232971274	2.6481794887182035	2.2634510337587215	1.0788663410895138	2.5806586311166084	0.9272280290011519	2.264635679023872	0.0	2.4058530548017356	1.1351585095746723	1.3338656674455762	2.194544596729859	1.8098587768789953	2.097872149939746	1.2534465815040159
TL1a_DTT_87	1.8451210639263844	1.6463999805185685	3.9603109159803918	3.0001019363592527	2.3586758240047416	1.9822432776061083	1.9792054404969448	2.3148139533983914	2.202653348530303	1.6611119158973855	2.9200104121160786	0.3349056171135877	0.47499853217600324	2.121311909418011	1.605924897053568	1.7361069878262076	2.0805171580086523	1.537553597133108	2.4058530548017356	0.0	2.9058511292204887	1.9500069065418457	1.074187474711265	1.285150398607573	0.9080602868104951	1.7112495849482152
TL1a_DTT_266	2.615487374362838	1.8350890410594423	1.1747824087960146	0.3635972937454301	1.1041257069437933	1.7250138621216533	2.8474390819694664	1.0665129333203536	0.8441165793005079	1.7881971627900908	2.230338306079797	3.082048869035259	3.2365628356058544	2.0734347213787516	1.3256599605634622	2.7865906847635356	0.9513386451282727	2.3271748748162904	1.1351585095746723	2.9058511292204887	0.0	2.0971981464963516	2.794278284187883	2.428528803792465	2.730047944168196	1.9287951524994422
TL1A_DTT_673	3.0030633749053277	2.217044754601606	2.7065278065630167	1.9749767421573092	2.3580174848790154	2.4422024920621093	3.223291952472796	2.2183194121670073	1.3147079936646258	2.277846797750167	3.4911213259299325	1.8852023862194627	1.966621845989549	2.905025069685521	1.2630004025750194	2.9992520409021197	1.2892581479641527	2.64507462775728	1.3338656674455762	1.9500069065418457	2.0971981464963516	0.0	1.190904917619084	0.7861988829386276	1.2011587699399975	0.3300991455580586
TL1A_DTT_675	2.7154774543417535	2.209822979177585	3.6312900966715405	2.756552234425306	2.6648223029551237	2.5221681120517485	2.8964014485586222	2.583296413043304	1.9594070446373062	2.228788985146366	3.5580788542876016	0.8757241613969665	0.9211014828156413	2.7960249123876233	1.5351707516705215	2.655020117253472	1.8491273336003788	2.335757575356457	2.194544596729859	1.074187474711265	2.794278284187883	1.190904917619084	0.0	0.4279006295849754	0.22123807960355016	1.0546384886924773
