	TL1a_FP_230	TL1a_FP_128	TL1a_FP_129	TL1a_FP_86	TL1a_FP_266	TL1a_FP_159	TL1a_FP_195	TL1a_FP_158	TL1a_FP_231	TL1a_FP_284	TL1a_FP_267	TL1a_FP_87	TL1a_FP_194	TL1a_FP_285	TL1a_FP_85	TL1a_FP_127	TL1a_FP_193	TL1a_FP_265	TL1a_FP_157	TL1a_FP_283	TL1a_FP_229	TL1A_FP_626	TL1A_FP_674	TL1A_FP_625	TL1A_FP_673	TL1A_FP_675	TL1A_FP_627
TL1a_FP_230	0.0	2.576620415779258	2.177676418273365	1.1678385641821458	2.6924808839030976	2.0677644035087264	3.2344332088583148	2.245696209022333	0.5167806823591218	3.7372815908063086	2.397876100803332	0.7102187653793172	3.408178201851112	2.6340327733839755	1.1694284541590252	2.198067774450988	3.612692971513439	3.187285903402718	2.5669458543823986	2.1966232034713693	0.8681900154280043	1.7615644783648041	1.5909188675538102	2.1818702286177585	1.789120869959758	1.1973395218038159	1.4727195749775377
TL1a_FP_128	2.576620415779258	0.0	0.9184288200135631	3.092726925393218	3.0126421024934413	1.8732115733040815	2.8057944785413	2.1318026715198437	2.49945097327815	5.08368727935388	2.594332370818967	3.2142288836877424	3.6353558145420894	3.9920761168199306	3.1364874428208664	1.517076420728302	4.0014799488205695	3.603480957807507	2.6427113865983487	3.2035364143216114	3.1497321638119726	3.4051310389125318	3.3628118655319374	3.9925816458468457	3.858575455018734	2.929213047657972	3.2721485902519607
TL1a_FP_129	2.177676418273365	0.9184288200135631	0.0	2.3799491584586607	2.100453300774676	0.962398227086046	1.9635369653729617	1.2142150423902334	1.9386192066785166	4.1813413105028125	1.6790267668195449	2.7019050056840537	2.7415103209030582	3.1113891850744206	2.4331423083576595	0.6073699768042023	3.099271490526936	2.6931675624364892	1.728243672544599	2.313581437180216	2.5379082568490574	2.608480816653477	2.5838560158716883	3.1867183350294823	3.1190560776058045	2.1974148012765533	2.5160183658936655
TL1a_FP_86	1.1678385641821458	3.092726925393218	2.3799491584586607	0.0	1.8966339896305597	1.7769286898749277	2.629514233115375	1.8079255102181255	0.8009509703150068	2.582897265221265	1.7444467390366323	0.8652658585855928	2.5307701471131514	1.4744305290645812	0.10721776918670445	2.098081853794165	2.6520206182050705	2.2588748662380835	1.8978121338950529	1.1849763027069307	0.5004927116746072	0.6309823762443943	0.42398922312588017	1.0476581771224864	0.772710026788856	0.24999785789236914	0.33972364798918897
TL1a_FP_266	2.6924808839030976	3.0126421024934413	2.100453300774676	1.8966339896305597	0.0	1.2248214299028786	0.879166903058589	0.9252428204941844	2.1843622358430497	2.23503980021964	0.43104111421046115	2.7182966814325966	0.7463152576488481	1.4734520038264662	1.9691050303584048	1.497836459039016	1.0399577308844843	0.6075973108056855	0.4714067190109843	0.8921059283092665	2.303131202816844	1.6788822117408118	1.7096433022764517	1.9821555400011879	2.2227120058009855	1.7687919852827059	1.807357881060616
TL1a_FP_159	2.0677644035087264	1.8732115733040815	0.962398227086046	1.7769286898749277	1.2248214299028786	0.0	1.3041067075733361	0.3133803674362227	1.6657339252395722	3.252338593297932	0.799548382584948	2.3606655447154217	1.9128701208911663	2.195255696527545	1.833003172640041	0.46328230355959066	2.2359717450362844	1.809462448871761	0.8274367151387478	1.392232966622552	2.0919483273274073	1.8241823917993751	1.8533910579629123	2.3754028229519792	2.4172536824276833	1.5688992764441223	1.8132295468825783
TL1a_FP_195	3.2344332088583148	2.8057944785413	1.9635369653729617	2.629514233115375	0.879166903058589	1.3041067075733361	0.0	1.0311310725434715	2.759303893405049	2.950331116378069	0.892366476549295	3.3947277127444484	1.0154401904404031	2.2845946693041843	2.697663345695284	1.4029061425964808	1.3784739643479402	1.129655338788416	0.7457247620912444	1.6764448455249337	3.0208248402456115	2.446477957622874	2.507268578875115	2.8108507681544572	3.0451519895207504	2.4607345580294586	2.562464920007581
TL1a_FP_158	2.245696209022333	2.1318026715198437	1.2142150423902334	1.8079255102181255	0.9252428204941844	0.3133803674362227	1.0311310725434715	0.0	1.8023351758186397	3.0225666980457357	0.5069354486272298	2.474663081897287	1.6007600725657718	2.023070614016107	1.870957078674001	0.6357141394711234	1.9289646497204742	1.5073753930600085	0.5258349319862674	1.229224035680425	2.1588533878599505	1.78285316303883	1.8165389501395357	2.2914317202247685	2.386898690172615	1.6116990458396443	1.8106303146880607
TL1a_FP_231	0.5167806823591218	2.49945097327815	1.9386192066785166	0.8009509703150068	2.1843622358430497	1.6657339252395722	2.759303893405049	1.8023351758186397	0.0	3.3117111976914986	1.9049802205944464	0.8090338992130139	2.8948821902151476	2.203998257018349	0.8398500398200854	1.8357199209364377	3.101213952074294	2.676720853438289	2.085767694409334	1.719206086875887	0.6573880512483341	1.3881936449549974	1.2004188258746258	1.8470857876504563	1.5245734737501326	0.8043948999085139	1.1161415082869914
TL1a_FP_284	3.7372815908063086	5.08368727935388	4.1813413105028125	2.582897265221265	2.23503980021964	3.252338593297932	2.950331116378069	3.0225666980457357	3.3117111976914986	0.0	2.5749272744075062	3.3114349062404584	2.051267840607827	1.2020344418727331	2.6037529209089048	3.62457655275332	1.753608992811053	1.8354615702519055	2.5998510628622324	1.9129139059706437	2.93295114958389	2.0954249918419383	2.1617925140307315	1.6892344120874483	2.137338418236662	2.619996531588482	2.333393867858349
