feature	rank
K03802	1.843325099
K07401	1.843325099
K13282	1.843325099
K18846	1.843325099
K07226	1.71044551
K06909	1.188707358
K06436	1.150695539
K13820	0.9771549082
K01114	0.9241943845
K01771	0.9241943845
K05396	0.8948060563
K12472	0.8558057019
K05989	0.8050241693
K01174	0.8027114163
K06518	0.7972888701
K05499	0.7810147379
K12137	0.700049625
K12373	0.6993287309
K02438	0.6931263616
K07192	0.681451636
K01818	0.6531248989
K18887	0.6337735187
K04565	0.6261364219
K05601	0.6120848296
K10540	0.6108285913
K01464	0.6027232357
K00917	0.6025027359
K06133	0.5924165186
K11693	0.585214246
K05363	0.5787991682
K01361	0.5773781617
K03426	0.5712853403
K00010	0.5668246341
K07217	0.5622533428
K18940	0.5580723944
K01259	0.5568848449
K05799	0.5568848449
K03292	0.5567199631
K03613	0.551668401
K06223	0.551668401
K18888	0.5515845744
K03614	0.5503659391
K03617	0.5502360224
K06911	0.5434341926
K03615	0.5426818091
K10542	0.5420293528
K03312	0.5402101217
K07001	0.5286151823
K02009	0.5246234086
K18471	0.5211113768
K07053	0.5171707217
K11104	0.5148547945
K00046	0.5144635347
K04516	0.5121148697
K10188	0.5094187155
K06156	0.5045013219
K07723	0.5044228875
K02746	0.4981236482
K02745	0.497268426
K00040	0.4951872173
K08224	0.4945090318
K00639	0.4913097078
K12941	0.489397961
K02444	0.4891820049
K02747	0.487332081
K03310	0.4748420903
K01812	0.4696110817
K10541	0.4683511767
K01995	0.4658536745
K02793	0.4651580817
K10190	0.4648859819
K01686	0.4632196355
K01996	0.4624057691
K09988	0.4623944282
K12527	0.4601722026
K02786	0.4571317696
K02302	0.4559454601
K01997	0.4506395029
K12996	0.4475879036
K01998	0.4462609337
K06384	0.4436259609
K18979	0.4378158433
K01958	0.4368302209
K17759	0.4289814028
K05970	0.4235756113
K03088	0.423523987
K13677	0.423523987
K10440	0.4226922925
K01466	0.420196841
K00297	0.4175069472
K02431	0.4168434756
K10441	0.4159694633
K09807	0.4148268574
K02804	0.4133601249
K03612	0.4116939898
K12267	0.4070293228
K03328	0.4001991721
K01734	0.398913395
K00610	0.3980808849
K01487	0.3968088373
K03930	0.3961416679
K01685	0.3943695005
K13479	0.3940010332
K19158	0.3938946826
K00821	0.3936510405
K03604	0.3923801467
K19265	0.3919638173
K08092	0.3911237593
K02058	0.3901948311
K04518	0.3898101313
K01712	0.3877747199
K00335	0.3877590296
K01468	0.3871573262
K04750	0.3858886641
K00259	0.3853203245
K02566	0.3853203245
K00087	0.3841282764
K01261	0.3841282764
K03594	0.3841282764
K01220	0.3826892825
K02788	0.3826892825
K06871	0.3813528465
K03564	0.3805458737
K07141	0.3803920326
K05825	0.3763988845
K10012	0.3754710589
K07043	0.3750601516
K01598	0.3740724105
K03487	0.3736907166
K00879	0.3732867505
K06402	0.3732493767
K01922	0.3716393042
K00354	0.3697780918
K15460	0.3697440869
K01843	0.3688713199
K09788	0.368725202
K05937	0.3674415278
K05362	0.3639562983
K02081	0.363619186
K11105	0.363619186
K01479	0.3623472819
K12556	0.3605132397
K16139	0.3591615392
K07457	0.3589042013
K03324	0.3578904344
K00076	0.3574606866
K06296	0.3547610563
K01746	0.3544993418
K00375	0.3542968224
K09680	0.3536226544
K00363	0.3534818135
K00757	0.3476227502
K00334	0.3417945812
K00041	0.3414982752
K01994	0.3391969309
K06305	0.3391969309
K06328	0.3391969309
K06386	0.3391969309
K07571	0.3389807279
K00972	0.3353867724
K03713	0.3343529611
K00680	0.3342694402
K09693	0.3335832886
K07570	0.3334545548
K01635	0.3311643318
K00528	0.3304752601
K00239	0.3302538642
K01666	0.3302538642
K01759	0.3302438116
K00001	0.3283852895
K00548	0.3283852895
K00687	0.3283852895
K00705	0.3283852895
K00887	0.3283852895
K01002	0.3283852895
K01206	0.3283852895
K01438	0.3283852895
K01476	0.3283852895
K01485	0.3283852895
K02069	0.3283852895
K02530	0.3283852895
K02614	0.3283852895
K02757	0.3283852895
K02805	0.3283852895
K02822	0.3283852895
K03475	0.3283852895
K03762	0.3283852895
K03787	0.3283852895
K03803	0.3283852895
K04094	0.3283852895
K05808	0.3283852895
K06331	0.3283852895
K06934	0.3283852895
K07160	0.3283852895
K07284	0.3283852895
K07402	0.3283852895
K07586	0.3283852895
K07710	0.3283852895
K09134	0.3283852895
K10824	0.3283852895
K13281	0.3283852895
K14170	0.3283852895
K15587	0.3283852895
K18856	0.3283852895
K19689	0.3283852895
K02398	0.3283490043
K00098	0.3264899825
K00138	0.3264899825
K02381	0.3264899825
K13979	0.3264899825
K06148	0.3254034463
K08302	0.3244980888
K06426	0.324312883
K04074	0.32219425
K07397	0.3214147029
K14742	0.3193019337
K00116	0.319279746
K07707	0.3190595785
K06956	0.3174284666
K03488	0.3148760277
K03931	0.3114146015
K05822	0.3108246779
K02008	0.3096082673
K02007	0.30953898
K05311	0.309305028
K01308	0.3088491065
K05343	0.3088491065
K03492	0.3066347933
K18891	0.3053130464
K18892	0.3053130464
K01560	0.3048550809
K01091	0.3040019208
K06411	0.3039315549
K00786	0.3021485592
K00097	0.3016721386
K06908	0.2998408192
K02006	0.2979417864
K06969	0.2966222678
K09963	0.2960237092
K01819	0.2915370087
K02531	0.2913982335
K08744	0.2908389523
K00108	0.2904300979
K00241	0.2904300979
K00266	0.2904300979
K00362	0.2904300979
K00366	0.2904300979
K00702	0.2904300979
K00863	0.2904300979
K01198	0.2904300979
K01224	0.2904300979
K01295	0.2904300979
K01338	0.2904300979
K01585	0.2904300979
K01620	0.2904300979
K01626	0.2904300979
K01630	0.2904300979
K01815	0.2904300979
K02014	0.2904300979
K02076	0.2904300979
K02245	0.2904300979
K02426	0.2904300979
K02849	0.2904300979
K03148	0.2904300979
K03309	0.2904300979
K03436	0.2904300979
K03483	0.2904300979
K03489	0.2904300979
K03535	0.2904300979
K03708	0.2904300979
K03753	0.2904300979
K06167	0.2904300979
K06286	0.2904300979
K06287	0.2904300979
K06310	0.2904300979
K06962	0.2904300979
K07078	0.2904300979
K07101	0.2904300979
K07119	0.2904300979
K07260	0.2904300979
K07301	0.2904300979
K07483	0.2904300979
K07588	0.2904300979
K07706	0.2904300979
K07741	0.2904300979
K07783	0.2904300979
K08369	0.2904300979
K10026	0.2904300979
K10439	0.2904300979
K10545	0.2904300979
K10678	0.2904300979
K10708	0.2904300979
K11537	0.2904300979
K12268	0.2904300979
K12269	0.2904300979
K13252	0.2904300979
K13256	0.2904300979
K13378	0.2904300979
K13678	0.2904300979
K14205	0.2904300979
K14654	0.2904300979
K16926	0.2904300979
K18348	0.2904300979
K19002	0.2904300979
K19167	0.2904300979
K00924	0.2898068853
K05992	0.2897071137
K01073	0.2896697414
K06893	0.2896697414
K07693	0.2895325481
K09766	0.2895033729
K06297	0.2893005698
K06885	0.2888241314
K03471	0.2881686766
K07166	0.2877606323
K03191	0.287324137
K18934	0.2873131041
K06859	0.2865696407
K12292	0.2865696407
K01429	0.2864089871
K09022	0.2858925329
K07498	0.2848338398
K03113	0.2848223956
K18691	0.2848223956
K05816	0.284385335
K02446	0.2842853231
K01999	0.2841051457
K01428	0.283737323
K01430	0.283737323
K03187	0.283737323
K03188	0.283737323
K03189	0.283737323
K03190	0.283737323
K03473	0.283737323
K03317	0.2810933651
K08223	0.2802498612
K01089	0.2800060763
K15873	0.2797613051
K09707	0.2781072191
K14623	0.2774344812
K01186	0.2760069089
K16089	0.2759855269
K00162	0.2748352195
K06907	0.2744738005
K02348	0.2743210507
K08972	0.2734658064
K03521	0.273326701
K00161	0.273203069
K03313	0.2722033861
K00813	0.2720250365
K03839	0.2720250365
K00640	0.2717361405
K01284	0.270000851
K02821	0.2696594893
K05364	0.2695733395
K08724	0.2690912901
K15552	0.2681754697
K10254	0.2675528281
K06284	0.2666816374
K01101	0.2663640221
K09955	0.2659641396
K01060	0.2657583739
K03575	0.2656048213
K08169	0.2649291308
K09962	0.2637060347
K07505	0.2634212608
K19577	0.2630960592
K03522	0.2626601482
K06872	0.2619673485
K07010	0.2611019921
K18350	0.2602053619
K01048	0.2597178175
K02030	0.2591346316
K07139	0.258896111
K02810	0.2588312784
K08191	0.2583371999
K05985	0.2572089729
K07007	0.2567568506
K01575	0.2559231363
K06216	0.2556684252
K07668	0.2556684252
K03481	0.2553982161
K05910	0.2553982161
K00756	0.2553653971
K02753	0.2553186793
K01421	0.2551911059
K05593	0.2537959152
K00065	0.2535517615
K02844	0.25329345
K07584	0.2523004483
K11928	0.2523004483
K07405	0.2500610885
K07533	0.2491466007
K01026	0.2481793866
K01489	0.2481793866
K02217	0.248108498
K01533	0.2473604576
K08963	0.2471888385
K02765	0.247012018
K00248	0.2468061648
K16216	0.2462137129
K19341	0.2462137129
K19342	0.2462137129
K07448	0.2455699154
K01372	0.2454671354
K02526	0.245367336
K00805	0.2448062369
K13040	0.2439923939
K02240	0.2438701115
K02243	0.2438701115
K03048	0.2438701115
K03346	0.2438701115
K06896	0.2438701115
K06948	0.2438701115
K09976	0.2438701115
K11144	0.2438701115
K11712	0.2438701115
K13041	0.2438701115
K17363	0.2438701115
K18692	0.2438701115
K00523	0.2437082818
K01713	0.2437082818
K03195	0.2437082818
