	IL17.DTT.118	IL17.DTT.119	IL17.DTT.120	IL17.DTT.130	IL17.DTT.131	IL17.DTT.132	IL17.DTT.143	IL17.DTT.144	IL17.DTT.142	IL17.DTT.202	IL17.DTT.203	IL17.DTT.220	IL17.DTT.221	IL17.DTT.222	IL17.DTT.28	IL17.DTT.29	IL17.DTT.106	IL17.DTT.53	IL17.DTT.52	IL17.DTT.88	IL17.DTT.89	IL17.DTT.90	TKO.DTT.4	TKO.DTT.5	TKO.DTT.6	TKO.DTT.46	TKO.DTT.47	TKO.DTT.48	TKO.DTT.34	TKO.DTT.35	TKO.DTT.36	TKO.DTT.16	TKO.DTT.17	TKO.DTT.18	TKO.DTT.22	TKO.DTT.23	TKO.DTT.24	TKO.DTT.58	TKO.DTT.59	TKO.DTT.60	TKO.DTT.70	TKO.DTT.71	TKO.DTT.72	TKO.DTT.78	TKO.DTT.76	TKO.DTT.77	TKO.DTT.88	TKO.DTT.89	TKO.DTT.90	TKO.DTT.94	TKO.DTT.95	TKO.DTT.106	TKO.DTT.107	TKO.DTT.108	TKO.DTT.112	TKO.DTT.113	TKO.DTT.124	TKO.DTT.125	TKO.DTT.126	TKO.DTT.130	TKO.DTT.131	TKO.DTT.132	TKO.DTT.142	TKO.DTT.143	TKO.DTT.144	TKO.DTT.154	TKO.DTT.155	TKO.DTT.156
IL17.DTT.118	0.0	0.5142316436224068	0.8769252309584393	3.2361960823185023	0.6120882557643883	0.8160508216288566	2.6331983615648893	2.2360049150253887	2.0629400223231125	2.5129053694900922	2.3602822140272486	0.6721571339779895	0.5739941142245827	0.3447706405890876	2.4727089766344803	2.464256939263863	0.9605507482782943	1.7879879894832482	1.3273508053820509	1.3227901680020315	1.5737326436530465	3.0238393369984893	0.7674132780331662	1.395687240576979	1.7302920196638487	2.5029214933582424	2.3177748672602125	2.3256811979145953	3.60124436018819	2.7723558750962947	1.4444116546465875	0.6411622801574777	1.229788596069826	1.3792038305792886	1.495176774588981	0.31254022809742077	0.5152091506660093	0.4982928242315766	0.16657829913437552	0.6671089900182885	2.7134788383608814	3.383993147398203	2.4407687337611335	0.865103012012543	1.7932866260472078	1.4800947664392876	3.004546752663197	2.129354995480546	1.6946508389667263	1.7610787696818602	1.1100193544850294	2.8559911838987695	2.7364582827349415	2.7638109065579486	2.0048732736438493	2.5082907568149135	2.6218101159093354	1.470617657971048	1.5692694798693314	2.160338856206125	1.4077890168834335	1.360053945701575	0.9339151657096734	0.8984905456346779	1.455827118181898	0.6515972831702811	1.6741472311007766	1.0742586557186409
IL17.DTT.119	0.5142316436224068	0.0	0.45222184454984826	3.044906024085943	0.7382905761049723	0.6832378303657377	2.8741068414528286	2.4305237356105094	2.4425416847316463	2.703347200141343	2.665645492468302	1.1641977604894636	1.0607906080092548	0.7399685202957664	2.839816767190548	2.763493891900106	1.4295326604717769	2.00719580141552	1.8141508519390899	1.6884491027424349	1.474810123917186	2.769583437619322	1.241841309140309	1.8882020498770784	1.4528560891429976	2.9059996085147306	2.6389688542066887	2.306762843839236	3.6392550414247764	2.881238980239501	1.6538706089022575	1.0419135663745336	1.2305408436525382	1.097756762412659	1.9558394704374298	0.6294596580370151	0.45115691796586005	0.9029091271264565	0.5547841111977491	0.18924542642918563	3.1776343717379847	3.8773736978984514	2.6734639051063023	1.2405388975514244	2.242443887593137	1.912662218417908	3.1935122840265757	2.556796876682736	2.143852256004698	2.264380092991177	1.379551322131776	3.083058876988674	3.0352233597311145	2.784690409272463	2.416534348392148	2.9899358095521182	3.061666237668158	1.7858118970317758	1.8928918773420205	2.2217548519279666	1.758021924774475	1.2372852148142048	0.5955215109569874	0.40402647311253387	1.3958798817927234	0.804549809285173	2.1749141890317834	0.7165873273111776
IL17.DTT.120	0.8769252309584393	0.45222184454984826	0.0	2.8613436848605165	0.8345646011959305	0.7529261306806473	2.85873274810557	2.4057525371073707	2.5531772847991627	2.7352897498172277	2.727870437607788	1.504106166475174	1.4167655974929376	1.0447268432559378	2.9241572405565015	2.8101012940101584	1.6459686425751838	1.9836357261330022	2.04575676312773	1.863679973349423	1.383094124360979	2.571811037319873	1.58836881331873	2.125306510644011	1.2606948339136028	3.0759509943392542	2.7482480741082402	2.198442615704144	3.5833241475740203	2.8805717762618372	1.6501074049683266	1.4038288441888878	1.3373001309260795	1.0308360484352106	2.2802486975633287	1.0627405104286276	0.8281635256788773	1.2821112346471943	0.9658075661184373	0.4902337695653502	3.3472990493526833	4.088499243926247	2.710397071738278	1.4241791605268697	2.4497487037701524	2.1056109330914277	3.2334032068632657	2.735774076467707	2.329264960843581	2.538446524674613	1.5012557023961601	3.1313638139656526	3.091781910372115	2.7315204137992373	2.5946611142541407	3.1886761596304116	3.219961314500627	1.9504566248665283	2.0694670308833163	2.255187576890328	1.891034900182685	1.1599922575869488	0.7909088573515406	0.39198936303147747	1.362398469143002	0.8485443184151068	2.450670427944022	0.36801713299612765
IL17.DTT.130	3.2361960823185023	3.044906024085943	2.8613436848605165	0.0	2.713922720582182	2.4318645982667126	2.7270682998064206	2.347358919921344	3.290026482759075	2.2000622093170503	2.903068852542494	3.388108265831414	3.7047161721237427	3.047346596290065	3.423081805175007	2.9330329071476067	3.5004226523053537	2.575684617190258	3.724321118069508	2.9211125411279912	1.6829006259874801	0.49463445247067067	3.3672466529064313	3.925747772872527	1.6144650682008683	3.5243615675022766	2.906790435140996	1.2890538737493078	1.5959285936381737	1.7735764282366986	2.5370106448993317	3.1694322381811935	2.134486860002929	1.99719659005876	4.5532312129919115	3.4210986440095255	3.4826343589493596	3.1988153194365365	3.270034834224021	3.0131486895933275	4.405831041853322	5.368117372699188	2.450937245546984	2.9721865829644076	3.538440819615838	3.3189588830414016	2.307412448130004	3.54523296133203	3.56660694209138	4.417061827214522	4.040182424067441	2.5012234549626595	2.9840962504449933	1.2891553855921816	3.360643564103969	4.795632442406612	4.00326468573034	2.714127752709444	2.755752113453569	1.6526087210852765	2.9048140997044323	1.8790443400715782	3.5015201527096353	3.1065083424591466	1.8145260252333422	3.3094382989337774	4.387020091609933	2.508964734927661
IL17.DTT.131	0.6120882557643883	0.7382905761049723	0.8345646011959305	2.713922720582182	0.0	0.4827175011444035	2.136671003484508	1.7018891805917487	1.7495659570541202	2.015909057562305	1.9365233977047374	0.8828290438464353	1.0409000008336937	0.45359185531464447	2.133719136032448	2.0304307684019833	0.9825206998378057	1.274456087454733	1.3487564561482004	1.0296726332648092	1.0354572623762233	2.5476470135320577	0.9458919356269683	1.4835365865510965	1.2945715872629466	2.243696235632052	1.9334926610312433	1.74430982715917	3.0611130420775217	2.2537336495350027	0.9189316201089357	0.8130508217480603	0.8530306046694971	1.0638624006514614	1.9018994670199934	0.8944361488256386	1.0322353284793033	0.7642786989399147	0.7163743360030238	0.875607601469853	2.5969634915463464	3.3940306037677304	1.9569024094893879	0.6128368494037517	1.6426794807932872	1.29822323906085	2.5233839319008786	1.9150299993993436	1.5465264743429687	1.9524312034937932	1.3909747857629045	2.3855574219374702	2.3064026544360168	2.220508570707135	1.7657273962791475	2.5601159455534805	2.4241766544842442	1.1275144004827027	1.2487288178634892	1.6802882341001741	1.0638591282390166	0.8504762116028112	1.3230973990715236	1.0773715645977524	0.9392381169515488	0.7134316737863545	1.885607192368247	0.8031286746568981
IL17.DTT.132	0.8160508216288566	0.6832378303657377	0.7529261306806473	2.4318645982667126	0.4827175011444035	0.0	2.3712389587444775	1.888866735889123	2.1009937787472537	2.092856485229147	2.1950374563767423	1.1737492006493493	1.3407438358835255	0.7166104303288152	2.474838571086543	2.2941505348157483	1.424596665270062	1.5630155238068464	1.7725597021462471	1.3272936035557945	0.8137004027101649	2.2082321708306645	1.2042826826741444	1.916169921570378	0.9311414679322221	2.527389307441394	2.1555817645969118	1.646028836095132	2.9592043937008743	2.2197193372646025	1.2176001303762674	0.966850398365614	0.5886805214881586	0.6029110183497622	2.256454167096953	1.003978960001181	1.0819484941505149	0.9128007536718366	0.8509708812736233	0.7163953506151352	3.010047328541963	3.8198467885868927	2.1085471524060306	1.0011157984189822	1.9982747025687622	1.6675200008858246	2.5681736712070715	2.2511658292104	1.9436692360974697	2.365915309524009	1.7782476797734244	2.4912183609858465	2.5385720787924484	2.104877919008951	2.0792577745422585	3.010784438837877	2.796563440823284	1.3312829684993304	1.4384107340758854	1.5504317684684004	1.3931477564943562	0.5799099054796971	1.2489598637376091	0.943857742045754	0.7160800986809023	1.079438270726213	2.2987023051878204	0.6398881478692687
IL17.DTT.143	2.6331983615648893	2.8741068414528286	2.85873274810557	2.7270682998064206	2.136671003484508	2.3712389587444775	0.0	0.5139073927035857	0.9883157242789052	0.8625140833743301	0.50910417548091	2.335534536347786	2.7087895589845945	2.3347957172764278	0.8461556296363407	0.40625106832121893	2.050115777486292	0.8926726212849081	1.9972466877487514	1.4640666189684717	1.954668824661659	2.943778761888443	2.3167315917769007	2.172786244370503	2.503235401741075	1.2470871849130636	0.804755271191947	1.523095571622726	1.9863361419367926	1.308793491963978	1.2273403681815505	2.3920202381068774	2.122822803191096	2.618721288940638	3.0986943733082595	2.8717787272761455	3.129006889766947	2.4892945611362576	2.712911198188259	2.9994990084422706	1.9001609771641943	2.853962118827712	0.5900859879943062	1.8051254897994335	1.5379697099813512	1.5260291913764281	1.1531472740547435	1.3292307937206556	1.5542751954961833	2.5681422913815557	2.8967502277463004	0.8705891587457738	0.5157980334435314	1.618445513140935	1.2681523471881158	2.5116861123902403	1.496180779258665	1.3954897585115622	1.3937216252281344	1.6399045401242294	1.3096168161719968	2.0867800840352246	3.4570192723902786	3.1826741808831702	1.9431889836519871	2.5142099887160065	2.594959316116435	2.648708076049792
IL17.DTT.144	2.2360049150253887	2.4305237356105094	2.4057525371073707	2.347358919921344	1.7018891805917487	1.888866735889123	0.5139073927035857	0.0	1.0243060877013388	0.6655974315823282	0.6288366714082715	2.0101094177985517	2.3908176178188727	1.9366088317949972	1.090262580253918	0.6393681108943541	1.8014551951361208	0.556314547463164	1.835737172346798	1.1635643171314543	1.4410870580493458	2.5109181278498567	1.9932459325238499	2.031366017520662	1.9943693031796315	1.3830987886390238	0.8134119390566701	1.083028781166438	1.8576496855659006	1.0756007486623167	0.8272760564182625	2.017904721440566	1.6321386695073608	2.1074903242364242	2.9111597873325015	2.479140182580817	2.719234414603823	2.105985359495196	2.3128356471379594	2.5429481701101837	2.1024988763904386	3.074307704783688	0.4828483106657321	1.4537891865304067	1.4697318401712367	1.3543854123579493	1.131486611951963	1.369881284482172	1.4772621708643061	2.482021672036668	2.635080861345979	0.9191979058675619	0.833688714874269	1.293702165231515	1.2430212231834046	2.5977900660959325	1.710945393704179	1.0588312821786103	1.085891675798432	1.212132178966934	1.0247353885100996	1.5757750781254303	3.021610863094013	2.728189790371062	1.4309081032840378	2.1573966091932646	2.489683195068547	2.1776321571154766
IL17.DTT.142	2.0629400223231125	2.4425416847316463	2.5531772847991627	3.290026482759075	1.7495659570541202	2.1009937787472537	0.9883157242789052	1.0243060877013388	0.0	1.3381674347472228	0.5822147113351908	1.6069130320692757	1.958079124579852	1.7752430234963232	0.4173683220750598	0.6454920236778886	1.2659794075978257	0.8816278440546848	1.0886706281030494	0.8509063044284555	2.03631156549983	3.3890201279611833	1.5872871456631386	1.25106265975856	2.5933596524486138	0.692377904607994	0.6753168452936223	2.0036507856363146	2.7270459396451585	1.873015414134601	1.0394591294238669	1.7612392368591907	1.947222342767253	2.534074934422143	2.1792273884289273	2.253565420489143	2.5712024464767156	1.8672693730125507	2.127082855562746	2.592402913580596	1.117830943741899	2.080506922212152	1.0434896995996101	1.2147582071359062	0.5856527857244342	0.661624416645375	1.7184751089210273	0.4364429113691142	0.5903827171702011	1.5987453071873112	2.2157500651304547	1.4058966928501273	0.893914405128301	2.1899086630168134	0.4250902930760689	1.614731542304717	0.7716896838568924	0.9459820423043861	0.9357515378025228	1.8694299211012506	0.7179738801695698	2.064396519186274	2.9760490686365637	2.8079265127261914	1.9491175638408527	2.0067015452239136	1.635093715987859	2.462959042200765
IL17.DTT.202	2.5129053694900922	2.703347200141343	2.7352897498172277	2.2000622093170503	2.015909057562305	2.092856485229147	0.8625140833743301	0.6655974315823282	1.3381674347472228	0.0	0.8337996810032516	2.221043095566181	2.667841759296806	2.1828480329240305	1.3764810772921912	0.8803244829722819	2.1572922984611065	1.139572427911388	2.1552056593506403	1.3745389962216665	1.5693430258056658	2.4196570031229463	2.1667279220754376	2.3673280168892408	2.125781882011274	1.3752679820453888	0.7706026428544952	1.0659771535992302	1.4035772334367589	0.5433299370994626	1.2981913358828183	2.1593057802010063	1.6645643930740304	2.2132117171549788	3.2058981815134446	2.7052908822626334	2.9938634279109126	2.273759633829729	2.5504572569157467	2.785379128057901	2.3638721060456067	3.30728974328312	0.3262474750036971	1.7534773225760287	1.668520010708842	1.6172510622364986	0.524952252693257	1.5237652162299535	1.7721854678473836	2.7791995054408147	3.0923576141501044	0.4225349535753019	0.8483324782160776	0.9446027878864223	1.3729195068582802	2.9424876640672784	1.9061465066795853	1.1513092737975312	1.1166909177499544	0.9015902002960586	1.3229159198167602	1.7351151933038707	3.294978645164576	3.0144509576707352	1.5316143985839767	2.588056504789053	2.795737058199336	2.498005175897489
