	TL1a_FP_140	TL1a_FP_206	TL1a_FP_242	TL1a_FP_98	TL1a_FP_62	TL1a_FP_74	TL1a_FP_170	TL1a_DTT_74	TL1a_DTT_206	TL1a_DTT_62	TL1a_DTT_242	TL1a_DTT_140	TL1a_DTT_98	TL1a_DTT_170	TL1A_FP_638	TL1A_FP_686	TL1A_DTT_638
TL1a_FP_140	0.0	2.604161347583196	2.3622512452729962	0.9162066777628054	0.7993140094845117	3.5803769002906387	2.4774061821440156	1.8001195294958081	1.8290877501852256	1.7320185926611715	3.5809252065839026	0.5545646556761239	0.8661742239620819	2.4783791035838396	1.6251397494607072	1.276281293547115	1.7693924424420926
TL1a_FP_206	2.604161347583196	0.0	2.183579008084482	2.854876654953018	2.7502543499012853	4.618876632987384	3.574895239757094	3.1670370211510512	1.1656835159662986	2.8749542130430004	2.9770841561129657	2.2062251124296566	2.6180420140025356	3.3237080121115214	3.6325073501319056	3.5259994416897	3.776257873793076
TL1a_FP_242	2.3622512452729962	2.183579008084482	0.0	1.848809972338638	1.842847236940236	2.4868922620150387	1.5640421047848725	1.4643029349243373	1.1668992832439982	1.176878929634029	1.2467251966234543	2.0800995196678116	1.6913189743855364	1.2483811072981923	2.4845813764486	2.6441917635523224	2.6574075382964333
TL1a_FP_98	0.9162066777628054	2.854876654953018	1.848809972338638	0.0	0.13470466833611647	2.6741621975361713	1.592519827479718	0.9215515970036247	1.8016151601537305	0.9368838379826657	3.003455685016236	0.9702401764068223	0.23836763000646485	1.650115128942461	0.9831024474452773	0.9041723357665871	1.182080361739693
TL1a_FP_62	0.7993140094845117	2.7502543499012853	1.842847236940236	0.13470466833611647	0.0	2.7891718911758	1.6932786955768984	1.0188232780839424	1.7175536334608403	0.997478065469876	3.0188070084313328	0.8493297947406221	0.1697000659972614	1.7280466170855917	1.0863487436778454	0.9642402013478371	1.279158401611911
TL1a_FP_74	3.5803769002906387	4.618876632987384	2.4868922620150387	2.6741621975361713	2.7891718911758	0.0	1.1526283395602046	1.7990648768031685	3.4920079860666147	1.9789455992924783	2.555377516958547	3.5441012575139603	2.758961134751423	1.3565961194820824	2.525212349317762	2.9451682144747595	2.610093732175707
TL1a_FP_170	2.4774061821440156	3.574895239757094	1.5640421047848725	1.592519827479718	1.6932786955768984	1.1526283395602046	0.0	0.6777379888905337	2.418790705148637	0.8263596791055384	2.1233719501990818	2.429688000680807	1.6463534327205671	0.38208254191992214	1.7375723338115616	2.0748450793227775	1.888580680879315
TL1a_DTT_74	1.8001195294958081	3.1670370211510512	1.4643029349243373	0.9215515970036247	1.0188232780839424	1.7990648768031685	0.6777379888905337	0.0	2.0042434069745574	0.32937991710515796	2.3762730230384945	1.781469158015085	0.9804692448226621	0.7615617156205163	1.292096571620247	1.524673015988563	1.4823508305832656
TL1a_DTT_206	1.8290877501852256	1.1656835159662986	1.1668992832439982	1.8016151601537305	1.7175536334608403	3.4920079860666147	2.418790705148637	2.0042434069745574	0.0	1.7111499561445873	2.253740967833079	1.4392367700334983	1.567171495725074	2.1852976096418373	2.6005946270485394	2.563814674603166	2.7644242436117454
TL1a_DTT_62	1.7320185926611715	2.8749542130430004	1.176878929634029	0.9368838379826657	0.997478065469876	1.9789455992924783	0.8263596791055384	0.32937991710515796	1.7111499561445873	0.0	2.158291194065035	1.668015570506846	0.9187967570120197	0.747962408612372	1.5100171159172973	1.6859473738164386	1.706525194502584
TL1a_DTT_242	3.5809252065839026	2.9770841561129657	1.2467251966234543	3.003455685016236	3.0188070084313328	2.555377516958547	2.1233719501990818	2.3762730230384945	2.253740967833079	2.158291194065035	0.0	3.3257066286259467	2.881163221620056	1.7784803311230633	3.5258004358223234	3.7658621614550554	3.6869843054924476
TL1a_DTT_140	0.5545646556761239	2.2062251124296566	2.0800995196678116	0.9702401764068223	0.8493297947406221	3.5441012575139603	2.429688000680807	1.781469158015085	1.4392367700334983	1.668015570506846	3.3257066286259467	0.0	0.8147437428394291	2.3988496811532456	1.654176427419302	1.3975137856681505	1.7891531608265723
TL1a_DTT_98	0.8661742239620819	2.6180420140025356	1.6913189743855364	0.23836763000646485	0.1697000659972614	2.758961134751423	1.6463534327205671	0.9804692448226621	1.567171495725074	0.9187967570120197	2.881163221620056	0.8147437428394291	0.0	1.655383335504778	1.1564685400864605	1.0770335489270926	1.3479760275738715
TL1a_DTT_170	2.4783791035838396	3.3237080121115214	1.2483811072981923	1.650115128942461	1.7280466170855917	1.3565961194820824	0.38208254191992214	0.7615617156205163	2.1852976096418373	0.747962408612372	1.7784803311230633	2.3988496811532456	1.655383335504778	0.0	1.9747027488679463	2.266767879102777	2.1414519644092915
TL1A_FP_638	1.6251397494607072	3.6325073501319056	2.4845813764486	0.9831024474452773	1.0863487436778454	2.525212349317762	1.7375723338115616	1.292096571620247	2.6005946270485394	1.5100171159172973	3.5258004358223234	1.654176427419302	1.1564685400864605	1.9747027488679463	0.0	0.48477284875076343	0.2107930147039571
TL1A_FP_686	1.276281293547115	3.5259994416897	2.6441917635523224	0.9041723357665871	0.9642402013478371	2.9451682144747595	2.0748450793227775	1.524673015988563	2.563814674603166	1.6859473738164386	3.7658621614550554	1.3975137856681505	1.0770335489270926	2.266767879102777	0.48477284875076343	0.0	0.5543324791844596
TL1A_DTT_638	1.7693924424420926	3.776257873793076	2.6574075382964333	1.182080361739693	1.279158401611911	2.610093732175707	1.888580680879315	1.4823508305832656	2.7644242436117454	1.706525194502584	3.6869843054924476	1.7891531608265723	1.3479760275738715	2.1414519644092915	0.2107930147039571	0.5543324791844596	0.0
